AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,AGEDST_1,AGEDST_2,AGEDST_3,AGEDST_4,AGEDST_5,AGEDST_6,AGEDST_7,AGEDST_8,AGEDST_9,AGEDST_10,AGEDST_11,AGEDST_12,LRESID,LRESID_1,LRESID_2,LRESID_3,LRESID_4,TYPORG_1,TYPORG_2,TYPORG_3,TYPORG_4,TYPORG_5,TYPORG_6
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total Number Of Farms,Number of Operators 15-19 Years,Number of Operators 20-24 Years,Number of Operators 25-29 Years,Number of Operators 30-34 Years,Number of Operators 35-39 Years,Number of Operators 40-44 Years,Number of Operators 45-49 Years,Number of Operators 50-54 Years,Number of Operators 55-59 Years,Number of Operators 60-64 Years,Number of Operators 65-69 Years,Number of Operators 70 Years and Over,Number of Operators Residing on Holding ,Number of Operators Residing on Holding 9 - 12 months,Number of Operators Residing on Holding 5 - 8 months,Number of Operators Residing on Holding 4 Mo. or less,Number of Operators Not Residing on Holding,Sole proprietorship - Farms Reporting,Partnership with written agreement - Farms Reporting,Partnership with no written agreement - Farms Reporting,Family corporation - Farms Reporting,Non-family corporation - Farms Reporting,Number of Other Types of Organization
000000000,0,0,0,0,0,CANADA,"318,361","1,025","10,643","24,265","32,269","35,255","36,449","38,666","41,879","37,348","28,622","17,635","14,305","288,563","273,689","8,162","6,712","29,798","275,779","11,486","18,048","10,742","1,247","1,059"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,3,17,44,71,74,81,92,94,74,81,28,20,578,557,13,8,101,555,10,44,37,6,27
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,1,8,21,31,33,38,44,49,40,43,15,11,297,289,5,3,37,266,6,22,19,4,17
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,1,8,21,31,33,38,44,49,40,43,15,11,297,289,5,3,37,266,6,22,19,4,17
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,0,0,0,4,1,3,7,6,5,4,2,1,27,26,1,0,6,27,0,0,1,0,5
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,0,4,4,5,1,3,2,5,6,5,1,1,36,35,1,0,1,35,0,1,0,0,1
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,1,0,1,5,4,2,2,3,2,1,0,0,13,13,0,0,8,16,0,0,2,1,2
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,0,0,3,2,2,0,0,4,2,1,1,1,14,14,0,0,2,15,0,0,0,1,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,0,1,0,0,4,2,3,1,1,1,0,0,11,11,0,0,2,11,0,1,1,0,0
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,0,0,0,2,8,1,2,5,1,5,1,0,21,20,1,0,4,19,0,2,2,0,2
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,0,0,2,1,1,2,4,2,1,0,1,2,14,13,0,1,2,14,1,0,1,0,0
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,0,0,0,5,1,3,3,2,1,1,0,1,15,15,0,0,2,11,0,3,2,0,1
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,0,0,4,2,1,5,1,5,2,2,2,2,24,23,1,0,2,21,0,1,2,1,1
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,0,3,7,5,10,17,20,16,19,23,7,3,122,119,1,2,8,97,5,14,8,1,5
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,2,2,11,20,19,20,11,20,14,12,4,6,116,106,5,5,25,120,0,11,6,0,4
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,1,0,2,5,7,3,3,4,0,4,0,1,24,23,1,0,6,26,0,1,1,0,2
100202023,10,2,2,23,1002023,WINTERLAND,20,1,0,1,3,5,2,2,3,0,3,0,0,16,15,1,0,4,17,0,1,0,0,2
100202024,10,2,2,24,1002024,MARYSTOWN,10,0,0,1,2,2,1,1,1,0,1,0,1,8,8,0,0,2,9,0,0,1,0,0
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,0,0,4,3,3,10,2,3,6,2,1,2,26,21,2,3,10,31,0,1,3,0,1
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,0,0,1,1,1,3,1,0,3,0,0,0,9,7,0,2,1,8,0,0,1,0,1
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,0,0,3,2,2,7,1,3,3,2,1,2,17,14,2,1,9,23,0,1,2,0,0
