AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NTENURE_1,NTENURE_2,NTENURE_3,TENURE_1,TENURE_2,TENURE_3,ETENURE_1,ETENURE_2,ETENURE_3,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14,FRMSIZE_15
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total area of farms - Farms reporting,Total area of farms - Acres,Total area of farms - Hectares,Area owned - Farms reporting,Area owned - Acres,Area owned - Hectares,Total area rented or leased from others - Farms reporting,Total area rented or leased from others - Acres,Total area rented or leased from others - Hectares,Owner - Farms reporting,Tenant - Farms Reporting,"Part owner, Part tenant - Farms Reporting",Owner - Acres,Tenant - Acres,"Part owner, Part tenant - Acres",Owner - Hectares,Tenant - Hectares,"Part owner, Part tenant - Hectares",Total area of farms (under 3 acres) - Farms reporting,Total area of farms (3 - 9 acres) - Farms reporting,Total area of farms (10 - 69 acres) - Farms reporting,Total area of farms (70 - 129 acres) - Farms reporting,Total area of farms (130 - 179 acres) - Farms reporting,Total area of farms (180 - 239 acres) - Farms reporting,Total area of farms (240 - 399 acres) - Farms reporting,Total area of farms (400 - 559 acres) - Farms reporting,Total area of farms (560 - 759 acres) - Farms reporting,"Total area of farms (760 - 1,119 acres) - Farms reporting","Total area of farms (1,120 - 1, 599 acres) - Farms reporting","Total area of farms (1, 600 - 2, 239 acres) - Farms reporting","Total area of farms (2, 240 - 2, 879 acres) - Farms reporting","Total area of farms (2, 880 - 3, 519 acres) - Farms reporting","Total area of farms (3, 520 acres and over) - Farms reporting"
000000000,0,0,0,0,0,CANADA,"318,361","162,815,073","65,888,916","298,514","112,567,133","45,554,298","116,704","50,247,825","20,334,571","201,657","19,847","96,857","63,784,275","11,135,054","87,895,629","25,812,578","4,506,196","35,570,095","4,760","11,653","40,301","39,691","38,150","21,159","47,081","27,759","23,758","27,788","18,283","9,572","3,637","1,700","3,069"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,"82,667","33,454",625,"45,193","18,289",195,"37,473","15,165",484,54,141,"37,255","29,034","16,377","15,077","11,750","6,628",100,144,257,90,28,14,19,6,6,6,1,1,2,1,4
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,"49,928","20,205",314,"27,680","11,202",77,"22,247","9,003",257,20,57,"25,296","18,978","5,653","10,237","7,680","2,288",50,102,122,28,7,3,8,0,1,6,1,0,2,1,3
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,"49,928","20,205",314,"27,680","11,202",77,"22,247","9,003",257,20,57,"25,296","18,978","5,653","10,237","7,680","2,288",50,102,122,28,7,3,8,0,1,6,1,0,2,1,3
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,"17,097","6,919",30,"15,766","6,380",4,"1,331",539,29,3,1,"15,755","1,301",41,"6,376",526,17,9,10,8,1,0,0,1,0,0,1,0,0,1,1,1
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,"7,361","2,979",36,350,142,3,"7,011","2,837",34,1,2,335,"7,000",26,136,"2,833",11,3,22,11,0,0,0,0,0,0,0,0,0,0,0,1
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,"2,213",896,17,626,253,10,"1,587",642,11,4,6,407,"1,241",565,165,502,229,0,5,11,1,2,0,1,0,0,1,0,0,0,0,0
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,447,181,14,293,119,5,154,62,11,2,3,202,79,166,82,32,67,2,3,10,1,0,0,0,0,0,0,0,0,0,0,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,220,89,12,126,51,3,94,38,10,1,2,97,3,120,39,1,49,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,"2,364",957,24,"1,348",546,3,"1,016",411,22,1,2,"1,258","1,000",106,509,405,43,4,12,5,2,0,0,0,0,0,2,0,0,0,0,0
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,548,222,16,331,134,6,217,88,10,0,6,227,0,321,92,0,130,1,5,7,2,1,0,0,0,0,0,0,0,0,0,0
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,"2,842","1,150",15,"1,352",547,2,"1,490",603,15,2,0,"1,352","1,490",0,547,603,0,3,4,5,1,1,0,1,0,0,1,1,0,0,0,0
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,906,367,25,246,100,2,660,267,24,1,1,245,650,11,99,263,4,6,13,6,0,0,0,0,0,1,0,0,0,0,0,0
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,"15,930","6,447",125,"7,242","2,931",39,"8,687","3,516",91,5,34,"5,418","6,214","4,297","2,193","2,515","1,739",17,24,56,19,3,3,5,0,0,1,0,0,1,0,1
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,"12,649","5,119",130,"4,863","1,968",32,"7,786","3,151",109,11,21,"3,895","6,844","1,910","1,576","2,770",773,32,26,49,16,8,4,3,1,1,0,0,0,0,0,1
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,"6,920","2,800",27,694,281,9,"6,226","2,520",21,3,6,564,"6,143",213,228,"2,486",86,5,8,13,1,0,1,0,0,1,0,0,0,0,0,1
100202023,10,2,2,23,1002023,WINTERLAND,20,"6,764","2,737",18,570,231,5,"6,194","2,507",15,2,3,483,"6,130",151,195,"2,481",61,2,5,10,0,0,1,0,0,1,0,0,0,0,0,1
100202024,10,2,2,24,1002024,MARYSTOWN,10,156,63,9,124,50,4,32,13,6,1,3,81,13,62,33,5,25,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,"2,021",818,32,"1,526",618,12,495,200,24,4,8,"1,185",182,654,480,74,265,6,7,12,6,3,1,1,0,0,0,0,0,0,0,0
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,201,81,10,151,61,2,50,20,8,0,2,93,0,108,38,0,44,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,"1,820",737,22,"1,375",556,10,445,180,16,4,6,"1,092",182,546,442,74,221,4,4,8,5,3,1,1,0,0,0,0,0,0,0,0
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,"3,708","1,501",71,"2,643","1,070",11,"1,065",431,64,4,7,"2,146",519,"1,043",868,210,422,21,11,24,9,5,2,2,1,0,0,0,0,0,0,0
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,305,123,18,253,102,3,52,21,16,1,2,93,20,192,38,8,78,9,3,5,2,0,0,0,0,0,0,0,0,0,0,0
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,"2,763","1,118",34,"1,849",748,6,914,370,29,1,5,"1,512",400,851,612,162,344,10,2,8,6,5,1,2,1,0,0,0,0,0,0,0
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,640,259,19,541,219,2,99,40,19,2,0,541,99,0,219,40,0,2,6,11,1,0,1,0,0,0,0,0,0,0,0,0
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,"4,537","1,836",67,"1,814",734,30,"2,723","1,102",50,13,17,"1,366","1,997","1,174",553,808,475,13,10,40,14,2,0,0,0,0,0,0,1,0,0,0
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,"4,154","1,681",58,"1,615",654,24,"2,539","1,027",43,9,15,"1,172","1,836","1,146",474,743,464,9,10,34,11,2,0,0,0,0,0,0,1,0,0,0
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,806,326,17,367,149,6,439,178,14,3,3,308,165,333,125,67,135,3,3,9,4,1,0,0,0,0,0,0,0,0,0,0
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,296,120,11,180,73,6,116,47,8,3,3,100,41,155,40,17,63,2,3,8,1,0,0,0,0,0,0,0,0,0,0,0
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,897,363,16,707,286,6,190,77,12,2,4,530,11,356,214,4,144,4,2,6,6,0,0,0,0,0,0,0,0,0,0,0
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,"2,155",872,14,361,146,6,"1,794",726,9,1,5,234,"1,619",302,95,655,122,0,2,11,0,1,0,0,0,0,0,0,1,0,0,0
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,383,155,9,199,81,6,184,74,7,4,2,194,161,28,79,65,11,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,383,155,9,199,81,6,184,74,7,4,2,194,161,28,79,65,11,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,"15,553","6,294",114,"10,836","4,385",56,"4,717","1,909",68,10,46,"6,698","1,215","7,640","2,711",492,"3,092",5,6,46,32,11,7,8,5,4,0,0,0,0,0,0
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,"8,866","3,588",63,"6,665","2,697",27,"2,201",891,39,3,24,"4,396",182,"4,288","1,779",74,"1,735",2,1,22,19,8,5,4,3,2,0,0,0,0,0,0
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,"2,960","1,198",16,"2,332",944,8,628,254,8,0,8,931,0,"2,029",377,0,821,0,1,4,1,4,2,2,1,1,0,0,0,0,0,0
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,"3,702","1,498",37,"2,630","1,064",16,"1,072",434,24,3,13,"1,898",182,"1,622",768,74,656,1,0,15,16,4,2,2,0,0,0,0,0,0,0,0
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,"2,204",892,10,"1,703",689,3,501,203,7,0,3,"1,567",0,637,634,0,258,1,0,3,2,0,1,0,2,1,0,0,0,0,0,0
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,"6,687","2,706",51,"4,171","1,688",29,"2,516","1,018",29,7,22,"2,302","1,033","3,352",932,418,"1,357",3,5,24,13,3,2,4,2,2,0,0,0,0,0,0
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,"4,283","1,733",33,"2,719","1,100",19,"1,563",633,20,6,13,"1,383",433,"2,466",560,175,998,1,3,18,9,2,1,3,1,1,0,0,0,0,0,0
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,"2,404",973,18,"1,452",588,10,953,386,9,1,9,919,600,886,372,243,359,2,2,6,4,1,1,1,1,1,0,0,0,0,0,0
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154","699,367","283,024","3,036","540,565","218,759","1,359","158,801","64,264","1,795",118,"1,241","263,711","13,329","422,326","106,720","5,394","170,909",77,72,423,735,457,414,577,217,87,57,24,8,3,2,1
110100000,11,1,0,0,1100000,KINGS COUNTY,586,"148,810","60,221",564,"121,041","48,984",251,"27,769","11,238",335,22,229,"58,700","2,843","87,267","23,755","1,151","35,316",10,8,57,121,92,78,126,57,18,10,7,1,0,0,1
110101000,11,1,1,0,1101000,KINGS COUNTY,586,"148,810","60,221",564,"121,041","48,984",251,"27,769","11,238",335,22,229,"58,700","2,843","87,267","23,755","1,151","35,316",10,8,57,121,92,78,126,57,18,10,7,1,0,0,1
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,"9,567","3,872",53,"7,378","2,986",19,"2,189",886,38,4,15,"4,789",428,"4,350","1,938",173,"1,760",1,1,9,19,10,7,4,5,1,0,0,0,0,0,0
