AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTWHT,TOTWHT,ETOTWHT,NWHTWIN,WHTWIN,EWHTWIN,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTUTL,WHTUTL,EWHTUTL,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NCORNGR,CORNGR,ECORNGR,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NBUCWHT,BUCWHT,EBUCWHT,NCORNEN,CORNEN,ECORNEN,NTAMHAY,TAMHAY,ETAMHAY,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFDOATS,FDOATS,EFDOATS,NFCROPS,FCROPS,EFCROPS,NCANOLA,CANOLA,ECANOLA,NFLAXSD,FLAXSD,EFLAXSD,NSOYBNS,SOYBNS,ESOYBNS,NSUNFLS,SUNFLS,ESUNFLS,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NDFPEAS,DFPEAS,EDFPEAS,NTOBACO,TOBACO,ETOBACO,NTOTDRBN,TOTDRBN,ETOTDRBN,NSUGARB,SUGARB,ESUGARB,NTOOFLD,TOOFLD,ETOOFLD,NCANRSD,CANRSD,ECANRSD,NFABBNS,FABBNS,EFABBNS,NLENTIL,LENTIL,ELENTIL,NMILLET,MILLET,EMILLET,NRTCROP,RTCROP,ERTCROP,NSAFFWR,SAFFWR,ESAFFWR,NSODGRN,SODGRN,ESODGRN,NSORGHM,SORGHM,ESORGHM,NTRITIC,TRITIC,ETRITIC,NOFIELD,OFIELD,EOFIELD
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total number of farms,Total wheat - Farms reporting,Total wheat - Acres,Total wheat - Hectares,Winter wheat - Farms reporting,Winter wheat - Acres,Winter wheat - Hectares,Spring Wheat - Farms Reporting,Spring Wheat - Acres,Spring Wheat - Hectares,Durum wheat - Farms reporting,Durum wheat - Acres,Durum wheat - Hectares,Utility Wheat - Farms Reporting,Utility Wheat - Acres,Utility Wheat - Hectares,Oats for Grain - Farms Reporting,Oats for Grain - Acres,Oats for Grain - Hectares,Barley for Grain - Farms Reporting,Barley for Grain - Acres,Barley for Grain - Hectares,Mixed grains - Farms reporting,Mixed grains - Acres,Mixed grains - Hectares,Corn for grain - Farms reporting,Corn for grain - Acres,Corn for grain - Hectares,Total rye - Farms reporting,Total rye - Acres,Total rye - Hectares,Fall rye - Farms reporting,Fall rye - Acres,Fall rye - Hectares,Spring rye - Farms reporting,Spring rye - Acres,Spring rye - Hectares,Buckwheat - Farms reporting,Buckwheat - Acres,Buckwheat - Hectares,Corn for silage - Farms reporting,Corn for silage - Acres,Corn for silage - Hectares,All tame hay - Farms reporting,All tame hay - Acres,All tame hay - Hectares,Alfalfa and alfalfa mixtures - Farms reporting,Alfalfa and alfalfa mixtures - Acres,Alfalfa and alfalfa mixtures - Hectares,All other tame hay - Farms reporting,All other tame hay - Acres,All other tame hay - Hectares,Oats for Fodder - Farms Reporting,Oats for Fodder - Acres,Oats for Fodder - Hectares,Other fodder crops - Farms Reporting,Other fodder crops - Acres,Other fodder crops - Hectares,Canola (rapeseed) - Farms reporting,Canola (rapeseed) - Acres,Canola (rapeseed) - Hectares,Flaxseed - Farms reporting,Flaxseed - Acres,Flaxseed - Hectares,Soybeans - Farms reporting,Soybeans - Acres,Soybeans - Hectares,Sunflowers - Farms reporting,Sunflowers - Acres,Sunflowers - Hectares,Potatoes - Farms reporting,Potatoes - Acres,Potatoes - Hectares,Mustard seed - Farms reporting,Mustard seed - Acres,Mustard seed - Hectares,Dry field peas - Farms reporting,Dry field peas - Acres,Dry field peas - Hectares,Tobacco - Farms reporting,Tobacco - Acres,Tobacco - Hectares,Total dry field beans - Farms reporting,Total dry field beans - Acres,Total dry field beans - Hectares,Sugar beets - Farms reporting,Sugar beets - Acres,Sugar beets - Hectares,Total other field crops - Farms reporting,Total other field crops - Acres,Total other field crops - Hectares,Canary seed - Farms reporting,Canary seed - Acres,Canary seed - Hectares,Fababeans (broad bean or horsebean) - Farms reporting ,Fababeans (broad bean or horsebean) - Acres,Fababeans (broad bean or horsebean) - Hectares,Lentils - Farms reporting,Lentils - Acres,Lentils - Hectares,Millet - Farms reporting,Millet - Acres,Millet - Hectares,Root crop for feed - Farms reporting,Root crop for feed - Acres,Root crop for feed - Hectares,Safflower - Farms reporting,Safflower - Acres,Safflower - Hectares,Sod grown for sale - Farms reporting,Sod grown for sale - Acres,Sod grown for sale - Hectares,Sorghum - Farms reporting,Sorghum - Acres,Sorghum - Hectares,Triticale - Farms Reporting,Triticale - Acres,Triticale - Hectares,Other field crops - Farms reporting,Other field crops - Acres,Other field crops - Hectares
000000000,0,0,0,0,0,CANADA,"318,361","127,359","30,769,618","12,452,021","18,313","814,181","329,487","103,332","24,798,554","10,035,618","21,904","4,207,429","1,702,686","7,176","949,454","384,230","81,417","3,809,537","1,541,665","102,190","13,484,516","5,456,989","31,612","1,337,659","541,331","33,543","2,821,253","1,141,720","12,819","1,094,744","443,027","11,721","971,759","393,257","1,410","122,985","49,770","3,872","166,745","67,479","30,228","980,610","396,839","167,958","12,640,620","5,115,477","96,839","6,287,122","2,544,308","98,926","6,353,498","2,571,169","30,581","1,193,441","482,968","9,994","617,500","249,893","24,804","3,471,547","1,404,885","12,083","1,183,119","478,791","10,655","699,095","282,914","2,168","290,580","117,594","7,139","272,728","110,369","1,767","217,817","88,147","2,082","156,656","63,396","3,058","134,359","54,373","3,226","195,768","79,224","1,180","73,822","29,875","5,467","392,962","159,026",737,"94,801","38,365",482,"20,202","8,175","1,404","125,562","50,813",624,"20,278","8,206",176,"2,358",954,7,260,105,361,"44,649","18,069",494,"8,726","3,531",300,"17,220","6,969","1,154","58,906","23,838"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,72,29,1,8,3,0,0,0,2,67,27,2,4,2,2,4,2,0,0,0,0,0,0,1,2,1,344,"7,834","3,170",39,543,220,322,"7,291","2,951",74,636,257,16,199,81,9,11,4,0,0,0,1,1,0,0,0,0,236,978,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,265,107,0,0,0,1,1,0,0,0,0,0,0,0,2,5,2,0,0,0,7,22,9,0,0,0,0,0,0,12,237,96
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,23,1,8,3,0,0,0,1,5,2,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,197,"3,080","1,246",18,209,85,187,"2,871","1,162",39,239,97,7,113,46,4,5,2,0,0,0,0,0,0,0,0,0,86,150,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,14,6,0,0,0,0,0,0,6,13,5
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,23,1,8,3,0,0,0,1,5,2,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,197,"3,080","1,246",18,209,85,187,"2,871","1,162",39,239,97,7,113,46,4,5,2,0,0,0,0,0,0,0,0,0,86,150,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,14,6,0,0,0,0,0,0,6,13,5
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,214,87,2,5,2,14,209,85,3,22,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,242,98,0,0,0,36,242,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,112,45,0,0,0,10,112,45,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,11,1,6,2,4,21,8,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,28,1,10,4,6,59,24,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
