AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTFTR,TOTTFT,ETOTTFT,APPLEBR,APPLENB,NAPPLETR,APPLETA,EAPPLETA,PEARBR,PEARNB,NPEARTR,PEARTA,EPEARTA,PLUMBR,PLUMNB,NPLUMTR,PLUMTA,EPLUMTA,SWCHBR,SWCHNB,NSWCHTR,SWCHTA,ESWCHTA,SRCHBR,SRCHNB,NSRCHTR,SRCHTA,ESRCHTA,PECHBR,PECHNB,NPECHTR,PECHTA,EPECHTA,APCTBR,APCTNB,NAPCTTR,APCTTA,EAPCTTA,NTSMFRTC,TSMFRTC,ETSMFRTC,NSTWBRYC,STWBRYC,ESTWBRYC,NGRAPESC,GRAPESC,EGRAPESC,NOTHBERC,OTHBERC,EOTHBERC,NTOTVEG,TOTVEG,ETOTVEG,NASPCULT,ASPCULT,EASPCULT,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NCABAGE,CABAGE,ECABAGE,NBEANS,BEANS,EBEANS,NCARROT,CARROT,ECARROT,NGRPEAS,GRPEAS,EGRPEAS,NBEETS,BEETS,EBEETS,NCLFLWR,CLFLWR,ECLFLWR,NONIONS,ONIONS,EONIONS,NRTBAGA,RTBAGA,ERTBAGA,NLETUCE,LETUCE,ELETUCE,NBROCLI,BROCLI,EBROCLI,NTOTOVEG,TOTOVEG,ETOTOVEG,NSPROUT,SPROUT,ESPROUT,NCNTLPE,CNTLPE,ECNTLPE,NCELERY,CELERY,ECELERY,NSHALOT,SHALOT,ESHALOT,NMELONS,MELONS,EMELONS,NPARSNP,PARSNP,EPARSNP,NPEPPER,PEPPER,EPEPPER,NPUMPKN,PUMPKN,EPUMPKN,NRADISH,RADISH,RRADISH,NRHBARB,RHBARB,RRHBARB,NSPNACH,SPNACH,ESPNACH,NSQUASH,SQUASH,ESQUASH,NVEGMAR,VEGMAR,EVEGMAR,NOTHVEG,OTHVEG,EOTHVEG,NNURSERY,NURSERY,ENURSERY,NTOTGRN,TOTGRN,FTOTGRN,NMUSHRM,MUSHRM,FMUSHRM
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total number of farms,Total Tree Fruits - Farms Reporting,Total Tree Fruits - Acres,Total Tree Fruits - Hectares,Apple Bearing Trees - Number of Trees,Apple Non-Bearing Trees - Number of Trees,Area of Apple Trees - Farms Reporting,Area of Apple Trees - Acres,Area of Apple Trees - Hectares,Pear Bearing Trees - Number of Trees,Pear Non-Bearing Trees - Number of Trees,Area of Pear Trees - Farms Reporting,Area of Pear Trees - Acres,Area of Pear Trees - Hectares,Plum and Prune Bearing Trees - Number of Trees,Plum and Prune Non-Bearing Trees - Number of Trees,Area of Plum and Prune Trees - Farms Reporting,Area of Plum and Prune Trees - Acres,Area of Plum and Prune Trees - Hectares,Cherry(Sweet) Bearing Trees - Number of Trees,Cherry(Sweet) Non-Bearing Trees - Number of Trees,Area of Cherry(Sweet) Trees - Farms Reporting,Area of Cherry(Sweet) Trees - Acres,Area of Cherry(Sweet) Trees - Hectares,Cherry(Sour) Bearing Trees - Number of Trees,Cherry(Sour) Non-Bearing Trees - Number of Trees,Area of Cherry(Sour) Trees - Farms Reporting,Area of Cherry(Sour) Trees - Acres,Area of Cherry(Sour) Trees - Hectares,Peach Bearing Trees - Number of Trees,Peach Non-Bearing Trees - Number of Trees,Area of Peach Trees - Farms Reporting,Area of Peach Trees - Acres,Area of Peach Trees - Hectares,Apricot Bearing Trees - Number of Trees,Apricot Non-Bearing Trees - Number of Trees,Area of Apricot Trees - Farms Reporting,Area of Apricot Trees - Acres,Area of Apricot Trees - Hectares,Berries & Grapes - Total Area Cultivated - Farms Reporting,Berries & Grapes - Total Area Cultivated - Acres,Berries & Grapes - Total Area Cultivated - Hectares,Strawberries - Area Cultivated - Farms Reporting,Strawberries - Area Cultivated - Acres,Strawberries - Area Cultivated - Hectares,Grapes - Area Cultivated - Farms Reporting,Grapes - Area Cultivated - Acres,Grapes - Area Cultivated - Hectares,Other Berries - Area Cultivated - Farms Reporting,Other Berries - Area Cultivated - Acres,Other Berries - Area Cultivated - Hectares,Total Area of Vegetables - Farms Reporting,Total Area of Vegetables - Acres,Total Area of Vegetables - Hectares,Asparagus - Area Cultivated - Farms Reporting,Asparagus - Area Cultivated - Acres,Asparagus - Area Cultivated - Hectares,Sweet Corn - Farms Reporting,Sweet Corn - Acres,Sweet Corn - Hectares,Tomatoes - Farms Reporting,Tomatoes - Acres,Tomatoes - Hectares,Cucumbers - Farms Reporting,Cucumbers - Acres,Cucumbers - Hectares,Cabbage - Farms Reporting,Cabbage - Acres,Cabbage - Hectares,Beans(Yellow or Green) - Farms Reporting,Beans(Yellow or Green) - Acres,Beans(Yellow or Green) - Hectares,Carrots - Farms Reporting,Carrots - Acres,Carrots - Hectares,Green Peas - Farms Reporting,Green Peas - Acres,Green Peas - Hectares,Beets - Farms Reporting,Beets - Acres,Beets - Hectares,Cauliflower - Farms Reporting,Cauliflower - Acres,Cauliflower - Hectares,Onions(Dry) - Farms Reporting,Onions(Dry) - Acres,Onions(Dry) - Hectares,Rutabagas (Turnips) - Farms Reporting,Rutabagas (Turnips) - Acres,Rutabagas (Turnips) - Hectares,Lettuce - Farms Reporting,Lettuce - Acres,Lettuce - Hectares,Broccoli - Farms Reporting,Broccoli - Acres,Broccoli - Hectares,Total Other Vegetables - Farms Reporting,Total Other Vegetables - Acres,Total Other Vegetables - Hectares,Brussels Sprouts - farms reporting,Brussels Sprouts - acres,Brussels Sprouts - hectares,Cantaloupes - farms reporting,Cantaloupes - acres,Cantaloupes - hectares,Celery - farms reporting,Celery - acres,Celery - hectares,Green Onions (shallots) - farms reporting,Green Onions (shallots) - acres,Green Onions (shallots) - hectares,Melons - farms reporting,Melons - acres,Melons - hectares,Parsnips - farms reporting,Parsnips - acres,Parsnips - hectares,Pepper - farms reporting,Pepper - acres,Pepper - hectares,Pumpkins - farms reporting,Pumpkins - acres,Pumpkins - hectares,Radishes - farms reporting,Radishes - acres,Radishes - hectares,Rhubarb - farms reporting,Rhubarb - acres,Rhubarb - hectares,Spinach - farms reporting,Spinach - acres,Spinach - hectares,Squash - farms reporting,Squash - acres,Squash - hectares,Vegetable marrow - farms reporting,Vegetable marrow - acres,Vegetable marrow - hectares,Other vegetable - farms reporting,Other vegetable - acres,Other vegetable - hectares,Nursery Products - Farms Reporting,Nursery Products - Acres,Nursery Products - Hectares,Total Area Of Greenhouses - Farms Reporting,Total Area Of Greenhouses - Square Feet,Total Area Of Greenhouses - Square Metres,Mushroom Houses - Farms Reporting,Mushroom Houses - Square Feet,Mushroom Houses - Square Metres
000000000,0,0,0,0,0,CANADA,"318,361","9,348","114,967","46,526","5,983,311","2,828,145","8,114","84,294","34,112","639,207","122,915","4,057","7,649","3,096","241,800","97,498","3,653","3,577","1,448","258,182","57,007","3,599","3,923","1,588","266,380","108,598","1,834","3,254","1,317","1,030,608","515,029","2,871","11,304","4,574","55,481","21,546","1,615",966,391,"7,471","77,734","31,458","3,993","16,301","6,597","1,590","25,663","10,386","3,366","35,770","14,476","13,208","289,646","117,216",854,"4,948","2,003","5,654","79,450","32,152","4,754","35,989","14,564","3,808","9,057","3,665","3,072","12,688","5,135","2,755","22,155","8,966","2,742","17,306","7,004","2,371","44,933","18,184","2,176","3,081","1,247","1,961","7,690","3,112","1,903","9,699","3,925","1,617","9,179","3,715","1,533","5,410","2,189","1,205","4,315","1,746","4,419","23,746","9,610",421,"2,503","1,013",266,351,142,283,"1,531",619,461,992,401,182,242,98,319,"1,016",411,"1,627","4,644","1,879",958,"1,931",781,438,"1,818",736,332,441,179,269,"1,176",476,"1,161","2,174",880,144,209,84,"1,018","4,719","1,910","2,428","28,094","11,369","6,130","71,562,208","6,648,347",204,"7,997,068","742,952"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,2,1,0,0,125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,244,99,36,107,43,0,0,0,4,137,55,286,"1,339",542,0,0,0,2,1,0,8,3,1,9,2,1,222,384,156,6,1,0,168,136,55,17,4,2,161,90,37,35,10,4,9,2,1,240,615,249,29,11,5,34,8,3,49,71,29,12,3,1,0,0,0,6,1,0,0,0,0,1,0,0,15,6,3,0,0,0,2,1,0,1,1,0,9,2,1,2,1,0,2,0,0,1,0,0,21,57,23,14,14,6,66,"250,211","23,245",0,0,0
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139,56,8,53,22,0,0,0,2,86,35,110,423,171,0,0,0,0,0,0,2,1,0,2,0,0,92,123,50,2,1,0,65,52,21,3,1,0,54,22,9,19,6,2,1,0,0,90,155,63,12,5,2,12,2,1,23,55,22,6,2,1,0,0,0,4,1,0,0,0,0,1,0,0,9,5,2,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,7,45,18,10,12,5,36,"166,680","15,485",0,0,0
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139,56,8,53,22,0,0,0,2,86,35,110,423,171,0,0,0,0,0,0,2,1,0,2,0,0,92,123,50,2,1,0,65,52,21,3,1,0,54,22,9,19,6,2,1,0,0,90,155,63,12,5,2,12,2,1,23,55,22,6,2,1,0,0,0,4,1,0,0,0,0,1,0,0,9,5,2,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,7,45,18,10,12,5,36,"166,680","15,485",0,0,0
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,21,9,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,0,0,0,5,3,1,1,0,0,5,1,1,3,1,0,0,0,0,5,9,4,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,35,14,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,6,23,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,0,0,2,1,0,0,0,0,3,0,0,1,0,0,1,0,0,3,6,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0
