AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NTOTIMP,TOTIMP,ETOTIMP,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NOTHIMP,OTHIMP,EOTHIMP,TOTUNIM,ETOTUNIM,NWDLAND,WDLAND,EWDLAND,NOUNIMP,OUNIMP,EOUNIMP,ILANDIST,ILANDIST_1,ILANDIST_2,ILANDIST_3,ILANDIST_4,ILANDIST_5,ILANDIST_6,ILANDIST_7,ILANDIST_8,ILANDIST_9,ILANDIST_10,ILANDIST_11,ILANDIST_12,ILANDIST_13,NFORAGE,FORAGE,EFORAGE,NALFASD,ALFASD,EALFASD,NALSIKE,ALSIKE,EALSIKE,NCLOVRD,CLOVRD,ECLOVRD,NCLOVSW,CLOVSW,ECLOVSW,NTIMOTHY,TIMOTHY,ETIMOTHY,NBROMSD,BROMSD,EBROMSD,NFESCUE,FESCUE,EFESCUE,NOFORGSD,OFORGSD,EOFORGSD,NTOTFER,TOTFER,ETOTFER,TOTTON,NFERCPA,FERCPA,EFERCPA,FERCPT,NFERTHA,FERTHA,EFERTHA,FERTHT,NFERIPA,FERIPA,EFERIPA,FERIPT,NSPRAY,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NIRGSSY,IRGSSY,EIRGSSY
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total area of farms - Farms reporting,Total area of farms - Acres,Total area of farms - Hectares,Total improved area  - Farms Reporting,Total improved area  - Acres,Total improved area  - Hectares,Land in crops - Farms reporting,Land in crops - Acres,Land in crops - Hectares,Summerfallow - Farms reporting,Summerfallow - Acres,Summerfallow - Hectares,Improved land for pasture or grazing - Farms reporting,Improved land for pasture or grazing - Acres,Improved land for pasture or grazing - Hectares,Other improved area  - Farms Reporting,Other improved area  - Acres,Other improved area  - Hectares,Total unimproved area  - Acres,Total unimproved area  - Hectares,Woodland - Farms reporting,Woodland - Acres,Woodland - Hectares,Other unimproved area  - Farms Reporting,Other unimproved area  - Acres,Other unimproved area  - Hectares,Total number of farms reporting improved land,Area in improved land (0 acres) - Farms reporting,Area in improved land (1-2 acres) - Farms reporting,Area in improved land (3-9 acres) - Farms reporting,Area in improved land (10-69 acres) - Farms reporting,Area in improved land (70-129 acres) - Farms reporting,Area in improved land (130-179 acres) - Farms reporting,Area in improved land (180-239 acres) - Farms reporting,Area in improved land (240-399 acres) - Farms reporting,Area in improved land (400-559 acres) - Farms reporting,Area in improved land (560-759 acres) - Farms reporting,"Area in improved land (760-1,119 acres) - Farms reporting","Area in improved land (1,120-1,599 acres) - Farms reporting","Area in improved land (1,600 acres and over) - Farms reporting",Forage seed for seed - Farms reporting,Forage seed for seed  - Acres ,Forage seed for seed - Hectares,Alfalfa for seed - Farms reporting,Alfalfa for seed - Acres,Alfalfa for seed - Hectares,Alsike for seed - Farms reporting,Alsike for seed - Acres,Alsike for seed - Hectares,Red clover for seed - Farms reporting,Red clover for seed - Acres,Red clover for seed - Hectares,Sweet clover for seed - Farms reporting,Sweet clover for seed - Acres,Sweet clover for seed - Hectares,Timothy for seed - Farms reporting,Timothy for seed - Acres,Timothy for seed - Hectares,Bromegrass for seed - Farms reporting,Bromegrass for seed - Acres,Bromegrass for seed - Hectares,Creeping red fescue for seed - Farms reporting,Creeping red fescue for seed - Acres,Creeping red fescue for seed - Hectares,Other forage seed for seed - Farms reporting,Other forage seed for seed - Acres,Other forage seed for seed - Hectares,Total Area Fertilized - Farms Reporting,Total Area Fertilized - Acres,Total Area Fertilized - Hectares,Total Area Fertilized - Tonnes used,Total Cropland Fertilized - Farms Reporting,Total Cropland Fertilized - Acres,Total Cropland Fertilized - Hectares,Total Cropland Fertilized - Tonnes used,Total Tame Hay  Fertilized - Farms Reporting,Total Tame Hay  Fertilized - Acres,Total Tame Hay  Fertilized - Hectares,Total Tame Hay  Fertilized - Tonnes Used,Total Improved Pasture Fertilized - Farms Reporting,Total Improved Pasture Fertilized - Acres,Total Improved Pasture Fertilized - Hectares,Total Improved Pasture Fertilized - Tonnes Used,Total Area Sprayed and Dusted - Farms Reporting,Spraying and Dusting for Weed and Brush - Farms Rep.,Spraying and Dusting for Weed and Brush - Acres,Spraying and Dusting for Weed and Brush - Hectares,Spraying and Dusting for Insects and Disease-Farms Rep.,Spraying and Dusting for Insects and Disease - Acres,Spraying and Dusting for Insects and Disease - Hectares,Total Area Irrigated - Farms Reporting,Total Area Irrigated - Acres,Total Area Irrigated - Hectares,Area irrigated by sprinkler system - Farms Reporting,Area irrigated by sprinkler system - Acres,Area irrigated by sprinkler system - Hectares
000000000,0,0,0,0,0,CANADA,"318,361","162,815,073","65,888,916","313,163","113,968,945","46,121,591","291,879","76,518,197","30,965,812","115,330","23,973,934","9,701,906","130,471","10,884,318","4,404,727","189,698","2,592,496","1,049,146","48,847,097","19,767,717","110,854","8,774,452","3,550,894","172,732","40,072,645","16,216,822","313,163","5,198","6,897","15,210","57,547","48,999","32,891","21,302","40,211","24,736","21,757","21,998","12,262","9,353","4,151","365,380","147,864","1,123","56,446","22,843",424,"33,545","13,575",983,"71,055","28,755",226,"11,075","4,482",854,"80,902","32,740",250,"17,610","7,127",531,"64,137","25,955",460,"30,610","12,387","188,726","45,727,345","18,505,198","3,500,687","172,804","41,028,448","16,603,622","3,063,908","47,655","3,276,187","1,325,826","306,290","30,785","1,422,710","575,750","130,489","167,712","156,267","37,610,448","15,220,407","43,460","4,082,533","1,652,142",..,..,..,"13,406","1,099,220","444,839"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,"82,667","33,454",662,"25,827","10,452",534,"11,722","4,744",67,884,358,242,"10,249","4,148",319,"2,972","1,203","56,845","23,004",204,"14,221","5,755",302,"42,624","17,249",662,17,125,177,259,57,17,12,11,3,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,334,"10,906","4,414","2,983",281,"3,370","1,364","1,679",112,"3,491","1,413",728,67,"4,045","1,637",576,217,140,"1,234",499,185,"1,659",671,..,..,..,5,22,9
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,"49,928","20,205",325,"11,884","4,809",261,"4,282","1,733",16,157,64,113,"6,274","2,539",149,"1,171",474,"38,045","15,396",56,"7,720","3,124",143,"30,325","12,272",325,9,64,115,108,19,8,4,5,1,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133,"5,040","2,040","1,112",107,981,397,419,51,"1,679",679,345,28,"2,380",963,348,76,45,255,103,65,676,274,..,..,..,3,17,7
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,"49,928","20,205",325,"11,884","4,809",261,"4,282","1,733",16,157,64,113,"6,274","2,539",149,"1,171",474,"38,045","15,396",56,"7,720","3,124",143,"30,325","12,272",325,9,64,115,108,19,8,4,5,1,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,133,"5,040","2,040","1,112",107,981,397,419,51,"1,679",679,345,28,"2,380",963,348,76,45,255,103,65,676,274,..,..,..,3,17,7
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,"17,097","6,919",30,794,321,19,249,101,3,27,11,12,390,158,10,128,52,"16,302","6,597",2,62,25,18,"16,240","6,572",30,3,10,11,4,3,2,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,617,250,100,2,124,50,24,2,94,38,38,4,399,161,38,2,2,26,11,2,4,2,..,..,..,0,0,0
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,"7,361","2,979",37,804,325,36,242,98,1,1,0,11,534,216,18,27,11,"6,557","2,654",1,2,1,11,"6,555","2,653",37,0,3,23,10,0,0,0,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,"2,213",896,21,669,271,15,164,66,1,8,3,8,209,85,16,288,117,"1,543",624,7,287,116,11,"1,256",508,21,0,2,8,9,0,2,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,211,85,49,7,30,12,17,3,33,13,8,3,148,60,24,6,3,14,6,6,24,10,..,..,..,0,0,0
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,447,181,16,334,135,8,82,33,2,5,2,8,215,87,9,32,13,113,46,3,39,16,7,74,30,16,0,3,4,8,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,58,23,26,5,46,19,21,1,2,1,2,1,10,4,3,2,1,7,3,2,22,9,..,..,..,0,0,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,220,89,13,171,69,10,88,36,0,0,0,4,49,20,4,34,14,49,20,0,0,0,4,49,20,13,0,5,4,3,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,16,6,9,3,12,5,7,2,4,2,2,0,0,0,0,2,2,3,1,1,8,3,..,..,..,0,0,0
