AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NTURKEY,TURKEY,NGEESE,GEESE,NDUCKS,DUCKS,NOTHPLT,OTHPLT,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCATTFE,CATTFE,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NCHINCH,CHINCH,NMINK,MINK,NFOX,FOX,NOTHLIV
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total number of farms,Total Hens and Chickens - Farms Reporting,Total Hens and Chickens - Number,Pullet and Pullet Chicks under 20 Weeks - Farms Reporting,Pullet and Pullet Chicks under 20 Weeks - Number,Hens and Pullets 20 Weeks and Over - Farms Reporting,Hens and Pullets 20 Weeks and Over - Number,All Other Chickens - Farms Reporting,All Other Chickens - Number,Turkeys - Farms Reporting,Turkeys - Number,Geese - Farms Reporting,Geese - Number,Ducks - Farms Reporting,Ducks - Number,Other Poultry - Farms Reporting,Other Poultry - Number,Total Cattle and Calves -Farms Reporting,Total Cattle and Calves -Number,Bulls - Farms Reporting,Bulls - Numbers,Total Cows - Farms Reporting,Total Cows - Numbers,Dairy Cows - Farms Reporting,Dairy Cows - Number,Beef Cows - Farms Reporting,Beef Cows - Number,Total Heifers - Farms Reporting,Total Heifers - Numbers,Dairy Heifers - Farms Reporting,Dairy Heifers - Number,Beef Heifers - Farms Reporting,Beef Heifers - Number,Heifers For Slaughter - Farms Reporting,Heifers For Slaughter - Number,Steers - Farms Reporting,Steers - Number,Calves - Farms Reporting,Calves - Number,Cattle on Feed - Farms Reporting,Cattle on Feed - Number,Total Pigs -Farms Reporting,Total Pigs - Number,Boars - Farms Reporting,Boars - Numbers,Sows - Farms Reporting,Sows - Numbers,Total all other pigs - Farms reporting,Total all other pigs - Number,All other pigs less than 45 lbs (20 kg) - Farms reporting,All other pigs less than 45 lbs (20 kg) - Number,All other pigs from 45 to 130 lbs (20-60 kg) - Farms reporting,All other pigs from 45 to 130 lbs (20-60 kg) - Number,All other pigs over 130 lbs (60 kg) - Farms reporting,All other pigs over 130 lbs (60 kg) - Number,Total Sheep and Lambs - Farms Reporting,Total Sheep and Lambs - Number,"Ewes, Rams and Wethers - Farms Reporting","Ewes, Rams and Wethers - Number",Lambs Under 1 Year - Farms Reporting,Lambs Under 1 Year - Number,Horses and Ponies - Farms Reporting,Horses and Ponies - Number,Goats - Farms Reporting,Goats - Number,Rabbits - Farms Reporting,Rabbits - Number,Chinchillas - farms reporting,Chinchillas - number,Mink - farms reporting,Mink - number,Fox - farms reporting,Fox - number,Other livestock - farms reporting
000000000,0,0,0,0,0,CANADA,"318,361","86,697","92,717,929","26,011","12,408,176","65,026","24,210,638","55,017","56,099,115","14,554","8,704,573","14,656","486,104","16,281","724,240","5,238","1,331,446","185,073","13,501,904","112,563","267,544","164,433","5,289,636","67,899","1,772,350","114,141","3,517,286","140,285","2,278,407","53,640","747,479","77,965","698,031","38,473","832,897","77,728","1,768,015","160,058","3,898,302","72,095","2,152,947","55,765","9,875,065","26,531","65,316","33,134","1,071,490","52,430","8,738,259","33,506","3,253,826","29,767","3,012,159","24,900","2,472,274","12,905","816,712","12,030","443,897","11,488","372,815","69,178","358,122","10,127","89,839","9,383","369,344",218,"21,481",561,"1,765,184",341,"29,980","8,435"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,164,"932,482",31,"84,071",149,"381,679",56,"466,732",14,"1,833",36,496,59,"1,109",5,x,326,"6,963",142,242,290,"3,639",129,"2,660",184,979,209,"1,229",97,839,90,265,46,125,63,224,278,"1,629",110,547,66,"19,076",31,167,30,"2,386",63,"16,523",43,"6,012",37,"6,497",27,"4,014",158,"7,435",158,"3,702",152,"3,733",158,340,31,296,15,159,0,0,4,"6,995",0,0,2
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,75,"450,090",18,x,70,x,29,x,7,"1,670",15,317,24,814,2,x,175,"3,843",74,132,153,"2,208",80,"1,852",81,356,112,690,64,533,33,95,22,62,26,74,143,739,52,268,28,"14,872",15,112,15,"1,805",28,"12,955",20,"4,306",20,"5,415",17,"3,234",71,"3,621",71,"1,716",69,"1,905",105,248,10,79,7,x,0,0,4,"6,995",0,0,1
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,75,"450,090",18,x,70,x,29,x,7,"1,670",15,317,24,814,2,x,175,"3,843",74,132,153,"2,208",80,"1,852",81,356,112,690,64,533,33,95,22,62,26,74,143,739,52,268,28,"14,872",15,112,15,"1,805",28,"12,955",20,"4,306",20,"5,415",17,"3,234",71,"3,621",71,"1,716",69,"1,905",105,248,10,79,7,x,0,0,4,"6,995",0,0,1
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,6,x,1,x,6,x,3,x,0,0,0,0,0,0,0,0,19,182,5,7,17,70,6,17,12,53,11,39,4,x,7,27,1,x,6,12,16,54,6,44,2,x,2,x,2,x,2,x,2,x,2,x,2,x,15,508,15,238,13,270,4,4,0,0,0,0,0,0,0,0,0,0,1
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,15,252,6,x,15,x,9,x,0,0,0,0,0,0,0,0,13,72,5,x,11,29,5,10,8,19,6,10,2,x,3,5,1,x,1,x,11,22,4,8,4,5,0,0,0,0,4,5,3,x,1,x,0,0,32,"1,504",32,699,32,805,27,52,1,x,3,5,0,0,0,0,0,0,0
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,5,x,0,0,4,109,3,x,2,x,1,x,1,x,0,0,5,22,0,0,4,9,3,x,2,x,5,x,1,x,1,x,3,x,0,0,3,x,2,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,3,x,3,x,3,x,4,4,1,x,0,0,0,0,1,x,0,0,0
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,4,x,0,0,4,x,2,x,0,0,0,0,1,x,0,0,5,49,3,5,3,15,0,0,3,15,3,10,1,x,2,x,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,162,3,79,3,83,3,x,0,0,0,0,0,0,3,x,0,0,0
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,2,x,0,0,2,x,0,0,0,0,2,x,3,x,0,0,9,102,6,x,9,41,4,9,5,32,5,14,1,x,2,x,2,x,2,x,8,32,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,3,x,3,x,3,6,2,x,0,0,0,0,0,0,0,0,0
