AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,VALMCH,NTOTTRC,TOTTRC,NTTRC20,TTRC20,VTRC20,NTTRC50,TTRC50,VTRC50,NTTRC100,TTRC100,VTRC100,NTTRC150,TTRC150,VTRC150,NTOTTRK,TOTTRK,TVALTRK,NTOTCOMB,TOTCOMB,NSPCOMB,SPCOMB,VSPCOMB,NPTCOMB,PTCOMB,VPTCOMB,NSWTHER,SWTHER,NSPSWTH,SPSWTH,VSPSWTH,NPTSWTH,PTSWTH,VPTSWTH,NTOTBAL,TOTBAL,NBALSML,BALSML,VBALSML,NBALLRG,BALLRG,VBALLRG,NHARVST,HARVST,VHARVST,NAUTMBL,AUTMBL,VALATO,NVALOEQ,VALOEQ
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total Number of farms,Total Market Value of Machinery and Equipment ($),Total Tractors - Farms Rep.,Total Tractors - Number,Tractors 20-49 p.t.o. hp - Farms Reporting,Tractors 20-49 p.t.o. hp - Number,Tractors 20-49 p.t.o. hp - Market Value ($),Tractors 50-99 p.t.o. hp - Farms Reporting,Tractors 50-99 p.t.o. hp - Number,Tractors 50-99 p.t.o. hp - Market Value ($),Tractors 100x49 p.t.o. hp - Farms Reporting,Tractors 100x49 p.t.o. hp - Number,Tractors 100x49 p.t.o. hp - Market Value ($),Tractors 150 p.t.o. hp and over - Farms Reporting,Tractors 150 p.t.o. hp and over - Number,Tractors 150 p.t.o. hp and over - Market Value ($),Total Farm Trucks - Farms Reporting,Total Farm Trucks - Number,Total Farm Trucks - Market Value ($),Total Grain Combines - Farms Reporting,Total Grain Combines - Number,Self-Propelled Combines - Farms Reporting,Self-Propelled Combines - Number,Self-Propelled Combines - Market Value($),Pull-Type Grain Combines - Farms Reporting,Pull-Type Grain Combines - Number,Pull-Type Grain Combines - Market Value($),Total Swathers - Farms Reporting,Total Swathers - Number,Self-Propelled Swathers - Farms Reporting,Self-Propelled Swathers - Numbers,Self-Propelled Swathers - Market Value($),Pull-Type Swathers - Farms Reporting,Pull-Type Swathers - Number,Pull-Type Swathers - Market Value($),Total Balers - Farms Reporting,Total Balers - Number,Balers Less Than 200 lbs. - Farms Reporting,Balers Less Than 200 lbs. - Number,Balers Less Than 200 lbs. - Market Value($),Balers 200 lbs. or More - Farms Reporting,Balers 200 lbs. or More - Number,Balers 200 lbs. or More - Market Value($),Forage Crop Harvesters - Farms Reporting,Forage Crop Harvesters - Number,Forage Crop Harvesters - Market Value($),Cars and Station Wagons - Farms Reporting,Cars and Station Wagons - Number,Cars and Station Wagons - Market Value($),Other Machinery - Farms Reporting,Other Machinery - Market Value($)
000000000,0,0,0,0,0,CANADA,"318,361","17,444,152,704","283,659","657,606","178,172","263,038","728,767,458","182,235","268,117","1,980,215,537","77,523","90,725","1,839,058,768","30,225","35,726","1,399,189,447","247,633","474,408","2,120,855,716","139,852","161,110","101,413","114,530","1,765,330,853","44,200","46,580","493,536,366","133,202","164,608","87,194","94,292","429,116,548","62,113","70,316","137,844,028","150,817","165,341","139,204","144,661","292,858,274","20,277","20,680","132,857,368","32,690","35,756","164,429,928","244,136","334,731","1,302,720,980","254,889","4,657,371,433"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,"12,490,218",418,648,315,430,"2,279,149",142,184,"1,877,700",19,20,"173,800",10,14,"132,050",383,522,"2,118,640",1,1,1,1,x,0,0,0,29,31,14,14,x,16,17,"28,550",121,123,121,123,"368,550",0,0,0,21,24,"86,700",361,504,"2,159,355",392,"3,241,824"
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,"5,449,013",169,248,126,168,"859,250",47,63,"599,500",7,7,"38,000",6,10,"101,000",172,235,"1,016,950",0,0,0,0,0,0,0,0,15,16,7,7,"11,000",8,9,"16,200",52,53,52,53,"151,650",0,0,0,11,14,"44,700",177,254,"1,131,300",182,"1,479,463"
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,"5,449,013",169,248,126,168,"859,250",47,63,"599,500",7,7,"38,000",6,10,"101,000",172,235,"1,016,950",0,0,0,0,0,0,0,0,15,16,7,7,"11,000",8,9,"16,200",52,53,52,53,"151,650",0,0,0,11,14,"44,700",177,254,"1,131,300",182,"1,479,463"
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,"253,050",12,17,7,8,"31,700",3,3,x,1,1,x,1,5,x,16,19,"70,850",0,0,0,0,0,0,0,0,3,3,1,1,x,2,2,x,3,3,3,3,"8,000",0,0,0,1,1,x,10,12,"38,500",12,"33,100"
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,"160,550",3,4,2,3,x,0,0,0,1,1,x,0,0,0,1,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,"121,600",32,x
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,"319,250",14,20,11,14,"71,500",3,5,"22,000",1,1,x,0,0,0,14,16,"56,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,x,0,0,0,0,0,0,14,16,"63,400",13,"94,350"
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,"174,900",9,10,8,9,"50,000",1,1,x,0,0,0,0,0,0,7,10,"36,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,8,11,"49,300",5,x
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,"96,700",5,6,5,6,"31,700",0,0,0,0,0,0,0,0,0,5,5,x,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,0,0,0,0,0,1,1,x,5,10,"38,600",7,x
