AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NELECTY,ELECTY,NFUEL,FUEL,NREPMCH,REPMCH,NCUSTOM,CUSTOM,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NFEEDPD,FEEDPD,NREPBLDG,REPBLDG,NVFTPRD,VFTPRD,NMAPLET,MAPLET,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALES95
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total Number Of Farms,Total Paid Labour- Farms Reporting,Total Weeks of Total Paid Labour,Year Round Labour - Farms Reporting,Weeks of Year Round Paid Labour,Seasonal Paid Labour - Farms Reporting,Weeks of Seasonal Paid Labour,Total Rent - Farms Reporting,Total Rent - Amount($),Cash Rent - Farms Reporting,Cash Rent - Amount($),Share Rent - Farms Reporting,Share Rent - Amount($),Total Cash Wages - Farms Reporting,Total Cash Wages - Amount($),Electricity - Farms Reporting,Electricity - Amount($),"Fuel, Oil and Lubricants - Farms Reporting","Fuel, Oil and Lubricants - Amount($)",Machine Repairs and Maintenance - Farms Reporting,Machine Repairs and Maintenance - Amount($),Custom Work and Machine Rental- Farms Reporting,Custom Work and Machine Rental - Amount($),Fertilizer Purchases - Farms Reporting,Fertilizer Purchases - Amount($),Chemical Purchases - Farms Reporting,Chemical Purchases - Amount($),Seed Purchases - Farms Reporting,Seed Purchases - Amount($),Feed and Supplement - Farms Reporting,Feed and Supplement - Amount($),Repairs and Maintenance to Farm Buildings and Fences - Farms Reporting,Repairs and Maintenance to Farm Buildings and Fences - Amount($),Forest Products Sold - Farms Reporting,Value Of Forest Products Sold ($),Maple Tappings - Farms Reporting,Maple Tappings - Number Of Taps,"Farms Reporting Sales Under $2,500","Farms Reporting Sales $  2,500 -   4,999","Farms Reporting Sales $  5,000 -   9,999","Farms Reporting Sales $ 10,000 -  24,999","Farms Reporting Sales $ 25,000 -  49,999","Farms Reporting Sales $ 50,000 -  99,999","Farms Reporting Sales $100,000 - 249,999","Farms Reporting Sales $250,000  and Over",Total Value Of Agricultural Products Sold-Amount($)
000000000,0,0,0,0,0,CANADA,"318,361","115,199","4,536,170","35,001","2,419,194","89,674","2,116,976",..,..,"98,902","343,690,848",..,..,"115,199","889,471,107","261,178","235,411,937","287,610","893,630,554","275,519","817,238,222","131,216","259,284,321","196,871","966,218,071","176,013","358,684,269","193,217","347,802,250","188,168","2,245,703,538","229,087","309,219,321","19,858","64,987,748","12,071","16,945,452","46,757","27,728","34,005","59,681","59,172","54,472","29,089","7,457","15,832,069,498"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,259,"15,943",104,"10,400",188,"5,543",..,..,150,"188,210",..,..,259,"3,214,581",339,"554,198",473,"1,198,268",393,"651,055",103,"191,973",404,"867,712",277,"127,496",352,"222,473",404,"11,834,331",349,"401,474",40,"92,382",0,0,295,104,64,68,35,35,47,31,"28,350,533"
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,115,"9,524",52,"6,858",79,"2,666",..,..,71,"130,555",..,..,115,"2,089,339",162,"366,421",208,"592,044",173,"309,154",48,"90,103",167,"237,796",113,"44,942",153,"102,331",213,"7,468,416",178,"251,762",2,x,0,0,168,40,20,23,23,20,22,18,"16,231,804"
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,115,"9,524",52,"6,858",79,"2,666",..,..,71,"130,555",..,..,115,"2,089,339",162,"366,421",208,"592,044",173,"309,154",48,"90,103",167,"237,796",113,"44,942",153,"102,331",213,"7,468,416",178,"251,762",2,x,0,0,168,40,20,23,23,20,22,18,"16,231,804"
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,10,364,5,274,6,90,..,..,3,x,..,..,10,"53,539",9,"29,547",14,"44,750",12,"12,637",4,"7,405",12,"23,347",5,"1,550",4,x,16,"275,260",12,"40,133",1,x,0,0,24,3,1,0,1,2,1,1,"593,408"
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,2,6,1,2,1,4,..,..,0,0,..,..,2,x,2,x,8,"1,250",4,x,1,x,0,0,0,0,1,x,26,"5,604",20,"6,660",0,0,0,0,34,2,1,0,0,0,0,0,"46,185"
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,10,439,4,271,6,168,..,..,7,498,..,..,10,"77,022",12,"35,766",17,"73,900",15,"20,758",2,x,10,"14,573",9,"2,558",11,"28,596",13,"1,170,253",16,"15,882",0,0,0,0,9,3,2,2,1,0,0,4,"1,665,300"
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,5,433,2,352,3,81,..,..,7,391,..,..,5,"69,799",6,"9,729",9,"10,527",6,"9,828",2,x,7,"4,470",6,"2,110",7,"1,670",10,"189,447",4,"2,235",0,0,0,0,10,2,0,1,0,1,2,0,"447,026"
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,1,5,0,0,1,5,..,..,2,x,..,..,1,x,6,x,6,"1,831",6,"1,514",2,x,7,"2,510",6,528,7,"1,398",7,"8,365",9,"2,211",0,0,0,0,5,6,1,1,0,0,0,0,"42,438"
