AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTFCAP,TOTFCAP,VALULB,VALMCH,VALULVSK,FCAPDIST_1,FCAPDIST_2,FCAPDIST_3,FCAPDIST_4,FCAPDIST_5,FCAPDIST_6,FCAPDIST_7,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12,FRMTYP1_13,FRMTYP1_14,FRMTYP1_15,NTOTWRK,TOTWRK,NWRKAGR,WRKAGR,NWRKNAG,WRKNAG,TOTWRK_1,TOTWRK_2,TOTWRK_3,TOTWRK_4,TOTWRK_5,TOTWRK_6,TOTWRK_7,TOTWRK_8,TOTWRK_9,TOTWRK_10
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total Farm Capital - Farms Reporting,Total Farm Capital ($),Land and Buildings - Market Value($),Machinery and Equipment - Market Value($),Livestock and Poultry - Market Value($),"Farms Reporting Capital Value Under $10,000","Farms Reporting Capital Value $10,000    -    24,999","Farms Reporting Capital Value $25,000    -    49,999","Farms Reporting Capital Value $50,000    -    99,999","Farms Reporting Capital Value $100,000   -   199,999","Farms Reporting Capital Value $200,000   -   499,999","Farms Reporting Capital Value $500,000 and Over","Number Of Farms With Sales $2,500 or more",Number Of Farms - Dairy Type,Number Of Farms - Cattle Type,Number Of Farms - Pig Type,Number Of Farms - Poultry Type,Number Of Farms - Wheat Type,Number Of Farms - Small Grains (Excluding Wheat) Type,Number Of Farms - Field Crops (Other Than Small Grains) Type,Number Of Farms - Fruit and Vegetable Type,Number Of Farms - Miscellaneous Type,Number Of Farms - Total Mixed Combinations Type,Number Of Farms - Livestock Combination Type,Number Of Farms - Field Crops Combination Type,Number Of Farms - Other Combinations Types,"Number Of Farms - Cattle, Hog and Sheep Types",Number Of Farms - Cattle and Hog Types,Total Farms Reporting Off-Farm Work,Total Days Off-Farm Work,Farms Reporting Days of Agricultural Off-Farm Work,Days of Agricultural Off-Farm Work,Farms Reporting Days of Non-Agricultural Off-Farm Work,Days of Non-Agricultural Off-Farm Work,Farm Operators Reporting 1-6 Days Off-farm Work,Farm Operators Reporting 7-12 Days Off-farm Work,Farm Operators Reporting 13-24 Days Off-farm Work,Farm Operators Reporting 25-48 Days Off-farm Work,Farm Operators Reporting 49-72 Days Off-farm Work,Farm Operators Reporting 73-96 Days Off-farm Work,Farm Operators Reporting 97-126 Days Off-farm Work,Farm Operators Reporting 127-156 Days Off-farm Work,Farm Operators Reporting 157-228 Days Off-farm Work,Farm Operators Reporting 229-365 Days Off-farm Work
000000000,0,0,0,0,0,CANADA,"318,361","130,304,355,529","103,275,060,871","17,444,152,704","9,585,141,954","1,137","4,138","12,882","42,345","75,118","108,428","74,313","271,604","41,905","60,139","12,301","5,438","55,780","52,086","7,722","10,269","11,640","14,324","9,054",586,"4,684",456,"3,914","123,136","21,047,793","25,620","2,685,069","104,384","18,362,724","4,112","3,592","5,405","8,415","7,801","6,352","10,123","7,070","26,063","44,203"
100000000,10,0,0,0,1000000,NEWFOUNDLAND - TERRE-NEUVE,679,"115,629,946","93,626,736","12,490,218","9,512,992",61,84,102,145,139,102,46,384,58,34,26,53,0,0,20,87,51,55,10,1,44,2,0,283,"50,386",52,"9,435",243,"40,951",4,4,5,9,31,23,29,18,62,98
100100000,10,1,0,0,1000000,AGRICULTURAL REGION AGRICOLE 1,334,"75,789,868","64,745,513","5,449,013","5,595,342",27,47,49,56,61,58,36,166,39,13,17,22,0,0,4,24,25,22,2,0,20,0,0,120,"22,949",22,"4,292",102,"18,657",0,1,2,3,15,9,12,6,22,50
100101000,10,1,1,0,1001000,DIVISION NO.  1,334,"75,789,868","64,745,513","5,449,013","5,595,342",27,47,49,56,61,58,36,166,39,13,17,22,0,0,4,24,25,22,2,0,20,0,0,120,"22,949",22,"4,292",102,"18,657",0,1,2,3,15,9,12,6,22,50
100101155,10,1,1,155,1001155,"DIVISION NO.  1, SUBD. W",33,"3,442,159","2,912,750","253,050","276,359",4,6,7,8,5,2,1,9,0,1,2,2,0,0,1,1,0,2,0,0,2,0,0,6,749,3,369,3,380,0,0,0,0,2,2,0,0,1,1
100101214,10,1,1,214,1001214,"DIVISION NO.  1, SUBD. C",37,"1,804,366","1,394,800","160,550","249,016",9,15,9,1,1,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,"3,621",0,0,26,"3,621",0,0,0,0,9,2,5,2,4,4
100101234,10,1,1,234,1001234,"DIVISION NO.  1, SUBD. B",21,"3,872,343","3,415,000","319,250","138,093",1,3,2,5,5,3,2,12,0,0,0,3,0,0,0,3,4,2,0,0,2,0,0,11,"2,233",2,233,10,"2,000",0,0,1,0,0,2,0,0,3,5
100101304,10,1,1,304,1001304,"DIVISION NO.  1, SUBD. E",16,"1,675,644","1,403,000","174,900","97,744",2,1,2,5,3,3,0,6,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,7,"1,611",4,"1,138",3,473,0,0,0,0,0,0,1,1,2,3
100101339,10,1,1,339,1001339,"DIVISION NO.  1, SUBD. G",13,"558,416","379,000","96,700","82,716",4,4,3,1,0,1,0,8,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0,8,"1,855",2,160,7,"1,695",0,0,0,0,0,0,2,0,2,4
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,"3,425,135","2,679,000","283,965","462,170",1,6,6,2,2,7,1,16,1,1,1,6,0,0,2,1,4,0,0,0,0,0,0,7,"1,309",1,175,6,"1,134",0,0,0,0,1,1,0,0,2,3
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,"1,599,883","1,180,250","286,300","133,333",2,2,0,5,5,2,0,11,0,1,1,1,0,0,0,6,2,0,0,0,0,0,0,7,"1,150",2,205,7,945,0,1,0,0,1,0,0,1,2,2
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,"5,393,228","4,624,668","219,850","548,710",0,1,2,6,2,3,3,11,0,2,1,2,0,0,0,0,2,4,1,0,3,0,0,9,"1,982",3,695,6,"1,287",0,0,0,0,1,0,2,0,1,5
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,"2,375,525","2,023,500","288,850","63,175",3,3,5,9,3,2,1,5,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,4,842,1,312,3,530,0,0,0,0,0,1,0,0,1,2
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,"51,643,169","44,733,545","3,365,598","3,544,026",1,6,13,14,35,34,27,85,37,3,11,5,0,0,1,10,6,12,1,0,11,0,0,35,"7,597",4,"1,005",31,"6,592",0,0,1,3,1,1,2,2,4,21
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,"13,854,736","10,446,106","2,500,200","908,430",19,20,17,37,30,15,3,80,6,6,4,11,0,0,5,28,13,7,2,0,5,1,0,66,"11,572",8,"1,471",59,"10,101",1,3,0,3,7,6,5,3,15,23
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,"2,408,109","1,842,200","403,300","162,609",3,3,7,8,7,2,0,17,1,2,1,2,0,0,1,6,2,2,0,0,2,0,0,21,"3,324",4,850,17,"2,474",0,0,0,0,3,5,2,1,5,5
100202023,10,2,2,23,1002023,WINTERLAND,20,"1,471,018","1,103,200","281,400","86,418",3,2,4,4,7,0,0,10,1,0,0,1,0,0,1,5,0,2,0,0,2,0,0,16,"2,244",1,70,15,"2,174",0,0,0,0,3,4,2,1,3,3
100202024,10,2,2,24,1002024,MARYSTOWN,10,"937,091","739,000","121,900","76,191",0,1,3,4,0,2,0,7,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,5,"1,080",3,780,2,300,0,0,0,0,0,1,0,0,2,2
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,"4,414,287","3,395,300","828,522","190,465",3,1,4,11,11,5,1,21,1,0,1,3,0,0,1,9,5,1,0,0,1,0,0,16,"3,179",1,245,16,"2,934",0,1,0,0,2,0,2,0,3,8
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,"1,401,648","1,156,000",x,x,0,0,0,3,4,3,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,822,1,245,4,577,0,1,0,0,0,0,0,0,1,2
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,"3,012,639","2,239,300",x,x,3,1,4,8,7,2,1,17,1,0,1,2,0,0,1,9,2,1,0,0,1,0,0,12,"2,357",0,0,12,"2,357",0,0,0,0,2,0,2,0,2,6
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,"7,032,340","5,208,606","1,268,378","555,356",13,16,6,18,12,8,2,42,4,4,2,6,0,0,3,13,6,4,2,0,2,1,0,29,"5,069",3,376,26,"4,693",1,2,0,3,2,1,1,2,7,10
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,"851,417","534,606","200,600","116,211",7,5,1,3,2,1,0,6,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,7,727,0,0,7,727,0,2,0,0,1,1,1,0,1,1
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,"4,398,286","3,377,000","763,148","258,138",4,8,1,7,8,5,2,23,3,2,1,1,0,0,1,9,2,4,2,0,2,1,0,13,"2,750",2,336,11,"2,414",1,0,0,1,1,0,0,1,2,7
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,"1,782,637","1,297,000","304,630","181,007",2,3,4,8,2,2,0,13,0,0,1,3,0,0,2,3,4,0,0,0,0,0,0,9,"1,592",1,40,8,"1,552",0,0,0,2,0,0,0,1,4,2
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,"4,616,481","3,192,390","1,033,093","390,998",13,14,16,21,14,2,0,43,2,6,1,6,0,0,3,15,3,7,5,0,2,1,0,43,"6,950",6,"1,145",39,"5,805",3,0,0,2,0,6,4,6,12,10
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,"3,779,719","2,715,650","768,800","295,269",12,13,13,16,11,2,0,36,1,4,1,3,0,0,2,15,3,7,5,0,2,1,0,37,"5,798",5,780,34,"5,018",3,0,0,2,0,4,4,5,11,8
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,"623,129","386,100","149,050","87,979",4,7,5,3,1,0,0,9,0,3,1,1,0,0,0,2,1,1,0,0,1,0,0,13,"2,019",0,0,13,"2,019",0,0,0,0,0,1,3,2,6,1
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,"699,129","532,500","109,400","57,229",5,0,2,5,2,0,0,8,0,1,0,0,0,0,0,3,1,3,2,0,1,0,0,5,670,0,0,5,670,0,0,0,2,0,0,0,1,1,1
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,"1,405,004","1,036,500","262,350","106,154",2,4,3,4,3,2,0,11,0,0,0,1,0,0,0,7,1,2,2,0,0,1,0,11,"1,907",4,620,8,"1,287",2,0,0,0,0,0,1,2,2,4
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,"1,052,457","760,550","248,000","43,907",1,2,3,4,5,0,0,8,1,0,0,1,0,0,2,3,0,1,1,0,0,0,0,8,"1,202",1,160,8,"1,042",1,0,0,0,0,3,0,0,2,2
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,"836,762","476,740","264,293","95,729",1,1,3,5,3,0,0,7,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,6,"1,152",1,365,5,787,0,0,0,0,0,2,0,1,1,2
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,"836,762","476,740","264,293","95,729",1,1,3,5,3,0,0,7,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,6,"1,152",1,365,5,787,0,0,0,0,0,2,0,1,1,2
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,"21,368,861","15,242,727","3,507,912","2,618,222",2,3,20,31,34,27,7,95,11,9,4,14,0,0,8,20,10,19,1,1,17,0,0,54,"8,915",16,"2,527",43,"6,388",0,0,3,1,9,2,8,3,13,15
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,"9,652,852","6,507,500","1,784,117","1,361,235",0,1,13,19,20,10,3,49,8,7,0,3,0,0,1,12,6,12,0,0,12,0,0,29,"5,220",13,"2,099",20,"3,121",0,0,1,0,5,1,5,0,8,9
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,"2,849,611","1,811,000","544,270","494,341",0,0,3,5,3,4,1,12,4,3,0,1,0,0,0,1,0,3,0,0,3,0,0,8,"1,632",4,950,4,682,0,0,1,0,2,0,0,0,2,3
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,"4,626,075","3,073,500","918,547","634,028",0,1,8,12,15,3,1,30,2,4,0,1,0,0,1,10,3,9,0,0,9,0,0,16,"2,758",7,919,12,"1,839",0,0,0,0,3,1,3,0,4,5
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,"2,177,166","1,623,000","321,300","232,866",0,0,2,2,2,3,1,7,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,5,830,2,230,4,600,0,0,0,0,0,0,2,0,2,1
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,"11,716,009","8,735,227","1,723,795","1,256,987",2,2,7,12,14,17,4,46,3,2,4,11,0,0,7,8,4,7,1,1,5,0,0,25,"3,695",3,428,23,"3,267",0,0,2,1,4,1,3,3,5,6
