AREAID,PROV,CAR,CD,CCS,CAR2,SGC,AREANAME,TOTAL,TYPORG2_1,TYPORG2_2,TYPORG2_3,TYPORG2_4,TYPORG2_5,TYPORG2_6,TYPORG_1,TYPORG_2,TYPORG_3,TYPORG_4,TYPORG_5,TYPORG_6,TYPORG_7,TYPORG_8,TYPORG_9,TYPORG_10,TYPORG_11,TYPORG_12,TYPORG_13,TYPORG_14,TYPORG_15,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,CRPSFDT,CRPSFDT_1,CRPSFDT_2,CRPSFDT_3,CRPSFDT_4,CRPSFDT_5,CRPSFDT_6,CRPSFDT_7,CRPSFDT_8,CRPSFDT_9,CRPSFDT_10,CRPSFDT_11,CRPSFDT_12,NFERTIL,FERTIL,EFERTIL,NMANURE,MANURE,EMANURE,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NCROPROT,NCOVCROP,NGRASWAT,NSTRIPCR,NCONTOUR,NOTHSEC,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NWINDYES,WINDYES,NSALINYES,FRMSIZE,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14,FRMSIZE_15
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Census Agricultural Region 2,Standard Geographical Classification,Geographic Identification,T01:Total number of farms,Sole proprietorship - Farms Reporting,Partnership with written agreement - Farms Reporting,Partnership with no written agreement - Farms Reporting,Family corporation - Farms Reporting,Non-family corporation - Farms Reporting,"Other (institution,community pasture,etc.) - Farms Reporting",T01:Multiple operating arrangements - Total farms reporting ,T01:Multi. oper. arr. - Individual & partnership with written agreement - Farms reporting,T01:Multi. oper. arr. - Individual & partnership without written agreement - Farms rep.,T01:Multi. oper. arr. - Individual & family corporation - Farms reporting,T01:Multi. oper. arr. - Individual & non-family corporation - Farms reporting,T01:Multi. oper. arr. - Indiv. & family corp. & part. with written agreement - Farms rep.,T01:Multi. oper. arr. - Indiv. & family corp. & part. without written agreement-Farms rep.,T01:Multi. oper. arr. - Other combinations - Farms reporting,T01:Single operating arrangement - Total farms reporting ,T01:Single operating arrangement - Individual or family holding - Farms reporting,T01:Single operating arrangement - Partnership with written agreement - Farms reporting,T01:Single operating arrangement - Partnership without written agreement - Farms reporting,T01:Single operating arrangement - Family corporation - Farms reporting,T01:Single operating arrangement - Non-family corporation - Farms reporting,"T01:Single operating arrangement - Other (institution, community pasture, etc.)-Farms rep.",T02:Total area of farms - Farms reporting,T02:Total area of farms - Acres,T02:Total area of farms - Hectares,T02:Area owned - Farms reporting,T02:Area owned - Acres,T02:Area owned - Hectares,T02:Total area rented or leased from others - Farms reporting,T02:Total area rented or leased from others - Acres,T02:Total area rented or leased from others - Hectares,T02:Area rented or leased from governments - Farms reporting,T02:Area rented or leased from governments - Acres,T02:Area rented or leased from governments - Hectares,T02:Area rented or leased from other sources - Farms reporting,T02:Area rented or leased from other sources - Acres,T02:Area rented or leased from other sources - Hectares,T09:Total area of farms - Farms reporting,T09:Total area of farms - Acres,T09:Total area of farms - Hectares,T09:Land in crops - Farms reporting,T09:Land in crops - Acres,T09:Land in crops - Hectares,T09:Summerfallow - Farms reporting,T09:Summerfallow - Acres,T09:Summerfallow - Hectares,T09:Improved land for pasture or grazing - Farms reporting,T09:Improved land for pasture or grazing - Acres,T09:Improved land for pasture or grazing - Hectares,"T09:Unimproved land for pasture, grazing or hay - Farms reporting","T09:Unimproved land for pasture, grazing or hay - Acres","T09:Unimproved land for pasture, grazing or hay - Hectares",T09:All other land - Farms reporting,T09:All other land - Acres,T09:All other land - Hectares,T12:Total number of farms reporting,T12:Area in crops and summerfallow (under 3 acres) - Farms reporting,T12:Area in crops and summerfallow (3-9 acres) - Farms reporting,T12:Area in crops and summerfallow (10-69 acres) - Farms reporting,T12:Area in crops and summerfallow (70-129 acres) - Farms reporting,T12:Area in crops and summerfallow (130-179 acres) - Farms reporting,T12:Area in crops and summerfallow (180-239 acres) - Farms reporting,T12:Area in crops and summerfallow (240-399 acres) - Farms reporting,T12:Area in crops and summerfallow (400-559 acres) - Farms reporting,T12:Area in crops and summerfallow (560-759 acres) - Farms reporting,"T12:Area in crops and summerfallow (760-1,119 acres) - Farms reporting","T12:Area in crops and summerfallow (1,120-1,599 acres) - Farms reporting","T12:Area in crops and summerfallow (1,600 acres and over) - Farms reporting",T13:Commercial fertilizer - Farms reporting,T13:Commercial fertilizer - Acres,T13:Commercial fertilizer - Hectares,T13:Manure - Farms reporting,T13:Manure - Acres,T13:Manure - Hectares,T13:Herbicides - Farms reporting,T13:Herbicides - Acres,T13:Herbicides - Hectares,T13:Insecticides or fungicides - Farms reporting,T13:Insecticides or fungicides - Acres,T13:Insecticides or fungicides - Hectares,T13:Irrigation - Farms reporting,T13:Irrigation - Acres,T13:Irrigation - Hectares,"T14:Crop rotation using clover, alfalfa, etc. - Farms reporting",T14:Winter cover crops - Farms reporting,T14:Grassed waterways - Farms reporting,T14:Strip-cropping - Farms reporting,T14:Contour cultivation -Farms reporting,T14:Other practices - Farms reporting,T15:Chemical only - Farms reporting,T15:Chemical only - Acres,T15:Chemical only - Hectares,T15:Tillage only - Farms reporting,T15:Tillage only - Acres,T15:Tillage only - Hectares,T15:Tillage and chemical combination - Farms reporting,T15:Tillage and chemical combination - Acres,T15:Tillage and chemical combination - Hectares,T16:Total land prepared for seeding - Farms reporting,T16:Total land prepared for seeding - Acres,T16:Total land prepared for seeding - Hectares,T16:Conventional tillage - Farms reporting,T16:Conventional tillage - Acres,T16:Conventional tillage - Hectares,T16:Conservation tillage - Farms reporting,T16:Conservation tillage - Acres,T16:Conservation tillage - Hectares,T16:No tillage - Farms reporting,T16:No tillage - Acres,T16:No tillage - Hectares,T17:Windbreaks and shelterbelts planted - Farms reporting,T17:Windbreaks and shelterbelts planted - Total length (kilometres),T17:Use of measures to control soil salinity (Prairies only)- Farms reporting,T11:Total number of farms,T11:Total area of farms (under 3 acres) - Farms reporting,T11:Total area of farms (3 - 9 acres) - Farms reporting,T11:Total area of farms (10 - 69 acres) - Farms reporting,T11:Total area of farms (70 - 129 acres) - Farms reporting,T11:Total area of farms (130 - 179 acres) - Farms reporting,T11:Total area of farms (180 - 239 acres) - Farms reporting,T11:Total area of farms (240 - 399 acres) - Farms reporting,T11:Total area of farms (400 - 559 acres) - Farms reporting,T11:Total area of farms (560 - 759 acres) - Farms reporting,"T11:Total area of farms (760 - 1,119 acres) - Farms reporting","T11:Total area of farms (1,120 - 1, 599 acres) - Farms reporting","T11:Total area of farms (1,600 - 2,239  acres) - Farms reporting","T11:Total area of farms (2,240 - 2,879 acres) - Farms reporting","T11:Total area of farms (2,880 - 3,519 acres) - Farms reporting","T11:Total area of farms (3,520 acres and over) - Farms reporting"
0,0,0,0,0,0,0, Canada,"280,043","177,695","20,029","57,995","19,230","4,035","1,059","94,966","18,334","56,443","11,380","1,803","4,217","1,604","1,185","185,077","177,695","1,695","1,552","1,760","1,541",834,"280,043","167,423,057","67,753,700","264,837","106,159,824","42,961,352","111,387","61,263,233","24,792,348","25,641","24,148,675","9,772,621","97,549","37,114,558","15,019,727","280,043","167,423,057","67,753,700","248,147","82,799,535","33,507,780","80,834","19,573,092","7,920,948","89,980","10,233,180","4,141,221","133,097","39,446,176","15,963,299","216,185","15,371,074","6,220,452","249,779","4,107","9,069","48,659","38,745","24,845","15,883","30,429","18,855","17,150","19,243","12,014","10,780","165,670","53,280,448","21,561,830","103,785","5,256,317","2,127,156","138,367","53,371,080","21,598,508","40,440","6,856,737","2,774,823","17,247","1,774,297","718,032","103,355","24,289","31,474","22,006","25,630","61,818","5,324","832,648","336,961","55,267","11,317,520","4,580,037","29,202","7,422,924","3,003,950","210,350","71,731,650","29,028,766","174,888","49,387,997","19,986,611","45,429","17,522,247","7,091,001","17,556","4,821,406","1,951,154","36,395","83,871",0,"280,043","3,961","9,710","35,216","32,682","33,401","17,161","39,100","23,144","19,983","24,406","18,396","11,379","4,816","2,447","4,241"
100000000,10,0,0,0,0,1000000,#NAME?,725,449,11,84,122,19,40,211,9,79,67,3,26,14,13,514,449,2,5,12,6,40,725,"117,011","47,353",548,"32,642","13,210",387,"84,369","34,143",329,"80,221","32,464",107,"4,148","1,679",725,"117,011","47,353",468,"15,503","6,274",27,359,145,251,"11,382","4,606",241,"34,836","14,098",605,"54,931","22,230",469,80,95,228,37,13,12,4,0,0,0,0,0,368,"13,427","5,434",294,"8,051","3,258",114,"1,414",572,133,"1,374",556,34,251,102,172,32,19,6,34,58,4,47,19,15,177,72,10,135,55,329,"5,065","2,050",292,"4,260","1,724",32,388,157,28,417,169,43,42,0,725,83,112,288,91,40,31,27,18,12,9,2,2,4,0,6
100100000,10,1,0,0,1,1000000,- Agricultural Region - RÇgion agricole 1,365,227,7,38,60,11,22,98,6,36,35,1,9,6,5,267,227,1,2,9,6,22,365,"68,138","27,574",301,"12,631","5,112",175,"55,507","22,463",143,"53,614","21,697",59,"1,893",766,365,"68,138","27,574",221,"6,138","2,484",7,89,36,132,"6,556","2,653",140,"26,405","10,686",280,"28,950","11,716",221,43,54,98,15,3,7,1,0,0,0,0,0,162,"5,048","2,043",187,"4,619","1,869",46,301,122,54,421,170,11,48,19,81,14,6,4,18,27,2,x,x,3,12,5,3,x,x,153,"1,927",780,133,"1,619",655,16,155,63,17,153,62,21,19,0,365,35,65,170,37,16,8,9,8,6,1,1,1,3,0,5
100101000,10,1,1,0,1,1001000,- Division No.  1,341,211,7,35,57,11,20,93,6,33,33,1,9,6,5,248,211,1,2,8,6,20,341,"60,596","24,522",284,"12,136","4,911",163,"48,460","19,611",131,"46,619","18,866",55,"1,841",745,341,"60,596","24,522",203,"5,926","2,398",6,x,x,122,"5,868","2,375",130,"26,188","10,598",259,x,x,203,41,48,88,15,3,7,1,0,0,0,0,0,146,"4,780","1,934",180,"4,563","1,847",41,275,111,49,392,159,11,48,19,72,14,5,4,15,23,1,x,x,3,12,5,2,x,x,140,"1,838",744,122,"1,546",626,15,x,x,15,x,x,17,13,0,341,32,63,155,35,16,8,9,7,6,1,1,1,3,0,4
100101155,10,1,1,155,1,1001155,"- Division No.  1, Subd. W",24,14,0,1,4,0,5,5,0,1,4,0,0,0,0,19,14,0,0,0,0,5,24,"17,975","7,274",17,"2,753","1,114",8,"15,222","6,160",8,"15,222","6,160",0,0,0,24,"17,975","7,274",9,159,64,0,0,0,10,676,274,9,"10,534","4,263",18,"6,606","2,673",9,2,3,3,1,0,0,0,0,0,0,0,0,9,330,134,9,77,31,1,x,x,1,x,x,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,x,x,4,29,12,1,x,x,0,0,0,0,0,0,24,5,5,7,1,1,0,1,0,1,0,0,0,1,0,2
100101214,10,1,1,214,1,1001214,"- Division No.  1, Subd. C",40,34,0,3,2,0,1,5,0,3,1,0,0,1,0,35,34,0,0,0,0,1,40,"8,013","3,243",39,716,290,10,"7,297","2,953",9,x,x,2,x,x,40,"8,013","3,243",7,144,58,0,0,0,21,449,182,24,"6,213","2,514",16,"1,207",488,7,1,2,4,0,0,0,0,0,0,0,0,0,9,139,56,25,262,106,0,0,0,0,0,0,1,x,x,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,40,4,11,20,3,1,0,0,0,0,0,0,0,0,0,1
100101293,10,1,1,293,1,1001293,"- Division No.  1, Subd. Y",34,16,0,4,11,2,1,12,0,3,6,0,2,1,0,22,16,0,1,2,2,1,34,"2,704","1,094",22,"1,477",598,26,"1,227",497,23,x,x,4,x,x,34,"2,704","1,094",19,453,183,4,53,21,9,428,173,9,442,179,32,"1,328",537,19,6,0,11,2,0,0,0,0,0,0,0,0,11,226,91,11,257,104,5,93,38,6,109,44,1,x,x,6,4,1,0,2,2,0,0,0,2,x,x,2,x,x,14,291,118,11,206,83,1,x,x,3,x,x,2,x,0,34,4,5,15,5,0,1,3,0,1,0,0,0,0,0,0
100101304,10,1,1,304,1,1001304,"- Division No.  1, Subd. E",19,12,1,1,4,1,0,5,0,1,1,0,0,1,2,14,12,1,0,1,0,0,19,631,255,13,334,135,14,297,120,14,297,120,0,0,0,19,631,255,7,167,68,0,0,0,8,159,64,6,68,28,17,237,96,7,0,1,6,0,0,0,0,0,0,0,0,0,5,78,32,8,145,59,2,x,x,1,x,x,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,59,24,3,59,24,0,0,0,0,0,0,0,0,0,19,3,5,8,3,0,0,0,0,0,0,0,0,0,0,0
100101357,10,1,1,357,1,1001357,"- Division No.  1, Subd. H",24,13,0,2,6,1,2,8,0,2,4,0,1,0,1,16,13,0,0,1,0,2,24,"4,425","1,791",19,364,147,14,"4,061","1,643",12,"3,958","1,602",6,103,42,24,"4,425","1,791",18,289,117,0,0,0,9,467,189,15,"2,037",824,16,"1,632",660,18,8,2,7,1,0,0,0,0,0,0,0,0,12,238,96,12,135,55,1,x,x,2,x,x,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,47,19,5,29,12,2,x,x,1,x,x,1,x,0,24,2,4,10,5,0,0,0,1,1,0,0,0,1,0,0
