AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTWHT,TOTWHT,ETOTWHT,NWHTDUR,WHTDUR,EWHTDUR,NWHTSPG,WHTSPG,EWHTSPG,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NCORNGR,CORNGR,ECORNGR,NBUCWHT,BUCWHT,EBUCWHT,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCORNEN,CORNEN,ECORNEN,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFCROPS,FCROPS,EFCROPS,NCANOLA,CANOLA,ECANOLA,NFLAXSD,FLAXSD,EFLAXSD,NSOYBNS,SOYBNS,ESOYBNS,NSUNFLS,SUNFLS,ESUNFLS,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NDFPEAS,DFPEAS,EDFPEAS,NLENTIL,LENTIL,ELENTIL,NTOTDRBN,TOTDRBN,ETOTDRBN,NWHITBN,WHITBN,EWHITBN,NFABABN,FABABN,EFABABN,NODFBNS,ODFBNS,EODFBNS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NSUGARB,SUGARB,ESUGARB,NMILLET,MILLET,EMILLET,NTRITCL,TRITCL,ETRITCL,NSAFLWR,SAFLWR,ESAFLWR,NCARAWAY,CARAWAY,ECARAWAY,NFORAGE,FORAGE,EFORAGE,NOFIELD,OFIELD,EOFIELD,NALFASD,ALFASD,EALFASD,NALSIKE,ALSIKE,EALSIKE,NCLOVRD,CLOVRD,ECLOVRD,NBFTREF,BFTREF,EBFTREF,NCLOVSW,CLOVSW,ECLOVSW,NTIMOTHY,TIMOTHY,ETIMOTHY,NBROMSD,BROMSD,EBROMSD,NFESCUE,FESCUE,EFESCUE,NCWHTSD,CWHTSD,ECWHTSD,NOFORGSD,OFORGSD,EOFORGSD
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T03:Total number of farms,T03:Total wheat - Farms reporting,T03:Total wheat - Acres,T03:Total wheat - Hectares,T03:Durum wheat - Farms reporting,T03:Durum wheat - Acres,T03:Durum wheat - Hectares,T03:Spring wheat (excluding durum) - Farms reporting,T03:Spring wheat (excluding durum) - Acres,T03:Spring wheat (excluding durum) - Hectares,T03:Winter wheat - Farms reporting,T03:Winter wheat - Acres,T03:Winter wheat - Hectares,T03:Oats - Farms reporting,T03:Oats - Acres,T03:Oats - Hectares,T03:Barley - Farms reporting,T03:Barley - Acres,T03:Barley - Hectares,T03:Mixed grains - Farms reporting,T03:Mixed grains - Acres,T03:Mixed grains - Hectares,T03:Corn for grain - Farms reporting,T03:Corn for grain - Acres,T03:Corn for grain - Hectares,T03:Buckwheat - Farms reporting,T03:Buckwheat - Acres,T03:Buckwheat - Hectares,T03:Total rye - Farms reporting,T03:Total rye - Acres,T03:Total rye - Hectares,T03:Fall rye - Farms reporting,T03:Fall rye - Acres,T03:Fall rye - Hectares,T03:Spring rye - Farms reporting,T03:Spring rye - Acres,T03:Spring rye - Hectares,T03:Corn for silage - Farms reporting,T03:Corn for silage - Acres,T03:Corn for silage - Hectares,T03:Alfalfa and alfalfa mixtures - Farms reporting,T03:Alfalfa and alfalfa mixtures - Acres,T03:Alfalfa and alfalfa mixtures - Hectares,T03:All other tame hay - Farms reporting,T03:All other tame hay - Acres,T03:All other tame hay - Hectares,T03:Other fodder crops - Farms reporting,T03:Other fodder crops - Acres,T03:Other fodder crops - Hectares,T03:Canola (rapeseed) - Farms reporting,T03:Canola (rapeseed) - Acres,T03:Canola (rapeseed) - Hectares,T03:Flaxseed - Farms reporting,T03:Flaxseed - Acres,T03:Flaxseed - Hectares,T03:Soybeans - Farms reporting,T03:Soybeans - Acres,T03:Soybeans - Hectares,T03:Sunflowers - Farms reporting,T03:Sunflowers - Acres,T03:Sunflowers - Hectares,T03:Potatoes - Farms reporting,T03:Potatoes - Acres,T03:Potatoes - Hectares,T03:Mustard seed - Farms reporting,T03:Mustard seed - Acres,T03:Mustard seed - Hectares,T03:Dry field peas - Farms reporting,T03:Dry field peas - Acres,T03:Dry field peas - Hectares,T03:Lentils - Farms reporting,T03:Lentils - Acres,T03:Lentils - Hectares,T03:Total dry field beans - Farms reporting,T03:Total dry field beans - Acres,T03:Total dry field beans - Hectares,T03:Dry white beans - Farms reporting,T03:Dry white beans - Acres,T03:Dry white beans - Hectares,T03:Fababeans for beans - Farms reporting,T03:Fababeans for beans - Acres,T03:Fababeans for beans - Hectares,T03:Other dry beans - Farms reporting,T03:Other dry beans - Acres,T03:Other dry beans - Hectares,T03:Canary seed - Farms reporting,T03:Canary seed - Acres,T03:Canary seed - Hectares,T03:Tobacco - Farms reporting,T03:Tobacco - Acres,T03:Tobacco - Hectares,T03:Sugar beets - Farms reporting,T03:Sugar beets - Acres,T03:Sugar beets - Hectares,T03:Millet for grain - Farms reporting,T03:Millet for grain - Acres,T03:Millet for grain - Hectares,T03:Triticale - Farms reporting,T03:Triticale - Acres,T03:Triticale - Hectares,T03:Safflower - Farms reporting,T03:Safflower - Acres,T03:Safflower - Hectares,T03:Caraway seed - Farms reporting,T03:Caraway seed - Acres,T03:Caraway seed - Hectares,T03:Forage seed for seed - Farms reporting,T03:Forage seed for seed - Acres ,T03:Forage seed for seed - Hectares,T03:Other field crops - Farms reporting,T03:Other field crops - Acres,T03:Other field crops - Hectares,T04:Alfalfa for seed - Farms reporting,T04:Alfalfa for seed - Acres,T04:Alfalfa for seed - Hectares,T04:Alsike for seed - Farms reporting,T04:Alsike for seed - Acres,T04:Alsike for seed - Hectares,T04:Red clover for seed - Farms reporting,T04:Red clover for seed - Acres,T04:Red clover for seed - Hectares,T04:Bird's-foot trefoil for seed - Farms reporting,T04:Bird's-foot trefoil for seed - Acres,T04:Bird's-foot trefoil for seed - Hectares,T04:Sweet clover for seed - Farms reporting,T04:Sweet clover for seed - Acres,T04:Sweet clover for seed - Hectares,T04:Timothy for seed - Farms reporting,T04:Timothy for seed - Acres,T04:Timothy for seed - Hectares,T04:Bromegrass for seed - Farms reporting,T04:Bromegrass for seed - Acres,T04:Bromegrass for seed - Hectares,T04:Creeping red fescue for seed - Farms reporting,T04:Creeping red fescue for seed - Acres,T04:Creeping red fescue for seed - Hectares,T04:Crested wheatgrass for seed - Farms reporting,T04:Crested wheatgrass for seed - Acres,T04:Crested wheatgrass for seed - Hectares,T04:Other forage seed for seed - Farms reporting,T04:Other forage seed for seed - Acres,T04:Other forage seed for seed - Hectares
0,0,0,0,0,0,#NAME?,"280,043","105,805","34,997,892","14,163,143","18,084","4,942,648","2,000,218","90,279","29,463,938","11,923,631","12,701","591,306","239,293","54,969","3,047,074","1,233,107","82,677","11,180,156","4,524,448","18,688","1,031,438","417,408","27,819","2,732,235","1,105,696","1,476","58,430","23,646","7,878","637,494","257,985","7,124","558,766","226,125",896,"78,728","31,860","16,152","491,498","198,902","89,415","7,979,327","3,229,119","78,096","6,237,911","2,524,393","2,722","172,383","69,761","39,437","7,762,385","3,141,325","9,883","1,236,107","500,235","16,098","1,478,812","598,454","1,279","206,049","83,385","4,692","302,435","122,391","1,885","279,274","113,018","4,271","495,649","200,582","3,476","589,297","238,480","3,544","235,496","95,302","2,517","151,938","61,487",243,"8,762","3,546","1,026","74,796","30,269","1,349","237,436","96,087","1,564","74,131","30,000",650,"61,543","24,906",839,"39,814","16,112",304,"19,702","7,973",60,"6,719","2,719",28,"1,659",671,"3,920","510,108","206,433",577,"53,844","21,790","1,256","148,965","60,284",197,"19,867","8,040",945,"59,190","23,953",195,"9,982","4,040",88,"5,813","2,352",799,"87,258","35,312",225,"23,221","9,397",748,"125,345","50,725",122,"15,950","6,455",188,"14,517","5,875"
100000000,10,0,0,0,1000000,#NAME?,725,0,0,0,0,0,0,0,0,0,0,0,0,38,337,136,0,0,0,4,46,19,0,0,0,0,0,0,9,127,51,4,53,21,5,74,30,0,0,0,56,"1,478",598,279,"10,597","4,288",3,45,18,7,12,5,0,0,0,0,0,0,0,0,0,177,667,270,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,0,0,0,0,0,0,0,0,0,0,0,0,21,162,66,0,0,0,1,x,x,0,0,0,0,0,0,4,x,x,0,0,0,4,x,x,0,0,0,22,435,176,136,"4,263","1,725",0,0,0,5,x,x,0,0,0,0,0,0,0,0,0,80,182,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101000,10,1,1,0,1001000,- Division No.  1,341,0,0,0,0,0,0,0,0,0,0,0,0,20,x,x,0,0,0,1,x,x,0,0,0,0,0,0,4,x,x,0,0,0,4,x,x,0,0,0,21,x,x,128,"4,141","1,676",0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,71,162,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,5,110,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,6,123,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,190,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,5,130,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,11,181,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
