AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTFTR,TOTTFT,ETOTTFT,TOTFTR,TOTFBR,TOTFNB,NAPPLETR,APPLETA,EAPPLETA,APPLETR,APPLEBR,APPLENB,NAPSTTR,APSTTA,EAPSTTA,APSTTR,APSTBR,APSTNB,NAPSDTR,APSDTA,EAPSDTA,APSDTR,APSDBR,APSDNB,NAPDFTR,APDFTA,EAPDFTA,APDFTR,APDFBR,APDFNB,NPEARTR,PEARTA,EPEARTA,PEARTR,PEARBR,PEARNB,NPLUMTR,PLUMTA,EPLUMTA,PLUMTR,PLUMBR,PLUMNB,NSWCHTR,SWCHTA,ESWCHTA,SWCHTR,SWCHBR,SWCHNB,NSRCHTR,SRCHTA,ESRCHTA,SRCHTR,SRCHBR,SRCHNB,NPECHTR,PECHTA,EPECHTA,PECHTR,PECHBR,PECHNB,NAPCTTR,APCTTA,EAPCTTA,APCTTR,APCTBR,APCTNB,NOTREETR,OTREETA,EOTREETA,OTREETR,OTREEBR,OTREENB,NTSMFRTC,TSMFRTC,ETSMFRTC,NTARHRV,TARHRV,ETARHRV,NSTWBRYC,STWBRYC,ESTWBRYC,NSTWBRYH,STWBRYH,ESTWBRYH,NRASPBC,RASPBC,ERASPBC,NRASPBH,RASPBH,ERASPBH,NGRAPESC,GRAPESC,EGRAPESC,NGRAPESH,GRAPESH,EGRAPESH,NBLUEBC,BLUEBC,EBLUEBC,NBLUEBH,BLUEBH,EBLUEBH,NCRANBC,CRANBC,ECRANBC,NCRANBH,CRANBH,ECRANBH,NOTHBERC,OTHBERC,EOTHBERC,NOTHBERH,OTHBERH,EOTHBERH
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T05:Total number of farms,T05:Total tree fruits - Farms reporting,T05:Total tree fruits - Area in acres,T05:Total tree fruits - Area in hectares,T05:Total tree fruits - Total number of trees,T05:Total tree fruits - Number of bearing trees ,T05:Total tree fruits - Number of non-bearing trees ,T05:Total apple - Farms reporting,T05:Total apple - Area in acres,T05:Total apple - Area in hectares,T05:Total apple - Total number of trees ,T05:Total apple - Number of bearing trees ,T05:Total apple - Number of non-bearing trees ,T05:Standard apple - Farms reporting,T05:Standard apple - Area in acres,T05:Standard apple - Area in hectares,T05:Standard apple - Total number of trees ,T05:Standard apple - Number of bearing trees ,T05:Standard apple - Number of non-bearing trees ,T05:Semi-dwarf apple - Farms reporting,T05:Semi-dwarf apple - Area in acres,T05:Semi-dwarf apple - Area in hectares,T05:Semi-dwarf apple - Total number of trees ,T05:Semi-dwarf apple - Number of bearing trees ,T05:Semi-dwarf apple - Number of non-bearing trees ,T05:Dwarf apple - Farms reporting,T05:Dwarf apple - Area in acres,T05:Dwarf apple - Area in hectares,T05:Dwarf apple - Total number of trees ,T05:Dwarf apple - Number of bearing trees ,T05:Dwarf apple - Number of non-bearing trees ,T05:Pear - Farms reporting,T05:Pear - Area in acres,T05:Pear - Area in hectares,T05:Pear - Total number of trees ,T05:Pear - Number of bearing trees ,T05:Pear - Number of non-bearing trees ,T05:Plum and prune - Farms reporting,T05:Plum and prune - Area in acres,T05:Plum and prune - Area in hectares,T05:Plum and prune - Total number of trees ,T05:Plum and prune - Number of bearing trees ,T05:Plum and prune - Number of non-bearing trees ,T05:Sweet cherry - Farms reporting,T05:Sweet cherry - Area in acres,T05:Sweet cherry - Area in hectares,T05:Sweet cherry - Total number of trees ,T05:Sweet cherry - Number of bearing trees ,T05:Sweet cherry - Number of non-bearing trees ,T05:Sour cherry - Farms reporting,T05:Sour cherry - Area in acres,T05:Sour cherry - Area in hectares,T05:Sour cherry - Total number of trees ,T05:Sour cherry - Number of bearing trees ,T05:Sour cherry - Number of non-bearing trees ,T05:Peach - Farms reporting,T05:Peach - Area in acres,T05:Peach - Area in hectares,T05:Peach - Total number of trees ,T05:Peach - Number of bearing trees ,T05:Peach - Number of non-bearing trees ,T05:Apricot - Farms reporting,T05:Apricot - Area in acres,T05:Apricot - Area in hectares,T05:Apricot - Total number of trees ,T05:Apricot - Number of bearing trees ,T05:Apricot - Number of non-bearing trees ,T05:Other tree fruits - Farms reporting,T05:Other tree fruits - Area in acres,T05:Other tree fruits - Area in hectares,T05:Other tree fruits - Total number of trees ,T05:Other tree fruits - Number of bearing trees ,T05:Other tree fruits - Number of non-bearing trees ,T06:Total berries and grapes under cultivation - Farms reporting,T06:Total berries and grapes under cultivation - Acres,T06:Total berries and grapes under cultivation - Hectares,T06:Total berries and grapes for harvest - Farms reporting,T06:Total berries and grapes for harvest - Acres,T06:Total berries and grapes for harvest - Hectares,T06:Strawberries under cultivation - Farms reporting,T06:Strawberries under cultivation - Acres,T06:Strawberries under cultivation - Hectares,T06:Strawberries for harvest - Farms reporting,T06:Strawberries for harvest - Acres,T06:Strawberries for harvest - Hectares,T06:Raspberries under cultivation - Farms reporting,T06:Raspberries under cultivation - Acres,T06:Raspberries under cultivation - Hectares,T06:Raspberries for harvest - Farms reporting,T06:Raspberries for harvest - Acres,T06:Raspberries for harvest - Hectares,T06:Grapes under cultivation - Farms reporting,T06:Grapes under cultivation - Acres,T06:Grapes under cultivation - Hectares,T06:Grapes for harvest - Farms reporting,T06:Grapes for harvest - Acres,T06:Grapes for harvest - Hectares,T06:Blueberries under cultivation - Farms reporting,T06:Blueberries under cultivation - Acres,T06:Blueberries under cultivation - Hectares,T06:Blueberries for harvest - Farms reporting,T06:Blueberries for harvest - Acres,T06:Blueberries for harvest - Hectares,T06:Cranberries under cultivation - Farms reporting,T06:Cranberries under cultivation - Acres,T06:Cranberries under cultivation - Hectares,T06:Cranberries for harvest - Farms reporting,T06:Cranberries for harvest - Acres,T06:Cranberries for harvest - Hectares,T06:Other berries under cultivation - Farms reporting,T06:Other berries under cultivation - Acres,T06:Other berries under cultivation - Hectares,T06:Other berries for harvest - Farms reporting,T06:Other berries for harvest - Acres,T06:Other berries for harvest - Hectares
000000000,0,0,0,0,0000000,- Canada,"280,043","8,328","113,345","45,869","16,914,441","13,772,747","3,141,694","7,188","86,136","34,858","13,326,756","10,751,749","2,575,007","4,639","38,568","15,608","2,765,949","2,460,434","305,515","3,615","37,799","15,297","6,903,096","5,686,237","1,216,859","1,579","9,768","3,953","3,657,711","2,605,078","1,052,633","3,082","5,719","2,314","644,567","533,353","111,214","2,815","2,865","1,159","300,057","249,864","50,193","2,456","2,712","1,098","230,995","187,553","43,442","1,040","2,648","1,072","273,419","229,358","44,061","2,146","10,720","4,338","1,861,453","1,625,617","235,836","1,325",918,371,"96,761","76,683","20,078",717,"1,627",659,"180,433","118,570","61,863","7,175","113,072","45,759","6,594","76,717","31,046","3,149","17,764","7,189","2,874","12,918","5,228","2,761","10,031","4,060","2,515","8,516","3,446","1,280","16,321","6,605","1,177","14,248","5,766","1,639","64,152","25,961","1,471","37,311","15,099",86,"3,354","1,357",74,"2,868","1,161",602,"1,449",587,452,855,346
100000000,10,0,0,0,1000000,- Newfoundland - Terre-Neuve,725,11,33,14,"3,466","1,134","2,332",9,7,3,434,289,145,7,4,2,121,19,102,4,3,1,313,270,43,0,0,0,0,0,0,2,x,x,x,x,x,9,18,7,"2,127",607,"1,520",1,x,x,x,x,x,7,7,3,641,238,403,0,0,0,0,0,0,2,x,x,x,x,x,0,0,0,0,0,0,71,807,326,65,510,206,62,258,105,56,194,79,16,x,x,13,x,x,0,0,0,0,0,0,7,528,214,7,300,122,0,0,0,0,0,0,4,x,x,2,x,x
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,3,x,x,x,x,x,3,x,x,x,x,x,3,1,x,34,10,24,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,x,x,x,0,0,0,0,0,0,2,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,450,182,19,218,88,14,20,8,13,x,x,3,x,x,1,x,x,0,0,0,0,0,0,6,x,x,6,x,x,0,0,0,0,0,0,2,x,x,1,x,x
100101000,10,1,1,0,1001000,- Division No.  1,341,3,x,x,x,x,x,3,x,x,x,x,x,3,1,x,34,10,24,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,x,x,x,0,0,0,0,0,0,2,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,x,x,17,x,x,12,x,x,11,x,x,3,x,x,1,x,x,0,0,0,0,0,0,6,x,x,6,x,x,0,0,0,0,0,0,2,x,x,1,x,x
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
