AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCAB,CHINCAB,ECHINCAB,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NONIONS,ONIONS,EONIONS,NSHALOT,SHALOT,ESHALOT,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NSQPUMP,SQPUMP,ESQPUMP,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NRHBARB,RHBARB,ERHBARB,NOTHVEG,OTHVEG,EOTHVEG,NNURSERY,NURSERY,ENURSERY,NSOD,SOD,ESOD,NTUNGLAS,TUNGLAS,FTUNGLAS,NTOTGRN,TOTGRN,FTOTGRN,NFLOWER,FLOWER,FFLOWER,NGRNVEG,NGRNHTOM,FGRNHTOM,NGRNHCUC,GRNHCUC,FGRNHCUC,NGRNHLET,GRNHLET,FGRNHLET,NGRNHOVEG,GRNHOVEG,FGRNHOVEG,NVEGTRN,VEGTRN,FVEGTRN,NGRNOTHER,GRNOTHER,FGRNOTHER,NMUSHRM,MUSHRM,FMUSHRM
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T07:Total number of farms,T07:Total vegetables - Farms reporting,T07:Total vegetables - Acres,T07:Total vegetables - Hectares,T07:Sweet corn - Farms reporting,T07:Sweet corn - Acres,T07:Sweet corn - Hectares,T07:Tomatoes - Farms reporting,T07:Tomatoes - Acres,T07:Tomatoes - Hectares,T07:Cucumbers and gherkins - Farms reporting,T07:Cucumbers and gherkins - Acres,T07:Cucumbers and gherkins - Hectares,T07:Green peas - Farms reporting,T07:Green peas - Acres,T07:Green peas - Hectares,T07:Green or wax beans - Farms reporting,T07:Green or wax beans - Acres,T07:Green or wax beans - Hectares,T07:Cabbage - Farms reporting,T07:Cabbage - Acres,T07:Cabbage - Hectares,T07:Chinese cabbage - Farms reporting,T07:Chinese cabbage - Acres,T07:Chinese cabbage - Hectares,T07:Cauliflower - Farms reporting,T07:Cauliflower - Acres,T07:Cauliflower - Hectares,T07:Broccoli - Farms reporting,T07:Broccoli - Acres,T07:Broccoli - Hectares,T07:Brussels sprouts - Farms reporting,T07:Brussels sprouts - Acres,T07:Brussels sprouts - Hectares,T07:Carrots - Farms reporting,T07:Carrots - Acres,T07:Carrots - Hectares,T07:Rutabagas (turnips) - Farms reporting,T07:Rutabagas (turnips) - Acres,T07:Rutabagas (turnips) - Hectares,T07:Beets - Farms reporting,T07:Beets - Acres,T07:Beets - Hectares,T07:Radishes - Farms reporting,T07:Radishes - Acres,T07:Radishes - Hectares,T07:Dry onions - Farms reporting,T07:Dry onions - Acres,T07:Dry onions - Hectares,T07:Green onions and shallots - Farms reporting,T07:Green onions and shallots - Acres,T07:Green onions and shallots - Hectares,T07:Celery - Farms reporting,T07:Celery - Acres,T07:Celery - Hectares,T07:Lettuce - Farms reporting,T07:Lettuce - Acres,T07:Lettuce - Hectares,T07:Spinach - Farms reporting,T07:Spinach - Acres,T07:Spinach - Hectares,T07:Peppers - Farms reporting,T07:Peppers - Acres,T07:Peppers - Hectares,"T07:Squash, zucchini and pumpkins - Farms reporting","T07:Squash, zucchini and pumpkins - Acres","T07:Squash, zucchini and pumpkins - Hectares","T07:Asparagus, producing - Farms reporting","T07:Asparagus, producing - Acres","T07:Asparagus, producing - Hectares","T07:Asparagus, non-producing - Farms reporting","T07:Asparagus, non-producing - Acres","T07:Asparagus, non-producing - Hectares",T07:Rhubarb - Farms reporting,T07:Rhubarb - Acres,T07:Rhubarb - Hectares,T07:Other vegetables - Farms reporting,T07:Other vegetables - Acres,T07:Other vegetables - Hectares,T08:Nursery products - Farms reporting,T08:Nursery products - Acres,T08:Nursery products - Hectares,T08:Sod - Farms reporting,T08:Sod - Acres,T08:Sod - Hectares,T10:Total greenhouse area - Farms reporting,T10:Total greenhouse area - Square feet,T10:Total greenhouse area - Square metres,"T10:Total greenhouse area in use on June 4, 1991 - Farms reporting","T10:Total greenhouse area in use on June 4, 1991 - Square feet","T10:Total greenhouse area in use on June 4, 1991 - Square metres",T10:Greenhouse flowers - Farms reporting,T10:Greenhouse flowers - Square feet,T10:Greenhouse flowers - Square metres,T10:Greenhouse tomatoes - Farms reporting,T10:Greenhouse tomatoes - Square feet,T10:Greenhouse tomatoes - Square metres,T10:Greenhouse cucumbers - Farms reporting,T10:Greenhouse cucumbers - Square feet,T10:Greenhouse cucumbers - Square metres,T10:Greenhouse lettuce - Farms reporting,T10:Greenhouse lettuce - Square feet,T10:Greenhouse lettuce - Square metres,T10:Other greenhouse vegetables - Farms reporting,T10:Other greenhouse vegetables - Square feet,T10:Other greenhouse vegetables - Square metres,T10:Vegetable transplants - Farms reporting,T10:Vegetable transplants - Square feet,T10:Vegetable transplants - Square metres,T10:Other greenhouse products - Farms reporting,T10:Other greenhouse products - Square feet,T10:Other greenhouse products - Square metres,T10:Total growing area for mushrooms - Farms reporting,T10:Total growing area for mushrooms - Square feet,T10:Total growing area for mushrooms - Square metres
0,0,0,0,0,0,#NAME?,"280,043","10,708","302,936","122,594","5,016","89,026","36,027","3,583","29,584","11,972","2,793","6,940","2,809","2,384","48,727","19,719","2,487","22,190","8,980","1,961","10,577","4,280",306,"1,304",528,"1,414","7,558","3,059","1,371","8,779","3,553",373,"1,442",584,"2,480","18,875","7,639","1,132","6,200","2,509","1,825","2,000",810,673,"1,884",763,"1,524","10,876","4,401",855,"1,334",540,315,"2,205",892,"1,373","7,693","3,113",558,"1,232",499,"1,642","5,164","2,090","2,567","6,915","2,798",710,"4,128","1,671",224,246,100,626,511,207,"1,699","7,546","3,054","3,846","48,653","19,689",498,"66,217","26,797","4,998","98,591,453","9,159,446","4,986","90,833,043","8,438,666","3,283","49,011,214","4,553,291","1,337","14,951,582","1,389,047",896,"11,554,139","1,073,415",228,"1,308,686","121,581",479,"4,515,266","419,482","1,251","3,960,762","367,967",388,"5,531,394","513,883",178,"6,844,430","635,868"
100000000,10,0,0,0,1000000,#NAME?,725,202,"1,199",485,3,1,x,7,2,1,6,1,1,9,2,1,7,2,1,132,284,115,9,2,1,48,19,8,62,38,16,17,3,1,135,166,67,165,488,197,110,79,32,0,0,0,12,4,2,5,1,x,9,x,x,32,32,13,11,6,3,0,0,0,16,4,2,1,x,x,0,0,0,18,4,2,24,58,24,16,26,11,17,122,49,79,"407,764","37,883",79,"375,928","34,925",48,"277,012","25,735",34,"38,792","3,604",11,"3,066",285,6,"4,707",437,10,"8,388",779,26,x,x,5,x,x,1,x,x
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,94,484,196,2,x,x,0,0,0,0,0,0,4,1,x,3,1,x,59,114,46,5,2,1,23,8,3,27,21,8,13,2,1,57,81,33,70,163,66,42,29,12,0,0,0,6,1,x,3,x,x,8,5,2,17,23,9,7,x,x,0,0,0,8,2,1,0,0,0,0,0,0,9,x,x,16,28,11,9,14,6,11,63,25,33,"229,870","21,356",33,"210,154","19,524",20,"177,683","16,507",15,"12,591","1,170",3,x,x,1,x,x,5,"2,680",249,11,"10,585",983,1,x,x,1,x,x
100101000,10,1,1,0,1001000,- Division No.  1,341,85,451,182,2,x,x,0,0,0,0,0,0,4,1,x,3,1,x,52,103,42,5,2,1,22,x,x,26,x,x,12,x,x,50,74,30,62,152,61,38,27,11,0,0,0,6,1,x,3,x,x,8,5,2,16,x,x,7,x,x,0,0,0,7,x,x,0,0,0,0,0,0,8,x,x,14,x,x,9,14,6,10,x,x,32,x,x,32,x,x,19,x,x,15,"12,591","1,170",3,x,x,1,x,x,5,"2,680",249,10,x,x,1,x,x,1,x,x
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,8,132,54,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,7,34,14,1,x,x,6,4,2,5,2,1,2,x,x,8,32,13,6,39,16,7,12,5,0,0,0,0,0,0,0,0,0,3,1,1,3,2,1,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,5,"30,706","2,853",5,"30,706","2,853",3,"27,000","2,508",3,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,4,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,2,x,x,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
