AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NHENEGG,HENEGG,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NEGGS,EGGS,NNOCHCK,NOCHCK,NNOTURK,NOTURK,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCOWMLK,COWMLK,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NOTHLIV,NBEES,BEES
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T18:Total number of farms,T18:Total hens and chickens - Farms reporting,T18:Total hens and chickens - Number,T18:Pullets and pullet chicks under 20 weeks - Farms reporting,T18:Pullets and pullet chicks under 20 weeks - Number,T18:Hens and pullets 20 weeks and over - Farms reporting,T18:Hens and pullets 20 weeks and over - Number,T18:All other chickens - Farms reporting,T18:All other chickens - Number,T18:Birds in hatchery supply flocks - Farms reporting,T18:Birds in hatchery supply flocks - Number,T18:Turkeys - Farms reporting,T18:Turkeys - Number,T18:Other poultry - Farms reporting,T18:Other poultry - Number,T19:Total chicken egg production - Farms reporting,T19:Total chicken egg production - Dozens of eggs,T19:Total chicken production - Farms reporting,T19:Total chicken production - Number,T19:Total turkey production - Farms reporting,T19:Total turkey production - Number,T20:Total cattle and calves - Farms reporting,T20:Total cattle and calves - Number,T20:Bulls - Farms reporting,T20:Bulls - Number,T20:Total cows - Farms reporting,T20:Total cows - Number,T20:Dairy cows - Farms reporting,T20:Dairy cows - Number,T20:Beef cows - Farms reporting,T20:Beef cows - Number,T20:Total heifers - Farms reporting,T20:Total heifers - Number,T20:Dairy heifers - Farms reporting,T20:Dairy heifers - Number,T20:Beef heifers - Farms reporting,T20:Beef heifers - Number,T20:Heifers for slaughter or feeders - Farms reporting,T20:Heifers for slaughter or feeders - Number,T20:Steers - Farms reporting,T20:Steers - Number,T20:Calves - Farms reporting,T20:Calves - Number,"T20:Cows milked on June 3, 1991 - Farms reporting","T20:Cows milked on June 3, 1991 - Number",T21:Total pigs - Farms reporting,T21:Total pigs - Number,T21:Boars - Farms reporting,T21:Boars - Number,T21:Sows - Farms reporting,T21:Sows - Number,T21:Total all other pigs - Farms reporting,T21:Total all other pigs - Number,T21:All other pigs less than 45 lbs (20 kg) - Farms reporting,T21:All other pigs less than 45 lbs (20 kg) - Number,T21:All other pigs from 45 to 130 lbs (20-60 kg) - Farms reporting,T21:All other pigs from 45 to 130 lbs (20-60 kg) - Number,T21:All other pigs over 130 lbs (60 kg) - Farms reporting,T21:All other pigs over 130 lbs (60 kg) - Number,T22:Total sheep and lambs - Farms reporting,T22:Total sheep and lambs - Number,T22:Rams - Farms reporting,T22:Rams - Number,T22:Ewes and wethers - Farms reporting,T22:Ewes and wethers - Number,T22:Lambs - Farms reporting,T22:Lambs - Number,T23:Horses and ponies - Farms reporting,T23:Horses and ponies - Number,T23:Goats - Farms reporting,T23:Goats - Number,T23:Rabbits - Farms reporting,T23:Rabbits - Number,T23:Mink - Farms reporting,T23:Mink - Number,T23:Fox - Farms reporting,T23:Fox - Number,T23:All other livestock - Farms reporting,T23:Colonies of bees - Farms reporting,T23:Colonies of bees - Number of colonies
000000000,0,0,0,0,0000000,- Canada,"280,043","42,661","94,872,875","12,323","10,795,029","28,254","21,911,525","24,305","62,166,321",311,"2,953,152","8,462","8,076,808","11,295","2,595,268","22,192","442,904,451","17,904","376,496,556","5,903","19,306,669","145,747","12,972,038","92,379","240,408","129,623","5,143,808","39,077","1,315,178","100,820","3,828,630","104,120","2,139,404","31,196","617,852","67,078","766,001","26,193","755,551","43,163","1,358,777","127,865","4,089,641","37,346","1,073,235","29,592","10,216,083","15,915","62,536","17,993","1,046,722","28,197","9,106,825","17,572","3,178,945","19,536","3,142,441","14,963","2,785,439","13,114","935,891","8,522","20,567","12,049","461,128","11,728","454,196","58,509","356,204","7,735","88,116","8,115","323,015",352,"1,214,718",719,"60,369","3,396","4,243","450,861"
100000000,10,0,0,0,1000000,- Newfoundland - Terre-Neuve,725,100,"1,304,604",18,"38,178",82,"409,688",29,"856,738",1,x,17,"4,915",28,636,59,"7,404,400",34,"5,669,275",25,"10,268",234,"8,446",104,168,190,"5,486",93,"4,825",111,661,131,"1,305",70,"1,008",41,138,35,159,30,125,185,"1,362",86,"3,919",35,"15,625",18,195,18,"1,837",32,"13,593",22,"4,532",22,"4,833",18,"4,228",130,"8,918",106,219,127,"4,173",124,"4,526",113,309,24,186,18,121,14,825,90,"6,246",11,3,87
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,52,"659,439",10,x,47,x,15,"428,665",0,0,12,"4,189",11,296,32,"4,089,298",23,"3,095,160",17,"9,884",128,"4,169",59,95,96,"2,890",57,"2,654",49,236,75,638,44,476,19,64,22,98,12,37,93,509,46,"2,148",23,"11,978",12,161,13,"1,472",22,"10,345",15,"3,782",16,"3,514",12,"3,049",77,"5,602",64,147,74,"2,562",74,"2,893",65,176,11,86,9,x,5,302,40,"3,083",4,0,0
100101000,10,1,1,0,1001000,- Division No.  1,341,46,x,8,x,41,x,13,x,0,0,11,x,9,x,27,x,21,x,15,x,122,"4,107",57,x,93,"2,876",57,"2,654",46,222,70,621,43,x,16,x,20,x,8,x,89,494,46,"2,148",21,x,12,161,13,"1,472",20,x,14,x,15,x,12,"3,049",73,"5,512",61,144,70,"2,522",70,"2,846",62,171,9,x,8,21,5,302,37,"2,433",3,0,0
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,5,x,1,x,5,x,0,0,0,0,1,x,0,0,6,x,1,x,2,x,7,87,3,x,6,43,2,x,5,x,5,20,2,x,2,x,3,x,1,x,6,18,2,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,6,247,5,9,5,152,5,86,4,4,1,x,0,0,0,0,4,x,0,0,0
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,13,215,5,x,7,87,3,4,6,83,7,57,0,0,3,25,5,32,1,x,11,60,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"2,771",28,73,32,"1,229",32,"1,469",12,13,1,x,1,x,2,x,12,698,1,0,0
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,6,"257,365",0,0,4,x,4,x,0,0,1,x,1,x,3,x,5,"1,659,860",1,x,4,107,2,x,4,x,4,x,0,0,2,x,2,x,0,0,0,0,1,x,2,x,3,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,6,x,5,7,6,x,6,x,3,5,0,0,2,x,1,x,12,"1,091",1,0,0
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,3,x,1,x,3,x,0,0,0,0,0,0,0,0,1,x,1,x,1,x,3,26,1,x,2,x,1,x,2,x,2,x,2,x,0,0,0,0,0,0,2,x,0,0,1,x,0,0,0,0,1,x,1,x,0,0,0,0,4,246,2,x,4,x,4,133,0,0,0,0,0,0,2,x,8,525,0,0,0
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,3,"72,750",0,0,2,x,2,x,0,0,2,x,1,x,1,x,1,x,1,x,10,74,2,x,7,41,3,17,6,24,2,x,0,0,2,x,0,0,1,x,8,22,3,5,2,x,0,0,0,0,2,x,0,0,2,x,0,0,11,795,9,22,10,338,10,435,4,6,0,0,0,0,0,0,1,x,0,0,0
