AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NVALMCH,VALMCH,NTOTTRC,TOTTRC,T2WHTR,T4WHTR,TVALTRC,NTTRCU20,TTRCU20,TRCU202,TRCU204,VTRCU20,NTTRC20,TTRC20,TRC202,TRC204,VTRC20,NTTRC40,TTRC40,TRC402,TRC404,VTRC40,NTTRC100,TTRC100,TRC1002,TRC1004,VTRC100,NTTRC149,TTRC149,TRC1492,TRC1494,VTRC149,NTOTTRK,TOTTRK,TVALTRK,NPICKUP,PICKUP,VPICKUP,NOTHTRK,OTHTRK,VOTHTRK,NAUTMBL,AUTMBL,VALATO,NSWTHER,SWTHER,VSWTHER,NMOWERS,MOWERS,VMOWER,NTOTCOMB,TOTCOMB,TVALCMB,NSPCOMB,SPCOMB,VSPCOMB,NPTCOMB,PTCOMB,VPTCOMB,NTOTBAL,TOTBAL,TVALBAL,NBALSML,BALSML,VBALSML,NBALLRG,BALLRG,VBALLRG,NHARVST,HARVST,VHARVST,NVCULTSD,VCULTSD,NVALOEQ,VALOEQ,NCOMPNY,NTOTFCAP,TOTFCAP,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,FCAPDST,FCAPDST_1,FCAPDST_2,FCAPDST_3,FCAPDST_4,FCAPDST_5,FCAPDST_6,FCAPDST_7,FCAPDST_8
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T24:Total number of farms,T24:Total farm machinery and equipment - Farms reporting,T24:Total farm machinery and equipment - Market value ($),T24:Total tractors - Farms reporting,T24:Total tractors - Total number,T24:Total tractors - Two wheel drive - Number,T24:Total tractors - Four wheel drive - Number,T24:Total tractors - Market value ($),T24:Tractors under 20 hp (15 kw) - Farms reporting,T24:Tractors under 20 hp (15 kw) - Total number,T24:Tractors under 20 hp (15 kw) - Two wheel drive - Number,T24:Tractors under 20 hp (15 kw) - Four wheel drive - Number,T24:Tractors under 20 hp (15 kw) - Market value ($),T24:Tractors from 20 to 39 hp (15-28 kw) - Farms reporting,T24:Tractors from 20 to 39 hp (15-28 kw) - Total number,T24:Tractors from 20 to 39 hp (15-28 kw) - Two wheel drive - Number,T24:Tractors from 20 to 39 hp (15-28 kw) - Four wheel drive - Number,T24:Tractors from 20 to 39 hp (15-28 kw) - Market value ($),T24:Tractors from 40 to 99 hp (29-74 kw) - Farms reporting,T24:Tractors from 40 to 99 hp (29-74 kw) - Total number,T24:Tractors from 40 to 99 hp (29-74 kw) - Two wheel drive - Number,T24:Tractors from 40 to 99 hp (29-74 kw) - Four wheel drive - Number,T24:Tractors from 40 to 99 hp (29-74 kw) - Market value ($),T24:Tractors from 100 to 149 hp (75-111 kw) - Farms reporting,T24:Tractors from 100 to 149 hp (75-111 kw) - Total number,T24:Tractors from 100 to 149 hp (75-111 kw) - Two wheel drive - Number,T24:Tractors from 100 to 149 hp (75-111 kw) - Four wheel drive - Number,T24:Tractors from 100 to 149 hp (75-111 kw) - Market value ($),T24:Tractors over 149 hp (111 kw) - Farms reporting,T24:Tractors over 149 hp (111 kw) - Total number,T24:Tractors over 149 hp (111 kw) - Two wheel drive - Number,T24:Tractors over 149 hp (111 kw) - Four wheel drive - Number,T24:Tractors over 149 hp (111 kw) - Market value ($),T24:Total farm trucks - Farms reporting,T24:Total farm trucks - Number,T24:Total farm trucks - Market value ($),T24:Pick-ups and cargo vans - Farms reporting,T24:Pick-ups and cargo vans - Number,T24:Pick-ups and cargo vans - Market value ($),T24:Other trucks - Farms reporting,T24:Other trucks - Number,T24:Other trucks - Market value ($),T24:Cars - Farms reporting,T24:Cars - Number,T24:Cars - Market value ($),T24:Swathers - Farms reporting,T24:Swathers - Number,T24:Swathers - Market value ($),T24:Mower-conditioners - Farms reporting,T24:Mower-conditioners - Number,T24:Mower-conditioners - Market value ($),T24:Total grain combines - Farms reporting,T24:Total grain combines - Number,T24:Total grain combines - Market value ($),T24:Grain combines - Self-propelled - Farms reporting,T24:Grain combines - Self-propelled - Number,T24:Grain combines - Self-propelled - Market value ($),T24:Grain combines - Pull type - Farms reporting,T24:Grain combines - Pull type - Number,T24:Grain combines - Pull type - Market value ($),T24:Total balers - Farms reporting,T24:Total balers - Number,T24:Total balers - Market value ($),T24:Balers making bales less than 200 lbs (90 kg) - Farms reporting,T24:Balers making bales less than 200 lbs (90 kg) - Number,T24:Balers making bales less than 200 lbs (90 kg) - Market value ($),T24:Balers making bales 200 lbs (90 kg) or more - Farms reporting,T24:Balers making bales 200 lbs (90 kg) or more - Number,T24:Balers making bales 200 lbs (90 kg) or more - Market value ($),T24:Forage harvesters - Farms reporting,T24:Forage harvesters - Number,T24:Forage harvesters - Market value ($),"T24:Cultivation, tillage and seeding equipment - Farms reporting","T24:Cultivation, tillage and seeding equipment - Market value ($)",T24:All other farm machinery and equipment - Farms reporting,T24:All other farm machinery and equipment - Market value ($),T24:Use of personal computers for farm management - Farms reporting,T25:Total farm capital - Farms reporting,T25:Total farm capital - Market value ($),T25:Farm machinery and equipment - Farms reporting,T25:Farm machinery and equipment - Market value ($),T25:Livestock and poultry - Farms reporting,T25:Livestock and poultry - Market value ($),T25:Total land and buildings - Farms reporting,T25:Total land and buildings - Market value ($),T25:Land and buildings - Owned - Farms reporting,T25:Land and buildings - Owned - Market value ($),T25:Land and buildings - Rented or leased from others - Farms reporting,T25:Land and buildings - Rented or leased from others - Market value ($),T26:Total number of farms,"T26:Total farm capital (under $50,000) - Farms reporting","T26:Total farm capital ($50,000-$99,999) - Farms reporting","T26:Total farm capital ($100,000-$199,999) - Farms reporting","T26:Total farm capital ($200,000-$349,999) - Farms reporting","T26:Total farm capital ($350,000-$499,999) - Farms reporting","T26:Total farm capital ($500,000-$999,999) - Farms reporting","T26:Total farm capital ($1,000,000-$1,499,999) - Farms reporting","T26:Total farm capital ($1,500,000 and over) - Farms reporting"
000000000,0,0,0,0,0000000,- Canada,"280,043","274,223","23,291,732,851","253,802","734,149","626,865","107,284","7,921,373,295","99,076","119,061","111,121","7,940","290,851,048","81,893","105,930","99,542","6,388","334,037,016","186,672","321,634","282,022","39,612","2,691,931,455","96,420","122,498","106,688","15,810","2,222,895,943","50,709","65,026","27,492","37,534","2,381,657,833","236,915","526,808","3,336,662,276","223,560","335,262","1,948,583,477","122,223","191,546","1,388,078,799","163,173","191,365","1,332,993,243","115,788","156,296","703,238,133","84,597","89,386","371,265,057","126,270","152,114","2,655,153,311","92,826","107,603","2,212,469,420","40,954","44,511","442,683,891","136,250","167,126","700,063,902","110,154","116,944","319,057,286","48,413","50,182","381,006,616","30,851","34,654","180,600,483","185,684","2,411,971,221","208,330","3,678,411,930","30,928","280,043","131,210,056,423","274,223","23,291,732,851","186,660","11,176,079,675","280,043","96,742,243,897","266,079","71,682,019,166","112,725","25,060,224,731","280,043","10,162","23,634","58,633","69,345","41,583","53,380","12,996","10,310"
100000000,10,0,0,0,1000000,- Newfoundland - Terre-Neuve,725,704,"27,951,525",487,844,580,264,"9,043,947",111,131,98,33,"606,310",220,274,221,53,"1,696,839",262,403,242,161,"5,940,798",25,29,16,13,"520,000",5,7,3,4,"280,000",525,796,"5,443,201",484,594,"4,161,573",156,202,"1,281,628",161,182,"1,657,851",17,19,"26,800",124,135,"756,371",0,0,0,0,0,0,0,0,0,196,217,"1,212,600",165,175,"698,350",41,42,"514,250",33,36,"256,240",227,"1,397,782",469,"8,156,733",71,725,"176,237,418",704,"27,951,525",453,"15,334,909",725,"132,950,984",582,"96,217,701",391,"36,733,283",725,187,133,164,107,47,63,14,10
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,358,"13,594,926",233,365,239,126,"4,309,247",52,65,51,14,x,109,132,105,27,"850,739",109,154,79,75,"2,691,098",9,x,x,x,x,2,x,x,x,x,265,382,"2,707,376",247,296,"2,159,673",71,86,"547,703",82,92,"889,451",7,9,"12,300",58,64,"335,471",0,0,0,0,0,0,0,0,0,89,99,"539,539",77,83,"320,039",16,16,"219,500",18,20,"95,740",100,"510,860",234,"4,194,942",45,365,"107,727,713",358,"13,594,926",240,"8,420,434",365,"85,712,353",315,"63,988,138",177,"21,724,215",365,82,63,79,61,25,37,11,7
100101000,10,1,1,0,1001000,- Division No.  1,341,334,"13,057,186",215,345,225,120,"4,175,647",48,61,49,12,x,100,123,98,25,"798,739",103,147,74,73,"2,635,498",9,x,x,x,x,2,x,x,x,x,246,361,"2,559,876",228,x,x,70,x,x,78,88,"842,451",7,9,"12,300",57,x,x,0,0,0,0,0,0,0,0,0,86,96,"526,539",74,80,"307,039",16,16,"219,500",17,x,x,91,x,214,"4,027,602",44,341,"104,633,918",334,"13,057,186",227,"8,260,979",341,"83,315,753",297,"62,104,438",165,"21,211,315",341,77,57,71,56,25,37,11,7
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,23,"800,973",12,18,12,6,"164,698",1,x,x,x,x,8,8,6,2,"70,000",3,x,x,x,x,0,0,0,0,0,1,x,x,x,x,14,16,"107,713",12,12,"91,500",3,4,"16,213",5,6,x,1,x,x,3,3,x,0,0,0,0,0,0,0,0,0,4,5,"43,900",3,x,x,2,x,x,1,x,x,3,"30,000",16,"393,300",1,24,"3,405,067",23,"800,973",17,"351,323",24,"2,252,771",18,"1,552,631",8,"700,140",24,7,7,7,1,1,1,0,0
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,40,"343,825",5,6,0,6,"61,500",2,x,x,x,x,3,3,0,3,"48,000",1,x,x,x,x,0,0,0,0,0,0,0,0,0,0,32,33,"212,500",31,x,x,1,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,3,3,"14,000",3,3,"14,000",0,0,0,1,x,x,2,x,13,"36,600",2,40,"2,972,207",40,"343,825",39,"500,012",40,"2,128,370",39,"1,900,600",10,"227,770",40,25,6,5,3,1,0,0,0
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,34,"1,511,010",20,33,23,10,"357,400",3,x,x,x,x,8,10,9,1,"53,900",14,18,10,8,"262,500",2,x,x,x,x,0,0,0,0,0,26,43,"338,000",25,32,"263,000",9,11,"75,000",11,11,"102,000",0,0,0,4,4,x,0,0,0,0,0,0,0,0,0,5,5,"19,500",5,5,"19,500",0,0,0,3,3,x,14,"103,860",26,"565,250",9,34,"8,862,193",34,"1,511,010",20,"950,598",34,"6,400,585",27,"5,221,985",26,"1,178,600",34,10,7,5,4,4,1,3,0
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,19,"517,800",9,11,5,6,"93,500",1,x,x,x,x,3,3,0,3,"23,000",6,x,x,x,x,0,0,0,0,0,0,0,0,0,0,10,15,"76,100",9,12,"60,300",3,3,"15,800",1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,3,3,"14,000",3,3,"14,000",0,0,0,0,0,0,2,x,17,"294,900",0,19,"3,252,383",19,"517,800",15,"118,583",19,"2,616,000",15,"1,240,500",15,"1,375,500",19,7,6,1,1,3,0,1,0
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,24,"549,800",15,28,28,0,"130,900",5,7,7,0,"36,900",10,17,17,0,"68,000",3,4,4,0,"26,000",0,0,0,0,0,0,0,0,0,0,15,24,"138,000",15,20,x,3,4,x,3,x,"64,000",2,x,x,4,4,x,0,0,0,0,0,0,0,0,0,9,14,"36,000",9,14,"36,000",0,0,0,0,0,0,4,x,16,"143,600",3,24,"3,471,427",24,"549,800",17,"390,597",24,"2,531,030",20,"1,768,300",14,"762,730",24,5,7,8,2,1,1,0,0
