AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NELECTY,ELECTY,NTINTRST,TINTRST,NINTOPER,INTOPER,NINTOTHD,INTOTHD,NTELPHON,TELPHON,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NCUSTOM,CUSTOM,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NFUELHT,FUELHT,NOTHEXP,OTHEXP,SALEDST,SALES95,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALEDST_9,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_11,FRMTYP1_9,FRMTYP1_10,FRMTYP1_12,NVFTPRD,VFTPRD,NMAPLET,MAPLET,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,T27:Total expenses - Farms reporting,T27:Total expenses - Amount ($),T27:Total rent or leasing expenses - Farms reporting,T27:Total rent or leasing expenses - Amount ($),T27:Rent or leasing expenses - Cash basis - Farms reporting,T27:Rent or leasing expenses - Cash basis - Amount ($),T27:Rent or leasing expenses - Share crop basis - Farms reporting,T27:Rent or leasing expenses - Share crop basis - Amount ($),T27:Total wages and salaries - Farms reporting,T27:Total wages and salaries - Amount ($),T27:Wages and salaries paid to family members - Farms reporting,T27:Wages and salaries paid to family members - Amount ($),T27:Wages and salaries paid to all other persons - Farms reporting,T27:Wages and salaries paid to all other persons - Amount ($),T27:Electricity expenses - Farms reporting,T27:Electricity expenses - Amount ($),T27:Total farm interest expenses - Farms reporting,T27:Total farm interest expenses - Amount ($),T27:Interest on operating debt - Farms reporting,T27:Interest on operating debt - Amount ($),T27:Interest on all other debts - Farms reporting,T27:Interest on all other debts - Amount ($),T27:Telephone expenses - Farms reporting,T27:Telephone expenses - Amount ($),T27:Total farm machinery expenses - Farms reporting,T27:Total farm machinery expenses - Amount ($),"T27:Farm machinery - Fuel, oil and lubricants - Farms reporting","T27:Farm machinery - Fuel, oil and lubricants - Amount ($)","T27:Farm machinery - Repairs, maintenance, insurance, etc. - Farms reporting","T27:Farm machinery - Repairs, maintenance, insurance, etc. - Amount ($)","T27:Custom work, contract work and machine rental or leasing - Farms reporting","T27:Custom work, contract work and machine rental or leasing - Amount ($)",T27:Total crop expenses - Farms reporting,T27:Total crop expenses - Amount ($),T27:Fertilizer and lime - Farms reporting,T27:Fertilizer and lime - Amount ($),"T27:Herbicides, insecticides, fungicides, etc. - Farms reporting","T27:Herbicides, insecticides, fungicides, etc. - Amount ($)",T27:Seed and seedlings - Farms reporting,T27:Seed and seedlings - Amount ($),T27:Total livestock expenses - Farms reporting,T27:Total livestock expenses - Amount ($),T27:Total feed and supplements - Farms reporting,T27:Total feed and supplements - Amount ($),T27:Feed and supplements from commercial suppliers - Farms reporting,T27:Feed and supplements from commercial suppliers - Amount ($),T27:Livestock and poultry purchases - Farms reporting,T27:Livestock and poultry purchases - Amount ($),"T27:Veterinary services, drugs, etc. - Farms reporting","T27:Veterinary services, drugs, etc. - Amount ($)",T27:Fuel for heating and crop drying - Farms reporting,T27:Fuel for heating and crop drying - Amount ($),T27:All other expenses - Farms reporting,T27:All other expenses - Amount ($),T28:Total number of farms,T28:Total gross farm receipts - Amount ($),"T28:Total gross farm receipts (under $2,500) - Farms reporting","T28:Total gross farm receipts ($2,500-$4,999) - Farms reporting","T28:Total gross farm receipts ($5,000-$9,999) - Farms reporting","T28:Total gross farm receipts ($10,000-$24,999) - Farms reporting","T28:Total gross farm receipts ($25,000-$49,999) - Farms reporting","T28:Total gross farm receipts ($50,000-$99,999) - Farms reporting","T28:Total gross farm receipts ($100,000-$249,999) - Farms reporting","T28:Total gross farm receipts ($250,000-$499,999) - Farms reporting","T28:Total gross farm receipts ($500,000 and over) - Farms reporting","T29:Total gross farm receipts of $2,500 or more - Farms reporting",T29:Farm type - Dairy - Farms reporting,T29:Farm type - Cattle - Farms reporting,T29:Farm type - Pigs - Farms reporting,T29:Farm type - Poultry - Farms reporting,T29:Farm type - Wheat - Farms reporting,T29:Farm type - Small grains (excluding wheat) - Farms reporting,T29:Farm type - Field crops (other than small grains) - Farms reporting,T29:Farm type - Fruits - Farms reporting,T29:Farm type - Vegetables - Farms reporting,T29:Farm type - Miscellaneous specialty - Farms reporting,T29:Farm type - Livestock combination - Farms reporting,T29:Farm type - Other combinations - Farms reporting,T30:Forest products sold - Farms reporting,T30:Forest products sold - Amount ($),T30:Number of taps on maple trees - Farms reporting,T30:Number of taps on maple trees - Number ,T31:Total weeks of paid labour - Farms reporting,T31:Total weeks of paid labour - Number of weeks,T31:Weeks of paid labour - Year round - Farms reporting,T31:Weeks of paid labour - Year round - Number of weeks,T31:Weeks of paid labour - Seasonal or temporary - Farms reporting,T31:Weeks of paid labour - Seasonal or temporary - Number of weeks
000000000,0,0,0,0,0000000,- Canada,"280,043","20,311,553,872","107,647","767,910,716","87,036","482,530,614","33,430","285,380,102","123,516","2,039,667,111","76,219","958,405,802","79,062","1,081,261,309","230,719","434,258,009","172,945","2,373,734,437","107,857","761,133,026","134,858","1,612,601,411","220,412","128,459,241","258,522","2,729,775,734","247,785","1,210,668,745","241,877","1,519,106,989","132,038","532,496,371","218,661","2,486,983,682","174,598","1,242,018,713","154,269","720,887,574","163,976","524,077,395","179,377","6,088,997,335","167,568","2,911,198,541","151,481","2,309,084,710","107,172","2,871,584,480","150,312","306,214,314","96,362","187,576,501","191,862","2,541,694,735","280,043","24,829,961,733","23,861","18,593","26,639","48,660","43,925","49,869","49,415","13,189","5,892","256,182","28,910","66,282","10,461","4,211","42,988","47,460","11,861","6,525","3,505","22,933","7,034","4,012","15,232","88,057,343","8,765","18,297,386","123,469","5,326,733","42,102","3,037,816","97,101","2,288,917"
100000000,10,0,0,0,1000000,- Newfoundland - Terre-Neuve,725,"60,808,903",274,"240,944",261,"227,126",23,"13,818",405,"10,330,261",205,"3,647,078",332,"6,683,183",398,"1,020,842",296,"3,190,246",181,"831,596",213,"2,358,650",410,"312,266",540,"3,234,075",505,"1,549,641",472,"1,684,434",138,"615,721",472,"2,044,688",431,"1,233,390",210,"262,687",313,"548,611",451,"31,682,361",439,"23,284,757",424,"22,309,643",218,"7,995,123",303,"402,481",115,"721,192",382,"7,416,307",725,"67,952,797",200,88,103,94,47,45,70,40,38,525,72,48,14,47,0,2,32,25,87,126,19,53,23,"52,075",0,0,405,"25,404",137,"13,492",352,"11,912"
100100000,10,1,0,0,1000000,- Agricultural Region - RÇgion agricole 1,365,"32,570,972",108,"105,930",99,x,16,x,192,"5,529,765",101,"1,931,137",153,"3,598,628",204,"604,510",127,"1,668,693",76,"478,537",93,"1,190,156",186,"161,755",263,"1,481,527",247,"697,253",224,"784,274",72,"261,985",230,"935,343",205,"522,631",98,"134,136",151,"278,576",241,"17,541,364",237,"13,149,177",233,"12,544,106",122,"4,125,502",161,"266,685",61,"449,548",166,"3,830,552",365,"36,788,861",95,52,49,44,21,20,42,22,20,270,45,24,11,24,0,0,12,5,45,65,11,28,3,"2,500",0,0,192,"13,430",71,"7,874",160,"5,556"
100101000,10,1,1,0,1001000,- Division No.  1,341,"31,209,779",100,x,92,x,15,x,180,"5,330,111",93,"1,852,172",142,"3,477,939",190,x,119,"1,624,514",71,"469,077",87,"1,155,437",175,x,242,"1,407,121",226,"658,740",206,"748,381",69,x,211,"896,586",188,"493,097",91,"130,366",140,"273,123",228,"17,140,819",224,x,221,"12,241,970",117,x,153,"265,159",57,x,157,x,341,"35,315,126",88,47,45,42,18,20,42,20,19,253,45,23,11,22,0,0,12,5,40,60,10,25,3,"2,500",0,0,180,"12,795",68,"7,418",151,"5,377"
100101155,10,1,1,155,1001155,"- Division No.  1, Subd. W",24,"1,377,048",3,x,3,x,0,0,12,"195,456",5,x,9,x,10,"29,402",6,x,6,x,2,x,9,"5,096",14,"47,325",13,"20,618",11,"26,707",3,x,10,"23,899",9,x,3,x,3,x,21,"961,614",19,x,19,"682,586",5,x,14,"6,941",1,x,11,x,24,"1,677,788",9,4,5,2,0,2,1,0,1,15,1,0,1,2,0,0,0,0,0,6,0,5,0,0,0,0,12,448,4,351,8,97
100101214,10,1,1,214,1001214,"- Division No.  1, Subd. C",40,"344,992",3,x,3,x,0,0,9,"84,121",4,x,6,x,7,x,5,"38,936",4,"14,936",3,"24,000",11,x,11,"35,750",9,"21,077",9,"14,673",4,"3,844",10,"20,577",10,x,1,x,2,x,39,"138,562",39,"121,053",39,"114,835",6,"12,044",11,"5,465",0,0,5,x,40,"200,606",23,8,3,5,0,1,0,0,0,17,0,2,0,0,0,0,0,0,0,10,4,1,0,0,0,0,9,204,3,61,7,143
100101293,10,1,1,293,1001293,"- Division No.  1, Subd. Y",34,"5,008,899",16,"10,876",16,"10,876",0,0,20,"707,453",12,"264,110",18,"443,343",24,"59,911",18,"295,989",10,"51,317",12,"244,672",21,"27,575",27,"256,048",27,"135,439",23,"120,609",9,"53,698",21,"105,875",17,"70,516",9,"19,788",15,"15,571",19,"3,045,535",19,"2,214,715",19,"2,187,272",11,"770,230",16,"60,590",9,"101,436",23,"344,503",34,"5,452,011",7,6,2,6,4,1,3,1,4,27,1,0,0,4,0,0,0,1,6,13,1,1,1,x,0,0,20,"1,518",4,288,20,"1,230"
100101304,10,1,1,304,1001304,"- Division No.  1, Subd. E",19,"884,095",10,x,9,"1,329",1,x,11,"236,371",5,"51,319",10,"185,052",13,"25,775",8,x,6,"16,144",5,x,12,x,15,"48,473",14,"26,343",10,"22,130",3,"12,650",6,"14,203",4,"7,447",3,"2,505",5,"4,251",14,"448,595",14,x,14,"359,424",6,x,9,"2,066",4,"1,080",11,x,19,"1,005,853",6,4,2,2,1,1,2,1,0,13,0,2,0,1,0,0,2,0,2,6,0,0,0,0,0,0,11,660,4,341,10,319
100101357,10,1,1,357,1001357,"- Division No.  1, Subd. H",24,"1,713,836",8,"2,512",8,"2,512",0,0,15,"327,998",8,"175,755",11,"152,243",14,"34,398",6,"63,060",1,x,6,x,11,"9,484",17,"65,594",16,"28,373",12,"37,221",1,x,16,"70,524",14,"27,899",7,"20,404",11,"22,221",16,"902,729",16,"662,238",16,"661,968",9,"235,971",12,"4,520",5,"43,751",14,x,24,"1,775,552",6,3,4,2,2,1,5,0,1,18,2,3,0,4,0,0,0,0,3,4,0,2,0,0,0,0,15,629,4,297,14,332
