AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,ALL1,ALL2,ALL3,SEX1,SEX2,AGE1,AGE2,AGE3,RES1,OFF1,OFF2,OFF3,OFF4,OFF5,OFF6,AVAGE1,AVOFF1
Geography,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Standard Geographical Classification,Geographic Identification,Total operators - number,Operators on farms with one operator - number,Operators on farms with two or more operators - number,Total operators - male - number,Total operators - female - number,Total operators - less than 35 years - number,Total operators - 35-54 years - number,Total operators - 55 years and over - number,Total operators - resided on the farm for all or part of the 12 months prior to the census - number,Total operators - not reporting days of off-farm work - number,Total operators - 1-24 days of off-farm work - number,Total operators - 25-96 days of off-farm work - number,Total operators - 97-228 days of off-farm work - number,Total operators - 229 or more days of off-farm work - number,Total operators - reporting days of off-farm work - number,Total operators - average age ,Total operators - average days of off-farm work
000000000,0,0,0,0,0000000,CANADA,"390,870","175,490","215,380","290,550","100,325","77,910","187,585","125,375","350,300","245,865","8,665","22,500","57,710","56,125","145,005",47.5,69.9
100000000,10,0,0,0,1000000,Newfoundland Terre-Neuve,895,560,335,730,165,135,535,230,665,515,15,100,140,130,385,46.2,77.5
100100000,10,1,0,0,1000000,Agricultural Region RÇgion agricole 1,450,290,160,375,75,65,270,115,350,255,10,35,80,65,190,46.3,81.4
100101000,10,1,1,0,1001000,Division No.  1,415,270,150,350,70,60,250,110,330,245,5,35,70,65,175,46.5,78.6
100101155,10,1,1,155,1001155,"Division No.  1, Subd. W",30,25,5,25,5,0,15,5,15,15,0,0,5,5,10,47.8,86.0
100101214,10,1,1,214,1001214,"Division No.  1, Subd. C",45,35,10,40,5,20,25,5,40,20,0,5,20,5,25,40.2,102.2
100101293,10,1,1,293,1001293,"Division No.  1, Subd. Y",45,25,20,35,10,5,35,10,35,25,0,5,5,5,15,46.5,75.8
100101304,10,1,1,304,1001304,"Division No.  1, Subd. E",20,20,5,20,0,5,15,5,10,15,0,0,10,0,5,44.2,41.0
100101357,10,1,1,357,1001357,"Division No.  1, Subd. H",35,20,15,25,5,5,20,5,30,10,0,5,10,5,20,48.1,94.7
100101405,10,1,1,405,1001405,"Division No.  1, Subd. K",45,25,15,35,10,5,25,15,35,25,0,5,10,5,20,47.9,75.3
100101515,10,1,1,515,1001515,St. John's Metropolitan Area,205,130,75,170,35,30,115,60,170,130,5,15,20,40,70,47.4,75.2
