AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TYPORG2_1,TYPORG2_2,TYPORG2_3,TYPORG2_4,TYPORG2_5,TYPORG2_6
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Sole proprietorship - Farms Reporting,Partnership with written agreement - Farms Reporting,Partnership with no written agreement - Farms Reporting,Family corporation - Farms Reporting,Non-family corporation - Farms Reporting,"Other (institution,community pasture,etc.) - Farms Reporting"
0,0,0,0,0,0,CANADA,276548,168007,19465,55433,27082,5605,956
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,446,12,69,148,28,39
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,217,4,33,77,13,22
100101000,1001000,10,1,1,0,Division No.  1,337,197,4,33,70,13,20
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,13,0,3,3,0,4
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,10,0,5,7,1,1
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,24,0,2,1,0,1
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,13,0,3,5,1,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,13,2,4,11,0,2
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,16,0,1,15,4,4
100101519,1001519,10,1,1,519,St. John's,168,108,2,15,28,7,8
100102000,1002000,10,1,2,0,Division No.  2,29,20,0,0,7,0,2
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,20,0,0,7,0,2
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,129,6,21,39,3,8
100206000,1006000,10,2,6,0,Division No.  6,46,30,0,4,9,1,2
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,30,0,4,9,1,2
100207000,1007000,10,2,7,0,Division No.  7,87,51,5,12,15,2,2
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,18,1,4,3,0,1
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,11,2,4,11,1,1
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,22,2,4,1,1,0
100208000,1008000,10,2,8,0,Division No.  8,73,48,1,5,15,0,4
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,14,0,2,3,0,2
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,16,0,1,6,0,1
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,18,1,2,6,0,1
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,100,2,15,32,12,9
100304000,1004000,10,3,4,0,Division No.  4,65,41,0,8,4,7,5
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,15,0,3,0,2,2
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,26,0,5,4,5,3
100305000,1005000,10,3,5,0,Division No.  5,105,59,2,7,28,5,4
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,23,2,4,14,3,1
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,14,0,1,9,2,1
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,22,0,2,5,0,2
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,2217,1424,168,302,255,56,12
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,235,30,54,42,10,2
110101000,1101000,11,1,1,0,Kings County,373,235,30,54,42,10,2
110101001,1101001,11,1,1,1,Lot 64,27,22,0,4,1,0,0
110101006,1101006,11,1,1,6,Lot 63,19,13,3,2,1,0,0
110101008,1101008,11,1,1,8,Lot 61,19,10,1,5,2,0,1
110101009,1101009,11,1,1,9,Lot 59,31,21,2,5,2,1,0
110101014,1101014,11,1,1,14,Lot 51,27,21,0,0,4,2,0
110101016,1101016,11,1,1,16,Lot 52,29,14,4,7,4,0,0
110101019,1101019,11,1,1,19,Lot 53,16,8,3,2,2,1,0
110101026,1101026,11,1,1,26,Lot 54,25,20,1,2,1,0,1
110101028,1101028,11,1,1,28,Lot 55,18,14,1,2,1,0,0
110101029,1101029,11,1,1,29,Lot 56,17,6,3,4,2,2,0
110101032,1101032,11,1,1,32,Lot 44,29,19,0,7,2,1,0
110101034,1101034,11,1,1,34,Lot 45,19,11,0,4,4,0,0
110101039,1101039,11,1,1,39,Lot 47,19,8,3,2,5,1,0
110101042,1101042,11,1,1,42,Lot 41,22,13,4,2,2,1,0
