AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTSMFRTC,TSMFRTC,ETSMFRTC,NTARHRV,TARHRV,ETARHRV,NSTWBRYC,STWBRYC,ESTWBRYC,NSTWBRYH,STWBRYH,ESTWBRYH,NRASPBC,RASPBC,ERASPBC,NRASPBH,RASPBH,ERASPBH,NBLUEBC,BLUEBC,EBLUEBC,NBLUEBH,BLUEBH,EBLUEBH,NCRANBC,CRANBC,ECRANBC,NCRANBH,CRANBH,ECRANBH,NGRAPESC,GRAPESC,EGRAPESC,NGRAPESH,GRAPESH,EGRAPESH,NOTHBERC,OTHBERC,EOTHBERC,NOTHBERH,OTHBERH,EOTHBERH
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area berries & grapes under cultivation - Farms Reporting,Total area berries & grapes under cultivation - Acres,Total area berries & grapes under cultivation - Hectares,Total area berries and grapes under harvest - Farms Reporting,Total area berries and grapes under harvest - Acres,Total area berries and grapes under harvest - Hectares,Strawberries under cultivation - Farms Reporting,Strawberries under cultivation - Acres,Strawberries under cultivation - Hectares,Strawberries under harvest - Farms Reporting,Strawberries under harvest - Acres,Strawberries under harvest - Hectares,Raspberries under cultivation - Farms Reporting,Raspberries under cultivation - Acres,Raspberries under cultivation - Hectares,Raspberries under harvest - Farms Reporting,Raspberries under harvest - Acres,Raspberries under harvest - Hectares,Blueberries under cultivation - Farms Reporting,Blueberries under cultivation - Acres,Blueberries under cultivation - Hectares,Blueberries under harvest - Farms Reporting,Blueberries under harvest - Acres,Blueberries under harvest - Hectares,Cranberries under cultivation - Farms Reporting,Cranberries under cultivation - Acres,Cranberries under cultivation - Hectares,Cranberries under harvest - Farms Reporting,Cranberries under harvest - Acres,Cranberries under harvest - Hectares,Grapes under cultivation - Farms Reporting,Grapes under cultivation - Acres,Grapes under cultivation - Hectares,Grapes under harvest - Farms Reporting,Grapes under harvest - Acres,Grapes under harvest - Hectares,Total area other berries under cultivation - Farms Reporting,Total area other berries under cultivation - Acres,Total area other berries under cultivation - Hectares,Total area other berries under harvest - Farms Reporting,Total area other berries under harvest - Acres,Total area other berries under harvest - Hectares
0,0,0,0,0,0,CANADA,"276,548","8,029","142,143","57,523","7,357","98,378","39,812","3,238","16,902","6,840","3,068","13,017","5,268","2,905","9,956","4,029","2,719","8,612","3,485","2,009","89,505","36,221","1,825","54,367","22,002",125,"4,527","1,832",101,"3,782","1,530","1,330","18,569","7,515","1,228","17,041","6,896","1,208","2,684","1,086",826,"1,559",631
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,85,"2,052",831,84,"1,062",430,68,272,110,68,214,87,26,39,16,25,34,14,9,"1,733",701,9,807,327,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,9,7,3
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,27,722,292,27,466,189,18,x,x,18,33,14,5,5,2,5,4,1,7,x,x,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,4,x,x
100101000,1001000,10,1,1,0,Division No.  1,337,25,x,x,25,x,x,16,x,x,16,x,x,5,5,2,5,4,1,7,x,x,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,4,x,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,3,3,1,3,3,1,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,3,x,x,3,x,x,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
