AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCAB,CHINCAB,ECHINCAB,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NONIONS,ONIONS,EONIONS,NSHALOT,SHALOT,ESHALOT,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NSQPUMP,SQPUMP,ESQPUMP,NRHBARB,RHBARB,ERHBARB,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NOTHVEG,OTHVEG,EOTHVEG
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area of vegetables - Farms Reporting,Total area of vegetables - Acres,Total area of vegetables - Hectares,Sweet corn - Farms Reporting,Sweet corn - Acres,Sweet corn - Hectares,Tomatoes - Farms Reporting,Tomatoes - Acres,Tomatoes - Hectares,Cucumbers and gherkins - Farms Reporting,Cucumbers and gherkins - Acres,Cucumbers and gherkins - Hectares,Green peas - Farms Reporting,Green peas - Acres,Green peas - Hectares,Green or wax beans - Farms Reporting,Green or wax beans - Acres,Green or wax beans - Hectares,Cabbage - Farms Reporting,Cabbage - Acres,Cabbage - Hectares,Chinese cabbage - Farms Reporting,Chinese cabbage - Acres,Chinese cabbage - Hectares,Cauliflower - Farms Reporting,Cauliflower - Acres,Cauliflower - Hectares,Broccoli - Farms Reporting,Broccoli - Acres,Broccoli - Hectares,Brussels sprouts - Farms Reporting,Brussels sprouts - Acres,Brussels sprouts - Hectares,Carrots - Farms Reporting,Carrots - Acres,Carrots - Hectares,Rutabagas (turnips) - Farms Reporting,Rutabagas (turnips) - Acres,Rutabagas (turnips) - Hectares,Beets - Farms Reporting,Beets - Acres,Beets - Hectares,Radishes - Farms Reporting,Radishes - Acres,Radishes - Hectares,Dry onions - Farms Reporting,Dry onions - Acres,Dry onions - Hectares,"Green or bunching onions, shallots - Farms Reporting","Green or bunching onions, shallots - Acres","Green or bunching onions, shallots - Hectares",Celery - Farms Reporting,Celery - Acres,Celery - Hectares,Lettuces - Farms Reporting,Lettuces - Acres,Lettuces - Hectares,Spinach - Farms Reporting,Spinach - Acres,Spinach - Hectares,Peppers - Farms Reporting,Peppers - Acres,Peppers - Hectares,"Squash, pumpkins and zucchini - Farms Reporting","Squash, pumpkins and zucchini - Acres","Squash, pumpkins and zucchini - Hectares",Rhubarb - Farms Reporting,Rhubarb - Acres,Rhubarb - Hectares,"Asparagus, producing - Farms Reporting","Asparagus, producing - Acres","Asparagus, producing - Hectares","Asparagus, non - producing - Farms Reporting","Asparagus, non - producing - Acres","Asparagus, non - producing - Hectares",Total area of other vegetables - Farms Reporting,Total area of other vegetables - Acres,Total area of other vegetables - Hectares
0,0,0,0,0,0,CANADA,"276,548","11,440","315,547","127,697","4,921","93,605","37,881","3,978","25,539","10,335","3,110","8,113","3,283","2,378","40,425","16,360","2,784","22,871","9,256","2,150","11,813","4,780",370,"1,398",566,"1,485","7,489","3,031","1,541","9,877","3,997",485,"1,601",648,"2,865","23,715","9,597","1,223","7,108","2,876","2,182","2,529","1,023",925,"2,253",912,"1,872","12,742","5,157","1,146","1,757",711,363,"1,930",781,"1,652","8,799","3,561",788,"1,452",588,"1,889","6,018","2,435","3,240","10,082","4,080",837,546,221,676,"2,854","1,155",377,874,354,"2,693","10,156","4,110"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,246,"1,330",538,3,x,x,17,5,2,13,4,2,17,5,2,16,3,1,185,306,124,17,6,2,72,29,12,83,43,17,28,9,4,173,237,96,208,460,186,146,109,44,10,7,3,20,4,2,15,3,1,10,2,0,44,25,10,12,4,2,8,3,1,26,10,4,17,4,2,0,0,0,0,0,0,36,49,20
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,118,547,221,0,0,0,7,1,0,4,x,x,7,2,0,8,1,0,87,118,48,13,5,2,37,13,5,41,16,6,21,8,3,86,98,40,99,166,67,69,48,19,4,x,x,11,3,1,11,1,0,7,1,0,23,12,5,9,4,1,3,x,x,12,3,1,8,1,0,0,0,0,0,0,0,27,43,17
100101000,1001000,10,1,1,0,Division No.  1,337,110,499,202,0,0,0,7,1,0,4,x,x,7,2,0,8,1,0,80,103,42,12,x,x,35,x,x,37,14,6,21,8,3,79,89,36,91,150,61,63,43,17,4,x,x,11,3,1,11,1,0,7,1,0,21,x,x,9,4,1,3,x,x,11,x,x,8,1,0,0,0,0,0,0,0,27,43,17
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,1,x,x,1,x,x,0,0,0,3,2,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,8,38,16,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,6,9,4,1,x,x,3,1,0,2,x,x,0,0,0,4,11,4,7,9,4,6,3,1,1,x,x,1,x,x,2,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,4,x,x
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,3,18,7,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x,3,x,x,2,x,x,2,x,x,2,x,x,2,x,x,3,x,x,3,3,1,3,1,0,1,x,x,2,x,x,2,x,x,2,x,x,1,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,1,x,x
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,4,27,11,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,4,7,3,1,x,x,2,x,x,2,x,x,0,0,0,3,x,x,4,10,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
