AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NNURSERY,NURSERY,ENURSERY,NSOD,SOD,ESOD,NTUNGLAS,TUNGLAS,FTUNGLAS,NTOTGRN,TOTGRN,FTOTGRN,NFLOWER,FLOWER,FFLOWER,NGRNVEG,GRNVEG,FGRNVEG,NGRNOTHR,GRNOTHR,FGRNOTHR,NMUSHRM,MUSHRM,FMUSHRM
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area of nursery products - Farms Reporting,Total area of nursery products - Acres,Total area of nursery products - Hectares,Total area of sod grown for sale - Farms Reporting,Total area of sod grown for sale - Acres,Total area of sod grown for sale - Hectares,Total greenhouse area under glass - Farms Reporting,Total greenhouse area under glass - Sq feet,Total greenhouse area under glass - Sq metres,"Total area of greenhouse in use on May 14, 1996- Farms Reporting","Total area of greenhouse in use on May 14, 1996- Sq feet","Total area of greenhouse in use on May 14, 1996- Sq metres",Greenhouse flowers - Farms Reporting,Greenhouse flowers - Sq feet,Greenhouse flowers - Sq metres,Greenhouse vegetables - Farms Reporting,Greenhouse vegetables - Sq feet,Greenhouse vegetables - Sq metres,Other greenhouse products - Farms Reporting,Other greenhouse products - Sq feet,Other greenhouse products - Sq metres,Total growing area for mushrooms - Farms Reporting,Total growing area for mushrooms - Sq feet,Total growing area for mushrooms - Sq metres
0,0,0,0,0,0,CANADA,"276,548","4,844","53,180","21,521",422,"54,274","21,964","6,422","138,998,721","12,913,404","6,422","137,139,380","12,740,665","4,340","74,322,552","6,904,791","2,903","45,296,753","4,208,206","1,258","17,520,075","1,627,668",224,"7,247,825","673,345"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,27,55,22,19,304,123,98,"420,551","39,070",98,"409,518","38,045",69,"347,380","32,273",38,"35,932","3,338",22,"26,206","2,435",1,x,x
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,15,27,11,10,214,87,47,"267,745","24,874",47,"260,591","24,210",30,"236,802","22,000",18,"11,867","1,102",14,"11,922","1,108",1,x,x
100101000,1001000,10,1,1,0,Division No.  1,337,13,x,x,9,x,x,44,"256,929","23,869",44,x,x,27,x,x,17,x,x,13,x,x,1,x,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,1,x,x,0,0,0,5,"21,490","1,996",5,"21,490","1,996",4,x,x,2,x,x,2,x,x,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,2,x,x,2,x,x,5,x,x,5,"11,861","1,102",3,x,x,1,x,x,4,"1,161",108,0,0,0
