AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NXMSAREA,XMSAREA,EXMSAREA,NXMASTRE,XMASTRE,NMAPLET,MAPLET,NVFTPROD,VFTPROD
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area of christmas trees - Farms Reporting,Total area of christmas trees - Acres,Total area of christmas trees - Hectares,Number of christmas trees harvested - Farms Reporting,Number of christmas trees harvested,Number of maple taps - Farms Reporting,Number of maple taps,Sales of forest products - Farms Reporting,Sales of forest products - Dollars
0,0,0,0,0,0,CANADA,"276,548","4,077","126,197","51,070","2,194","3,165,126","9,546","23,026,708","17,735","180,061,841"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,27,374,151,4,225,0,0,23,"54,869"
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,13,149,60,1,x,0,0,8,"11,850"
100101000,1001000,10,1,1,0,Division No.  1,337,11,x,x,1,x,0,0,8,"11,850"
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,2,x,x,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,3,x,x,1,x,0,0,1,x
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,0,0,0,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,0,0,0,0,0,0,0,1,x
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,1,x,x,0,0,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,5,46,19,0,0,0,0,6,x
100102000,1002000,10,1,2,0,Division No.  2,29,2,x,x,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,2,x,x,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,9,x,x,2,x,0,0,6,"25,201"
100206000,1006000,10,2,6,0,Division No.  6,46,6,151,61,2,x,0,0,1,x
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,6,151,61,2,x,0,0,1,x
100207000,1007000,10,2,7,0,Division No.  7,87,2,x,x,0,0,0,0,3,"22,611"
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,0,0,0,0,0,0,0,1,x
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,0,0,0,0,0,0,0,1,x
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,2,x,x,0,0,0,0,1,x
100208000,1008000,10,2,8,0,Division No.  8,73,1,x,x,0,0,0,0,2,x
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,1,x,x,0,0,0,0,2,x
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,5,x,x,1,x,0,0,9,"17,818"
100304000,1004000,10,3,4,0,Division No.  4,65,3,11,4,1,x,0,0,7,x
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,0,0,0,0,0,0,0,4,x
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,3,11,4,1,x,0,0,3,"10,000"
100305000,1005000,10,3,5,0,Division No.  5,105,2,x,x,0,0,0,0,2,x
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,0,0,0,0,0,0,0,2,x
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,2,x,x,0,0,0,0,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,0,0,0,0,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",34,301,122,17,"5,954",5,x,171,"954,920"
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,8,155,63,3,"1,950",0,0,40,"433,854"
110101000,1101000,11,1,1,0,Kings County,373,8,155,63,3,"1,950",0,0,40,"433,854"
110101001,1101001,11,1,1,1,Lot 64,27,1,x,x,0,0,0,0,2,x
110101006,1101006,11,1,1,6,Lot 63,19,0,0,0,0,0,0,0,1,x
110101008,1101008,11,1,1,8,Lot 61,19,0,0,0,0,0,0,0,1,x
110101009,1101009,11,1,1,9,Lot 59,31,2,x,x,2,x,0,0,4,"49,000"
110101014,1101014,11,1,1,14,Lot 51,27,0,0,0,0,0,0,0,2,x
110101016,1101016,11,1,1,16,Lot 52,29,1,x,x,0,0,0,0,2,x
110101019,1101019,11,1,1,19,Lot 53,16,0,0,0,0,0,0,0,3,"12,400"
110101026,1101026,11,1,1,26,Lot 54,25,1,x,x,1,x,0,0,3,"19,000"
110101028,1101028,11,1,1,28,Lot 55,18,0,0,0,0,0,0,0,1,x
110101029,1101029,11,1,1,29,Lot 56,17,0,0,0,0,0,0,0,0,0
110101032,1101032,11,1,1,32,Lot 44,29,1,x,x,0,0,0,0,7,"131,221"
110101034,1101034,11,1,1,34,Lot 45,19,1,x,x,0,0,0,0,3,x
110101039,1101039,11,1,1,39,Lot 47,19,0,0,0,0,0,0,0,2,x
110101042,1101042,11,1,1,42,Lot 41,22,0,0,0,0,0,0,0,2,x
110101046,1101046,11,1,1,46,Lot 40,19,0,0,0,0,0,0,0,2,x
110101049,1101049,11,1,1,49,Lot 39,17,1,x,x,0,0,0,0,2,x
110101051,1101051,11,1,1,51,Lot 38,20,0,0,0,0,0,0,0,3,"8,500"
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",15,96,39,7,"3,568",3,55,83,"360,885"
110202000,1102000,11,2,2,0,Queens County,"1,088",15,96,39,7,"3,568",3,55,83,"360,885"
110202001,1102001,11,2,2,1,Lot 62,16,1,x,x,1,x,0,0,3,"13,244"
110202004,1102004,11,2,2,4,Lot 60,17,0,0,0,0,0,0,0,5,"29,510"
110202006,1102006,11,2,2,6,Lot 58,19,0,0,0,0,0,0,0,2,x
110202008,1102008,11,2,2,8,Lot 57,49,1,x,x,1,x,0,0,3,"9,600"
