AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTCHICK,TCHICK,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NHENHTCH,HENHTCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NBROILPD,BROILPD,GBROILPD,NTURKPRD,TURKPRD,GTURKPRD,NHATCHNM,HATCHNM,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NSTEERS,STEERS,NCALFU1,CALFU1,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NBISON,BISON,NDEER,DEER,NLAMAS,LAMAS,NOTHLIV,NBEES,BEES
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total hens and chickens - Farms Reporting,Total hens and chickens - Number,"Broilers, roasters and cornish - Farms Reporting","Broilers, roasters and cornish - Number",Pullets and pullet chicks - under 19 wks - Farms Reporting,Pullets and pullet chicks - under 19 wks - Number,Laying hens -  19 wks. and over - Farms Reporting,Laying hens -  19 wks. and over - Number,Laying hens in hatchery supply flock - Farms Reporting,Laying hens in hatchery supply flock - Number,Turkeys - Farms Reporting,Turkeys - Number,Other poultry - Farms Reporting,Other poultry - Number,"Broilers, roasters & cornish production - Farms Reporting","Broilers, roasters & cornish production - Kilograms","Broilers, roasters & cornish production - Pounds",Turkey production - Farms Reporting,Turkey production - Kilograms,Turkey production - Pounds,Chicks or other poultry hatched - Farms Reporting,Chicks or other poultry hatched - Number,Total cattle and calves - Farms Reporting,Total cattle and calves - Number,Bulls - 1 year and over - Farms Reporting,Bulls - 1 year and over - Number,Total cows - Farms Reporting,Total cows - Number,Milk cows - Farms Reporting,Milk cows - Number,Beef cows - Farms Reporting,Beef cows - Number,Heifers - 1 year and over - Farms Reporting,Heifers - 1 year and over - Number,Steers - 1 year and over - Farms Reporting,Steers - 1 year and over - Number,Calves - under 1 year - Farms Reporting,Calves - under 1 year - Number,Total pigs - Farms Reporting,Total pigs - Number,Boars - 6 months and over - Farms Reporting,Boars - 6 months and over - Number,Sows and bred gilts - Farms Reporting,Sows and bred gilts - Number,Total other pigs - Farms Reporting,Total other pigs - Number,Total sheep and lambs - Farms Reporting,Total sheep and lambs - Number,Rams - 1 year and over - Farms Reporting,Rams - 1 year and over - Number,Ewes and wethers - 1 year and over - Farms Reporting,Ewes and wethers - 1 year and over - Number,Lambs - under 1 year - Farms Reporting,Lambs - under 1 year - Number,Horses and ponies - Farms Reporting,Horses and ponies - Number,Goats - Farms Reporting,Goats - Number,Rabbits - Farms Reporting,Rabbits - Number,Mink - Farms Reporting,Mink - Number,Fox - Farms Reporting,Fox - Number,Bison (buffalo) - Farms Reporting,Bison (buffalo) - Number,Deer and elk - Farms Reporting,Deer and elk - Number,Llamas and alpacas - Farms Reporting,Llamas and alpacas - Number,Total other livestock - Farms Reporting,Colonies of bees harvested for honey - Farms Reporting,Colonies of bees harvested for honey - Number
0,0,0,0,0,0,CANADA,"276,548","28,240","102,255,149","10,752","68,936,770","5,324","10,467,364","21,811","22,851,015",291,"3,609,369","4,603","8,586,191","10,851","3,321,351","13,051","803,497,386","1,771,408,496","4,804","157,303,207","346,794,205",138,"560,728,944","142,157","14,893,034","93,597","290,975","127,685","5,908,317","30,926","1,227,732","103,673","4,680,585","100,930","2,285,988","51,674","1,734,113","125,173","4,673,641","21,105","11,040,462","10,858","59,416","12,134","1,089,007","19,850","9,892,039","11,790","864,850","8,124","19,683","10,978","427,851","10,093","417,316","56,707","443,889","8,252","125,819","6,394","285,366",219,"1,306,961",309,"41,997",745,"45,437","1,076","69,883","1,180","8,669","3,101","3,548","459,265"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,99,"1,477,816",29,"1,090,116",14,"51,639",77,"336,061",1,x,18,"9,446",44,922,38,"10,432,911","23,000,631",41,"90,731","200,028",1,x,202,"8,252",117,192,161,"5,175",76,"4,443",97,732,118,"1,116",33,138,164,"1,631",35,"4,452",21,54,20,469,31,"3,929",124,"6,402",99,175,121,"3,065",117,"3,162",80,275,38,249,16,150,4,x,48,"8,275",0,0,0,0,0,0,2,5,39
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,45,"646,191",15,x,9,x,36,x,0,0,11,"9,048",22,568,20,x,x,31,"77,935","171,817",1,x,114,"4,063",65,98,88,"2,742",42,"2,434",52,308,67,529,17,44,88,650,17,"2,327",11,32,11,233,15,"2,062",65,"3,098",45,81,63,"1,429",61,"1,588",44,133,21,130,8,94,3,x,22,"5,842",0,0,0,0,0,0,0,1,x
100101000,1001000,10,1,1,0,Division No.  1,337,39,x,12,x,9,x,31,"165,389",0,0,11,"9,048",20,x,19,x,x,29,x,x,1,x,108,"4,002",63,x,84,"2,732",42,"2,434",48,298,63,512,14,x,84,633,17,"2,327",11,32,11,233,15,"2,062",57,"2,864",39,74,56,"1,325",53,"1,465",41,126,18,120,6,x,2,x,19,x,0,0,0,0,0,0,0,1,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,4,x,0,0,0,0,4,x,0,0,0,0,0,0,2,x,x,2,x,x,0,0,7,84,4,4,5,x,3,x,2,x,5,24,1,x,5,17,2,x,1,x,1,x,2,x,8,337,6,10,8,173,7,154,1,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,1,x,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,2,x,x,1,x,4,92,3,3,4,74,1,x,3,x,2,x,0,0,3,x,4,12,2,x,2,x,3,x,8,337,8,12,8,169,8,156,5,6,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,14,135,8,x,10,57,1,x,9,x,7,23,2,x,9,39,1,x,0,0,0,0,1,x,18,"1,156",11,24,18,534,17,598,2,x,0,0,0,0,0,0,5,709,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,2,x,2,x,0,0,0,0,0,0,0,0,1,x,2,x,x,1,x,x,0,0,3,18,1,x,1,x,0,0,1,x,2,x,2,x,2,x,3,x,3,4,3,36,3,x,4,139,3,4,4,62,4,73,3,3,3,9,0,0,1,x,7,925,0,0,0,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,3,x,1,x,1,x,1,x,0,0,1,x,1,x,2,x,x,3,x,x,0,0,8,128,3,3,8,40,3,4,7,36,5,13,3,10,8,62,1,x,1,x,1,x,0,0,5,x,3,x,5,x,5,x,3,6,3,x,2,x,1,x,2,x,0,0,0,0,0,0,0,0,0
