AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTFCAP,TOTFCAP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NCAPITAL,CAPITAL,NCAPBLDG,CAPBLDG,NCAPQUOT,CAPQUOT,NCAPLAND,CAPLAND,NCAPLDIM,CAPLDIM,NNEWCAR,NEWCAR,NNEWTRUK,NEWTRUK,NNEWMACH,NEWMACH,NUSEDVEH,USEDVEH
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total farm capital - Farms Reporting,Total farm capital - Market value $,Total value of land and buildings - Farms Reporting,Total value of land and buildings - Market value $,Value of land and buildings owned - Farms Reporting,Value of land and buildings owned - Market value $,Value of land and buildings rented - Farms Reporting,Value of land and buildings rented - Market value $,Total value - farm machinery & equipment - Farms Reporting,Total value - farm machinery & equipment - Market value $,Value of livestock and poultry - Farms Reporting,Value of livestock and poultry - Market value $,Total purchases of capital assets - Farms Reporting,Total purchases of capital assets - Dollars,Construction or renovation of buidlings and fences - Farms Reporting,Construction or renovation of buildings and fences - Dollars,Quota purchased - Farms Reporting,Quota purchased - Dollars,Purchase of land - Farms Reporting,Purchase of land - Dollars,Land improvements - Farms Reporting,Land improvements - Dollars,New cars and other passenger vehicles - Farms Reporting,New cars and other passenger vehicles - Dollars,New farm trucks - Farms Reporting,New farm trucks - Dollars,New farm machinery and equipment - Farms Reporting,New farm machinery and equipment - Dollars,Used farm vehicles and machinery - Farms Reporting,Used farm vehicles and machinery - Dollars
000000000,0000000,0,0,0,0,CANADA,"276,548","156,468,941,335","276,548","116,223,711,975","264,214","89,422,046,551","113,291","26,801,665,424","270,621","28,400,398,232","182,466","11,844,831,128","132,727","6,198,861,405","62,710","1,103,651,904","6,051","307,850,773","12,925","1,251,236,383","21,966","140,959,156","8,534","164,985,501","16,216","410,213,522","44,250","1,602,015,436","69,186","1,217,948,730"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,"184,156,789",742,"139,059,564",602,"101,868,867",408,"37,190,697",686,"30,355,967",405,"14,741,258",247,"7,888,722",140,"2,213,631",8,"773,346",14,"482,570",66,"438,068",12,"214,644",32,"686,265",67,"1,934,744",82,"1,145,454"
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,"101,144,698",366,"79,661,470",309,"58,739,696",185,"20,921,774",342,"13,921,712",209,"7,561,516",121,"4,301,211",72,"1,567,351",3,"182,000",4,"211,000",35,"240,019",6,"122,172",17,"363,515",32,"993,958",38,"621,196"
100101000,1001000,10,1,1,0,Division No.  1,337,"97,477,923",337,"76,701,670",289,"56,793,396",166,"19,908,274",314,"13,394,412",194,"7,381,841",112,"4,252,072",66,"1,555,290",3,"182,000",4,"211,000",31,"235,578",6,"122,172",17,"363,515",30,x,35,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,"2,698,235",23,"2,020,080",17,"877,500",11,"1,142,580",18,"486,200",14,"191,955",6,"38,600",3,x,0,0,0,0,2,x,0,0,0,0,0,0,4,"14,600"
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,"3,430,744",24,"2,509,864",18,"1,252,002",20,"1,257,862",21,"710,515",13,"210,365",11,"203,783",7,"124,994",0,0,0,0,3,"4,313",0,0,3,x,3,"22,176",3,x
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,"2,340,528",28,"1,793,971",27,"1,276,701",12,"517,270",22,"261,000",27,"285,557",10,"28,799",8,x,0,0,0,0,0,0,1,x,0,0,0,0,2,x
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,"5,721,993",22,"4,655,045",20,"4,072,000",12,"583,045",22,"475,278",15,"591,670",6,"180,813",3,x,0,0,0,0,2,x,0,0,2,x,0,0,1,x
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,"4,974,050",32,"3,542,837",26,"2,806,802",15,"736,035",30,"965,978",15,"465,235",8,"273,541",6,"169,817",0,0,0,0,1,x,0,0,1,x,4,x,3,"14,900"
