AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NTINSUR,TINSUR,NINSCROP,INSCROP,NINSOTH,INSOTH,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NSEEDCO,SEEDCO,NCONTAIN,CONTAIN,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NCUSTOM,CUSTOM,NTOTINT,TOTINT,NTELPHON,TELPHON,NELECTY,ELECTY,NFUELHT,FUELHT,NREPBLDG,REPBLDG,NOTHEXP,OTHEXP,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total farm operating expenses - Farms Reporting,Total farm operating expenses - Dollars,Total rent/leasing expenses - Farms Reporting,Total rent/leasing expenses - Dollars,Rent or leasing expenses - cash basis - Farms Reporting,Rent or leasing expenses - cash basis - Dollars,Rent or leasing expenses - share basis - Farms Reporting,Rent or leasing expenses - share basis - Dollars,Total cash wages - Farms Reporting,Total cash wages - Dollars,Cash wages paid to family members - Farms Reporting,Cash wages paid to family members - Dollars,Cash wages paid to all other persons - Farms Reporting,Cash wages paid to all other persons - Dollars,Total insurance - Farms Reporting,Total insurance - Dollars,Crop and hail insurance premiums - Farms Reporting,Crop and hail insurance premiums - Dollars,Other farm business insurance premiums - Farms Reporting,Other farm business insurance premiums - Dollars,Total machinery expenses - Farms Reporting,Total machinery expenses - Dollars,"Machinery fuel, oil and lubricants - Farms Reporting","Machinery fuel, oil and lubricants - Dollars",Machinery repairs and maintenance - Farms Reporting,Machinery repairs and maintenance - Dollars,Total crop expenses - Farms Reporting,Total crop expenses - Dollars,Fertilizer and lime purchases - Farms Reporting,Fertilizer and lime purchases - Dollars,Chemical purchases - Farms Reporting,Chemical purchases - Dollars,Seed and seedling purchases - Farms Reporting,Seed and seedling purchases - Dollars,Seed and seedling purchased from commercial sources - Farms Reporting,Seed and seedling purchased from commercial sources - Dollars,Packaging material expenses - Farms Reporting,Packaging material expenses - Dollars,Total livestock expenses - Farms Reporting,Total livestock expenses - Dollars,Feed and supplement purchases - Farms Reporting,Feed and supplement purchases - Dollars,Feed and supplement purchased from commercial sources - Farms Reporting,Feed and supplement purchased from commercial sources - Dollars,Livestock and poultry purchases - Farms Reporting,Livestock and poultry purchases - Dollars,Veterinary services - Farms Reporting,Veterinary services - Dollars,Custom work and machine rental - Farms Reporting,Custom work and machine rental - Dollars,Total farm interest expenses - Farms Reporting,Total farm interest expenses - Dollars,Telephone and other telecommunications - Farms Reporting,Telephone and other telecommunications - Dollars,Electricity - Farms Reporting,Electricity - Dollars,Fuel expenses for heating and crop drying - Farms Reporting,Fuel expenses for heating and crop drying - Dollars,Repairs and maintenance to farm buildings - Farms Reporting,Repairs and maintenance to farm buildings - Dollars,All other farm operating expenses - Farms Reporting,All other farm operating expenses - Dollars,Total paid labour - Farms Reporting,Total paid labour - Weeks,"Paid labour, yearly - Farms Reporting","Paid labour, yearly - Weeks","Paid labour, seasonal or temporary - Farms Reporting","Paid labour, seasonal or temporary - Weeks"
000000000,0000000,0,0,0,0,CANADA,"276,548","26,669,926,814","106,590","988,511,851","89,030","623,638,727","29,165","364,873,124","120,172","2,695,455,424","76,968","1,126,778,253","75,396","1,568,677,171","247,209","1,078,826,163","114,674","520,888,509","229,856","557,937,654","263,555","2,898,773,932","258,992","1,319,957,206","244,264","1,578,816,726","210,332","3,860,953,133","172,340","1,929,797,982","148,094","1,097,710,346","150,348","833,444,805","133,679","678,070,660","120,010","256,657,116","182,078","8,533,676,398","165,365","3,856,712,979","149,443","3,158,158,814","105,039","4,241,607,691","157,242","435,355,728","144,864","958,450,878","161,152","1,816,395,996","232,437","198,840,031","245,605","569,165,425","94,446","236,692,267","210,344","591,922,540","248,463","1,985,605,660","120,172","6,360,353","48,490","3,987,070","88,002","2,373,283"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,"66,612,382",265,"405,334",251,"381,867",17,"23,467",382,"12,734,030",226,"5,132,671",299,"7,601,359",467,"1,127,038",40,"26,166",451,"1,100,872",628,"3,341,294",614,"1,612,214",532,"1,729,080",521,"2,670,280",485,"1,436,982",264,"307,147",359,"926,151",299,"682,963",386,"1,315,189",409,"33,901,101",384,"22,801,217",363,"21,260,475",237,"10,603,330",290,"496,554",158,"499,508",244,"2,233,491",489,"428,403",524,"1,238,140",202,"884,041",456,"1,181,330",477,"4,653,203",382,"28,400",119,"15,331",326,"13,069"
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,"37,295,289",128,"195,212",118,"175,595",11,"19,617",174,"6,803,154",102,"2,755,843",138,"4,047,311",242,"606,384",21,"14,396",233,"591,988",308,"1,598,908",302,"751,226",264,"847,682",255,"1,324,824",238,"630,656",123,"122,015",164,"572,153",136,"457,254",176,"630,335",212,"19,956,506",200,"12,623,914",191,"11,319,093",126,"7,016,347",155,"316,245",84,"304,168",112,"1,174,854",227,"221,662",252,"611,094",95,"504,597",214,"713,077",238,"2,650,514",174,"15,428",60,"9,061",146,"6,367"
100101000,1001000,10,1,1,0,Division No.  1,337,"36,293,676",115,"189,281",106,x,10,x,161,"6,638,655",96,"2,678,043",128,"3,960,612",230,"589,695",21,"14,396",221,"575,299",286,"1,527,922",280,"714,719",243,"813,203",235,"1,266,084",220,"598,731",114,"114,661",152,"552,692",126,"442,637",164,x,196,"19,487,638",184,x,175,x,118,x,142,"313,129",79,x,104,"1,157,571",211,"212,940",235,"593,942",86,"495,686",200,"683,849",222,"2,582,611",161,"14,940",58,x,135,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,"619,711",7,"3,235",5,x,2,x,8,"152,228",3,x,7,x,10,"6,254",0,0,10,"6,254",11,"48,752",10,"17,909",11,"30,843",13,"52,328",12,"43,458",4,"2,500",6,"6,370",4,x,3,x,15,x,12,x,12,x,8,"16,790",9,"5,568",1,x,5,"6,802",11,"4,591",10,"15,348",4,x,11,"19,350",9,"39,217",8,383,2,x,7,x
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,x,13,"1,632",13,"1,632",0,0,11,"728,638",5,"69,116",9,"659,522",20,"27,827",2,x,20,x,19,"61,850",18,"32,392",16,"29,458",16,"44,851",16,"29,482",8,"6,573",9,"8,796",6,"7,046",9,x,14,x,13,"132,234",13,"131,891",7,x,11,"8,296",7,"7,400",8,"76,144",19,"17,824",21,"76,915",4,x,17,"65,985",21,"161,745",11,"1,669",2,x,10,x
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,"193,374",10,"4,211",10,"4,211",0,0,7,"28,393",5,"18,481",4,"9,912",14,"13,242",0,0,14,"13,242",25,"33,366",25,"19,665",20,"13,701",16,"8,686",15,"6,926",3,x,3,x,2,x,8,"2,151",27,"56,834",25,"38,291",25,"35,728",10,"15,328",15,"3,215",10,"11,486",4,"3,517",12,"4,215",13,"6,469",7,"1,932",19,"14,091",10,"4,781",7,79,0,0,7,79
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,x,10,"6,876",10,"6,876",0,0,10,"308,593",4,x,6,x,20,"57,490",0,0,20,"57,490",18,"98,112",18,"53,862",16,"44,250",8,"18,988",8,"13,735",5,x,7,x,7,"3,205",8,"2,829",14,x,14,x,14,x,9,x,8,"1,744",5,"5,690",6,"124,995",17,"22,677",17,"73,502",8,x,13,"32,666",12,"234,679",10,707,3,312,9,395
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,x,11,"4,212",9,x,2,x,18,"300,111",6,"137,434",16,"162,677",21,"31,704",4,x,18,x,28,"75,104",27,"33,688",20,"41,416",21,"63,998",20,"34,781",9,"4,811",15,"24,406",14,"19,920",17,"6,686",15,x,13,x,13,x,7,x,12,"7,659",6,x,6,"19,945",18,"10,125",21,"23,818",6,x,10,"9,780",16,"52,657",18,669,2,x,17,x
