AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALF,TOTALR,TOTALC,ONE,ONEF,ONER,ONEC,TWO,TWOF,TWOR,TWOC
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total farms - Total number of farms,Total farms - Average farm area - Acres,Total farms - Average farm receipts - Amount $,Total farms - Average farm capital - Amount $,Farms with one operator - Total number of farms,Farms with one operator - Average farm area - Acres,Farms with one operator - Average farm receipts - Amount $,Farms with one operator - Average farm capital - Amount $,Farms with two or more operators - Total number of farms,Farms with two or more operators - Average farm area - Acres,Farms with two or more operators - Average farm receipts - Amount $,Farms with two or more operators - Average farm capital - Amount $
000000000,0000000,0,0,0,0,CANADA,"276,550",608,"116,545","565,793","174,235",587,"101,357","497,403","102,310",644,"142,411","682,260"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,745,146,"102,247","248,190",565,164,"80,447","222,815",175,89,"171,321","328,592"
100100000,1000000,10,1,0,0,Agricultural Region 1 - Région agricole 1,365,182,"115,310","276,352",270,216,"90,501","242,609",90,81,"187,098","373,990"
100101000,1001000,10,1,1,0,Division No.  1,340,175,"121,894","289,252",250,208,"98,007","254,198",90,84,"187,451","385,457"
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",25,795,"27,986","117,315",15,"1,010","32,485","120,165",5,21,"11,791","107,053"
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",25,92,"231,766","142,948",15,117,"359,360","118,884",10,58,"53,135","176,637"
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",30,298,x,"83,590",20,339,x,"81,905",0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",20,43,x,"260,091",15,27,x,"136,572",5,70,x,"476,248"
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",35,145,"64,377","155,439",20,205,"32,273","148,054",10,30,"125,668","169,539"
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,164,"154,332","318,459",30,165,"197,355","311,940",15,162,"64,977","331,997"
100101519,1001519,10,1,1,519,St. John's,165,107,"129,213","390,322",125,110,"95,806","337,599",40,95,"239,714","564,713"
100102000,1002000,10,1,2,0,Division No.  2,25,263,"38,804","126,441",25,302,"16,345","128,116",5,17,"179,171","115,971"
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",25,263,"38,804","126,441",25,302,"16,345","128,116",5,17,"179,171","115,971"
100200000,1000000,10,2,0,0,Agricultural Region 2 - Région agricole 2,205,80,"66,739","182,831",150,84,"45,647","165,254",60,71,"123,233","229,912"
100206000,1006000,10,2,6,0,Division No.  6,45,88,"84,877","218,218",35,94,"72,071","188,468",10,64,"130,981","325,317"
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",45,88,"84,877","218,218",35,94,"72,071","188,468",10,64,"130,981","325,317"
100207000,1007000,10,2,7,0,Division No.  7,85,84,"88,649","209,418",60,81,"63,181","200,586",30,88,"134,655","225,374"
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",30,54,"127,778","202,258",20,62,"30,945","176,078",10,37,"357,758","264,436"
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,123,"122,986","317,990",15,160,"168,167","346,242",15,86,"77,805","289,739"
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,71,"19,096","107,291",20,45,"19,440","122,441",5,143,"18,148","65,628"
100208000,1008000,10,2,8,0,Division No.  8,75,71,"29,197","128,847",55,80,"12,318","116,732",15,40,"94,463","175,689"
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",20,11,"9,361","76,784",20,13,"4,308","74,313",0,0,0,0
