AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,SEXM,SEXF,AGE1,AGE2,AGE3,AGEM,RESY,RESN,WRKONF1,WRKONF2,WRKONF3,WRKOFF0,WRKOFF1,WRKOFF2,WRKOFF3,OBUS0,OBUS1,OBUS2,OBUSSL,OBUSSV,OBUSC,OBUSM,OBUSO
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of operators,Sex - Male,Sex - Female,Age - Under 35 years,Age - 35 to 54 years,Age - 55 years and over,Average age of operators,Resided on the farm for all or part of the 12 months prior to the census - No,Resided on the farm for all or part of the 12 months prior to the census - Yes,Hours per week spent working for the agricultural operation in 1995 - Less than 20,Hours per week spent working for the agricultural operation in 1995 - 20 to 40,Hours per week spent working for the agricultural operation in 1995 - More than 40,Hours per week of paid work (not related to the agricultural operation) in 1995 - None,Hours per week of paid work (not related to the agricultural operation) in 1995 - Less than 20,Hours per week of paid work (not related to the agricultural operation) in 1995 - 20 to 40,Hours per week of paid work (not related to the agricultural operation) in 1995 - More than 40,Number of other businesses operated (other than farming) in 1995 - None,Number of other businesses operated (other than farming) in 1995 - One business,Number of other businesses operated (other than farming) in 1995 - Two or more businesses,Types of other businesses operated in 1995 - Sales,Types of other businesses operated in 1995 - Services,Types of other businesses operated in 1995 - Construction,Types of other businesses operated in 1995 - Manufacturing,Types of other businesses operated in 1995 - Other
000000000,0000000,0,0,0,0,CANADA,"385,610","288,265","97,345","61,060","200,170","124,380",48.4,"50,650","334,955","98,975","98,050","188,580","267,400","28,005","51,855","38,350","327,595","54,640","3,375","14,225","28,405","10,520","4,575","4,110"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,925,755,170,120,555,255,47.7,325,605,305,245,370,625,45,145,110,770,140,15,55,50,20,20,30
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,470,390,80,50,290,115,47.4,150,315,140,130,195,320,20,80,50,390,65,10,30,20,10,15,10
100101000,1001000,10,1,1,0,Division No.  1,430,360,70,55,270,115,47.5,140,295,130,125,180,300,20,70,45,360,60,10,25,20,10,10,10
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",30,25,0,5,15,10,48.2,15,15,15,10,5,15,0,0,5,20,10,0,5,0,0,0,5
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",35,25,10,0,30,5,45.4,10,25,10,15,10,15,5,15,0,35,0,0,5,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",30,30,5,5,20,5,43.8,10,20,15,10,5,15,5,5,5,25,5,0,5,0,0,0,5
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",30,30,5,5,15,10,47.6,5,20,10,10,10,20,0,0,5,25,5,0,5,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",40,35,10,5,25,10,46.0,15,25,20,15,10,30,0,10,5,40,5,0,5,5,0,0,5
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",55,50,10,10,35,15,45.9,25,30,20,15,25,40,0,10,5,50,5,5,5,5,0,0,0
100101519,1001519,10,1,1,519,St. John's,210,175,30,20,125,65,49.1,50,155,45,50,115,165,5,20,15,175,25,5,10,10,5,10,0
100102000,1002000,10,1,2,0,Division No.  2,30,25,5,5,25,5,46.2,10,20,15,5,15,20,0,10,0,30,5,0,5,0,0,5,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",30,30,10,5,30,0,46.2,10,20,10,5,20,20,0,10,0,30,5,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,265,200,65,40,160,65,46.3,110,160,95,80,90,170,15,40,40,220,45,0,20,15,5,5,10
100206000,1006000,10,2,6,0,Division No.  6,55,45,15,5,35,20,46.9,25,35,25,10,20,35,5,10,10,45,10,0,5,5,5,0,0
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",60,45,10,10,35,15,46.9,25,35,25,10,20,35,0,15,10,45,10,0,0,5,5,0,0
100207000,1007000,10,2,7,0,Division No.  7,120,85,35,25,75,25,45.2,35,85,35,40,45,85,5,10,20,105,15,0,5,5,0,5,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",35,25,10,10,20,5,40.9,10,30,5,10,15,25,0,5,5,25,5,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",45,30,15,10,35,5,43.1,15,35,10,15,15,35,5,0,15,45,5,0,0,0,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",40,30,10,5,20,20,51.3,15,20,15,10,10,30,5,0,5,35,5,0,5,0,0,5,0
100208000,1008000,10,2,8,0,Division No.  8,90,70,15,10,55,20,47.5,40,45,35,30,20,55,5,15,15,70,15,0,5,0,0,0,10
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",25,15,5,5,15,0,42.4,10,15,15,10,0,10,0,5,5,15,5,0,5,0,0,0,5
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",25,20,10,0,15,10,49.0,15,15,5,10,10,15,5,0,5,25,5,0,5,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",35,30,5,5,20,10,49.9,15,20,10,10,15,25,5,10,5,30,5,0,5,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,195,165,30,20,100,70,50.0,65,130,70,40,90,135,5,35,20,160,35,5,10,15,5,5,5
100304000,1004000,10,3,4,0,Division No.  4,75,65,10,10,40,30,50.0,20,55,30,15,35,50,0,15,10,60,10,5,5,5,0,5,5
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",25,20,5,5,10,10,49.2,0,20,10,5,10,15,0,5,5,20,0,0,0,5,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",50,40,5,5,25,20,50.4,15,35,15,5,25,35,5,5,5,40,5,0,5,5,0,0,5
