AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total Farm Area (under 10 acres) - Farms Reporting,Total Farm Area (10 - 69 acres) - Farms Reporting,Total Farm Area (70 - 129 acres) - Farms Reporting,Total Farm Area (130 - 179 acres) - Farms Reporting,Total Farm Area (180 - 239 acres) - Farms Reporting,Total Farm Area (240 - 399 acres) - Farms Reporting,Total Farm Area (400 - 559 acres) - Farms Reporting,Total Farm Area (560 - 759 acres) - Farms Reporting,"Total Farm Area (760 - 1,119 acres) - Farms Reporting","Total Farm Area (1,120 - 1,599 acres) - Farms Reporting","Total Farm Area (1,600 - 2,239 acres) - Farms Reporting","Total Farm Area (2,240 - 2,879 acres) - Farms Reporting","Total Farm Area (2,880 - 3,519 acres) - Farms Reporting","Total Farm Area (3,520 acres and over) - Farms Reporting"
0,0,0,0,0,0,CANADA,"276,548","16,654","37,830","31,427","33,293","16,295","37,461","21,520","18,102","21,908","17,347","11,787","5,306","2,817","4,801"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,197,306,83,34,37,33,26,7,7,4,1,1,3,3
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,104,169,35,9,9,16,9,2,2,3,1,1,3,3
100101000,1001000,10,1,1,0,Division No.  1,337,96,152,33,9,9,16,8,2,2,3,1,1,3,2
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,7,9,0,1,1,2,0,0,0,0,0,0,2,1
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,9,10,1,1,1,1,0,0,1,0,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,6,18,2,0,0,0,1,0,0,0,0,0,0,1
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,6,11,4,0,0,1,0,0,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,12,11,6,0,0,0,1,0,0,1,1,0,0,0
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,6,20,3,1,4,2,1,0,1,2,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,50,73,17,6,3,10,5,2,0,0,0,1,1,0
100102000,1002000,10,1,2,0,Division No.  2,29,8,17,2,0,0,0,1,0,0,0,0,0,0,1
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,8,17,2,0,0,0,1,0,0,0,0,0,0,1
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,75,76,21,13,10,2,4,1,3,1,0,0,0,0
100206000,1006000,10,2,6,0,Division No.  6,46,11,20,5,6,2,0,1,0,1,0,0,0,0,0
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,11,20,5,6,2,0,1,0,1,0,0,0,0,0
100207000,1007000,10,2,7,0,Division No.  7,87,36,26,9,3,6,2,3,1,1,0,0,0,0,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,11,10,3,1,1,0,1,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,9,8,4,2,2,2,2,1,0,0,0,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,16,8,2,0,3,0,0,0,1,0,0,0,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,28,30,7,4,2,0,0,0,1,1,0,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,15,6,0,0,0,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,5,12,1,3,2,0,0,0,1,0,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,8,12,6,1,0,0,0,0,0,1,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,18,61,27,12,18,15,13,4,2,0,0,0,0,0
100304000,1004000,10,3,4,0,Division No.  4,65,7,17,13,5,10,3,6,3,1,0,0,0,0,0
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,2,3,5,0,6,3,3,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,5,14,8,5,4,0,3,3,1,0,0,0,0,0
100305000,1005000,10,3,5,0,Division No.  5,105,11,44,14,7,8,12,7,1,1,0,0,0,0,0
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,1,14,8,4,7,10,2,1,0,0,0,0,0,0
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,4,16,2,0,1,1,3,0,0,0,0,0,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,6,14,4,3,0,1,2,0,1,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",156,372,348,233,223,380,225,110,93,39,16,10,10,2
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,29,56,48,35,42,65,45,18,13,10,6,4,1,1
110101000,1101000,11,1,1,0,Kings County,373,29,56,48,35,42,65,45,18,13,10,6,4,1,1
110101001,1101001,11,1,1,1,Lot 64,27,3,7,5,4,3,3,1,0,1,0,0,0,0,0
110101006,1101006,11,1,1,6,Lot 63,19,1,3,4,1,3,2,2,1,1,0,0,1,0,0
110101008,1101008,11,1,1,8,Lot 61,19,1,3,4,3,2,4,2,0,0,0,0,0,0,0
110101009,1101009,11,1,1,9,Lot 59,31,2,7,6,1,3,7,2,2,1,0,0,0,0,0
110101014,1101014,11,1,1,14,Lot 51,27,2,1,3,4,3,10,0,1,1,1,0,0,0,1
110101016,1101016,11,1,1,16,Lot 52,29,6,8,2,1,0,2,6,3,1,0,0,0,0,0
110101019,1101019,11,1,1,19,Lot 53,16,3,4,1,1,0,1,2,2,2,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,0,1,5,6,3,5,3,1,0,1,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,1,4,2,3,2,3,2,0,1,0,0,0,0,0
110101029,1101029,11,1,1,29,Lot 56,17,1,1,4,0,2,3,3,1,1,1,0,0,0,0
110101032,1101032,11,1,1,32,Lot 44,29,2,5,3,4,6,5,0,1,1,0,1,0,1,0
110101034,1101034,11,1,1,34,Lot 45,19,0,3,0,1,2,1,7,0,0,2,1,2,0,0
110101039,1101039,11,1,1,39,Lot 47,19,1,3,2,0,3,2,3,0,1,3,0,1,0,0
110101042,1101042,11,1,1,42,Lot 41,22,0,2,2,2,3,7,3,2,0,0,1,0,0,0
110101046,1101046,11,1,1,46,Lot 40,19,1,1,1,1,4,3,3,2,0,1,2,0,0,0
110101049,1101049,11,1,1,49,Lot 39,17,4,3,2,1,1,0,2,2,1,1,0,0,0,0
110101051,1101051,11,1,1,51,Lot 38,20,1,0,2,2,2,7,4,0,1,0,1,0,0,0
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",71,200,194,118,114,197,98,45,31,7,5,5,3,0
110202000,1102000,11,2,2,0,Queens County,"1,088",71,200,194,118,114,197,98,45,31,7,5,5,3,0
110202001,1102001,11,2,2,1,Lot 62,16,1,2,0,2,2,6,2,0,0,0,0,1,0,0
