AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALM,TOTALF,ONE,ONEM,ONEF,TWO,TWOM,TWOF
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total operators - Total,Total operators - Sex - Male,Total operators - Sex - Female,Operators of farms with one operator - Total,Operators of farms with one operator - Sex - Male,Operators of farms with one operator - Sex - Female,Operators of farms with two or more operators - Total,Operators of farms with two or more operators - Sex - Male,Operators of farms with two or more operators - Sex - Female
0,0,0,0,0,0,CANADA,"385,610","288,260","97,345","171,255","158,945","12,310","214,355","129,315","85,040"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,925,755,170,545,500,45,380,255,125
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,470,390,80,265,250,20,200,140,60
100101000,1001000,10,1,1,0,Division No.  1,430,365,70,240,225,15,195,140,55
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",30,25,0,15,15,0,15,10,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",35,25,10,15,10,0,25,15,10
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",30,25,5,25,20,0,5,5,5
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",30,25,5,15,15,0,15,10,5
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",45,35,5,20,20,0,25,15,5
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",60,45,10,25,20,5,30,25,10
100101519,1001519,10,1,1,519,St. John's,210,175,30,125,120,10,85,60,25
100102000,1002000,10,1,2,0,Division No.  2,35,25,5,25,20,0,5,5,5
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",30,25,10,25,20,5,5,5,5
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,265,205,60,145,130,20,115,75,40
100206000,1006000,10,2,6,0,Division No.  6,55,45,15,40,35,5,20,15,10
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",60,50,15,40,35,5,20,15,5
100207000,1007000,10,2,7,0,Division No.  7,120,90,35,55,50,10,65,40,25
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",30,25,10,20,15,0,15,10,5
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",50,30,15,15,15,5,30,20,10
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",40,30,10,25,20,5,20,10,10
100208000,1008000,10,2,8,0,Division No.  8,85,70,15,55,45,10,30,20,10
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",25,20,5,15,10,0,10,5,5
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",25,20,5,20,15,5,5,5,5
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",35,30,5,20,20,0,15,10,5
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,195,160,30,135,130,10,60,40,20
100304000,1004000,10,3,4,0,Division No.  4,70,65,10,55,50,10,20,10,5
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",25,20,5,20,15,5,5,5,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",50,45,10,35,35,0,15,10,5
100305000,1005000,10,3,5,0,Division No.  5,120,105,20,80,80,0,40,25,15
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",55,45,10,35,30,0,20,15,5
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",30,25,5,20,20,0,10,5,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",35,30,5,25,25,0,10,5,5
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,935","2,515",420,"1,575","1,500",75,"1,360","1,015",345
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,500,430,70,260,245,15,240,190,50
110101000,1101000,11,1,1,0,Kings County,500,435,65,260,250,15,240,190,50
110101001,1101001,11,1,1,1,Lot 64,35,30,5,20,15,5,10,5,0
110101006,1101006,11,1,1,6,Lot 63,25,20,5,15,15,0,10,10,0
110101008,1101008,11,1,1,8,Lot 61,25,25,5,15,15,0,10,5,5
110101009,1101009,11,1,1,9,Lot 59,40,30,10,20,20,5,20,10,5
110101014,1101014,11,1,1,14,Lot 51,30,25,5,25,20,5,10,5,0
110101016,1101016,11,1,1,16,Lot 52,40,30,15,15,15,5,30,15,15
110101019,1101019,11,1,1,19,Lot 53,25,20,5,10,10,0,15,15,5
110101026,1101026,11,1,1,26,Lot 54,25,30,0,25,25,0,5,0,0
110101028,1101028,11,1,1,28,Lot 55,20,20,0,15,15,0,5,5,0
110101029,1101029,11,1,1,29,Lot 56,25,25,0,5,10,0,15,10,0
110101032,1101032,11,1,1,32,Lot 44,35,30,5,20,20,0,15,10,5
110101034,1101034,11,1,1,34,Lot 45,30,30,0,15,15,0,20,15,0
110101039,1101039,11,1,1,39,Lot 47,30,25,5,10,15,0,20,20,0
110101042,1101042,11,1,1,42,Lot 41,30,30,5,15,20,0,10,15,0
110101046,1101046,11,1,1,46,Lot 40,30,30,0,15,10,0,20,15,0
110101049,1101049,11,1,1,49,Lot 39,25,20,5,10,10,0,15,10,0
110101051,1101051,11,1,1,51,Lot 38,25,20,5,15,10,0,15,10,5
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,435","1,210",225,775,735,40,660,475,185
110202000,1102000,11,2,2,0,Queens County,"1,435","1,210",225,775,735,35,660,470,190
110202001,1102001,11,2,2,1,Lot 62,25,20,5,15,10,0,10,10,0
110202004,1102004,11,2,2,4,Lot 60,20,20,5,15,10,0,10,10,0
110202006,1102006,11,2,2,6,Lot 58,30,20,10,10,5,0,20,15,10
110202008,1102008,11,2,2,8,Lot 57,70,55,20,30,30,0,40,25,15
110202009,1102009,11,2,2,9,Lot 50,75,70,5,45,45,0,30,20,5
110202012,1102012,11,2,2,12,Lot 49,45,40,5,30,30,0,15,10,5
110202014,1102014,11,2,2,14,Lot 48,85,70,15,40,40,5,40,30,15
110202026,1102026,11,2,2,26,Lot 31,120,105,10,65,65,0,50,40,10
110202028,1102028,11,2,2,28,Lot 65,60,50,10,35,35,5,25,15,10
110202029,1102029,11,2,2,29,Lot 30,60,50,10,40,35,0,25,15,10
110202031,1102031,11,2,2,31,Lot 29,60,55,5,40,40,0,25,15,5
110202036,1102036,11,2,2,36,Lot 67,85,70,15,55,50,0,30,20,10
110202038,1102038,11,2,2,38,Lot 20,60,50,5,35,30,0,25,20,5
110202039,1102039,11,2,2,39,Lot 21,40,30,10,25,20,5,15,15,5
110202040,1102040,11,2,2,40,Miltonvale Park,40,35,5,20,25,0,20,15,5
110202041,1102041,11,2,2,41,Lot 22,50,40,10,20,20,0,30,20,10
110202042,1102042,11,2,2,42,Lot 23,60,50,10,35,35,5,25,15,10
110202044,1102044,11,2,2,44,Lot 24,75,70,5,50,50,0,30,20,5
110202049,1102049,11,2,2,49,Lot 33,105,90,15,50,45,5,55,40,15
110202052,1102052,11,2,2,52,Lot 34,90,70,20,30,30,0,55,40,15
110202054,1102054,11,2,2,54,Lot 35,45,35,5,20,20,5,20,20,5
110202056,1102056,11,2,2,56,Lot 36,50,45,0,30,30,0,20,15,5
110202058,1102058,11,2,2,58,Lot 37,35,35,0,25,20,0,20,15,0
110202085,1102085,11,2,2,85,Cornwall,45,35,10,20,20,0,25,20,5
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,000",875,125,540,520,20,460,355,105
110303000,1103000,11,3,3,0,Prince County,"1,000",875,125,540,520,20,460,355,105
110303001,1103001,11,3,3,1,Lot 28,70,60,5,30,30,0,40,35,5
110303006,1103006,11,3,3,6,Lot 27,65,60,5,40,35,5,25,20,0
110303009,1103009,11,3,3,9,Lot 26,85,70,10,30,25,0,55,45,10
110303011,1103011,11,3,3,11,Lot 25,45,40,5,25,25,0,20,15,5
110303012,1103012,11,3,3,12,Lot 19,70,60,10,30,30,0,40,30,10
110303016,1103016,11,3,3,16,Lot 18,55,40,10,35,30,0,20,10,10
110303019,1103019,11,3,3,19,Lot 17,65,60,10,40,35,0,30,25,5
110303028,1103028,11,3,3,28,Lot 16,45,40,10,25,25,0,25,15,10
110303031,1103031,11,3,3,31,Lot 14,40,35,10,20,15,5,25,15,5
110303032,1103032,11,3,3,32,Lot 13,50,45,5,35,35,0,15,10,5
110303034,1103034,11,3,3,34,Lot 12,30,25,10,10,10,0,20,15,10
110303036,1103036,11,3,3,36,Lot 11,25,25,10,20,15,5,15,10,5
110303041,1103041,11,3,3,41,Lot  6,50,45,5,35,30,0,20,15,0
110303044,1103044,11,3,3,44,Lot  9,30,20,5,15,10,0,20,10,5
110303046,1103046,11,3,3,46,Lot  8,50,40,10,25,20,0,25,20,10
110303048,1103048,11,3,3,48,Lot  7,35,35,0,20,20,0,15,10,0
110303049,1103049,11,3,3,49,Lot  5,30,25,5,20,20,0,15,10,0
110303051,1103051,11,3,3,51,Lot  4,60,55,5,35,35,0,25,20,5
110303054,1103054,11,3,3,54,Lot  3,35,35,5,30,30,5,5,5,5
110303056,1103056,11,3,3,56,Lot  2,20,20,0,15,15,0,5,5,5
110303058,1103058,11,3,3,58,Lot  1,45,35,10,35,30,5,10,5,5
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"5,725","4,560","1,170","3,215","2,915",300,"2,510","1,640",865
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,005",820,190,610,545,65,400,270,125
120101000,1201000,12,1,1,0,Shelburne County,35,20,15,20,15,10,10,10,5
120101006,1201006,12,1,1,6,Shelburne,35,20,15,20,10,10,15,5,5
120102000,1202000,12,1,2,0,Yarmouth County,180,140,35,95,80,15,85,60,25
120102001,1202001,12,1,2,1,Argyle,50,35,15,25,15,5,20,15,10
120102004,1202004,12,1,2,4,Yarmouth,130,110,20,70,60,10,60,45,15
120103000,1203000,12,1,3,0,Digby County,165,135,25,100,90,10,65,45,15
120103001,1203001,12,1,3,1,Clare,100,90,10,60,60,10,35,30,5
120103004,1203004,12,1,3,4,Digby,65,55,15,40,35,0,25,15,10
120104000,1204000,12,1,4,0,Queens County,70,55,10,50,45,5,15,10,5
120104008,1204008,12,1,4,8,"Queens, Subd. B",65,55,10,50,45,5,20,10,5
120106000,1206000,12,1,6,0,Lunenburg County,560,460,105,345,310,30,220,150,75
120106001,1206001,12,1,6,1,Lunenburg,405,325,80,225,205,20,180,120,60
120106009,1206009,12,1,6,9,Chester,155,135,25,115,105,10,40,25,10
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,820","1,450",375,940,865,70,880,580,300
120205000,1205000,12,2,5,0,Annapolis County,360,285,80,185,170,10,180,110,70
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",45,35,10,25,20,0,20,10,5
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",95,75,20,55,50,5,45,25,15
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",130,95,35,55,50,0,75,45,35
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",95,80,15,55,50,5,45,30,15
120207000,1207000,12,2,7,0,Kings County,930,765,170,490,465,30,440,305,135
120207001,1207001,12,2,7,1,"Kings, Subd. A",450,360,95,250,230,20,205,130,75
120207011,1207011,12,2,7,11,"Kings, Subd. C",60,55,5,40,40,0,15,15,5
120207016,1207016,12,2,7,16,"Kings, Subd. B",270,225,45,135,130,5,135,95,35
120207021,1207021,12,2,7,21,"Kings, Subd. D",145,125,20,65,60,5,85,65,20
120208000,1208000,12,2,8,0,Hants County,525,405,125,265,230,35,260,165,95
120208001,1208001,12,2,8,1,West Hants,255,190,65,130,110,15,130,80,50
120208008,1208008,12,2,8,8,East Hants,270,210,60,135,125,15,135,85,45
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,680","1,305",370,925,825,105,755,480,275
120309000,1209000,12,3,9,0,Halifax County,265,200,65,150,130,20,115,75,45
120309012,1209012,12,3,9,12,"Halifax, Subd. C",25,25,5,20,15,5,15,5,5
120309018,1209018,12,3,9,18,"Halifax, Subd. D",45,30,10,30,20,5,15,10,5
120309026,1209026,12,3,9,26,"Halifax, Subd. E",70,50,20,40,35,5,30,15,15
120309031,1209031,12,3,9,31,"Halifax, Subd. F",90,70,20,40,30,0,50,35,20
120309036,1209036,12,3,9,36,"Halifax, Subd. G",40,35,5,25,25,5,10,10,5
120310000,1210000,12,3,10,0,Colchester County,715,550,160,360,325,40,355,230,125
120310001,1210001,12,3,10,1,"Colchester, Subd. C",295,230,55,130,120,5,160,110,50
120310008,1210008,12,3,10,8,"Colchester, Subd. B",245,180,65,125,115,10,115,70,50
120310012,1210012,12,3,10,12,"Colchester, Subd. A",175,130,45,105,90,15,75,45,30
120311000,1211000,12,3,11,0,Cumberland County,695,555,140,415,375,40,280,185,100
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",105,85,20,75,65,10,35,20,10
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",225,180,40,150,130,15,70,50,25
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",220,175,45,120,105,10,100,70,30
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",145,110,35,70,65,5,80,45,35
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,865,695,170,525,480,45,340,215,125
120412000,1212000,12,4,12,0,Pictou County,435,340,95,260,230,30,175,110,65
120412001,1212001,12,4,12,1,"Pictou, Subd. A",195,150,40,110,100,10,85,50,30
120412006,1212006,12,4,12,6,"Pictou, Subd. B",125,100,30,70,60,5,60,40,25
120412011,1212011,12,4,12,11,"Pictou, Subd. C",115,90,25,80,70,15,35,20,10
120413000,1213000,12,4,13,0,Guysborough County,115,100,20,85,75,5,35,20,10
120413001,1213001,12,4,13,1,St. Mary's,45,35,10,20,20,0,20,15,10
120413004,1213004,12,4,13,4,Guysborough,75,65,10,60,55,5,10,10,5
