AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FCAPDST_1,FCAPDST_2,FCAPDST_3,FCAPDST_4,FCAPDST_5,FCAPDST_6,FCAPDST_7,FCAPDST_8
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,"Total farm capital (under $50,000) - Farms Reporting","Total farm capital ($50,000-$99,999) - Farms Reporting","Total farm capital ($100,000-$199,999) - Farms Reporting","Total farm capital ($200,000-$349,999) - Farms Reporting","Total farm capital ($350,000-$499,999) - Farms Reporting","Total farm capital ($500,000-$999,999) - Farms Reporting","Total farm capital ($1,000,000-$1,499,999) - Farms Reporting","Total farm capital ($1,500,000 and over) - Farms Reporting"
000000000,0000000,0,0,0,0,CANADA,"276,548","8,358","17,710","48,920","64,181","41,010","60,847","18,769","16,753"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,172,122,186,118,51,65,16,12
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,71,55,101,64,26,32,8,9
100101000,1001000,10,1,1,0,Division No.  1,337,62,50,92,60,24,32,8,9
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,8,5,7,2,0,1,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,7,7,6,1,1,2,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,14,7,2,4,1,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,4,5,6,4,0,1,1,1
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,9,3,8,9,3,0,0,0
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,5,6,13,3,4,7,2,0
100101519,1001519,10,1,1,519,St. John's,168,15,17,50,37,15,21,5,8
100102000,1002000,10,1,2,0,Division No.  2,29,9,5,9,4,2,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,9,5,9,4,2,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,71,39,47,19,12,11,6,1
100206000,1006000,10,2,6,0,Division No.  6,46,14,7,11,7,3,1,2,1
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,14,7,11,7,3,1,2,1
100207000,1007000,10,2,7,0,Division No.  7,87,29,15,16,9,8,7,3,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,10,4,5,3,2,2,1,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,4,7,3,4,6,4,2,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,15,4,8,2,0,1,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,28,17,20,3,1,3,1,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,14,4,2,0,0,1,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,8,8,3,2,0,2,1,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,6,5,15,1,1,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,30,28,38,35,13,22,2,2
100304000,1004000,10,3,4,0,Division No.  4,65,11,12,17,18,3,2,1,1
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,3,4,4,9,1,0,1,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,8,8,13,9,2,2,0,1
100305000,1005000,10,3,5,0,Division No.  5,105,19,16,21,17,10,20,1,1
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,2,5,8,9,7,14,1,1
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,8,3,6,4,2,4,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,9,8,7,4,1,2,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",102,192,442,432,261,411,160,217
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,24,47,73,57,44,71,25,32
110101000,1101000,11,1,1,0,Kings County,373,24,47,73,57,44,71,25,32
110101001,1101001,11,1,1,1,Lot 64,27,3,7,8,3,2,2,1,1
110101006,1101006,11,1,1,6,Lot 63,19,2,3,1,4,2,6,0,1
110101008,1101008,11,1,1,8,Lot 61,19,2,2,6,4,2,3,0,0
110101009,1101009,11,1,1,9,Lot 59,31,3,2,8,8,2,5,1,2
110101014,1101014,11,1,1,14,Lot 51,27,2,1,4,5,2,11,1,1
110101016,1101016,11,1,1,16,Lot 52,29,1,6,4,4,5,5,2,2
110101019,1101019,11,1,1,19,Lot 53,16,0,3,5,0,2,3,1,2
110101026,1101026,11,1,1,26,Lot 54,25,1,5,4,6,3,4,2,0
110101028,1101028,11,1,1,28,Lot 55,18,0,2,5,5,2,2,2,0
110101029,1101029,11,1,1,29,Lot 56,17,0,1,5,0,3,4,2,2
110101032,1101032,11,1,1,32,Lot 44,29,1,5,4,3,6,6,1,3
110101034,1101034,11,1,1,34,Lot 45,19,2,1,1,1,0,4,6,4
110101039,1101039,11,1,1,39,Lot 47,19,0,3,2,3,2,2,3,4
110101042,1101042,11,1,1,42,Lot 41,22,2,1,5,5,2,4,1,2
110101046,1101046,11,1,1,46,Lot 40,19,1,1,2,4,2,5,0,4
110101049,1101049,11,1,1,49,Lot 39,17,3,4,3,1,1,1,1,3
110101051,1101051,11,1,1,51,Lot 38,20,1,0,6,1,6,4,1,1
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",42,82,242,242,134,201,72,73
110202000,1102000,11,2,2,0,Queens County,"1,088",42,82,242,242,134,201,72,73
110202001,1102001,11,2,2,1,Lot 62,16,3,3,2,2,5,0,0,1
110202004,1102004,11,2,2,4,Lot 60,17,2,1,5,2,1,3,2,1
110202006,1102006,11,2,2,6,Lot 58,19,0,4,2,6,3,1,3,0
110202008,1102008,11,2,2,8,Lot 57,49,1,3,7,13,5,14,3,3
110202009,1102009,11,2,2,9,Lot 50,57,0,2,8,16,6,15,7,3
110202012,1102012,11,2,2,12,Lot 49,37,0,0,5,12,5,10,3,2
110202014,1102014,11,2,2,14,Lot 48,64,4,1,17,23,7,9,2,1
110202026,1102026,11,2,2,26,Lot 31,94,4,9,26,15,12,14,5,9
110202028,1102028,11,2,2,28,Lot 65,49,2,5,13,8,6,10,4,1
110202029,1102029,11,2,2,29,Lot 30,49,2,5,13,14,10,4,0,1
110202031,1102031,11,2,2,31,Lot 29,50,2,8,18,5,7,6,1,3
110202036,1102036,11,2,2,36,Lot 67,69,3,5,10,12,11,22,5,1
110202038,1102038,11,2,2,38,Lot 20,46,0,2,5,9,7,11,4,8
110202039,1102039,11,2,2,39,Lot 21,30,2,4,8,5,2,3,4,2
110202040,1102040,11,2,2,40,Miltonvale Park,31,1,2,6,11,2,6,3,0
110202041,1102041,11,2,2,41,Lot 22,33,1,3,7,5,4,8,3,2
110202042,1102042,11,2,2,42,Lot 23,50,1,2,14,13,4,12,1,3
110202044,1102044,11,2,2,44,Lot 24,65,4,3,14,18,6,11,4,5
