AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,SALES95,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALEDST_9
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total Number of Farms,Total gross farm receipts - Dollars,"Total gross farm receipts (under $2,500) - Farms Reporting","Total gross farm receipts ($2,500-$4,999) - Farms Reporting","Total gross farm receipts ($5,000-$9,999) - Farms Reporting","Total gross farm receipts ($10,000-$24,999) - Farms Reporting","Total gross farm receipts ($25,000-$49,999) - Farms Reporting","Total gross farm receipts ($50,000-$99,999) - Farms Reporting","Total gross farm receipts ($100,000-$249,999) - Farms Reporting","Total gross farm receipts ($250,000-$499,999) - Farms Reporting","Total gross farm receipts ($500,000 and over) - Farms Reporting"
000000000,0000000,0,0,0,0,CANADA,"276,548","32,230,356,237","23,709","18,462","26,245","45,195","37,751","42,046","55,198","19,268","8,674"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,"75,867,075",169,84,138,119,62,45,48,31,46
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,"42,203,517",75,41,80,58,30,16,26,15,25
100101000,1001000,10,1,1,0,Division No.  1,337,"41,078,208",68,38,73,51,27,16,25,15,24
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,"643,687",10,5,2,2,1,0,3,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,"5,562,388",5,6,2,2,3,3,1,1,1
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,x,12,3,8,4,1,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,x,6,3,5,4,2,0,0,0,2
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,"2,060,074",7,3,9,3,4,3,2,0,1
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,"6,173,282",6,6,9,7,4,1,2,2,3
100101519,1001519,10,1,1,519,St. John's,168,"21,707,797",22,12,38,29,12,9,17,12,17
100102000,1002000,10,1,2,0,Division No.  2,29,"1,125,309",7,3,7,7,3,0,1,0,1
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,"1,125,309",7,3,7,7,3,0,1,0,1
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,"13,748,199",59,25,32,32,19,14,12,5,8
100206000,1006000,10,2,6,0,Division No.  6,46,"3,904,358",13,7,4,8,4,7,0,0,3
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,"3,904,358",13,7,4,8,4,7,0,0,3
100207000,1007000,10,2,7,0,Division No.  7,87,"7,712,451",21,10,18,10,4,5,11,4,4
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,"3,450,013",8,5,5,1,1,0,4,1,2
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,"3,689,572",4,2,6,3,2,3,5,3,2
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,"572,866",9,3,7,6,1,2,2,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,"2,131,390",25,8,10,14,11,2,1,1,1
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,"196,572",8,4,3,3,3,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,"1,009,270",9,2,5,3,2,1,1,0,1
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,"925,548",8,2,2,8,6,1,0,1,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,"19,915,359",35,18,26,29,13,15,10,11,13
