AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,"Total number of farms reporting gross farm receipts $2,500 and over",Dairy - Farms Reporting,Cattle (beef) - Farms Reporting,Hog - Farms Reporting,Poultry and egg - Farms Reporting,Wheat - Farms Reporting,Grain and oilseed (except wheat) - Farms Reporting,Field crop (except grain and oilseed) - Farms Reporting,Fruit - Farms Reporting,Miscellaneous specialty - Farms Reporting,Livestock combination - Farms Reporting,Vegetable - Farms Reporting,Other combination - Farms Reporting
000000000,0000000,0,0,0,0,CANADA,"252,839","24,411","67,531","8,063","4,833","29,526","51,577","16,245","7,107","28,715","6,217","3,607","5,007"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,573,63,28,13,54,0,0,39,36,139,15,126,60
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,291,36,15,7,25,0,0,21,9,74,11,68,25
100101000,1001000,10,1,1,0,Division No.  1,269,36,14,7,23,0,0,21,9,67,9,60,23
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",13,1,0,1,1,0,0,1,1,5,0,1,2
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",19,1,1,0,2,0,0,0,0,8,2,4,1
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",16,0,3,0,0,0,0,1,1,9,0,0,2
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",16,0,0,1,2,0,0,2,1,7,1,2,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",25,1,2,0,2,0,0,4,2,5,2,3,4
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",34,2,3,1,3,0,0,1,2,4,0,12,6
100101519,1001519,10,1,1,519,St. John's,146,31,5,4,13,0,0,12,2,29,4,38,8
100102000,1002000,10,1,2,0,Division No.  2,22,0,1,0,2,0,0,0,0,7,2,8,2
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",22,0,1,0,2,0,0,0,0,7,2,8,2
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,147,11,2,4,12,0,0,10,13,44,1,32,18
100206000,1006000,10,2,6,0,Division No.  6,33,2,1,0,1,0,0,3,4,13,0,7,2
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",33,2,1,0,1,0,0,3,4,13,0,7,2
100207000,1007000,10,2,7,0,Division No.  7,66,8,0,3,7,0,0,3,6,16,1,15,7
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",19,3,0,2,4,0,0,0,2,5,1,1,1
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",26,5,0,1,3,0,0,2,2,3,0,4,6
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",21,0,0,0,0,0,0,1,2,8,0,10,0
100208000,1008000,10,2,8,0,Division No.  8,48,1,1,1,4,0,0,4,3,15,0,10,9
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",13,1,1,0,2,0,0,0,0,8,0,0,1
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",15,0,0,0,1,0,0,1,1,4,0,4,4
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",20,0,0,1,1,0,0,3,2,3,0,6,4
