AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,NIRRIG,IRRIG,EIRRIG,NFERTIL,FERTIL,EFERTIL,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NMSOLID,MSOLID,EMSOLID,NMIRRIG,MIRRIG,EMIRRIG,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQINJ,MLIQINJ,EMLIQINJ,NCROPROT,NPRMGRAS,NCOVCROP,NCONTOUR,NSTRIPCR,NGRASWAT,NWINDYES,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total area of farms - Farms Reporting,Total area of farms - Acres,Total area of farms - Hectares,Total area owned - Farms Reporting,Total area owned - Acres,Total area owned - Hectares,Total area rented or leased - Farms Reporting,Total area rented or leased - Acres,Total area rented or leased - Hectares,Total area leased from governments - Farms Reporting,Total area leased from governments - Acres,Total area leased from governments - Hectares,Total area rented or leased from others - Farms Reporting,Total area rented or leased from others - Acres,Total area rented or leased from others - Hectares,Total area of farms - Farms Reporting,Total area of farms - Acres,Total area of farms - Hectares,Area land in crops - Farms Reporting,Area land in crops - Acres,Area land in crops - Hectares,Summerfallow - Farms Reporting,Summerfallow - Acres,Summerfallow - Hectares,Tame or seeded pasture - Farms Reporting,Tame or seeded pasture - Acres,Tame or seeded pasture - Hectares,Natural land for pasture - Farms Reporting,Natural land for pasture - Acres,Natural land for pasture - Hectares,Total area all other land (incl xmas tree area) - Farms Reporting,Total area all other land (incl xmas tree area) - Acres,Total area all other land (incl xmas tree area) - Hectares,Area irrigated - Farms Reporting,Area irrigated - Acres,Area irrigated - Hectares,Area of commercial fertilizer - Farms Reporting,Area of commercial fertilizer - Acres,Area of commercial fertilizer - Hectares,Area of herbicides - Farms Reporting,Area of herbicides - Acres,Area of herbicides - Hectares,Area of insecticides - Farms Reporting,Area of insecticides - Acres,Area of insecticides - Hectares,Area of fungicides - Farms Reporting,Area of fungicides - Acres,Area of fungicides - Hectares,Manure - solid spreader - Farms Reporting,Manure - solid spreader - Acres,Manure - solid spreader - Hectares,Manure - irrigation system - Farms Reporting,Manure - irrigation system - Acres,Manure - irrigation system - Hectares,Manure - liquid spreader (on surface) - Farms Reporting,Manure - liquid spreader (on surface) - Acres,Manure - liquid spreader (on surface) - Hectares,Manure - liquid spreader (injected) - Farms Reporting,Manure - liquid spreader (injected) - Acres,Manure - liquid spreader (injected) - Hectares,Crop rotation - Farms Reporting,Permanent grass cover - Farms Reporting,Winter cover crops - Farms Reporting,Contour cultivation - Farms Reporting,Strip-1cropping - Farms Reporting,Grassed waterways - Farms Reporting,Windbreaks or shelterbelts - Farms Reporting,Total area of land prepared for seeding - Farms Reporting,Total area of land prepared for seeding - Acres,Total area of land prepared for seeding - Hectares,Tillage incorporating most of the crop residue into soil - Farms Reporting,Tillage incorporating most of the crop residue into soil - Acres,Tillage incorporating most of the crop residue into soil - Hectares,Tillage retaining most of the crop residue on the surface - Farms Reporting,Tillage retaining most of the crop residue on the surface - Acres,Tillage retaining most of the crop residue on the surface - Hectares,No-till seeding or zero-till seeding - Farms Reporting,No-till seeding or zero-till seeding - Acres,No-till seeding or zero-till seeding - Hectares,"Weed control on summerfallow land, chemical only - Farms Reporting","Weed control on summerfallow land, chemical only - Acres","Weed control on summerfallow land, chemical only - Hectares","Weed control on summerfallow land, tillage only - Farms Reporting","Weed control on summerfallow land, tillage only - Acres","Weed control on summerfallow land, tillage only - Hectares","Weed control on summerfallow land, tillage and chemical combination on the same land - Farms Reporting","Weed control on summerfallow land, tillage and chemical combination on the same land - Acres","Weed control on summerfallow land, tillage and chemical combination on the same land - Hectares"
000000000,0000000,0,0,0,0,CANADA,"276,548","168,167,475","68,054,956","262,152","106,405,967","43,060,963","111,718","61,761,508","24,993,993","26,710","24,348,900","9,853,649","97,202","37,412,608","15,140,344","276,548","168,167,475","68,054,956","237,760","86,286,078","34,918,733","64,819","15,470,590","6,260,725","89,570","10,746,949","4,349,136","137,084","38,578,496","15,612,162","225,198","17,085,362","6,914,200","21,448","2,115,549","856,132","162,257","61,634,601","24,942,635","137,184","57,488,309","23,264,691","39,087","7,252,899","2,935,144","22,022","4,493,454","1,818,436","101,890","4,649,084","1,881,417","2,163","165,255","66,876","16,851","1,431,178","579,177","1,011","127,288","51,512","158,211","80,058","9,436","13,537","11,287","24,600","36,993","181,817","70,901,537","28,692,831","136,912","37,891,867","15,334,293","53,624","21,663,137","8,766,760","26,919","11,346,533","4,591,779","6,440","1,389,997","562,512","37,602","8,408,929","3,402,972","25,266","5,671,664","2,295,241"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,"108,320","43,836",546,"31,877","12,900",407,"76,443","30,935",344,"72,544","29,358",121,"3,899","1,578",742,"108,320","43,836",502,"17,742","7,180",29,236,96,142,"5,834","2,361",202,"17,154","6,942",618,"67,354","27,257",50,350,142,392,"15,972","6,464",151,"1,735",702,152,"1,212",490,40,394,159,299,"6,561","2,655",4,119,48,56,"3,987","1,613",0,0,0,235,212,25,27,4,9,63,284,"2,635","1,066",246,"2,310",935,46,219,89,14,106,43,3,16,6,20,175,71,9,45,18
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,"66,507","26,914",287,"13,112","5,306",185,"53,395","21,608",149,"51,778","20,954",73,"1,617",654,366,"66,507","26,914",249,"7,335","2,968",12,92,37,75,"3,037","1,229",109,"13,138","5,317",294,"42,905","17,363",19,113,46,187,"6,955","2,815",63,499,202,71,456,185,17,129,52,189,"3,497","1,415",3,x,x,32,"2,438",987,0,0,0,114,114,12,14,3,3,22,137,986,399,116,876,355,28,91,37,7,19,8,1,x,x,9,81,33,3,x,x
100101000,1001000,10,1,1,0,Division No.  1,337,"58,877","23,827",269,"12,788","5,175",166,"46,089","18,652",131,"44,540","18,025",68,"1,549",627,337,"58,877","23,827",235,"7,212","2,919",12,92,37,70,"2,634","1,066",98,"12,897","5,219",269,"36,042","14,586",17,x,x,172,"6,689","2,707",57,460,186,66,431,174,15,x,x,177,"3,443","1,393",3,x,x,32,"2,438",987,0,0,0,107,107,12,14,3,3,21,129,921,373,109,x,x,27,x,x,7,19,8,1,x,x,9,81,33,3,x,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,"18,283","7,399",15,"3,691","1,494",11,"14,592","5,905",10,x,x,1,x,x,23,"18,283","7,399",8,316,128,1,x,x,6,468,189,10,"8,122","3,287",21,x,x,1,x,x,8,286,116,3,36,15,0,0,0,0,0,0,9,85,34,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,6,x,x,5,13,5,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,"2,208",894,12,285,115,20,"1,923",778,18,x,x,3,x,x,24,"2,208",894,14,269,109,3,17,7,3,9,4,6,"1,183",479,20,730,295,0,0,0,10,213,86,4,29,12,4,40,16,1,x,x,12,111,45,1,x,x,1,x,x,0,0,0,8,8,2,1,0,0,4,7,64,26,5,41,17,4,23,9,0,0,0,0,0,0,2,x,x,1,x,x
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,"8,330","3,371",26,623,252,12,"7,707","3,119",10,"7,675","3,106",6,32,13,28,"8,330","3,371",20,283,115,0,0,0,7,86,35,12,749,303,16,"7,212","2,919",0,0,0,10,380,154,0,0,0,0,0,0,0,0,0,18,181,73,2,x,x,1,x,x,0,0,0,0,15,1,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,938,380,18,310,125,12,628,254,11,x,x,1,x,x,22,938,380,12,148,60,1,x,x,3,62,25,8,77,31,18,x,x,1,x,x,5,42,17,1,x,x,2,x,x,1,x,x,13,125,51,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,2,4,28,11,4,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,"4,642","1,879",24,777,314,15,"3,865","1,564",11,"3,829","1,550",4,36,15,32,"4,642","1,879",24,410,166,0,0,0,6,189,76,8,479,194,28,"3,564","1,442",1,x,x,16,446,180,3,x,x,4,x,x,1,x,x,16,275,111,0,0,0,0,0,0,0,0,0,6,11,1,0,0,0,1,6,53,21,6,53,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
