AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NCORNGR,CORNGR,ECORNGR,NBUCWHT,BUCWHT,EBUCWHT,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCORNEN,CORNEN,ECORNEN,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NCANOLA,CANOLA,ECANOLA,NFLAXSD,FLAXSD,EFLAXSD,NSOYBNS,SOYBNS,ESOYBNS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NSAFLWR,SAFLWR,ESAFLWR,NPOTATS,POTATS,EPOTATS,NDFPEAS,DFPEAS,EDFPEAS,NLENTIL,LENTIL,ELENTIL,NTOTDRBN,TOTDRBN,ETOTDRBN,NWHITBN,WHITBN,EWHITBN,NFABABN,FABABN,EFABABN,NODFBNS,ODFBNS,EODFBNS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NSUGARB,SUGARB,ESUGARB,NTRITCL,TRITCL,ETRITCL,NFORAGE,FORAGE,EFORAGE,NOFIELD,OFIELD,EOFIELD
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area wheat - Farms Reporting,Total area wheat - Acres,Total area wheat - Hectares,Spring wheat (excluding durum) - Farms Reporting,Spring wheat (excluding durum) - Acres,Spring wheat (excluding durum) - Hectares,Durum wheat - Farms Reporting,Durum wheat - Acres,Durum wheat - Hectares,Winter wheat - Farms Reporting,Winter wheat - Acres,Winter wheat - Hectares,Oats - Farms Reporting,Oats - Acres,Oats - Hectares,Barley - Farms Reporting,Barley - Acres,Barley - Hectares,Mixed grains - Farms Reporting,Mixed grains - Acres,Mixed grains - Hectares,Corn for grain - Farms Reporting,Corn for grain - Acres,Corn for grain - Hectares,Buckwheat - Farms Reporting,Buckwheat - Acres,Buckwheat - Hectares,Total area rye - Farms Reporting,Total area rye - Acres,Total area rye - Hectares,Fall rye - Farms Reporting,Fall rye - Acres,Fall rye - Hectares,Spring rye - Farms Reporting,Spring rye - Acres,Spring rye - Hectares,Corn for silage - Farms Reporting,Corn for silage - Acres,Corn for silage - Hectares,Alfalfa and alfalfa mixtures - Farms Reporting,Alfalfa and alfalfa mixtures - Acres,Alfalfa and alfalfa mixtures - Hectares,All other tame hay - Farms Reporting,All other tame hay - Acres,All other tame hay - Hectares,Canola (rapeseed) - Farms Reporting,Canola (rapeseed) - Acres,Canola (rapeseed) - Hectares,Flaxseed - Farms Reporting,Flaxseed - Acres,Flaxseed - Hectares,Soybeans - Farms Reporting,Soybeans - Acres,Soybeans - Hectares,Mustard seed - Farms Reporting,Mustard seed - Acres,Mustard seed - Hectares,Sunflowers - Farms Reporting,Sunflowers - Acres,Sunflowers - Hectares,Safflower - Farms Reporting,Safflower - Acres,Safflower - Hectares,Potatoes - Farms Reporting,Potatoes - Acres,Potatoes - Hectares,Dry field peas - Farms Reporting,Dry field peas - Acres,Dry field peas - Hectares,Lentils - Farms Reporting,Lentils - Acres,Lentils - Hectares,Total area dry field beans - Farms Reporting,Total area dry field beans - Acres,Total area dry field beans - Hectares,Dry white beans - Farms Reporting,Dry white beans - Acres,Dry white beans - Hectares,Fababeans - Farms Reporting,Fababeans - Acres,Fababeans - Hectares,Dry coloured beans - Farms Reporting,Dry coloured beans - Acres,Dry coloured beans - Hectares,Canary seed - Farms Reporting,Canary seed - Acres,Canary seed - Hectares,Tobacco - Farms Reporting,Tobacco - Acres,Tobacco - Hectares,Sugar beets for sugar - Farms Reporting,Sugar beets for sugar - Acres,Sugar beets for sugar - Hectares,Triticale - Farms Reporting,Triticale - Acres,Triticale - Hectares,Forage seed to be harvested for seed - Farms Reporting,Forage seed to be harvested for seed - Acres,Forage seed to be harvested for seed - Hectares,All other field crops - Farms Reporting,All other field crops - Acres,All other field crops - Hectares
000000000,0000000,0,0,0,0,CANADA,"276,548","93,545","30,688,674","12,419,264","75,005","24,634,614","9,969,274","15,850","5,079,392","2,055,557","15,885","974,668","394,434","57,214","5,052,683","2,044,748","76,900","12,951,236","5,241,179","14,416","725,491","293,596","28,203","2,797,622","1,132,157","1,261","48,743","19,726","5,831","474,194","191,899","5,331","426,096","172,435",565,"48,098","19,465","15,249","472,859","191,359","87,904","8,891,798","3,598,383","74,220","6,455,599","2,612,488","41,823","8,726,366","3,531,435","10,335","1,463,121","592,104","22,202","2,166,870","876,901","3,398","590,635","239,021",734,"91,674","37,099",43,"3,981","1,611","4,989","371,421","150,309","8,761","1,325,274","536,319","3,698","749,720","303,401","2,962","232,154","93,949","1,766","108,598","43,948",210,"6,666","2,698","1,244","116,890","47,304","3,803","614,679","248,752","1,419","72,719","29,428",499,"59,189","23,953",764,"63,895","25,857","2,856","454,262","183,833","1,267","72,882","29,494"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,3,12,5,3,12,5,0,0,0,0,0,0,40,209,85,9,97,39,0,0,0,0,0,0,0,0,0,5,44,18,4,x,x,2,x,x,0,0,0,47,"2,238",906,241,"10,392","4,205",15,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,843,341,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,4,110,45,0,0,0
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,0,0,0,0,0,0,0,0,0,0,0,0,21,104,42,3,7,3,0,0,0,0,0,0,0,0,0,4,x,x,4,x,x,1,x,x,0,0,0,21,813,329,131,"4,588","1,857",9,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,267,108,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0
100101000,1001000,10,1,1,0,Division No.  1,337,0,0,0,0,0,0,0,0,0,0,0,0,20,x,x,3,7,3,0,0,0,0,0,0,0,0,0,4,x,x,4,x,x,1,x,x,0,0,0,20,x,x,128,"4,567","1,848",9,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,254,103,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,247,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,7,164,66,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,47,10,160,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,117,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,305,123,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
