AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTOTFTR,TOTFTR,TOTFBR,TOTFNB,TOTTFT,ETOTTFT,NAPPLETR,APPLETR,APPLEBR,APPLENB,APPLETA,EAPPLETA,NPEARTR,PEARTR,PEARBR,PEARNB,PEARTA,EPEARTA,NPLUMTR,PLUMTR,PLUMBR,PLUMNB,PLUMTA,EPLUMTA,NSWCHTR,SWCHTR,SWCHBR,SWCHNB,SWCHTA,ESWCHTA,NSRCHTR,SRCHTR,SRCHBR,SRCHNB,SRCHTA,ESRCHTA,NPECHTR,PECHTR,PECHBR,PECHNB,PECHTA,EPECHTA,NAPCTTR,APCTTR,APCTBR,APCTNB,APCTTA,EAPCTTA,NOTREETR,OTREETR,OTREEBR,OTREENB,OTREETA,EOTREETA
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Tree fruits - total number of trees - Farms Reporting,Tree fruits - total number of trees,Tree fruits - total bearing trees - Number,Tree fruits - total non-bearing trees - Number,Tree fruits - total area - Acres,Tree fruits - total area - Hectares,Apples - total number of trees - Farms Reporting,Apples - total number of trees,Apples - bearing trees - Number,Apples - non-bearing trees - Number,Apples - total area - Acres,Apples - total area - Hectares,Pears - total number of trees - Farms Reporting,Pears - total number of trees,Pears - bearing trees - Number,Pears - non-bearing trees - Number,Pears - total area - Acres,Pears - total area - Hectares,Plums and prunes - total number of trees - Farms Reporting,Plums and prunes - total number of trees,Plums and prunes - bearing trees - Number,Plums and prunes - non-bearing trees - Number,Plums and prunes - total area - Acres,Plums and prunes - total area - Hectares,Sweet cherries - total number of trees - Farms Reporting,Sweet cherries - total number of trees,Sweet cherries - bearing trees - Number,Sweet cherries - non-bearing trees - Number,Sweet cherries - total area - Acres,Sweet cherries - total area - Hectares,Sour cherries - total number of trees - Farms Reporting,Sour cherries - total number of trees,Sour cherries - bearing trees - Number,Sour cherries - non-bearing trees - Number,Sour cherries - total area - Acres,Sour cherries - total area - Hectares,Peaches - total number of trees - Farms Reporting,Peaches - total number of trees,Peaches - bearing trees - Number,Peaches - non-bearing trees - Number,Peaches - total area - Acres,Peaches - total area - Hectares,Apricots - total number of trees - Farms Reporting,Apricots - total number of trees,Apricots - bearing trees - Number,Apricots - non-bearing trees - Number,Apricots - total area - Acres,Apricots - total area - Hectares,Other tree fruits - total number of trees - Farms Reporting,Other tree fruits - total number of trees,Other tree fruits - total bearing - Number,Other tree fruits - total non-bearing - Number,Other tree fruits - total area - Acres,Other tree fruits - total area - Hectares
0,0,0,0,0,0,CANADA,"276,548","8,282","18,096,476","14,955,717","3,140,759","102,964","41,668","7,144","14,774,088","12,185,038","2,589,050","78,065","31,592","3,002","647,789","553,239","94,550","5,100","2,064","2,827","240,217","201,361","38,856","2,429",983,"2,529","271,702","203,985","67,717","2,713","1,098","1,086","243,580","213,456","30,124","2,513","1,017","1,936","1,516,178","1,308,628","207,550","8,863","3,587","1,357","94,021","73,434","20,587",804,325,"1,119","308,901","216,576","92,325","2,477","1,003"
100000000,1000000,10,0,0,0,Newfoundland - Terre-Neuve,742,9,"2,810","1,090","1,720",21,8,8,480,318,162,4,2,4,x,x,x,x,x,5,"1,587",354,"1,233",11,4,0,0,0,0,0,0,3,x,x,x,3,1,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x
100100000,1000000,10,1,0,0,Agricultural Region 1 - RÇgion agricole 1,366,3,140,18,122,x,x,3,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x
100101000,1001000,10,1,1,0,Division No.  1,337,3,140,18,122,x,x,3,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x
100101155,1001155,10,1,1,155,"Division No.  1, Subd. W",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101203,1001203,10,1,1,203,"Division No.  1, Subd. X",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101214,1001214,10,1,1,214,"Division No.  1, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101304,1001304,10,1,1,304,"Division No.  1, Subd. E",22,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x
100101357,1001357,10,1,1,357,"Division No.  1, Subd. H",32,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100102000,1002000,10,1,2,0,Division No.  2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,2,x,x,x,x,x,2,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100206000,1006000,10,2,6,0,Division No.  6,46,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207000,1007000,10,2,7,0,Division No.  7,87,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,4,x,x,x,18,7,3,x,x,x,3,1,2,x,x,x,x,x,4,x,x,x,x,x,0,0,0,0,0,0,2,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0
100304000,1004000,10,3,4,0,Division No.  4,65,2,x,x,x,x,x,2,x,x,x,x,x,1,x,x,x,x,x,2,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0
100305000,1005000,10,3,5,0,Division No.  5,105,2,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,2,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,1,x,x,x,x,x,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",27,"29,248","16,192","13,056",136,55,26,"26,724","14,793","11,931",108,44,11,797,372,425,8,3,13,856,503,353,9,4,6,x,x,x,x,x,10,533,257,276,5,2,2,x,x,x,x,x,3,20,8,12,x,x,3,x,x,x,x,x
