PROV,CAR,CD,CCS,GEO NAMES,ntfarea,nsole,nvpart,nwpart,nfaminc,nnoninc,notype,ncompny,naccntny,nlvcrpny,nwrdprny,ninetny,nemailny,notcmpny,ncrorgny,norgfvny,norgfcny,norganny,norgotny,ntfarea,tfarea,etfarea,naowned,aowned,eaowned,ntlsrtcs,tlsrtcs,etlsrtcs,nalsdgov,alsdgov,ealsdgov,narnted,arnted,earnted,nacrpshr,acrpshr,eacrpshr,nsize1,nsize2,nsize3,nsize4,nsize5,nsize6,nsize7,nsize8,nsize9,nsize10,nsize11,nsize12,nsize13,nsize14,ntotwht,totwht,etotwht,nwhtspg,whtspg,ewhtspg,nwhtdur,whtdur,ewhtdur,nwhtwin,whtwin,ewhtwin,noats,oats,eoats,nbarley,barley,ebarley,nmxdgrn,mxdgrn,emxdgrn,ncorngr,corngr,ecorngr,nbucwht,bucwht,ebucwht,ntotrye,totrye,etotrye,nryefal,ryefal,eryefal,nryespg,ryespg,eryespg,ncornsi,cornsi,ecornsi,nalfalfa,alfalfa,ealfalfa,nottame,ottame,eottame,ncanola,canola,ecanola,nflaxsd,flaxsd,eflaxsd,nsoybns,soybns,esoybns,nmustsd,mustsd,emustsd,nsunfls,sunfls,esunfls,nsaflwr,saflwr,esaflwr,npotats,potats,epotats,ndfpeas,dfpeas,edfpeas,nlentil,lentil,elentil,ntotdryb,totdryb,etotdryb,nwhitbn,whitbn,ewhitbn,nchicpea,chicpea,echicpea,nodfbns,odfbns,eodfbns,ncanary,canary,ecanary,ntobaco,tobaco,etobaco,nsugarb,sugarb,esugarb,nginseng,ginseng,eginseng,ncaraway,caraway,ecaraway,ntritcl,tritcl,etritcl,nforage,forage,eforage,nofxsftr,ofxsftr,eofxsftr
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,geogaphic identification,Total number of farms,Sole proprietorship - Farms Reporting,Partnership without a written agreement - Farms Reporting,Partnership with written agreement - Farms Reporting,Family corporation - Farms Reporting,Non-family corporation - Farms Reporting,Other operating arrangement- Farms Reporting,Total number of farms using computers - Farms Reporting,"Bookkeeping, payroll or tax preparation - Farms Reporting",Livestock and/or crop record keeping - Farms Reporting,"Word processing (writing letters, labels, etc.) - Farms Reporting",Internet - Farms Reporting,E-mail - Farms Reporting,Other applications - Farms Reporting,Total number of farms producing certified organic products - Farms Reporting,"Fruits, vegetables or greenhouse products - Farms Reporting","Field crops (grains, oilseeds, etc.) - Farms Reporting","Animals or animal products (meat, milk, eggs, etc.) - Farms Reporting","Other certified organic products (maple syrup, herbs, etc.) - Farms Reporting",Total area of farms - Farms Reporting,Total area of farms - Acres,Total area of farms - Hectares,Total area owned - Farms Reporting,Total area owned - Acres,Total area owned - Hectares,"Total area rented, leased or crop shared from all sources - Farms Reporting","Total area rented, leased or crop shared from all sources - Acres","Total area rented, leased or crop shared from all sources - Hectares",Total area leased from governments - Farms Reporting,Total area leased from governments - Acres,Total area leased from governments - Hectares,Total area rented or leased from others - Farms Reporting,Total area rented or leased from others - Acres,Total area rented or leased from others - Hectares,Total area crop shared from others - Farms Reporting,Total area crop shared from others - Acres,Total area crop shared from others - Hectares,Total Farm Area (under 10 acres) - Farms Reporting,Total Farm Area (10 - 69 acres) - Farms Reporting,Total Farm Area (70 - 129 acres) - Farms Reporting,Total Farm Area (130 - 179 acres) - Farms Reporting,Total Farm Area (180 - 239 acres) - Farms Reporting,Total Farm Area (240 - 399 acres) - Farms Reporting,Total Farm Area (400 - 559 acres) - Farms Reporting,Total Farm Area (560 - 759 acres) - Farms Reporting,"Total Farm Area (760 - 1,119 acres) - Farms Reporting","Total Farm Area (1,120 - 1,599 acres) - Farms Reporting","Total Farm Area (1,600 - 2,239 acres) - Farms Reporting","Total Farm Area (2,240 - 2,879 acres) - Farms Reporting","Total Farm Area (2,880 - 3,519 acres) - Farms Reporting","Total Farm Area (3,520 acres and over) - Farms Reporting","Total, wheat - Farms Reporting","Total, wheat - Acres","Total, wheat - Hectares",Spring wheat (excluding durum) - Farms Reporting,Spring wheat (excluding durum) - Acres,Spring wheat (excluding durum) - Hectares,Durum wheat - Farms Reporting,Durum wheat - Acres,Durum wheat - Hectares,Winter wheat - Farms Reporting,Winter wheat - Acres,Winter wheat - Hectares,Oats - Farms Reporting,Oats - Acres,Oats - Hectares,Barley - Farms Reporting,Barley - Acres,Barley - Hectares,Mixed grains - Farms Reporting,Mixed grains - Acres,Mixed grains - Hectares,Corn for grain - Farms Reporting,Corn for grain - Acres,Corn for grain - Hectares,Buckwheat - Farms Reporting,Buckwheat - Acres,Buckwheat - Hectares,"Total, rye - Farms Reporting","Total, rye - Acres","Total, rye - Hectares",Fall rye - Farms Reporting,Fall rye - Acres,Fall rye - Hectares,Spring rye - Farms Reporting,Spring rye - Acres,Spring rye - Hectares,Corn for silage - Farms Reporting,Corn for silage - Acres,Corn for silage - Hectares,Alfalfa and alfalfa mixtures - Farms Reporting,Alfalfa and alfalfa mixtures - Acres,Alfalfa and alfalfa mixtures - Hectares,All other tame hay and fodder crops - Farms Reporting,All other tame hay and fodder crops - Acres,All other tame hay and fodder crops - Hectares,Canola (rapeseed) - Farms Reporting,Canola (rapeseed) - Acres,Canola (rapeseed) - Hectares,Flaxseed - Farms Reporting,Flaxseed - Acres,Flaxseed - Hectares,Soybeans - Farms Reporting,Soybeans - Acres,Soybeans - Hectares,Mustard seed - Farms Reporting,Mustard seed - Acres,Mustard seed - Hectares,Sunflowers - Farms Reporting,Sunflowers - Acres,Sunflowers - Hectares,Safflower - Farms Reporting,Safflower - Acres,Safflower - Hectares,Potatoes - Farms Reporting,Potatoes - Acres,Potatoes - Hectares,Dry field peas - Farms Reporting,Dry field peas - Acres,Dry field peas - Hectares,Lentils - Farms Reporting,Lentils - Acres,Lentils - Hectares,"Total, dry field beans - Farms Reporting","Total, dry field beans - Acres","Total, dry field beans - Hectares",Dry white beans - Farms Reporting,Dry white beans - Acres,Dry white beans - Hectares,Chick peas - Farms Reporting,Chick peas - Acres,Chick peas - Hectares,Other dry beans - Farms Reporting,Other dry beans - Acres,Other dry beans - Hectares,Canary seed - Farms Reporting,Canary seed - Acres,Canary seed - Hectares,Tobacco - Farms Reporting,Tobacco - Acres,Tobacco - Hectares,Sugar beets for sugar - Farms Reporting,Sugar beets for sugar - Acres,Sugar beets for sugar - Hectares,Ginseng - Farms Reporting,Ginseng - Acres,Ginseng - Hectares,Caraway seed - Farms Reporting,Caraway seed - Acres,Caraway seed - Hectares,Triticale - Farms Reporting,Triticale - Acres,Triticale - Hectares,Forage seed for seed - Farms Reporting,Forage seed for seed - Acres,Forage seed for seed - Hectares,All other field crops - Farms Reporting,All other field crops - Acres,All other field crops - Hectares
0,0,0,0,Canada,"246,923","142,915","54,091","16,081","28,849","4,150",831,"97,378","75,522","39,854","62,874","68,549","61,507",537,"2,230",614,"1,442",381,340,"246,923","166,802,197","67,502,447","235,131","104,440,847","42,265,707","103,484","62,361,350","25,236,740","21,530","23,227,757","9,399,939","81,107","30,488,790","12,338,374","19,891","8,644,803","3,498,427","12,600","33,586","28,006","29,283","14,511","33,118","19,543","16,020","18,949","15,281","11,128","5,546","3,197","6,155","72,778","26,836,192","10,860,220","57,811","20,513,716","8,301,605","13,226","5,279,369","2,136,485","12,023","1,043,107","422,130","45,817","4,670,615","1,890,131","60,467","11,606,068","4,696,809","13,187","896,702","362,882","27,842","3,211,150","1,299,506",954,"44,876","18,161","4,678","366,888","148,474","4,189","319,081","129,127",551,"47,807","19,347","15,815","583,075","235,962","90,690","11,129,488","4,503,944","65,014","6,944,464","2,810,325","33,283","9,347,765","3,782,906","9,467","1,647,384","666,673","24,729","2,675,033","1,082,547","2,018","400,746","162,176",935,"174,361","70,561",14,"1,435",581,"3,887","418,783","169,475","14,324","3,312,278","1,340,431","5,891","1,739,128","703,800","7,205","1,638,385","663,031","1,762","208,116","84,222","4,134","1,192,107","482,429","1,731","238,162","96,381","2,168","411,502","166,529","1,146","62,012","25,095",302,"35,736","14,462",380,"7,116","2,880",221,"23,539","9,526",784,"116,837","47,282","3,808","799,415","323,512","1,369","133,244","53,922"
10,0,0,0,Newfoundland - Terre-Neuve,643,397,63,18,106,26,33,205,135,77,153,135,121,1,3,3,0,0,1,643,"100,271","40,578",479,"29,668","12,006",383,"70,603","28,572",332,"65,974","26,699",96,"4,017","1,626",13,612,248,147,262,78,30,34,36,22,13,6,5,4,2,2,2,6,23,9,6,23,9,0,0,0,0,0,0,26,158,64,3,13,5,9,363,147,0,0,0,0,0,0,9,73,30,6,60,24,3,13,5,6,342,138,68,"2,685","1,087",254,"13,248","5,361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,629,255,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,x,x,0,0,0,0,0,0,6,245,99,0,0,0
10,1,1,0,Division No.  1,301,180,29,10,50,14,18,98,67,38,75,63,53,1,3,3,0,0,1,301,"53,672","21,720",241,"11,122","4,501",162,"42,550","17,219",134,"40,678","16,462",55,x,x,4,x,x,71,130,40,8,11,14,11,3,3,2,3,2,1,2,1,x,x,1,x,x,0,0,0,0,0,0,13,x,x,2,x,x,3,x,x,0,0,0,0,0,0,3,32,13,2,x,x,1,x,x,3,x,x,33,841,340,135,"5,431","2,198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,155,63,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0
10,1,1,155,Subd. W,16,8,1,0,2,0,5,5,3,4,2,2,3,0,0,0,0,0,0,16,"5,968","2,415",11,"3,634","1,471",9,"2,334",945,8,x,x,1,x,x,0,0,0,4,6,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,9,278,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,203,Subd. X,22,15,0,0,5,1,1,7,5,4,6,5,4,0,0,0,0,0,0,22,"3,570","1,445",13,419,170,18,"3,151","1,275",17,"3,143","1,272",3,x,x,1,x,x,3,8,5,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,8,7,311,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
10,1,1,214,Subd. C,23,16,0,0,4,2,1,5,3,5,4,2,2,0,0,0,0,0,0,23,"7,873","3,186",22,529,214,11,"7,344","2,972",10,"7,324","2,964",3,20,8,0,0,0,3,15,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,30,13,172,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,304,Subd. E,16,10,1,1,3,1,0,5,5,2,5,5,5,0,0,0,0,0,0,16,793,321,12,477,193,8,316,128,8,x,x,2,x,x,0,0,0,2,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,7,249,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,357,Subd. H,26,12,4,1,6,1,2,7,4,2,6,2,2,0,1,1,0,0,0,26,"7,693","3,113",22,498,202,12,"7,195","2,912",11,x,x,2,x,x,0,0,0,7,13,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,57,9,186,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
10,1,1,472,Holyrood,36,15,4,0,11,2,4,13,10,4,12,11,10,0,0,0,0,0,0,36,"9,510","3,849",27,"1,878",760,22,"7,632","3,089",17,"7,411","2,999",7,x,x,1,x,x,5,15,4,1,4,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,31,12,311,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,18,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
