PROV ,CAR,CD,CCS,GEO NAMES,ntfarea,ntotfrt,totfrt,etotfrt,ntotfrp,totfrp,etotfrp,nappleta,appleta,eapplata,napplepa,applepa,eapplepa,npearta,pearta,epearta,npearpa,pearpa,epearpa,nplumta,plumta,eplumta,nplumpa,plumpa,eplumpa,nswchta,swchta,eswchta,nswchpa,swchpa,eswchpa,nsrchta,srchta,esrchta,nsrchpa,srchpa,esrchpa,npechta,pechta,epechta,npechpa,pechpa,epechpa,napctta,apctta,eapctta,napctpa,apctpa,eapctpa,nstrwbta,strwbta,estwrbta,nstrwbpa,strwbpa,eswrwbpa,nraspbta,raspbta,eraspbta,nraspbpa,raspbpa,eraspbpa,nbluebta,bluebta,ebluebta,nbluebpa,bluebpa,ebluebpa,ncranbta,cranbta,ecranbta,ncranbpa,cranbpa,ecranbpa,nsaskbta,saskbta,esaskbta,nsaskbpa,saskbpa,esaskbpa,ngrapeta,grapeta,egrapeta,ngrapepa,grapepa,egrapepa,notfrtta,otfrtta,eotfrtta,notfrtpa,otfrtpa,eotfrtpa,ntotveg,totveg,etotveg,nswcorn,swcorn,eswcorn,ntomato,tomato,etomato,ncucumb,cucumb,ecucumb,ngrpeas,grpeas,egrpeas,nbeans,beans,ebeans,ncabage,cabage,ecabage,nchincab,chincab,echincab,nclflwr,clflwr,eclflwr,nbrocli,brocli,ebrocli,nbrsprt,brsprt,ebrsprt,ncarrot,carrot,ecarrot,nrtbaga,rtbaga,ertbaga,nbeets,beets,ebeets,nradish,radish,eradish,nonions,onions,eonions,nshalot,shalot,eshalot,ncelery,celery,ecelery,nletuce,letuce,eletuce,nspnach,spnach,espnach,npepper,pepper,epepper,nsqpump,sqpump,esqpump,nrhbarb,rhbarb,erhbarb,naspprod,aspprod,easpprod,naspnprd,aspnprd,easpnprd,nothveg,othveg,eothveg,nnursery,nursery,enursery,nsod,sod,esod,nxmsarea,xmsarea,exmsarea,nmaplet,maplet,nvftprod,vftprod
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,geogaphic identification,Total number of farms,"Total area (producing and non-producing) of fruits, berries and nuts - Farms Reporting","Total area (producing and non-producing) of fruits, berries and nuts - Acres","Total area (producing and non-producing) of fruits, berries and nuts - Hectares","Total producing area of fruits, berries and nuts - Farms Reporting","Total producing area of fruits, berries and nuts - Acres","Total producing area of fruits, berries and nuts - Hectares","Apples, total area - Farms Reporting","Apples, total area - Acres","Apples, total area - Hectares","Apples, producing area - Farms Reporting","Apples, producing area - Acres","Apples, producing area - Hectares","Pears, total area - Farms Reporting","Pears, total area - Acres","Pears, total area - Hectares","Pears, producing area - Farms Reporting","Pears, producing area - Acres","Pears, producing area - Hectares","Plums and prunes, total area - Farms Reporting","Plums and prunes, total area - Acres","Plums and prunes, total area - Hectares","Plums and prunes, producing area - Farms Reporting","Plums and prunes, producing area - Acres","Plums and prunes, producing area - Hectares","Cherries (sweet), total area - Farms Reporting","Cherries (sweet), total area - Acres","Cherries (sweet), total area - Hectares","Cherries (sweet), producing area - Farms Reporting","Cherries (sweet), producing area - Acres","Cherries (sweet), producing area - Hectares","Cherries (sour), total area - Farms Reporting","Cherries (sour), total area - Acres","Cherries (sour), total area - Hectares","Cherries (sour), producing area - Farms Reporting","Cherries (sour), producing area - Acres","Cherries (sour), producing area - Hectares","Peaches, total area - Farms Reporting","Peaches, total area - Acres","Peaches, total area - Hectares","Peaches, producing area - Farms Reporting","Peaches, producing area - Acres","Peaches, producing area - Hectares","Apricots, total area - Farms Reporting","Apricots, total area - Acres","Apricots, total area - Hectares","Apricots, producing area - Farms Reporting","Apricots, producing area - Acres","Apricots, producing area - Hectares","Strawberries, total area - Farms Reporting","Strawberries, total area - Acres","Strawberries, total area - Hectares","Strawberries, producing area - Farms Reporting","Strawberries, producing area - Acres","Strawberries, producing area - Hectares","Raspberries, total area - Farms Reporting","Raspberries, total area - Acres","Raspberries, total area - Hectares","Raspberries, producing area - Farms Reporting","Raspberries, producing area - Acres","Raspberries, producing area - Hectares","Blueberries, total area - Farms Reporting","Blueberries, total area - Acres","Blueberries, total area - Hectares","Blueberries, producing area - Farms Reporting","Blueberries, producing area - Acres","Blueberries, producing area - Hectares","Cranberries, total area - Farms Reporting","Cranberries, total area - Acres","Cranberries, total area - Hectares","Cranberries, producing area - Farms Reporting","Cranberries, producing area - Acres","Cranberries, producing area - Hectares","Saskatoons, total area - Farms Reporting","Saskatoons, total area - Acres","Saskatoons, total area - Hectares","Saskatoons, producing area - Farms Reporting","Saskatoons, producing area - Acres","Saskatoons, producing area - Hectares","Grapes, total area - Farms Reporting","Grapes, total area - Acres","Grapes, total area - Hectares","Grapes, producing area - Farms Reporting","Grapes, producing area - Acres","Grapes, producing area - Hectares","Other fruits, berries and nuts, total area - Farms Reporting","Other fruits, berries and nuts, total area - Acres","Other fruits, berries and nuts, total area - Hectares","Other fruits, berries and nuts, producing area - Farms Reporting","Other fruits, berries and nuts, producing area - Acres","Other  fruits, berries and nuts, producing area - Hectares","Total, vegetables - Farms Reporting","Total, vegetables - Acres","Total, vegetables - Hectares",Sweet corn - Farms Reporting,Sweet corn - Acres,Sweet corn - Hectares,Tomatoes - Farms Reporting,Tomatoes - Acres,Tomatoes - Hectares,Cucumbers - Farms Reporting,Cucumbers - Acres,Cucumbers - Hectares,Green peas - Farms Reporting,Green peas - Acres,Green peas - Hectares,Green or wax beans - Farms Reporting,Green or wax beans - Acres,Green or wax beans - Hectares,Cabbage - Farms Reporting,Cabbage - Acres,Cabbage - Hectares,Chinese cabbage - Farms Reporting,Chinese cabbage - Acres,Chinese cabbage - Hectares,Cauliflower - Farms Reporting,Cauliflower - Acres,Cauliflower - Hectares,Broccoli - Farms Reporting,Broccoli - Acres,Broccoli - Hectares,Brussels sprouts - Farms Reporting,Brussels sprouts - Acres,Brussels sprouts - Hectares,Carrots - Farms Reporting,Carrots - Acres,Carrots - Hectares,Rutabagas and turnips - Farms Reporting,Rutabagas and turnips - Acres,Rutabagas and turnips - Hectares,Beets - Farms Reporting,Beets - Acres,Beets - Hectares,Radishes - Farms Reporting,Radishes - Acres,Radishes - Hectares,Dry onions - Farms Reporting,Dry onions - Acres,Dry onions - Hectares,"Shallots, green or seed onions - Farms Reporting","Shallots, green or seed onions - Acres","Shallots, green or seed onions  - Hectares",Celery - Farms Reporting,Celery - Acres,Celery - Hectares,Lettuces - Farms Reporting,Lettuces - Acres,Lettuces - Hectares,Spinach - Farms Reporting,Spinach - Acres,Spinach - Hectares,Peppers - Farms Reporting,Peppers - Acres,Peppers - Hectares,"Squash, pumpkins and zucchini - Farms Reporting","Squash, pumpkins and zucchini - Acres","Squash, pumpkins and zucchini - Hectares",Rhubarb - Farms Reporting,Rhubarb - Acres,Rhubarb - Hectares,"Asparagus, producing - Farms Reporting","Asparagus, producing - Acres","Asparagus, producing - Hectares","Asparagus, non - producing - Farms Reporting","Asparagus, non - producing - Acres","Asparagus, non - producing - Hectares",Other vegetables - Farms Reporting,Other vegetables - Acres,Other vegetables - Hectares,Total area of nursery products - Farms Reporting,Total area of nursery products - Acres,Total area of nursery products - Hectares,Total area of sod grown for sale - Farms Reporting,Total area of sod grown for sale - Acres,Total area of sod grown for sale - Hectares,Total area of christmas trees grown for sale - Farms Reporting,Total area of christmas trees grown for sale - Acres,Total area of christmas trees grown for sale - Hectares,Number of taps on maple trees - Farms Reporting,Number of taps on maple trees - Number,Sales of forest products - Farms Reporting,Sales of forest products - Dollars
0,0,0,0,Canada,"246,923","12,158","258,236","104,504","12,127","189,938","76,865","4,690","63,814","25,825","4,656","56,990","23,063","1,510","3,899","1,578","1,497","3,535","1,431","1,360","1,998",809,"1,347","1,739",704,"1,494","3,383","1,369","1,484","2,954","1,195",409,"2,728","1,104",397,"2,107",853,"1,186","8,152","3,299","1,184","7,222","2,922",630,588,238,627,567,229,"2,624","14,834","6,003","2,618","11,922","4,825","2,593","9,474","3,834","2,587","8,413","3,405","2,284","108,679","43,981","2,276","59,461","24,063",196,"7,453","3,016",195,"6,459","2,614",850,"2,937","1,189",844,"2,254",912,"1,444","26,165","10,589","1,441","22,595","9,144","1,224","4,133","1,673","1,221","3,721","1,506","9,829","330,752","133,851","3,637","87,696","35,489","2,793","23,865","9,658","2,401","12,603","5,100","1,903","43,132","17,455","2,302","30,001","12,141","1,584","12,552","5,080",241,"2,903","1,175","1,059","7,118","2,881","1,187","9,664","3,911",375,"1,449",586,"2,099","23,184","9,382",876,"5,599","2,266","1,650","2,854","1,155",625,"2,428",983,"1,475","13,400","5,423",750,"2,016",816,254,"1,968",797,"1,272","8,653","3,502",674,"1,595",645,"1,411","6,392","2,587","2,850","14,188","5,742",637,569,230,587,"3,163","1,280",326,859,348,"2,644","12,903","5,221","4,530","56,281","22,776",359,"55,517","22,467","2,933","92,941","37,612","10,305","33,680,376","13,227","117,437,428"
10,0,0,0,Newfoundland - Terre-Neuve,643,84,"1,524",617,84,843,341,5,x,x,5,x,x,1,x,x,1,x,x,6,13,5,6,13,5,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,201,81,54,149,60,28,52,21,28,38,15,12,"1,197",485,12,588,238,3,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,12,x,x,12,x,x,189,"1,088",440,14,8,3,12,4,2,22,7,3,10,1,0,13,4,2,136,256,104,9,5,2,53,20,8,69,40,16,17,5,2,137,170,69,160,376,152,108,72,29,0,0,0,22,6,2,10,2,1,6,2,1,26,26,10,5,1,0,3,1,0,27,10,4,13,3,1,0,0,0,0,0,0,33,70,28,28,81,33,24,372,151,24,486,197,0,0,29,"101,120"
10,1,1,0,Division No.  1,301,30,x,x,30,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,x,x,15,x,x,8,15,6,8,7,3,7,776,314,7,370,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,x,x,9,x,x,83,363,147,3,x,x,3,1,0,10,x,x,4,x,x,6,3,1,60,89,36,4,x,x,20,6,3,23,10,4,11,3,1,55,71,29,66,105,42,33,21,8,0,0,0,9,x,x,4,0,0,3,1,0,11,x,x,4,x,x,1,x,x,10,x,x,8,x,x,0,0,0,0,0,0,24,34,14,15,x,x,13,x,x,8,55,22,0,0,13,x
10,1,1,155,Subd. W,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,1,x
10,1,1,203,Subd. X,22,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,17,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,5,9,4,0,0,0,2,x,x,2,x,x,0,0,0,4,11,5,5,10,4,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,3,5,2,2,x,x,0,0,0,0,0,0,0,0,0,0
10,1,1,214,Subd. C,23,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,1,x
10,1,1,304,Subd. E,16,3,x,x,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,3,10,4,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,1,x
10,1,1,357,Subd. H,26,4,148,60,4,92,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,4,21,8,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,4,6,2,0,0,0,1,x,x,1,x,x,0,0,0,3,8,3,4,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,4,"7,088"
10,1,1,472,Holyrood,36,8,631,255,8,286,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,0,0,0,0,0,0,3,616,249,3,280,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,11,127,51,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,9,36,14,1,x,x,2,x,x,2,x,x,1,x,x,8,28,11,10,35,14,6,10,4,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,4,2,1,x,x,0,0,0,0,0,0,0,0,2,x
10,1,1,519,St. John's,162,12,18,7,12,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,6,7,3,4,5,2,4,2,1,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,x,x,5,x,x,56,161,65,2,x,x,2,x,x,5,1,0,4,x,x,3,0,0,37,34,14,3,0,0,14,3,1,17,5,2,10,x,x,37,24,10,42,49,20,22,7,3,0,0,0,8,2,1,4,0,0,2,x,x,8,2,1,4,x,x,1,x,x,7,1,0,7,2,1,0,0,0,0,0,0,18,26,10,10,45,18,11,124,50,6,x,x,0,0,4,x
10,1,2,0,Division No.  2,26,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,14,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,5,12,5,1,x,x,3,1,0,4,1,0,0,0,0,8,4,2,7,14,6,5,2,1,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,2,x
10,1,2,1,Subd. E,26,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,14,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,5,12,5,1,x,x,3,1,0,4,1,0,0,0,0,8,4,2,7,14,6,5,2,1,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,2,x
10,3,4,0,Division No.  4,51,4,51,21,4,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,17,155,63,5,4,2,3,1,0,4,2,1,3,x,x,3,1,0,14,33,13,2,x,x,8,6,2,9,8,3,3,1,0,13,14,6,16,63,26,13,9,4,0,0,0,2,x,x,1,x,x,1,x,x,3,7,3,1,x,x,0,0,0,5,4,2,1,x,x,0,0,0,0,0,0,1,x,x,4,13,5,1,x,x,3,25,10,0,0,4,x
10,3,4,1,Subd. A,19,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,3,6,3,2,x,x,1,x,x,1,x,x,2,x,x,1,x,x,3,1,0,0,0,0,2,x,x,1,x,x,1,x,x,3,1,0,2,x,x,3,1,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,6,Subd. B,32,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,148,60,3,x,x,2,x,x,3,x,x,1,x,x,2,x,x,11,32,13,2,x,x,6,x,x,8,x,x,2,x,x,10,13,5,14,x,x,10,8,3,0,0,0,1,x,x,0,0,0,1,x,x,3,7,3,1,x,x,0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,1,x,x,3,25,10,0,0,4,x
10,3,5,0,Division No.  5,100,20,103,42,20,84,34,3,3,1,3,3,1,1,x,x,1,x,x,4,x,x,4,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,x,x,16,x,x,8,x,x,8,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,27,152,61,5,3,1,3,2,1,3,1,0,2,x,x,2,x,x,19,33,13,0,0,0,7,2,1,10,5,2,3,1,0,19,16,6,21,40,16,20,11,4,0,0,0,6,x,x,1,x,x,0,0,0,4,6,2,0,0,0,1,x,x,7,2,1,2,x,x,0,0,0,0,0,0,4,x,x,3,3,1,4,x,x,6,34,14,0,0,2,x
10,3,5,7,Subd. E,43,6,38,15,6,33,14,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,x,x,6,x,x,3,6,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,21,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,6,14,6,0,0,0,1,x,x,1,x,x,0,0,0,6,4,2,7,27,11,8,5,2,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0
10,3,5,10,Subd. F,22,7,52,21,7,40,16,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,18,5,33,13,4,x,x,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,26,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,5,8,3,0,0,0,3,x,x,4,4,1,1,x,x,3,6,2,3,6,2,3,3,1,0,0,0,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,3,28,11,2,x,x,0,0,0,0
