PROV ,CAR,CD,CCS,GEO NAMES,ntfarea,tfarea,etfarea,ncrplnd,crplnd,ecrplnd,nsummrf,summrf,esummrf,nimpast,impast,eimpast,nunimpst,unimpst,eunimpst,nothlnd,othlnd,eothlnd,nimpsz1,nimpsz2,nimpsz3,nimpsz4,nimpsz5,nimpsz6,nimpsz7,nimpsz8,nimpsz9,nimpsz10,nimpsz11,nimpsz12,nimpsz13,ntunglas,tunglas,etunglas,ntotgrn,totgrn,etotgrn,nflower,flower,eflower,ngrnveg,grnveg,egrnveg,ngrnothr,grnothr,egrnothr,nmushrm,mushrm,emushrm,nirrig,irrig,eirrig,nfertil,fertil,efertil,nherbci,herbci,eherbci,ninsecti,insecti,einsecti,nfungic,fungic,efungic,nmsolid,msolid,emsolid,nmirrig,mirrig,emirrig,nmliqsur,mliqsur,emliqsur,nmliqinj,mliqinj,emliqinj,ncroprot,nprmgras,ncovcrop,ncontour,nstripcr,ngraswat,nwindyes,ngrmanny,nmchcpny,ntilars,tilars,etilars,ntilconv,tilconv,etilconv,ntilcons,tilcons,etilcons,ntillno,tillno,etillno,nchemsf,chemsf,echemsf,ntillsf,tillsf,etillsf,ncombsf,combsf,ecombsf
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,geogaphic identification,Total area of farms - Farms Reporting,Total area of farms - Acres,Total area of farms - Hectares,Area land in crops (excluding xmas tree area) - Farms Reporting,Area land in crops (excluding xmas tree area) - Acres,Area land in crops (excluding xmas tree area) - Hectares,Summerfallow - Farms Reporting,Summerfallow - Acres,Summerfallow - Hectares,Tame or seeded pasture - Farms Reporting,Tame or seeded pasture - Acres,Tame or seeded pasture - Hectares,Natural land for pasture - Farms Reporting,Natural land for pasture - Acres,Natural land for pasture - Hectares,All other land (including Christmas tree area) - Farms Reporting,All other land (including Christmas tree area) - Acres,All other land (including Christmas tree area) - Hectares,Total number of farms reporting area in crops and summerfallow,Area in crops and summerfallow (under 3 acres) - Farms Reporting,Area in crops and summerfallow (3 - 9 acres) - Farms Reporting,Area in crops and summerfallow (10 - 69 acres) - Farms Reporting,Area in crops and summerfallow (70 - 129 acres) - Farms Reporting,Area in crops and summerfallow (130 - 179 acres) - Farms Reporting,Area in crops and summerfallow (180 - 239 acres) - Farms Reporting,Area in crops and summerfallow (240 - 399 acres) - Farms Reporting,Area in crops and summerfallow (400 - 559 acres) - Farms Reporting,Area in crops and summerfallow (560 - 759 acres) - Farms Reporting,"Area in crops and summerfallow (760 - 1,119 acres) - Farms Reporting","Area in crops and summerfallow (1,120 - 1,599 acres) - Farms Reporting","Area in crops and summerfallow (1,600 acres and over) - Farms Reporting","Total greenhouse area under glass, plastic or other protection - Farms Reporting","Total greenhouse area under glass, plastic or other protection - Square feet","Total greenhouse area under glass, plastic or other protection - Square metres","Total area of greenhouse in use on May 15, 2001 - Farms Reporting","Total area of greenhouse in use on May 15, 2001 - Square feet","Total area of greenhouse in use on May 15, 2001 - Square metres",Greenhouse flowers - Farms Reporting,Greenhouse flowers - Square feet,Greenhouse flowers - Square metres,Greenhouse vegetables - Farms Reporting,Greenhouse vegetables - Square feet,Greenhouse vegetables - Square metres,Other greenhouse products - Farms Reporting,Other greenhouse products - Square feet,Other greenhouse products - Square metres,Total growing area for mushrooms - Farms Reporting,Total growing area for mushrooms - Square feet,Total growing area for mushrooms - Square metres,Use of irrigation - Farms Reporting,Use of irrigation  - Acres,Use of irrigation - Hectares,Use of commercial fertilizer - Farms Reporting,Use of commercial fertilizer - Acres,Use of commercial fertilizer - Hectares,Use of herbicides - Farms Reporting,Use of herbicides - Acres,Use of herbicides - Hectares,Use of insecticides - Farms Reporting,Use of insecticides - Acres,Use of insecticides - Hectares,Use of fungicides - Farms Reporting,Use of fungicides - Acres,Use of fungicides - Hectares,Manure application using a solid spreader - Farms Reporting,Manure application using a solid spreader - Acres,Manure application using a solid spreader - Hectares,Manure application using an irrigation system - Farms Reporting,Manure application using an irrigation system - Acres,Manure application using an irrigation system - Hectares,Manure application using a liquid spreader (on surface) - Farms Reporting,Manure application using a liquid spreader (on surface) - Acres,Manure application using a liquid spreader (on surface) - Hectares,Manure application using a liquid spreader (injected) - Farms Reporting,Manure application using a liquid spreader (injected) - Acres,Manure application using a liquid spreader (injected) - Hectares,Crop rotation - Farms Reporting,Permanent grass cover - Farms Reporting,Winter cover crops - Farms Reporting,Contour cultivation - Farms Reporting,Strip-cropping - Farms Reporting,Grassed waterways - Farms Reporting,Windbreaks or shelterbelts - Farms Reporting,Green manure crops for plough-down - Farms Reporing,Mechanical or hand weeding of crops - Farms Reporting,Total area of land prepared for seeding - Farms Reporting,Total area of land prepared for seeding - Acres,Total area of land prepared for seeding - Hectares,Tillage incorporating most of the crop residue into soil - Farms Reporting,Tillage incorporating most of the crop residue into soil - Acres,Tillage incorporating most of the crop residue into soil - Hectares,Tillage retaining most of the crop residue on the surface - Farms Reporting,Tillage retaining most of the crop residue on the surface - Acres,Tillage retaining most of the crop residue on the surface - Hectares,No-till seeding or zero-till seeding - Farms Reporting,No-till seeding or zero-till seeding - Acres,No-till seeding or zero-till seeding - Hectares,"Weed control on summerfallow land, chemical only - Farms Reporting","Weed control on summerfallow land, chemical only - Acres","Weed control on summerfallow land, chemical only - Hectares","Weed control on summerfallow land, tillage only - Farms Reporting","Weed control on summerfallow land, tillage only - Acres","Weed control on summerfallow land, tillage only - Hectares","Weed control on summerfallow land, tillage and chemical combination on the same land - Farms Reporting","Weed control on summerfallow land, tillage and chemical combination on the same land - Acres","Weed control on summerfallow land, tillage and chemical combination on the same land - Hectares"
0,0,0,0,Canada,"246,923","166,802,197","67,502,447","215,581","89,934,387","36,395,151","50,671","11,565,518","4,680,399","82,830","11,872,170","4,804,496","114,089","38,032,172","15,391,072","188,162","15,397,950","6,231,329","216,510","4,831","8,137","41,585","32,865","21,760","14,068","26,338","15,264","12,708","14,381","10,538","14,035","6,073","197,546,214","18,352,644","6,071","193,039,547","17,933,961","4,024","91,015,688","8,455,634","2,532","83,249,743","7,734,154","1,043","18,774,116","1,744,172",222,"6,777,433","629,644","17,204","1,938,465","784,469","134,120","59,341,904","24,014,814","126,850","64,002,551","25,900,911","27,742","5,500,412","2,225,938","22,482","6,356,511","2,572,388","85,542","4,518,406","1,828,534","1,297","119,320","48,287","16,461","1,774,618","718,162","1,958","312,110","126,306","148,979","78,111","11,313","8,460","8,413","25,434","33,340","16,419","24,461","167,325","73,472,899","29,733,424","116,647","29,750,778","12,039,711","46,725","21,918,819","8,870,230","36,740","21,803,302","8,823,482","8,807","2,053,324","830,951","28,498","5,342,571","2,162,062","19,445","4,169,623","1,687,386"
10,0,0,0,Newfoundland - Terre-Neuve,643,"100,271","40,578",477,"20,843","8,435",28,281,114,137,"6,251","2,530",173,"17,524","7,092",513,"55,372","22,408",477,67,111,213,42,14,14,8,6,1,1,0,0,110,"634,413","58,939",110,"621,145","57,706",80,"534,608","49,667",47,"64,613","6,003",9,"21,924","2,037",0,0,0,51,465,188,352,"15,852","6,415",140,"2,637","1,067",151,"1,585",641,61,766,310,260,"7,788","3,152",2,x,x,59,"5,743","2,324",0,0,0,231,224,22,25,9,16,91,64,182,307,"4,998","2,023",249,"3,741","1,514",56,656,265,63,601,243,4,85,34,23,175,71,4,21,8
10,1,1,0,Division No.  1,301,"53,672","21,720",230,"8,139","3,294",7,x,x,54,"3,332","1,348",90,"11,853","4,797",230,x,x,230,31,60,103,21,7,5,0,3,0,0,0,0,44,"373,211","34,672",44,"362,861","33,711",31,x,x,17,x,x,5,x,x,0,0,0,12,63,25,149,"5,409","2,189",62,819,331,65,525,212,23,169,68,161,"5,741","2,323",0,0,0,28,"1,811",733,0,0,0,99,115,14,9,5,7,34,23,78,135,"1,597",646,100,x,x,28,x,x,38,x,x,0,0,0,6,x,x,1,x,x
10,1,1,155,Subd. W,16,"5,968","2,415",10,382,155,0,0,0,4,620,251,8,"1,585",641,8,"3,381","1,368",10,1,3,4,1,0,1,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,8,776,314,1,x,x,1,x,x,0,0,0,8,285,115,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,1,0,4,5,80,32,3,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0
10,1,1,203,Subd. X,22,"3,570","1,445",17,406,164,3,9,4,2,x,x,6,"1,982",802,18,x,x,17,4,2,9,2,0,0,0,0,0,0,0,0,4,"23,436","2,177",4,"23,436","2,177",3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,8,192,78,5,58,23,5,61,25,3,x,x,10,418,169,0,0,0,1,x,x,0,0,0,6,8,1,0,1,0,1,1,5,10,115,47,8,90,36,1,x,x,3,x,x,0,0,0,2,x,x,1,x,x
10,1,1,214,Subd. C,23,"7,873","3,186",19,252,102,0,0,0,3,52,21,10,706,286,12,"6,863","2,777",19,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,32,0,0,0,0,0,0,0,0,0,17,187,76,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,1,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
10,1,1,304,Subd. E,16,793,321,12,331,134,1,x,x,3,x,x,5,81,33,15,x,x,12,2,3,6,1,0,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,9,176,71,2,x,x,3,50,20,0,0,0,10,285,115,0,0,0,1,x,x,0,0,0,5,9,0,0,0,2,6,3,5,6,x,x,5,39,16,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0
10,1,1,357,Subd. H,26,"7,693","3,113",18,530,214,1,x,x,3,480,194,7,"1,974",799,21,x,x,18,1,3,12,2,0,0,0,0,0,0,0,0,3,"18,500","1,719",3,"18,500","1,719",3,"18,500","1,719",0,0,0,0,0,0,0,0,0,0,0,0,13,384,155,3,10,4,3,x,x,1,x,x,9,288,117,0,0,0,0,0,0,0,0,0,7,12,1,0,0,0,2,0,5,9,122,49,6,77,31,1,x,x,3,x,x,0,0,0,1,x,x,0,0,0
10,1,1,472,Holyrood,36,"9,510","3,849",25,"1,193",483,2,x,x,10,987,399,13,"2,005",811,32,x,x,25,2,6,11,3,2,0,0,1,0,0,0,0,6,"29,380","2,729",6,"28,780","2,674",4,"26,750","2,485",3,x,x,1,x,x,0,0,0,2,x,x,19,"1,065",431,9,131,53,11,153,62,6,56,23,18,"1,438",582,0,0,0,1,x,x,0,0,0,15,15,1,5,0,1,4,4,12,16,298,121,9,81,33,9,183,74,4,34,14,0,0,0,2,x,x,0,0,0
