PROV ,CAR,CD,CCS,GEO NAMES,nsalesxfp,ntchick,tchick,nbroiler,broiler,npulets,pulets,nlayhen,layhen,nhenhtch,henhtch,nturkey,turkey,nothplt,othplt,nbroilpd,broilpd,ebroilpd,nturkprd,turkprd,eturkprd,nhatchnm,hatchnm,ntcattl,tcattl,nbulls,bulls,ntotcow,totcow,nmlkcow,mlkcow,nbfcows,bfcows,nheifer,heifer,nbfheif,bfheif,nmlkheif,mlkheif,nfdheif,fdheif,nsteers,steers,ncalfu1,calfu1,ntopigs,topigs,nboars,boars,nsows,sows,nnurpig,nurpig,ngrwpig,grwpig,ntsheep,tsheep,nrams,rams,newes,ewes,nlambs,lambs,nhorses,horses,ngoats,goats,nwldboar,wldboar,nmink,mink,nfox,fox,nbison,bison,ndeer,deer,nelk,elk,nlamas,lamas,nrabbit,rabbit,nbees,bees,ntottrc,tottrc,tottrco,tottrcl,tvaltrc,nttru100,ttru100,otru100,ltru100,vtru100,nttrc100,ttrc100,otrc100,ltrc100,vtrc100,nttrc149,ttrc149,otrc149,ltrc149,vtrc149,ntottrk,tottrk,tottrko,tottrkl,tvaltrk,ntotptrk,totptrk,opickup,lpickup,vpickup,ntototrk,tototrk,oothtrk,lothtrk,vothtrk,ntautmbl,tautmbl,oautmbl,lautmbl,vautmbl,ntotcomb,totcomb,ocomb,lcomb,vcomb,ntswtmow,tswtmow,oswtmow,lswtmow,vswtmow,ntotbal,totbal,obaler,lbaler,vbaler,ntharvst,tharvst,oharvst,lharvst,vharvst,ntcultsd,tcultsd,ocultsd,lcultsd,vcultsd,nvirrig,virrig,nvaloeq,valoeq
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,geogaphic identification,Total number of farms,Total hens and chickens - Farms Reporting,Total hens and chickens - Number,"Broilers, roasters and cornish - Farms Reporting","Broilers, roasters and cornish - Number","Pullets - under 19 weeks, intended for laying  - Farms Reporting","Pullets - under 19 weeks, intended for laying - Number",Laying hens -  19 weeks. and over - Farms Reporting,Laying hens -  19 weeks. and over - Number,Laying hens in hatchery supply flock - Farms Reporting,Laying hens in hatchery supply flock - Number,Turkeys - Farms Reporting,Turkeys - Number,Other poultry - Farms Reporting,Other poultry - Number,"Broilers, roasters & cornish production - Farms Reporting","Broilers, roasters & cornish production - Kilograms","Broilers, roasters & cornish production - Pounds",Turkey production - Farms Reporting,Turkey production - Kilograms,Turkey production - Pounds,Chicks or other poultry hatched - Farms Reporting,Chicks or other poultry hatched - Number,Total cattle and calves - Farms Reporting,Total cattle and calves - Number,Bulls - 1 year and over - Farms Reporting,Bulls - 1 year and over - Number,Total cows - Farms Reporting,Total cows - Number,Dairy cows - Farms Reporting,Dairy cows - Number,Beef cows - Farms Reporting,Beef cows - Number,Total heifers - 1 year and over - Farms Reporting,Total heifers - 1 year and over - Number,Heifers for beef herd replacement - 1 year and over - Farms Reporting,Heifers for beef herd replacement - 1 year and over - Number,Heifers for dairy herd replacement - 1 year and over - Farms Reporting,Heifers for dairy herd replacement - 1 year and over - Number,Heifers for slaughter or feeding - 1 year and over - Farms Reporting,Heifers for slaughter or feeding - 1 year and over - Number,Steers - 1 year and over - Farms Reporting,Steers - 1 year and over - Number,Calves - under 1 year - Farms Reporting,Calves - under 1 year - Number,Total pigs - Farms Reporting,Total pigs - Number,Boars - Farms Reporting,Boars - Number,Sows and gilts for breeding - Farms Reporting,Sows and gilts for breeding - Number,Nursing and weaner pigs - Farms Reporting,Nursing and weaner pigs - Number,Grower and finishing pigs - Farms reporting,Grower and finishing pigs - Number,Total sheep and lambs - Farms Reporting,Total sheep and lambs - Number,Rams - Farms Reporting,Rams - Number,Ewes - Farms Reporting,Ewes - Number,Lambs - Farms Reporting,Lambs - Number,Horses and ponies - Farms Reporting,Horses and ponies - Number,Goats - Farms Reporting,Goats - Number,Wild boars - Farms reporting,Wild boars - Number,Mink - Farms Reporting,Mink - Number,Fox - Farms Reporting,Fox - Number,Bison (buffalo) - Farms Reporting,Bison (buffalo) - Number,Deer (excluding wild deer) - Farms Reporting,Deer (excluding wild deer) - Number,Elk - Farms reporting,Elk - Number,Llamas and alpacas - Farms Reporting,Llamas and alpacas - Number,Rabbits - Farms Reporting,Rabbits - Number,Colonies of bees - Farms Reporting,Colonies of bees - Number,Total tractors - Farms reporting,Total tractors - Total number,Total tractors - Number owned,Total tractors - Number leased,Total tractors - Market value $,Tractors under 100 hp - Farms reporting,Tractors under 100 hp - Total number,Tractors under 100 hp - Number owned,Tractors under 100 hp - Number leased,Tractors under 100 hp - Market value $,Tractors from 100 to 149 hp - Farms reporting,Tractors from 100 to 149 hp - Total number,Tractors from 100 to 149 hp - Number owned,Tractors from 100 to 149 hp - Number leased,Tractors from 100 to 149 hp - Market value $,Tractors over 149 hp - Farms reporting,Tractors over 149 hp - Total number,Tractors over 149 hp - Number owned,Tractors over 149 hp - Number leased,Tractors over 149 hp - Market value $,Total farm trucks - Farms reporting,Total farm trucks - Total number,Total farm trucks - Number owned,Total farm trucks - Number leased,Total farm trucks - Market value $,Pick-ups and cargo vans - Farms reporting,Pick-ups and cargo vans - Total number,Pick-ups and cargo vans - Number owned,Pick-ups and cargo vans - Number leased,Pick-ups and cargo vans - Market value $,Other farm trucks - Farms reporting,Other farm trucks - Total number,Other farm trucks - Number owned,Other farm trucks - Number leased,Other farm trucks - Market value $,Cars and other passenger vehicles - Farms reporting,Cars and other passenger vehicles - Total number,Cars and other passenger vehicles - Number owned,Cars and other passenger vehicles - Number leased,Cars and other passenger vehicles - Market value $,Combines - Farms reporting,Combines - Total number,Combines - Number owned,Combines - Number leased,Combines - Market value $,Swathers and mower-conditioners - Farms reporting,Swathers and mower-conditioners - Total number,Swathers and mower-conditioners - Number owned,Swathers and mower-conditioners - Number leased,Swathers and mower-conditioners - Market value $,Balers - Farms reporting,Balers - Total number,Balers - Number owned,Balers - Number leased,Balers - Market value $,Forage harvesters - Farms reporting,Forage harvesters - Total number,Forage harvesters - Number owned,Forage harvesters - Number leased,Forage harvesters - Market value $,"Tillage, cultivation, seeding and planting equipment - Farms reporting","Tillage, cultivation, seeding and planting equipment - Total number","Tillage, cultivation, seeding and planting equipment - Number owned","Tillage, cultivation, seeding and planting equipment - Number leased","Tillage, cultivation, seeding and planting equipment - Market value $",Value of irrigation equipment - Farms reporting,Value of irrigation equipment - Market value $,"Value of all other farm machinery, workshop and office equipment - Farms reporting","Value of all other farm machinery, workshop and office equipment - Market value $"
0,0,0,0,Canada,"246,923","26,484","126,159,529","10,875","87,437,798","5,000","12,470,143","20,345","26,251,588",313,"4,749,818","4,176","8,115,942","7,456","5,311,918","7,162","1,084,811,510","2,391,599,972","2,889","178,178,183","392,815,649",138,"686,515,561","122,066","15,551,449","78,816","260,218","108,684","5,863,365","21,911","1,060,965","90,066","4,802,400","83,914","2,492,996","59,662","842,769","20,439","515,274","16,227","1,134,953","32,884","1,731,100","110,397","5,203,770","15,472","13,958,772","7,615","45,771","8,542","1,410,724","7,720","4,729,595","12,041","7,772,682","13,232","1,262,448","9,926","29,539","12,510","621,151","11,161","611,758","53,925","460,569","7,706","182,851",505,"33,131",218,"1,349,412",145,"15,346","1,887","145,094",809,"53,258","1,172","74,478","3,190","25,782","1,859","255,762","3,143","506,771","225,622","732,521","723,405","9,115","11,668,962,325","204,929","524,172","519,601","4,571","4,679,970,912","93,282","128,601","126,162","2,439","3,186,652,412","58,039","79,747","77,642","2,105","3,802,339,001","213,389","492,669","485,577","7,093","5,043,822,091","206,181","326,190","320,489","5,701","3,387,702,288","94,806","166,479","165,088","1,391","1,656,119,803","120,159","141,049","138,560","2,488","1,447,297,509","96,835","115,803","114,081","1,722","3,832,775,272","133,196","185,208","183,913","1,295","1,407,182,185","116,081","147,648","146,754",894,"1,002,894,886","26,006","29,106","28,872",234,"282,632,399","166,488","583,802","580,406","3,397","3,308,723,068","19,685","682,583,391","183,661","4,441,728,998"
10,0,0,0,Newfoundland - Terre-Neuve,643,74,"1,720,697",24,x,11,x,65,"323,911",0,0,26,x,32,592,22,x,x,29,x,x,1,x,171,"9,483",86,145,122,"5,357",63,"4,708",63,649,115,"1,804",54,251,61,"1,473",18,80,41,160,139,"2,017",31,"2,689",20,38,21,339,14,717,16,"1,595",109,"7,888",101,250,107,"3,791",96,"3,847",72,288,25,194,0,0,4,x,22,"1,663",0,0,0,0,0,0,3,16,3,28,5,157,460,"1,005",969,36,"16,038,535",441,908,877,31,"12,257,151",50,71,66,5,"2,519,040",24,26,26,0,"1,262,344",487,785,755,30,"7,953,272",465,633,608,25,"6,174,179",97,152,147,5,"1,779,093",195,222,212,10,"2,275,665",4,5,5,0,"43,167",147,163,160,3,"1,075,552",202,234,234,0,"1,887,363",31,39,39,0,"449,995",307,"1,045","1,041",4,"3,072,392",56,"690,941",417,"6,908,428"
10,1,1,0,Division No.  1,301,32,"1,470,888",16,x,6,x,24,"166,462",0,0,15,x,13,286,16,x,x,18,x,x,1,x,89,"4,047",46,x,58,"2,358",35,"2,075",25,283,63,x,27,x,38,515,10,x,18,76,70,831,18,"1,051",11,20,12,146,8,x,9,x,52,"3,553",48,111,51,"1,696",46,"1,746",31,143,9,43,0,0,2,x,7,x,0,0,0,0,0,0,1,x,1,x,2,x,211,409,400,9,"6,491,549",201,377,368,9,x,17,x,x,0,x,8,x,x,0,x,229,371,x,x,"3,933,375",217,300,x,x,"3,073,240",43,71,x,x,"860,135",99,118,114,4,"1,138,922",1,x,x,0,x,72,x,x,x,x,100,119,119,0,x,16,22,22,0,"222,795",133,434,x,x,"1,112,317",16,x,198,"2,916,495"
10,1,1,155,Subd. W,16,2,x,0,0,0,0,2,x,0,0,2,x,0,0,0,0,0,0,0,0,0,0,5,104,1,x,2,x,1,x,1,x,3,x,2,x,2,x,1,x,2,x,2,x,3,313,2,x,2,x,2,x,2,x,8,520,8,19,8,246,8,255,1,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,7,17,17,0,"127,000",7,x,x,0,x,1,x,x,0,x,0,0,0,0,0,10,12,12,0,"106,500",10,x,x,0,x,1,x,x,0,x,4,6,6,0,"63,300",0,0,0,0,0,2,x,x,0,x,4,4,4,0,"41,500",1,x,x,0,x,6,13,13,0,"34,700",0,0,11,"107,700"
10,1,1,203,Subd. X,22,3,x,2,x,0,0,2,x,0,0,3,x,1,x,1,x,x,2,x,x,0,0,5,148,4,x,4,80,1,x,3,x,4,23,3,x,1,x,0,0,1,x,4,36,1,x,1,x,1,x,0,0,0,0,6,245,6,x,6,x,4,119,2,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,16,37,37,0,"396,278",15,x,x,0,x,1,x,x,0,x,1,x,x,0,x,17,24,24,0,"226,094",15,19,19,0,x,3,5,5,0,x,11,13,13,0,"105,705",0,0,0,0,0,2,x,x,0,x,5,5,5,0,"36,882",2,x,x,0,x,9,44,44,0,"73,091",1,x,17,"184,538"
10,1,1,214,Subd. C,23,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,6,76,2,x,2,x,1,x,1,x,2,x,1,x,0,0,1,x,2,x,6,39,1,x,1,x,0,0,0,0,0,0,16,919,15,33,15,457,13,429,2,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,0,"74,430",10,x,x,0,x,1,x,x,0,x,0,0,0,0,0,14,16,16,0,"127,826",14,x,x,0,x,1,x,x,0,x,6,6,6,0,"66,500",0,0,0,0,0,4,5,5,0,x,4,4,4,0,x,0,0,0,0,0,3,6,6,0,"6,543",0,0,14,"67,802"
10,1,1,304,Subd. E,16,4,x,3,x,1,x,2,x,0,0,0,0,2,x,2,x,x,0,0,0,0,0,5,61,2,x,3,34,2,x,1,x,2,x,1,x,1,x,1,x,2,x,3,x,3,36,1,x,2,x,1,x,1,x,3,x,3,5,3,x,3,66,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,12,28,28,0,"228,960",12,25,25,0,x,3,3,3,0,x,0,0,0,0,0,12,20,x,x,"151,057",12,x,15,x,x,2,x,x,0,x,4,4,4,0,"30,700",0,0,0,0,0,6,8,8,0,x,6,13,13,0,"37,430",1,x,x,0,x,8,16,16,0,"38,524",1,x,11,"145,096"
10,1,1,357,Subd. H,26,2,x,1,x,1,x,2,x,0,0,2,x,1,x,2,x,x,2,x,x,0,0,8,126,4,x,4,31,1,x,4,x,5,32,3,7,2,x,1,x,2,x,6,49,2,x,1,x,1,x,0,0,1,x,4,404,4,7,4,171,4,226,3,5,2,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,0,"239,500",14,x,x,0,x,0,0,0,0,0,1,x,x,0,x,18,30,x,x,"187,000",16,22,x,x,"149,000",4,8,8,0,"38,000",8,9,9,0,"71,500",0,0,0,0,0,4,4,4,0,x,10,13,13,0,"36,500",1,x,x,0,x,11,28,28,0,"48,500",1,x,16,"214,006"
10,1,1,472,Holyrood,36,3,"291,400",2,x,1,x,2,x,0,0,0,0,0,0,2,x,x,1,x,x,1,x,13,480,7,15,9,177,0,0,9,177,10,90,9,61,4,x,1,x,5,34,12,164,2,x,2,x,2,x,2,x,1,x,3,x,2,x,3,x,3,316,6,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,45,x,x,"629,590",25,45,x,x,"629,590",0,0,0,0,0,0,0,0,0,0,30,54,x,x,"517,933",29,46,x,x,"426,433",6,8,x,x,"91,500",12,15,15,0,"149,400",0,0,0,0,0,7,7,7,0,"17,000",10,11,11,0,"45,000",1,x,x,0,x,17,73,73,0,"234,656",2,x,25,"347,930"
