PROV ,CAR,CD,CCS,GEO NAMES,ntotfcap,totfcap,nvalulb,valulb,nvlbown,vlbown,nvlbrnt,vlbrnt,nvallvsk,vallvsk,nvalmch,valmch,ncap1,ncap2,ncap3,ncap4,ncap5,ncap6,ncap7,ncap8,ncap9,ntotexp,totexp,nfertpd,fertpd,nchempd,chempd,nseedpd,seedpd,nfeedpd,feedpd,ncostfd,costfd,nlvstpd,lvstpd,nvetser,vetser,ncustwrk,custwrk,ntcshwge,tcshwge,ncshwgef,cshwgef,ncshwgnf,cshwgnf,nfuel,fuel,nrepmch,repmch,nrntmch,rntmch,nrepbldg,repbldg,nrntexp,rntexp,nutilexp,utilexp,ntotint,totint,nothexp,othexp,nsalesxfp,salesxfp,nsale1,nsale2,nsale3,nsale4,nsale5,nsale6,nsale7,nsale8,nsale9,ntype0,ntype1,ntype2,ntype3,ntype4,ntype5,ntype6,ntype7,ntype8,ntype9,ntype10,ntype11,ntype12,nnaic1,nnaic2,nnaic3,nnaic4,nnaic5,nnaic6,nnaic7,nnaic8,nnaic9,nnaic10,ntotlab,totlab,npdlbyr,pdlbyr,npdlbsl,pdlbsl
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,geogaphic identification,Total farm capital - Farms Reporting,Total farm capital - Market value $,Total value of land and buildings - Farms Reporting,Total value of land and buildings - Market value $,Value of land and buildings owned - Farms Reporting,Value of land and buildings owned - Market value $,Value of land and buildings rented or leased from others  - Farms Reporting,Value of land and buildings rented or leased from others - Market value $,Value of livestock and poultry - Farms Reporting,Value of livestock and poultry - Market value $,Total value of all farm machinery & equipment - Farms Reporting,Total value of all farm machinery & equipment - Market value $,"Total farm capital (under $50,000) - Farms Reporting","Total farm capital ($50,000-$99,999) - Farms Reporting","Total farm capital ($100,000-$199,999) - Farms Reporting","Total farm capital ($200,000-$349,999) - Farms Reporting","Total farm capital ($350,000-$499,999) - Farms Reporting","Total farm capital ($500,000-$999,999) - Farms Reporting","Total farm capital ($1,000,000-$1,499,999) - Farms Reporting","Total farm capital ($1,500,000-$1,999,999) - Farms Reporting","Total farm capital ($2,000,000 and over) - Farms Reporting",Total farm business operating expenses - Farms Reporting,Total farm business operating expenses - Amount $,Fertilizer and lime purchases - Farms Reporting,Fertilizer and lime purchases - Amount $,"Purchases of herbicides, insecticides, fungicides, etc - Farms Reporting","Purchases of herbicides, insecticides, fungicides, etc - Amount $",Seed and seedling purchases (excluding materials purchased for resale) - Farms Reporting,Seed and seedling purchases (excluding materials purchased for resale) - Amount $,Total feed and supplement purchases - Farms Reporting,Total feed and supplement purchases - Amount $,Feed purchased from other farmers - Farms Reporting,Feed purchased from other farmers - Amount $,Livestock and poultry purchases - Farms Reporting,Livestock and poultry purchases - Amount $,"Veterinary services, drugs, etc - Farms Reporting","Veterinary services, drugs, etc - Amount $",Custom work and contract work - Farms Reporting,Custom work and contract work - Amount $,Total wages and salaries - Farms Reporting,Total wages and salaries - Amount $,Wages and salaries paid to family members - Farms Reporting,Wages and salaries paid to family members - Amount $,Wages and salaries paid to all other persons - Farms Reporting,Wages and salaries paid to all other persons - Amount $,"All fuel expenses (diesel, gasoline, oil, wood, natural gas, etc) - Farms Reporting","All fuel expenses (diesel, gasoline, oil, wood, natural gas, etc) - Amount $","Repairs and maintenance to farm machinery, equipment and vehicles - Farms Reporting","Repairs and maintenance to farm machinery, equipment and vehicles - Amount $","Rental and leasing of farm machinery, equipment and vehicles - Farms Reporting","Rental and leasing of farm machinery, equipment and vehicles - Amount $",Repairs and maintenance to farm buildings and fences - Farms Reporting,Repairs and maintenance to farm buildings and fences - Amount $,Rent and leasing of land and buildings - Farms Reporting,Rent and leasing of land and buildings - Amount $,"Electricity, Telephone and all other telecommunication services - Farms Reporting","Electricity, Telephone and all other telecommunication services - Amount $",Farm interest expenses - Farms Reporting,Farm interest expenses - Amount $,All other farm operating expenses (excluding depreciation and capital cost allowance) - Farms Reporting ,All other farm operating expenses (excluding depreciation and capital cost allowance) - Amount $,Total Number of Farms,Total gross farm receipts (excluding forest products sold) - Amount $,"Total gross farm receipts (under $2,500) - Farms Reporting","Total gross farm receipts ($2,500-$4,999) - Farms Reporting","Total gross farm receipts ($5,000-$9,999) - Farms Reporting","Total gross farm receipts ($10,000-$24,999) - Farms Reporting","Total gross farm receipts ($25,000-$49,999) - Farms Reporting","Total gross farm receipts ($50,000-$99,999) - Farms Reporting","Total gross farm receipts ($100,000-$249,999) - Farms Reporting","Total gross farm receipts ($250,000-$499,999) - Farms Reporting","Total gross farm receipts ($500,000 and over) - Farms Reporting","Total number of farms reporting gross farm receipts $2,500 and over",Dairy - Farms Reporting,Cattle (beef) - Farms Reporting,Hog - Farms Reporting,Poultry and egg - Farms Reporting,Wheat - Farms Reporting,Grain and oilseed (except wheat) - Farms Reporting,Field crop (except grain and oilseed) - Farms Reporting,Fruit - Farms Reporting,Miscellaneous specialty - Farms Reporting,Livestock combination - Farms Reporting,Vegetable - Farms Reporting,Other combination - Farms Reporting,Cattle ranching and farming - Farms Reporting,Hog and pig farming - Farms Reporting,Poultry and egg production - Farms Reporting,Sheep and goat farming - Farms Reporting,Other animal production - Farms Reporting,Oilseed and grain farming - Farms Reporting,Vegetable and melon farming - Farms Reporting,Fruit and tree nut farming - Farms Reporting,"Greenhouse, nursery and floriculture production - Farms Reporting",Other crop farming - Farms Reporting,"Paid work, total - Farms Reporting","Paid work, total - Weeks","Paid work, year round - Farms Reporting","Paid work, year round - Weeks","Paid work, seasonal or temporary - Farms Reporting","Paid work, seasonal or temporary - Weeks"
0,0,0,0,Canada,"246,923","196,868,929,481","246,923","143,806,950,907","236,339","108,724,371,200","104,263","35,082,579,707","163,777","19,943,376,450","246,923","33,118,602,124",3461,9425,32263,51288,36079,61357,24207,11079,17764,"246,923","33,213,077,917","158,499","2,069,703,004","137,962","1,549,618,896","150,901","1,157,514,056","147,546","4,554,412,530","52,614","760,933,533","99,395","6,384,037,876","142,614","572,908,674","138,977","1,359,903,463","103,280","3,324,607,934","70,220","1,420,570,653","60,899","1,904,037,281","236,513","1,908,825,580","230,322","1,828,621,636","48,169","311,959,369","192,754","679,352,548","84,166","805,175,403","225,546","816,537,436","157,938","2,216,663,787","231,549","3,673,235,725","246,923",38298728817,16383,14912,22871,42139,34145,35255,47079,21396,12743,230540,18574,67814,7148,4394,15249,52648,17286,6560,28315,4991,2890,4671,83927,7269,4412,3268,19498,68268,4510,6580,7503,25305,"103,280","7,101,252","47,900","4,597,758","71,465","2,503,494"
10,0,0,0,Newfoundland - Terre-Neuve,643,"203,846,642",643,"145,869,998",519,"113,781,165",385,"32,088,833",330,"17,581,334",643,"40,395,310",107,118,152,123,41,62,21,9,10,643,"78,820,591",467,"1,510,919",248,"365,835",363,"1,379,902",309,"27,028,999",65,"942,776",175,"12,591,862",229,"672,923",150,"2,661,354",340,"13,227,499",202,"5,305,821",251,"7,921,678",591,"3,587,279",517,"2,246,459",109,"492,201",418,"1,312,048",246,"390,918",483,"1,848,401",249,"2,588,991",526,"6,915,001",643,90398822,124,76,87,116,61,53,59,27,40,519,59,46,8,33,0,0,55,23,155,12,76,52,119,9,33,27,38,0,90,23,102,78,340,"27,206",112,"15,379",286,"11,827"
10,1,1,0,Division No.  1,301,"107,932,206",301,"82,132,344",253,"64,908,201",163,"17,224,143",163,"8,430,946",301,"17,368,916",41,44,72,65,23,37,8,5,6,301,"50,676,386",203,"564,640",101,"141,129",158,"814,295",152,"19,739,415",25,"173,553",92,"10,557,933",110,"336,615",74,"2,008,287",163,"6,693,375",98,x,118,x,274,"2,076,246",247,"1,109,612",56,x,190,"795,024",107,"217,897",226,"1,029,425",108,"867,908",242,x,301,57281140,60,32,45,52,23,17,36,15,21,241,33,24,5,17,0,0,24,9,64,6,37,22,63,6,17,13,18,0,41,9,41,33,163,"13,467",58,x,135,x
10,1,1,155,Subd. W,16,"2,292,780",16,"1,564,500",11,"709,500",9,"855,000",12,"240,080",16,"488,200",3,6,3,2,2,0,0,0,0,16,"466,276",8,"26,035",3,x,4,x,10,"70,862",3,x,5,x,10,x,1,x,6,x,3,x,5,x,13,"29,364",13,"25,272",2,x,13,"8,234",5,x,13,"15,791",6,"12,591",6,"70,786",16,640897,6,1,4,2,0,0,2,1,0,10,1,0,2,0,0,0,1,0,2,0,0,4,4,2,0,0,0,0,0,0,1,3,6,365,2,x,5,x
10,1,1,203,Subd. X,22,"5,889,958",22,"4,559,500",16,"3,056,500",19,"1,503,000",12,"283,906",22,"1,046,552",2,4,6,4,1,5,0,0,0,22,"1,063,260",9,"30,087",6,x,12,"23,947",11,"139,104",2,x,9,x,6,x,6,x,14,"286,226",8,"186,548",7,"99,678",21,"71,354",17,"36,845",2,x,12,"28,674",8,x,16,"29,609",7,"35,730",15,"98,129",22,1299712,7,1,2,4,3,3,0,1,1,15,1,2,0,1,0,0,2,1,4,0,2,2,3,0,1,1,1,0,2,1,3,3,14,748,3,158,13,590
10,1,1,214,Subd. C,23,"2,044,494",23,"1,473,700",22,"1,141,200",11,"332,500",21,"209,193",23,"361,601",12,3,5,2,1,0,0,0,0,23,"218,743",15,"10,544",0,0,3,351,22,"27,607",0,0,9,x,14,"3,215",7,"5,928",7,x,3,x,6,"32,076",21,"31,278",18,"28,956",4,x,15,"11,447",7,"1,364",17,"13,865",7,"6,997",11,x,23,94166,14,2,3,4,0,0,0,0,0,9,0,1,0,0,0,0,0,1,5,1,0,1,1,0,0,5,2,0,0,1,0,0,7,83,1,x,6,x
10,1,1,304,Subd. E,16,"4,313,042",16,"3,286,900",13,"2,588,000",8,"698,900",12,"358,372",16,"667,770",0,4,5,2,2,3,0,0,0,16,"685,162",9,"10,165",3,368,9,"2,451",10,"67,975",1,x,4,x,8,x,5,x,9,"218,579",5,"116,106",6,"102,473",14,"135,268",15,"25,391",4,"14,244",10,"19,370",7,x,12,"33,403",4,"26,908",13,"80,295",16,845327,4,2,1,4,2,0,2,1,0,12,2,0,0,2,0,0,3,0,3,1,1,0,2,0,2,1,2,0,1,0,1,3,9,556,4,312,8,244
10,1,1,357,Subd. H,26,"4,795,875",26,"3,608,500",24,"2,921,000",12,"687,500",12,"378,669",26,"808,706",5,4,7,7,1,2,0,0,0,26,"1,158,630",16,"31,400",7,x,13,"46,229",12,"168,042",4,"6,201",5,x,6,"1,307",7,x,13,"353,045",7,"83,285",10,"269,760",25,"98,559",21,"48,159",2,x,16,"62,186",8,x,21,"57,784",8,"41,215",22,"93,881",26,1536372,2,4,7,1,2,3,6,1,0,24,1,4,0,3,0,0,1,2,7,1,3,2,6,0,3,2,2,0,3,2,4,2,13,679,5,270,11,409
10,1,1,472,Holyrood,36,"11,770,729",36,"8,692,992",29,"6,677,000",22,"2,015,992",17,"1,123,228",36,"1,954,509",1,9,8,10,2,3,2,1,0,36,"10,330,144",28,"83,557",19,x,21,x,13,"3,217,663",4,x,7,x,13,x,7,x,20,"1,497,769",14,"500,147",17,"997,622",30,"276,073",30,"197,623",10,x,27,"85,148",16,"61,680",28,"233,061",15,"128,259",31,"597,436",36,12802079,4,4,4,7,4,2,6,2,3,32,0,7,1,4,0,0,2,3,5,1,5,4,9,1,4,1,2,0,6,3,4,2,20,"3,432",6,"1,854",17,"1,578"
