areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ANUMFARMS,BATFAREA,CASALEMFP,DATOTFCAP,ANUMFARMS1,BATFAREA1,CASALEMFP1,DATOTFCAP1,ANUMFARMS2,BATFAREA2,CASALEMFP2,DATOTFCAP2
areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,Geography,Total number of farms,Average farm area - Acres,Average farm receipts - In dollars,Average farm capital - In dollars,Total number of farms - Farms with one operator,Average farm area - Acres - Farms with one operator,Average farm receipts - In dollars - Farms with one operator,Average farm capital - In dollars - Farms with one operator,Total number of farms  - Farms with two or more operators,Average farm area - Acres - Farms with two or more operators,Average farm receipts - In dollars - Farms with two or more operators,Average farm capital - In dollars - Farms with two or more operators
0,0,0,0,0,0,0,Canada,"246,925",676,"155,104","797,289","153,730",657,"146,872","723,678","93,195",706,"168,683","918,712"
100000000,10,0,0,0,0,100000000,Newfoundland and Labrador,645,156,"140,589","317,024",505,165,"124,929","277,168",135,121,"199,518","467,003"
100100000,10,1,0,0,1,100100000,Agricultural Region 1 - (CAR),325,169,"177,961","342,107",255,188,"172,484","296,734",65,98,"198,441","511,761"
100101000,10,1,1,0,1,100101000,Division No.  1 - (CD),300,178,"190,303","358,579",235,200,"185,727","311,447",60,98,"207,247","533,113"
100101155,10,1,1,155,1,100101155,"Division No.  1, Subd. W - (CCS)",15,373,"40,056","143,299",15,420,"37,310","128,042",0,...,...,...
100101203,10,1,1,203,1,100101203,"Division No.  1, Subd. X - (CCS)",20,162,"59,078","267,725",20,165,"39,536","231,410",5,137,"254,500","630,880"
100101214,10,1,1,214,1,100101214,"Division No.  1, Subd. C - (CCS)",25,342,"4,094","88,891",20,366,"3,246","79,241",5,90,"13,000","190,215"
100101304,10,1,1,304,1,100101304,"Division No.  1, Subd. E - (CCS)",15,50,"52,833","269,565",10,52,"29,160","216,303",5,45,"104,913","386,741"
100101357,10,1,1,357,1,100101357,"Division No.  1, Subd. H - (CCS)",25,296,"59,091","184,457",20,434,"65,632","171,589",10,36,"46,736","208,763"
100101472,10,1,1,472,1,100101472,Holyrood - (CCS),35,264,"355,613","326,965",30,295,"402,623","297,752",10,137,"160,860","447,989"
100101519,10,1,1,519,1,100101519,St. John's - (CCS),160,113,"247,300","474,230",125,112,"236,188","414,376",40,114,"284,839","676,443"
100102000,10,1,2,0,1,100102000,Division No.  2 - (CD),25,66,"35,083","151,410",20,58,"23,023","130,686",5,101,"85,732","238,449"
100102001,10,1,2,1,1,100102001,"Division No.  2, Subd. E - (CCS)",25,66,"35,083","151,410",25,58,"23,023","130,686",5,101,"85,732","238,449"
100200000,10,2,0,0,2,100200000,Agricultural Region 2 - (CAR),165,88,"84,322","234,151",130,82,"54,173","197,727",35,107,"192,355","364,672"
100206000,10,2,6,0,2,100206000,Division No.  6 - (CD),40,97,"75,113","263,276",35,91,"28,322","222,046",10,112,"206,978","379,469"
100206014,10,2,6,14,2,100206014,"Division No.  6, Subd. C - (CCS)",45,97,"75,113","263,276",30,91,"28,322","222,046",10,112,"206,978","379,469"
100207000,10,2,7,0,2,100207000,Division No.  7 - (CD),65,95,"124,964","282,053",45,85,"104,132","261,244",15,128,"193,017","350,028"
100207009,10,2,7,9,2,100207009,"Division No.  7, Subd. K - (CCS)",15,44,"74,180","211,288",15,44,"38,571","203,455",0,...,...,...
100207031,10,2,7,31,2,100207031,"Division No.  7, Subd. E - (CCS)",25,142,"228,613","429,883",20,152,"207,311","382,106",10,116,"286,433","559,563"
100207038,10,2,7,38,2,100207038,"Division No.  7, Subd. D - (CCS)",20,81,"33,913","150,525",15,40,"39,029","163,264",5,197,"19,591","114,855"
100208000,10,2,8,0,2,100208000,Division No.  8 - (CD),60,74,"46,791","161,458",50,75,"20,570","118,824",10,71,"175,275","370,360"
100208031,10,2,8,31,2,100208031,"Division No.  8, Subd. H - (CCS)",20,25,"17,026","84,485",15,24,"16,482","78,056",5,38,"21,375","135,922"
100208036,10,2,8,36,2,100208036,"Division No.  8, Subd. G - (CCS)",20,72,"73,662","235,452",10,58,"14,059","126,226",5,110,"228,632","519,440"
100208058,10,2,8,58,2,100208058,"Division No.  8, Subd. C - (CCS)",25,114,"49,056","163,788",20,127,"28,072","146,628",5,30,"188,946","278,186"
100300000,10,3,0,0,3,100300000,Agricultural Region 3 - (CAR),150,201,"121,142","353,264",120,204,"98,965","320,141",30,192,"210,589","486,857"
100304000,10,3,4,0,3,100304000,Division No.  4 - (CD),50,237,"106,057","383,681",40,259,"122,577","422,826",15,156,"45,985","241,336"
100304001,10,3,4,1,3,100304001,"Division No.  4, Subd. A - (CCS)",20,320,"142,164","372,836",10,367,"189,861","480,234",5,217,"38,821","140,140"
100304006,10,3,4,6,3,100304006,"Division No.  4, Subd. B - (CCS)",35,188,"84,618","390,120",25,207,"90,180","395,185",5,84,"54,582","362,771"
100305000,10,3,5,0,3,100305000,Division No.  5 - (CD),100,183,"128,835","337,751",80,176,"87,305","269,433",20,212,"305,886","629,000"
100305007,10,3,5,7,3,100305007,"Division No.  5, Subd. E - (CCS)",45,288,"169,574","458,280",35,273,"133,654","351,928",10,354,"326,724","923,571"
100305010,10,3,5,10,3,100305010,"Division No.  5, Subd. F - (CCS)",25,122,"181,387","319,229",20,107,"98,026","248,563",0,...,...,...
100305019,10,3,5,19,3,100305019,"Division No.  5, Subd. D - (CCS)",35,93,"45,752","201,314",25,99,"16,665","174,437",10,74,"129,781","278,962"
110000000,11,0,0,0,0,110000000,Prince Edward Island,"1,845",350,"214,450","869,985","1,310",286,"159,923","679,956",535,506,"347,263","1,332,849"
110100000,11,1,0,0,1,110100000,Agricultural Region 1 - (CAR),320,405,"193,702","776,819",230,320,"134,801","590,060",95,614,"338,738","1,236,687"
110101000,11,1,1,0,1,110101000,Kings County - (CD),320,405,"193,702","776,819",230,320,"134,801","590,060",90,614,"338,738","1,236,687"
110101001,11,1,1,1,1,110101001,Lot 64 - (CCS),20,178,"55,716","369,528",15,179,"62,875","394,677",0,...,...,...
110101006,11,1,1,6,1,110101006,Lot 63 - (CCS),25,297,"168,610","580,803",15,302,"207,388","638,534",5,283,"65,202","426,853"
110101009,11,1,1,9,1,110101009,Lot 59 - (CCS),30,209,"82,367","359,873",20,169,"44,518","306,926",10,293,"161,850","471,060"
