areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BSEX01,BSEX02,CAGEDIS01,CAGEDIS02,CAGEDIS03,DAAGE,ERESNY01,ERESNY02,FINJURNY01,FINJURNY02,GWRKONF01,GWRKONF02,GWRKONF03,HWRKOFF01,HWRKOFF02,HWRKOFF03,HWRKOFF04
areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,Variables,Total number of operators,Sex - Male,Sex - Female,Age - Under 35 years,Age - 35 to 54 years,Age - 55 years and over,Average age of operators,Resided on the farm for all or part of the 12 months prior to the census - No,Resided on the farm for all or part of the 12 months prior to the census - Yes,Farm-related injuries during the 12 months prior to the census - No,Farm-related injuries during the 12 months prior to the census - Yes,Average hours per week spent working for the agricultural operation in 2000 - Less than 20,Average hours per week spent working for the agricultural operation in 2000 - 20 to 40,Average hours per week spent working for the agricultural operation in 2000 - More than 40,Average hours per week of non-farm work (not related to the agricultural operation) in 2000 - None,Average hours per week of non-farm work (not related to the agricultural operation) in 2000 - Less than 20,Average hours per week of non-farm work (not related to the agricultural operation) in 2000 - 20 to 40,Average hours per week of non-farm work (not related to the agricultural operation) in 2000 - More than 40
0,0,0,0,0,0,000000000,Canada,"346,195","255,015","91,180","39,915","185,570","120,705",49.9,"44,270","301,925","335,010","11,190","88,040","92,950","165,205","191,975","30,080","63,265","60,865"
100000000,10,0,0,0,0,100000000,Newfoundland and Labrador,780,620,160,50,490,240,50.5,305,475,770,15,240,200,340,400,70,155,165
100100000,10,1,0,0,1,100100000,Agricultural Region 1 - (CAR),400,330,70,20,255,125,51.0,145,260,395,10,115,100,190,210,30,80,75
100101000,10,1,1,0,1,100101000,Division No.  1 - (CD),365,305,60,20,230,120,51.3,125,245,360,10,100,90,180,200,25,70,70
100101155,10,1,1,155,1,100101155,"Division No.  1, Subd. W - (CCS)",20,15,5,0,15,5,52.5,15,5,15,0,10,0,10,5,5,0,5
100101203,10,1,1,203,1,100101203,"Division No.  1, Subd. X - (CCS)",20,20,5,0,15,10,49.3,5,20,20,0,5,10,10,10,5,5,5
100101214,10,1,1,214,1,100101214,"Division No.  1, Subd. C - (CCS)",25,25,5,5,20,10,49.8,10,20,25,0,15,10,5,5,5,10,10
100101304,10,1,1,304,1,100101304,"Division No.  1, Subd. E - (CCS)",25,15,5,5,5,5,47.2,5,15,20,0,5,5,10,5,0,5,5
100101357,10,1,1,357,1,100101357,"Division No.  1, Subd. H - (CCS)",35,30,10,0,20,15,52.9,20,15,35,0,15,15,15,15,5,10,5
100101472,10,1,1,472,1,100101472,Holyrood - (CCS),45,35,5,5,30,15,50.3,20,20,45,5,5,10,30,30,0,5,10
100101519,10,1,1,519,1,100101519,St. John's - (CCS),200,165,35,5,125,70,52.0,55,150,195,5,45,40,110,125,15,30,30
100102000,10,1,2,0,1,100102000,Division No.  2 - (CD),30,25,10,0,25,5,46.8,15,15,30,0,10,10,15,10,5,5,5
100102001,10,1,2,1,1,100102001,"Division No.  2, Subd. E - (CCS)",30,25,5,0,25,0,46.8,15,10,30,0,10,5,10,10,5,10,5
100200000,10,2,0,0,2,100200000,Agricultural Region 2 - (CAR),205,155,50,20,130,55,49.3,95,115,200,5,80,55,70,95,15,40,55
100206000,10,2,6,0,2,100206000,Division No.  6 - (CD),55,40,15,5,35,15,49.2,25,30,55,0,20,20,15,25,5,15,15
100206014,10,2,6,14,2,100206014,"Division No.  6, Subd. C - (CCS)",55,40,15,5,35,15,49.2,25,25,55,0,25,15,20,25,0,15,10
100207000,10,2,7,0,2,100207000,Division No.  7 - (CD),80,55,25,10,55,20,47.3,30,50,80,5,30,20,30,35,5,20,20
100207009,10,2,7,9,2,100207009,"Division No.  7, Subd. K - (CCS)",20,10,10,0,20,0,43.6,10,10,20,0,15,0,10,5,0,10,5
100207031,10,2,7,31,2,100207031,"Division No.  7, Subd. E - (CCS)",35,25,10,5,20,10,47.2,10,25,30,0,5,10,15,15,10,5,5
100207038,10,2,7,38,2,100207038,"Division No.  7, Subd. D - (CCS)",25,20,5,0,15,10,50.4,5,15,25,0,10,10,5,10,0,5,5
100208000,10,2,8,0,2,100208000,Division No.  8 - (CD),70,55,10,5,40,25,51.8,45,30,70,0,25,25,20,35,5,10,20
100208031,10,2,8,31,2,100208031,"Division No.  8, Subd. H - (CCS)",20,15,5,0,15,5,51.1,5,10,20,0,10,5,5,5,5,5,10
100208036,10,2,8,36,2,100208036,"Division No.  8, Subd. G - (CCS)",25,20,5,5,15,5,48.7,15,5,25,0,10,10,10,10,0,0,10
100208058,10,2,8,58,2,100208058,"Division No.  8, Subd. C - (CCS)",25,20,5,5,10,15,55.3,15,10,25,0,10,5,10,15,5,5,5
100300000,10,3,0,0,3,100300000,Agricultural Region 3 - (CAR),175,135,40,10,105,60,50.9,65,110,170,5,50,50,80,90,20,30,35
100304000,10,3,4,0,3,100304000,Division No.  4 - (CD),60,45,15,5,40,15,49.3,15,45,60,5,15,15,30,35,0,10,10
100304001,10,3,4,1,3,100304001,"Division No.  4, Subd. A - (CCS)",20,15,10,0,10,15,53.4,5,25,25,0,10,5,10,15,0,0,5
100304006,10,3,4,6,3,100304006,"Division No.  4, Subd. B - (CCS)",35,35,5,5,25,5,46.6,10,25,35,0,0,10,20,20,0,10,5
100305000,10,3,5,0,3,100305000,Division No.  5 - (CD),120,95,30,5,65,45,51.7,55,65,115,5,40,30,50,55,20,20,30
100305007,10,3,5,7,3,100305007,"Division No.  5, Subd. E - (CCS)",50,40,10,0,35,15,53.0,15,35,45,5,20,15,20,25,10,10,15
100305010,10,3,5,10,3,100305010,"Division No.  5, Subd. F - (CCS)",25,15,10,0,15,10,49.6,10,10,25,0,10,0,15,15,5,0,5
100305019,10,3,5,19,3,100305019,"Division No.  5, Subd. D - (CCS)",45,35,10,0,25,15,51.3,25,20,45,0,15,10,15,15,5,10,10
