areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BSEX01,CSEX02,ATOTAL1,BSEX011,CSEX021,ATOTAL2,BSEX012,CSEX022
areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,Sex,Total operators,Sex - Male,Sex - Female,Total operators - Operators of farms with one operator,Sex - Male - Operators of farms with one operator,Sex - Female - Operators of farms with one operator,Total operators - Operators of farms with two or more operators,Sex - Male - Operators of farms with two or more operators,Sex - Female - Operators of farms with two or more operators
0,0,0,0,0,0,0,Canada,"346,195","255,015","91,180","152,315","140,530","11,790","193,875","114,485","79,390"
"100,000,000",10,0,0,0,0,100000000,Newfoundland and Labrador,785,620,160,500,440,60,280,180,100
"100,100,000",10,1,0,0,1,100100000,Agricultural Region 1 - (CAR),395,335,65,255,225,25,145,100,45
"100,101,000",10,1,1,0,1,100101000,Division No.  1 - (CD),370,310,65,235,210,25,135,100,35
"100,101,155",10,1,1,155,1,100101155,"Division No.  1, Subd. W - (CCS)",20,15,0,15,15,0,5,0,5
"100,101,203",10,1,1,203,1,100101203,"Division No.  1, Subd. X - (CCS)",20,20,0,20,20,5,5,0,5
"100,101,214",10,1,1,214,1,100101214,"Division No.  1, Subd. C - (CCS)",25,20,0,25,20,5,5,5,0
"100,101,304",10,1,1,304,1,100101304,"Division No.  1, Subd. E - (CCS)",20,15,5,10,10,0,15,10,5
"100,101,357",10,1,1,357,1,100101357,"Division No.  1, Subd. H - (CCS)",35,30,5,15,20,0,15,15,5
"100,101,472",10,1,1,472,1,100101472,Holyrood - (CCS),50,40,10,30,20,5,20,15,5
"100,101,519",10,1,1,519,1,100101519,St. John's - (CCS),200,165,30,125,110,10,75,55,20
"100,102,000",10,1,2,0,1,100102000,Division No.  2 - (CD),30,25,5,20,20,5,10,5,5
"100,102,001",10,1,2,1,1,100102001,"Division No.  2, Subd. E - (CCS)",30,25,5,20,20,5,10,5,5
"100,200,000",10,2,0,0,2,100200000,Agricultural Region 2 - (CAR),205,150,55,130,105,25,75,45,30
"100,206,000",10,2,6,0,2,100206000,Division No.  6 - (CD),55,40,15,30,25,5,25,15,10
"100,206,014",10,2,6,14,2,100206014,"Division No.  6, Subd. C - (CCS)",55,35,15,30,25,10,20,15,10
"100,207,000",10,2,7,0,2,100207000,Division No.  7 - (CD),80,60,20,50,40,10,30,20,15
"100,207,009",10,2,7,9,2,100207009,"Division No.  7, Subd. K - (CCS)",20,10,5,15,15,5,5,0,5
"100,207,031",10,2,7,31,2,100207031,"Division No.  7, Subd. E - (CCS)",35,20,10,20,15,0,15,10,10
"100,207,038",10,2,7,38,2,100207038,"Division No.  7, Subd. D - (CCS)",25,20,5,10,10,0,10,5,5
"100,208,000",10,2,8,0,2,100208000,Division No.  8 - (CD),70,55,15,45,45,5,20,15,5
"100,208,031",10,2,8,31,2,100208031,"Division No.  8, Subd. H - (CCS)",20,15,5,20,10,0,0,0,0
"100,208,036",10,2,8,36,2,100208036,"Division No.  8, Subd. G - (CCS)",25,20,5,15,15,0,10,5,5
"100,208,058",10,2,8,58,2,100208058,"Division No.  8, Subd. C - (CCS)",25,20,5,20,20,0,5,5,0
"100,300,000",10,3,0,0,3,100300000,Agricultural Region 3 - (CAR),180,135,40,120,105,10,60,35,25
"100,304,000",10,3,4,0,3,100304000,Division No.  4 - (CD),60,50,15,40,35,5,20,15,5
"100,304,001",10,3,4,1,3,100304001,"Division No.  4, Subd. A - (CCS)",20,15,10,10,10,5,10,5,5
"100,304,006",10,3,4,6,3,100304006,"Division No.  4, Subd. B - (CCS)",35,30,5,25,25,0,10,5,5
"100,305,000",10,3,5,0,3,100305000,Division No.  5 - (CD),120,95,25,80,70,10,40,20,20
"100,305,007",10,3,5,7,3,100305007,"Division No.  5, Subd. E - (CCS)",50,40,10,35,35,0,15,10,10
"100,305,010",10,3,5,10,3,100305010,"Division No.  5, Subd. F - (CCS)",20,20,5,20,15,5,5,5,5
"100,305,019",10,3,5,19,3,100305019,"Division No.  5, Subd. D - (CCS)",45,30,10,25,25,0,20,5,10
"110,000,000",11,0,0,0,0,110000000,Prince Edward Island,"2,455","2,095",360,"1,300","1,230",65,"1,155",865,295
"110,100,000",11,1,0,0,1,110100000,Agricultural Region 1 - (CAR),430,365,65,230,220,10,205,150,50
"110,101,000",11,1,1,0,1,110101000,Kings County - (CD),435,365,60,230,215,10,200,150,50
"110,101,001",11,1,1,1,1,110101001,Lot 64 - (CCS),25,15,5,15,15,0,10,5,5
"110,101,006",11,1,1,6,1,110101006,Lot 63 - (CCS),25,20,0,15,15,0,10,5,5
"110,101,009",11,1,1,9,1,110101009,Lot 59 - (CCS),45,30,10,25,15,0,20,10,10
"110,101,014",11,1,1,14,1,110101014,Lot 51 - (CCS),30,30,5,20,20,0,10,10,0
"110,101,016",11,1,1,16,1,110101016,Lot 52 - (CCS),30,25,5,15,15,0,15,10,5
"110,101,026",11,1,1,26,1,110101026,Lot 54 - (CCS),30,25,0,20,20,0,10,10,0
