areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BAGEDIS01,CAGEDIS02,DAGEDIS03,ATOTAL1,BAGEDIS011,CAGEDIS021,DAGEDIS031,ATOTAL2,BAGEDIS012,CAGEDIS022,DAGEDIS032
areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,Geography,Total operators,Age - Under 35 years,Age - 35 to 54 years,Age - 55 years and over,Total operators - Operators of farms with one operator,Age - Under 35 years - Operators of farms with one operator,Age - 35 to 54 years - Operators of farms with one operator,Age - 55 years and over - Operators of farms with one operator,Total operators - Operators of farms with two or more operators,Age - Under 35 years - Operators of farms with two or more operators,Age - 35 to 54 years - Operators of farms with two or more operators,Age - 55 years and over - Operators of farms with two or more operators
0,0,0,0,0,0,0,Canada,"346,195","39,920","185,575","120,705","152,320","14,280","77,355","60,675","193,880","25,635","108,215","60,030"
100000000,10,0,0,0,0,100000000,Newfoundland and Labrador,785,50,490,240,500,30,315,160,280,25,175,80
100100000,10,1,0,0,1,100100000,Agricultural Region 1 - (CAR),400,20,255,125,255,5,165,75,145,15,85,50
100101000,10,1,1,0,1,100101000,Division No.  1 - (CD),365,20,225,125,235,10,150,80,135,10,80,45
100101155,10,1,1,155,1,100101155,"Division No.  1, Subd. W - (CCS)",15,0,10,5,10,0,10,0,5,0,0,5
100101203,10,1,1,203,1,100101203,"Division No.  1, Subd. X - (CCS)",25,0,10,10,20,0,10,5,0,0,5,0
100101214,10,1,1,214,1,100101214,"Division No.  1, Subd. C - (CCS)",30,0,15,10,20,0,10,5,5,0,5,0
100101304,10,1,1,304,1,100101304,"Division No.  1, Subd. E - (CCS)",20,5,5,10,10,0,5,5,10,5,0,0
100101357,10,1,1,357,1,100101357,"Division No.  1, Subd. H - (CCS)",35,0,20,10,20,0,10,5,20,5,5,5
100101472,10,1,1,472,1,100101472,Holyrood - (CCS),50,5,30,15,30,5,20,10,20,5,15,5
100101519,10,1,1,519,1,100101519,St. John's - (CCS),195,5,125,65,125,0,80,35,75,0,45,30
100102000,10,1,2,0,1,100102000,Division No.  2 - (CD),30,0,25,0,20,0,20,0,10,0,5,5
100102001,10,1,2,1,1,100102001,"Division No.  2, Subd. E - (CCS)",30,5,25,5,20,0,20,0,10,5,5,0
100200000,10,2,0,0,2,100200000,Agricultural Region 2 - (CAR),205,20,130,55,130,15,75,40,75,5,50,15
100206000,10,2,6,0,2,100206000,Division No.  6 - (CD),55,5,35,10,30,0,15,10,25,0,20,5
100206014,10,2,6,14,2,100206014,"Division No.  6, Subd. C - (CCS)",55,5,35,15,30,5,20,10,20,0,15,5
100207000,10,2,7,0,2,100207000,Division No.  7 - (CD),80,10,55,20,45,5,30,15,35,5,25,5
100207009,10,2,7,9,2,100207009,"Division No.  7, Subd. K - (CCS)",20,5,20,0,15,0,10,0,5,0,5,0
100207031,10,2,7,31,2,100207031,"Division No.  7, Subd. E - (CCS)",35,5,25,5,20,5,15,5,15,0,5,5
100207038,10,2,7,38,2,100207038,"Division No.  7, Subd. D - (CCS)",25,5,15,10,10,0,5,10,10,0,10,0
100208000,10,2,8,0,2,100208000,Division No.  8 - (CD),70,5,40,25,50,0,30,15,20,5,10,5
100208031,10,2,8,31,2,100208031,"Division No.  8, Subd. H - (CCS)",20,0,15,5,15,0,10,5,5,0,0,0
100208036,10,2,8,36,2,100208036,"Division No.  8, Subd. G - (CCS)",25,0,15,5,10,5,5,0,10,0,10,5
100208058,10,2,8,58,2,100208058,"Division No.  8, Subd. C - (CCS)",25,0,10,10,20,0,10,10,5,5,0,5
100300000,10,3,0,0,3,100300000,Agricultural Region 3 - (CAR),180,10,105,60,115,5,70,40,60,5,35,20
100304000,10,3,4,0,3,100304000,Division No.  4 - (CD),60,5,40,15,40,5,25,5,20,0,15,10
100304001,10,3,4,1,3,100304001,"Division No.  4, Subd. A - (CCS)",20,5,10,15,10,0,5,5,15,0,5,10
100304006,10,3,4,6,3,100304006,"Division No.  4, Subd. B - (CCS)",35,5,25,0,25,5,15,5,10,0,10,0
100305000,10,3,5,0,3,100305000,Division No.  5 - (CD),120,5,65,45,80,5,45,35,40,5,25,10
100305007,10,3,5,7,3,100305007,"Division No.  5, Subd. E - (CCS)",50,0,30,20,35,0,20,15,15,0,15,5
100305010,10,3,5,10,3,100305010,"Division No.  5, Subd. F - (CCS)",25,0,15,5,20,5,15,10,5,0,0,0
100305019,10,3,5,19,3,100305019,"Division No.  5, Subd. D - (CCS)",45,5,25,20,25,0,10,10,20,5,5,5
110000000,11,0,0,0,0,110000000,Prince Edward Island,"2,455",265,"1,385",805,"1,295",90,710,495,"1,160",175,675,310
110100000,11,1,0,0,1,110100000,Agricultural Region 1 - (CAR),430,35,250,145,230,15,120,95,200,20,130,45
110101000,11,1,1,0,1,110101000,Kings County - (CD),430,35,250,145,230,10,120,95,200,20,135,50
110101001,11,1,1,1,1,110101001,Lot 64 - (CCS),20,5,10,10,20,0,5,5,10,0,5,5
110101006,11,1,1,6,1,110101006,Lot 63 - (CCS),25,5,10,10,15,0,10,5,10,5,5,5
110101009,11,1,1,9,1,110101009,Lot 59 - (CCS),40,5,15,20,20,5,10,10,20,0,10,5
110101014,11,1,1,14,1,110101014,Lot 51 - (CCS),35,0,20,10,20,0,15,10,10,0,10,5
110101016,11,1,1,16,1,110101016,Lot 52 - (CCS),35,5,15,10,15,0,10,10,15,5,10,5
110101026,11,1,1,26,1,110101026,Lot 54 - (CCS),30,0,20,5,15,0,10,5,10,0,10,5
110101028,11,1,1,28,1,110101028,Lot 55 - (CCS),40,5,30,5,20,5,10,5,25,5,20,5
110101032,11,1,1,32,1,110101032,Lot 44 - (CCS),35,0,15,15,25,5,10,15,10,0,5,0
110101034,11,1,1,34,1,110101034,Lot 45 - (CCS),35,0,25,10,15,0,5,5,20,0,20,5
110101039,11,1,1,39,1,110101039,Lot 47 - (CCS),25,0,15,5,10,0,5,5,15,0,5,10
110101042,11,1,1,42,1,110101042,Lot 41 - (CCS),30,5,20,10,15,5,5,10,15,0,10,0
110101046,11,1,1,46,1,110101046,Lot 40 - (CCS),55,10,35,15,20,0,10,5,35,5,20,10
110101051,11,1,1,51,1,110101051,Lot 38 - (CCS),30,5,15,10,20,0,5,10,15,0,10,0
110200000,11,2,0,0,2,110200000,Agricultural Region 2 - (CAR),"1,190",125,675,390,640,40,340,255,550,85,330,135
110202000,11,2,2,0,2,110202000,Queens County - (CD),"1,190",125,670,390,640,45,345,255,555,85,330,135
110202006,11,2,2,6,2,110202006,Lot 58 - (CCS),65,10,45,10,25,5,15,5,40,5,30,10
110202008,11,2,2,8,2,110202008,Lot 57 - (CCS),50,10,30,20,30,5,15,10,25,10,10,10
110202009,11,2,2,9,2,110202009,Lot 50 - (CCS),60,5,40,15,25,0,25,10,30,5,15,5
110202012,11,2,2,12,2,110202012,Lot 49 - (CCS),45,5,25,15,25,5,10,10,15,0,10,5
