HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCOMPNY,NACCNT,NLIVECRP,NWRDPRS,NDESKPUB,NBANK,NINTNET,NEMAIL,NOTHCMP
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total number of farms using computers,"Farms using computers for - Bookkeeping, payroll or tax preparation",Farms using computers for - Livestock or crop record keeping,"Farms using computers for - Word processing (writing letters, labels, etc.)","Farms using computers for - Desktop publishing (brochures, flyers, etc)",Farms using computers for - Banking,Farms using computers for - Internet,Farms using computers for - E-mail,Farms using computers for - Other computer applications
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","106,409","76,067","38,442","70,730","16,512","50,815","80,133","74,202",120
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,217,129,62,171,49,114,181,179,1
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,98,58,27,77,24,55,81,82,1
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,73,47,19,55,15,35,59,58,0
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,46,24,16,39,10,24,41,39,0
10,1,1,0,Division No.  1,266,98,58,27,77,24,55,81,82,1
10,1,1,214,"Division No.  1, Subd. C",34,7,1,1,7,1,6,7,7,0
10,1,1,259,"Division No.  1, Subd. A",27,9,5,2,8,1,5,7,6,0
10,1,1,304,"Division No.  1, Subd. E",21,8,5,2,7,3,6,8,8,0
10,1,1,357,"Division No.  1, Subd. H",22,9,8,3,9,1,7,7,7,0
10,1,1,472,Holyrood,37,13,7,3,11,4,7,12,13,0
10,1,1,519,St. John's,125,52,32,16,35,14,24,40,41,1
10,3,4,0,Division No.  4,55,15,8,2,12,2,5,14,13,0
10,3,4,1,"Division No.  4, Subd. A",18,2,1,1,2,0,0,2,2,0
10,3,4,6,"Division No.  4, Subd. B",21,8,6,0,6,1,2,7,7,0
10,3,4,16,"Division No.  4, Subd. D",16,5,1,1,4,1,3,5,4,0
10,3,5,0,Division No.  5,83,31,16,14,27,8,19,27,26,0
10,3,5,7,"Division No.  5, Subd. E",54,22,11,10,19,6,14,19,17,0
10,3,5,10,"Division No.  5, Subd. F",29,9,5,4,8,2,5,8,9,0
10,2,6,0,Division No.  6,42,22,13,4,15,4,6,15,16,0
