HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NFEEDPD,FEEDPD,NLVSTPD,LVSTPD,NVETSER,VETSER,NCUSTWRK,CUSTWRK,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGENF,CSHWGENF,NFUEL,FUEL,NREPMCH,REPMCH,NREPBLDG,REPBLDG,NRNTEXP,RNTEXP,NRNTMCH,RNTMCH,NUTILEXP,UTILEXP,NTOTINT,TOTINT,NOTHEXP,OTHEXP,NTOTEXP,TOTEXP,NFEEDCO,FEEDCO,NPDLBSL,PDLBSL,NPDLBYR,PDLBYR,NTOTLAB,TOTLAB
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Fertilizer and lime purchases - Farms reporting,Fertilizer and lime purchases - Amount $,"Purchases of herbicides, insecticides, fungicides, etc. - Farms reporting","Purchases of herbicides, insecticides, fungicides, etc. - Amount $",Seed and plant purchases (excluding materials purchased for resale) - Farms reporting,Seed and plant purchases (excluding materials purchased for resale) - Amount $,"Total feed, supplements and hay purchases - Farms reporting","Total feed, supplements and hay purchases - Amount $",Livestock and poultry purchases - Farms reporting,Livestock and poultry purchases - Amount $,"Veterinary services, drugs, semen, breeding fees, etc. - Farms reporting","Veterinary services, drugs, semen, breeding fees, etc. - Amount $","Custom work, contract work and hired trucking - Farms reporting","Custom work, contract work and hired trucking - Amount $",Total wages and salaries - Farms reporting,Total wages and salaries - Amount $,Wages and salaries paid to family members - Farms reporting,Wages and salaries paid to family members - Amount $,Wages and salaries paid to all other persons - Farms reporting ,Wages and salaries paid to all other persons - Amount $,"All fuel expenses (diesel, gasoline, oil, wood, natural gas, propane, etc.) - Farms reporting","All fuel expenses (diesel, gasoline, oil, wood, natural gas, propane, etc.) - Amount $","Repairs and maintenance to farm machinery, equipment and vehicles - Farms reporting","Repairs and maintenance to farm machinery, equipment and vehicles - Amount $",Repairs and maintenance to farm buildings and fences - Farms reporting,Repairs and maintenance to farm buildings and fences - Amount $,Rental and leasing of land and buildings - Farms reporting,Rental and leasing of land and buildings - Amount $,"Rental and leasing of farm machinery, equipment and vehicles - Farms reporting","Rental and leasing of farm machinery, equipment and vehicles - Amount $","Electricity, telephone and all other telecommunication services - Farms reporting","Electricity, telephone and all other telecommunication services - Amount $",Farm interest expenses - Farms reporting,Farm interest expenses - Amount $,All other expenses (excluding depreciation and capital cost allowance) - Farms reporting,All other expenses (excluding depreciation and capital cost allowance) - Amount $,Total farm business operating expenses - Farms reporting,Total farm business operating expenses - Amount $,"Feed, supplements and hay purchases from commercial suppliers - Farms reporting","Feed, supplements and hay purchases from commercial suppliers - Amount $","Paid work, seasonal or temporary - Farms reporting","Paid work, seasonal or temporary - Number of weeks","Paid work, year round - Farms reporting","Paid work, year round - Number of weeks",Total weeks of paid work - Farms reporting,Total weeks of paid work - Number of weeks
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","133,737","2,466,297,378","119,122","1,752,893,430","129,961","1,469,268,711","129,720","5,033,864,872","78,509","5,126,466,042","126,218","672,307,971","134,371","1,924,860,076","89,608","3,860,457,569","60,342","1,550,101,189","55,588","2,310,356,380","217,750","2,511,676,444","209,977","2,030,521,606","175,388","760,011,251","81,399","1,065,986,087","40,290","304,796,891","206,018","959,118,313","137,892","2,125,154,760","212,818","4,372,682,558","229,373","36,436,363,959","110,798","4,070,227,474","60,165","2,464,566","44,000","4,646,320","89,608","7,110,886"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,377,"2,119,716",186,"484,394",295,"1,956,842",245,"27,078,928",123,"13,441,284",192,"931,316",163,"4,776,703",319,"16,025,837",162,"4,665,951",280,"11,359,886",504,"4,457,984",456,"3,271,326",359,"1,693,393",179,"262,519",58,"615,218",422,"2,105,071",212,"3,087,498",433,"9,613,135",558,"91,921,164",221,"25,374,469",264,"17,497",105,"18,408",319,"35,905"
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,169,"847,894",79,"214,125",130,"1,188,614",127,"17,258,564",72,"11,834,523",99,"420,578",87,"3,188,944",147,"8,264,013",82,"2,200,361",129,"6,063,652",243,"2,544,849",218,"1,536,748",175,"826,811",80,"125,851",20,"269,544",200,"1,119,406",90,"956,435",200,"4,363,766",266,"54,960,665",121,"16,693,925",113,"10,522",62,"9,788",147,"20,310"
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,108,"417,382",56,"97,263",94,"321,902",60,"4,880,054",31,"1,179,624",50,"160,334",47,"650,119",99,"4,169,340",54,"1,365,024",84,"2,804,316",139,"790,946",127,"764,936",96,"303,812",50,"44,487",19,"198,018",121,"474,688",65,"664,977",127,"1,792,174",154,"16,910,056",52,"4,769,150",88,"4,212",24,"4,361",99,"8,573"
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,100,"854,440",51,"173,006",71,"446,326",58,"4,940,310",20,"427,137",43,"350,404",29,"937,640",73,"3,592,484",26,"1,100,566",67,"2,491,918",122,"1,122,189",111,"969,642",88,"562,770",49,"92,181",19,"147,656",101,"510,977",57,"1,466,086",106,"3,457,195",138,"20,050,443",48,"3,911,394",63,"2,763",19,"4,259",73,"7,022"
10,1,1,0,Division No.  1,266,169,"847,894",79,"214,125",130,"1,188,614",127,"17,258,564",72,"11,834,523",99,"420,578",87,"3,188,944",147,"8,264,013",82,"2,200,361",129,"6,063,652",243,"2,544,849",218,"1,536,748",175,"826,811",80,"125,851",20,"269,544",200,"1,119,406",90,"956,435",200,"4,363,766",266,"54,960,665",121,"16,693,925",113,"10,522",62,"9,788",147,"20,310"
10,1,1,214,"Division No.  1, Subd. C",34,16,"100,400",5,"12,135",10,"44,528",19,"516,993",12,x,12,"9,773",13,x,14,"453,353",8,"232,801",10,"220,552",27,"124,736",27,"106,719",23,x,15,"9,277",3,x,21,x,9,x,23,"207,919",34,"2,043,782",18,"489,519",11,273,5,628,14,901
10,1,1,259,"Division No.  1, Subd. A",27,17,"88,353",9,"8,396",11,"49,650",15,"80,270",8,"23,678",10,"3,953",7,"19,173",11,"447,435",5,"219,500",9,"227,935",25,"169,957",21,"78,183",21,"72,048",8,620,0,0,20,"45,176",7,"16,514",22,"135,275",27,"1,238,681",14,"72,373",10,604,3,216,11,820
10,1,1,304,"Division No.  1, Subd. E",21,10,x,2,x,6,x,9,x,5,x,8,x,5,"41,602",11,"742,532",2,x,10,x,20,"194,311",17,"74,807",10,"84,803",6,"4,499",4,x,18,"93,175",5,x,12,"186,370",21,"2,102,529",9,x,8,161,4,937,11,"1,098"
