HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTFCAP01,NTOTFCAP02,NTOTFCAP03,NTOTFCAP04,NTOTFCAP05,NTOTFCAP06,NTOTFCAP07,NTOTFCAP08,NTOTFCAP09
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,"Farms reporting total farm capital - Under $100,000","Farms reporting total farm capital - $100,000 to $199,999","Farms reporting total farm capital - $200,000 to $349,999","Farms reporting total farm capital - $350,000 to $499,999","Farms reporting total farm capital - $500,000 to $999,999","Farms reporting total farm capital - $1,000,000 to $1,499,999","Farms reporting total farm capital - $1,500,000 to $1,999,999","Farms reporting total farm capital - $2,000,000 to $3,499,999","Farms reporting total farm capital - $3,500,000 and over"
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","7,583","19,289","38,307","32,327","63,081","27,609","13,623","16,682","10,872"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,131,118,120,61,78,22,10,10,8
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,55,60,56,34,40,9,4,5,3
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,45,33,30,16,17,7,3,1,2
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,31,25,34,11,21,6,3,4,3
10,1,1,0,Division No.  1,266,55,60,56,34,40,9,4,5,3
10,1,1,214,"Division No.  1, Subd. C",34,12,8,5,3,5,1,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,8,7,5,2,4,1,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,6,5,4,3,1,1,0,0,1
10,1,1,357,"Division No.  1, Subd. H",22,4,11,5,1,1,0,0,0,0
10,1,1,472,Holyrood,37,10,9,8,2,6,1,1,0,0
10,1,1,519,St. John's,125,15,20,29,23,23,5,3,5,2
10,3,4,0,Division No.  4,55,13,9,16,5,9,1,1,0,1
10,3,4,1,"Division No.  4, Subd. A",18,3,4,6,1,2,1,0,0,1
10,3,4,6,"Division No.  4, Subd. B",21,4,4,6,1,6,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,6,1,4,3,1,0,1,0,0
10,3,5,0,Division No.  5,83,18,16,18,6,12,5,2,4,2
10,3,5,7,"Division No.  5, Subd. E",54,12,12,12,3,7,3,1,4,0
10,3,5,10,"Division No.  5, Subd. F",29,6,4,6,3,5,2,1,0,2
10,2,6,0,Division No.  6,42,7,11,7,4,9,2,1,1,0
10,2,6,14,"Division No.  6, Subd. C",42,7,11,7,4,9,2,1,1,0
10,2,7,0,Division No.  7,59,16,13,9,7,6,4,2,0,2
10,2,7,9,"Division No.  7, Subd. K",17,3,6,2,3,1,1,0,0,1
10,2,7,31,"Division No.  7, Subd. E",24,4,5,1,3,5,3,2,0,1
10,2,7,38,"Division No.  7, Subd. D",18,9,2,6,1,0,0,0,0,0
10,2,8,0,Division No.  8,53,22,9,14,5,2,1,0,0,0
10,2,8,36,"Division No.  8, Subd. G",32,15,5,7,3,1,1,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,7,4,7,2,1,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",90,195,314,231,370,189,96,127,88
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,15,35,59,52,51,20,17,19,18
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,42,97,170,110,190,103,48,55,20
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,33,63,85,69,129,66,31,53,50
11,1,1,0,Kings,286,15,35,59,52,51,20,17,19,18
11,1,1,1,Lot 64,34,5,4,6,7,6,2,3,0,1
11,1,1,9,Lot 59,25,3,3,7,5,3,2,1,1,0
11,1,1,14,Lot 51,17,0,1,5,7,1,1,1,0,1
11,1,1,16,Lot 52,24,1,5,7,2,4,1,2,1,1
11,1,1,26,Lot 54,21,1,7,1,2,4,1,2,1,2
11,1,1,28,Lot 55,19,0,0,5,6,3,1,2,1,1
11,1,1,32,Lot 44,23,2,2,5,6,4,0,0,1,3
11,1,1,34,Lot 45,30,0,1,4,5,6,4,1,3,6
11,1,1,42,Lot 41,24,2,1,4,7,3,1,2,4,0
11,1,1,46,Lot 40,31,1,4,6,3,6,1,2,5,3
11,1,1,49,Lot 39,19,0,3,4,1,7,3,0,1,0
11,1,1,51,Lot 38,19,0,4,5,1,4,3,1,1,0
11,2,2,0,Queens,835,42,97,170,110,190,103,48,55,20
11,2,2,6,Lot 58,45,3,7,10,8,8,4,2,0,3
11,2,2,8,Lot 57,38,1,3,4,4,10,6,3,5,2
11,2,2,9,Lot 50,47,3,3,6,3,8,10,6,8,0
11,2,2,12,Lot 49,27,0,1,6,3,10,2,1,3,1
11,2,2,14,Lot 48,44,4,5,12,6,12,3,0,2,0
