HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NTOTCORN,TOTCORN,ETOTCRN,NCORNGR,CORNGR,ECORNGR,NCORNSI,CORNSI,ECORNSI,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCANOLA,CANOLA,ECANOLA,NSOYBNS,SOYBNS,ESOYBNS,NFLAXSD,FLAXSD,EFLAXSD,NDFPEAS,DFPEAS,EDFPEAS,NCHICPEA,CHICPEA,ECHICPEA,NLENTIL,LENTIL,ELENTIL,NWHITBN,WHITBN,EWHITBN,NODFBNS,ODFBNS,EODFBNS,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFORAGE,FORAGE,EFORAGE,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NGINSENG,GINSENG,EGINSENG,NBUCWHT,BUCWHT,EBUCWHT,NSUGARB,SUGARB,ESUGARB,NCARAWAY,CARAWAY,ECARAWAY,NTRITCL,TRITCL,ETRITCL,NOFIELD,OFIELD,EOFIELD
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total wheat - Farms reporting,Total wheat - Acres,Total wheat - Hectares,Spring wheat (excluding durum) - Farms reporting,Spring wheat (excluding durum) - Acres,Spring wheat (excluding durum) - Hectares,Durum wheat - Farms reporting,Durum wheat - Acres,Durum wheat - Hectares,Winter wheat - Farms reporting,Winter wheat - Acres,Winter wheat - Hectares,Oats - Farms reporting,Oats - Acres,Oats - Hectares,Barley - Farms reporting,Barley - Acres,Barley - Hectares,Mixed grains - Farms reporting,Mixed grains - Acres,Mixed grains - Hectares,Total corn - Farms reporting,Total corn - Acres,Total corn - Hectares,Corn for grain - Farms reporting,Corn for grain - Acres,Corn for grain - Hectares,Corn for silage - Farms reporting,Corn for silage - Acres,Corn for silage - Hectares,Total rye - Farms reporting,Total rye - Acres,Total rye - Hectares,Fall rye - Farms reporting,Fall rye - Acres,Fall rye - Hectares,Spring rye - Farms reporting,Spring rye - Acres,Spring rye - Hectares,Canola (rapeseed) - Farms reporting,Canola (rapeseed) - Acres,Canola (rapeseed) - Hectares,Soybeans - Farms reporting,Soybeans - Acres,Soybeans - Hectares,Flaxseed - Farms reporting,Flaxseed - Acres,Flaxseed - Hectares,Dry field peas - Farms reporting,Dry field peas - Acres,Dry field peas - Hectares,Chick peas - Farms reporting,Chick peas - Acres,Chick peas - Hectares,Lentils - Farms reporting,Lentils - Acres,Lentils - Hectares,Dry white beans - Farms reporting,Dry white beans - Acres,Dry white beans - Hectares,Other dry beans - Farms reporting,Other dry beans - Acres,Other dry beans - Hectares,Alfalfa and alfalfa mixtures - Farms reporting,Alfalfa and alfalfa mixtures - Acres,Alfalfa and alfalfa mixtures - Hectares,All other tame hay and fodder crops - Farms reporting,All other tame hay and fodder crops - Acres,All other tame hay and fodder crops - Hectares,Forage seed for seed - Farms reporting,Forage seed for seed - Acres,Forage seed for seed - Hectares,Potatoes - Farms reporting,Potatoes - Acres,Potatoes - Hectares,Mustard seed - Farms reporting,Mustard seed - Acres,Mustard seed - Hectares,Sunflowers - Farms reporting,Sunflowers - Acres,Sunflowers - Hectares,Canary seed - Farms reporting,Canary seed - Acres,Canary seed - Hectares,Tobacco - Farms reporting,Tobacco - Acres,Tobacco - Hectares,Ginseng - Farms reporting,Ginseng - Acres,Ginseng - Hectares,Buckwheat - Farms reporting,Buckwheat - Acres,Buckwheat - Hectares,Sugar beets - Farms reporting,Sugar beets - Acres,Sugar beets - Hectares,Caraway seed - Farms reporting,Caraway seed - Acres,Caraway seed - Hectares,Triticale - Farms reporting,Triticale - Acres,Triticale - Hectares,Other field crops - Farms reporting,Other field crops - Acres,Other field crops - Hectares
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","60,743","24,266,011","9,820,105","45,234","18,733,322","7,581,105","8,455","3,819,552","1,545,718","15,090","1,713,137","693,282","41,577","5,099,298","2,063,612","43,411","9,118,090","3,689,960","10,350","831,322","336,424","30,125","3,439,954","1,392,100","21,494","2,752,716","1,113,984","15,531","687,238","278,115","4,881","531,735","215,185","4,458","488,275","197,598",482,"43,460","17,588","31,435","12,423,579","5,027,643","23,263","2,970,449","1,202,098","9,211","1,996,549","807,975","10,444","3,123,953","1,264,219","1,065","320,276","129,611","3,324","1,289,773","521,953","1,506","195,005","78,916","1,710","261,749","105,926","88,042","12,541,983","5,075,560","59,362","7,150,363","2,893,649","3,069","661,923","267,871","3,667","401,583","162,515","1,339","337,040","136,395",905,"211,034","85,402","1,424","338,595","137,025",649,"31,920","12,918",289,"8,229","3,330",686,"32,567","13,179",314,"48,156","19,488",145,"19,988","8,089","1,321","152,923","61,886","1,650","225,782","91,371"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,3,36,15,3,36,15,0,0,0,0,0,0,15,132,53,7,76,31,3,20,8,27,"1,698",687,0,0,0,27,"1,698",687,5,11,4,5,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,"3,230","1,307",206,"12,591","5,095",5,80,32,132,805,326,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,1,x,x,1,x,x,0,0,0,0,0,0,8,51,21,2,x,x,2,x,x,15,451,183,0,0,0,15,451,183,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"1,067",432,112,"4,808","1,946",0,0,0,51,144,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,2,x,x,2,x,x,0,0,0,0,0,0,3,28,11,3,x,x,0,0,0,5,140,57,0,0,0,5,140,57,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"1,068",432,38,"1,732",701,2,x,x,56,311,126,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,0,0,0,0,0,0,0,0,0,0,0,0,4,53,21,2,x,x,1,x,x,7,"1,107",448,0,0,0,7,"1,107",448,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"1,095",443,56,"6,051","2,449",3,x,x,25,350,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,Division No.  1,266,1,x,x,1,x,x,0,0,0,0,0,0,8,51,21,2,x,x,2,x,x,15,451,183,0,0,0,15,451,183,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"1,067",432,112,"4,808","1,946",0,0,0,51,144,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,214,"Division No.  1, Subd. C",34,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,113,46,15,358,145,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,4,78,32,0,0,0,6,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,7,229,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
