HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTFRT,TOTFRT,ETOTFRT,NAPPLETA,APPLETA,EAPPLETA,NPEARTA,PEARTA,EPEARTA,NPLUMTA,PLUMTA,EPLUMTA,NSWCHTA,SWCHTA,ESWCHTA,NSRCHTA,SRCHTA,ESRCHTA,NPECHTA,PECHTA,EPECHTA,NAPCTTA,APCTTA,EAPCTTA,NGRAPETA,GRAPETA,EGRAPETA,NSTRWBTA,STRWBTA,ESTRWBTA,NRASPBTA,RASPBTA,ERASPBTA,NCRANBTA,CRANBTA,ECRANBTA,NBLUEBTA,BLUEBTA,EBLUEBTA,NSASKBTA,SASKBTA,ESASKBTA,NOTFRTTA,OTFRTTA,EOTFRTTA
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,"Total area of fruits, berries and nuts (producing and non-producing) - Farms reporting","Total area of fruits, berries and nuts (producing and non-producing) - Acres","Total area of fruits, berries and nuts (producing and non-producing) - Hectares",Apples total area - Farms reporting,Apples total area - Acres,Apples total area - Hectares,Pears total area - Farms reporting,Pears total area - Acres,Pears total area - Hectares,Plums and prunes total area - Farms reporting,Plums and prunes total area - Acres,Plums and prunes total area - Hectares,Cherries (sweet) total area - Farms reporting,Cherries (sweet) total area - Acres,Cherries (sweet) total area - Hectares,Cherries (sour) total area - Farms reporting,Cherries (sour) total area - Acres,Cherries (sour) total area - Hectares,Peaches total area - Farms reporting,Peaches total area - Acres,Peaches total area - Hectares,Apricots total area - Farms reporting,Apricots total area - Acres,Apricots total area - Hectares,Grapes total area - Farms reporting,Grapes total area - Acres,Grapes total area - Hectares,Strawberries total area - Farms reporting,Strawberries total area - Acres,Strawberries total area - Hectares,Raspberries total area - Farms reporting,Raspberries total area - Acres,Raspberries total area - Hectares,Cranberries total area - Farms reporting,Cranberries total area - Acres,Cranberries total area - Hectares,Blueberries total area - Farms reporting,Blueberries total area - Acres,Blueberries total area - Hectares,Saskatoons total area - Farms reporting,Saskatoons total area - Acres,Saskatoons total area - Hectares,"Other fruits, berries and nuts total area - Farms reporting","Other fruits, berries and nuts total area - Acres","Other fruits, berries and nuts total area - Hectares"
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","12,447","271,986","110,069","4,190","54,612","22,101","1,327","3,671","1,486","1,238","1,855",751,"1,440","4,250","1,720",429,"3,027","1,225","1,044","9,395","3,802",499,495,200,"1,709","30,059","12,164","2,479","12,861","5,204","2,559","8,982","3,635",201,"8,438","3,415","2,826","126,775","51,304",897,"3,223","1,304","1,333","4,342","1,757"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,77,"2,204",892,7,5,2,5,2,1,6,13,5,5,3,1,0,0,0,2,x,x,1,x,x,1,x,x,51,158,64,25,37,15,4,20,8,19,"1,918",776,1,x,x,10,45,18
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,28,656,266,3,2,1,2,x,x,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0,16,19,8,5,4,1,2,x,x,7,619,251,1,x,x,5,x,x
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,30,"1,419",574,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,21,86,35,10,x,x,1,x,x,8,x,x,0,0,0,3,x,x
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,19,128,52,2,x,x,2,x,x,4,x,x,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,14,53,21,10,x,x,1,x,x,4,x,x,0,0,0,2,x,x
10,1,1,0,Division No.  1,266,28,656,266,3,2,1,2,x,x,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0,16,19,8,5,4,1,2,x,x,7,619,251,1,x,x,5,x,x
10,1,1,214,"Division No.  1, Subd. C",34,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
10,1,1,259,"Division No.  1, Subd. A",27,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x
10,1,1,357,"Division No.  1, Subd. H",22,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0
10,1,1,472,Holyrood,37,5,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,3,x,x,1,x,x,0,0,0
10,1,1,519,St. John's,125,11,16,7,1,x,x,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,8,11,4,4,x,x,0,0,0,1,x,x,0,0,0,2,x,x
10,3,4,0,Division No.  4,55,6,55,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,6,3,x,x,0,0,0,1,x,x,0,0,0,1,x,x
10,3,4,1,"Division No.  4, Subd. A",18,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
10,3,4,6,"Division No.  4, Subd. B",21,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,13,74,30,2,x,x,2,x,x,4,x,x,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,10,39,16,7,10,4,1,x,x,3,2,1,0,0,0,1,x,x
10,3,5,7,"Division No.  5, Subd. E",54,8,33,13,2,x,x,2,x,x,3,x,x,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,5,13,5,4,x,x,0,0,0,2,x,x,0,0,0,1,x,x
10,3,5,10,"Division No.  5, Subd. F",29,5,41,17,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,11,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0
10,2,6,0,Division No.  6,42,7,663,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,0,0,0,3,x,x,0,0,0,1,x,x
10,2,6,14,"Division No.  6, Subd. C",42,7,663,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,0,0,0,3,x,x,0,0,0,1,x,x
10,2,7,0,Division No.  7,59,13,725,293,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,9,x,x,3,x,x,1,x,x,4,x,x,0,0,0,1,x,x
10,2,7,9,"Division No.  7, Subd. K",17,3,47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0
