HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NINJURNY,NOPINJD,NOPINJ01,NOPINJ02,NOPINJ03,NOPINJ04,NOPINJ05,NOPINJ06,NOPINJ07,NOPINJ08,NOPINJ09,NOPINJ10,NINJFMD,NFMINJ01,NFMINJ02,NFMINJ03,NFMINJ04,NFMINJ05,NFMINJ06,NFMINJ07,NFMINJ08,NFMINJ09,NFMINJ10,NINJOTD,NOTINJ01,NOTINJ02,NOTINJ03,NOTINJ04,NOTINJ05,NOTINJ06,NOTINJ07,NOTINJ08,NOTINJ09,NOTINJ10,NINJURY01,NINJURY02,NINJURY03,NINJURY04,NINJURY05,NINJURY06,NINJURY07,NINJURY08,NINJURY09,NINJURY10
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total number of farms reporting farm-related injuries,Total number of farms reporting injuries to operators,Farm injuries to operators - broken bone or fracture,Farm injuries to operators - dislocation,Farm injuries to operators - sprain or strain,Farm injuries to operators - open wound or amputation,Farm injuries to operators - crushing injury,Farm injuries to operators - burn,Farm injuries to operators - internal injury,Farm injuries to operators - injury to nerves or spinal cord,Farm injuries to operators - poisoning,Farm injuries to operators - other injuries,Total number of farms reporting injuries to other family members,Farm injuries to other family members - broken bone or fracture,Farm injuries to other family members - dislocation,Farm injuries to other family members - sprain or strain,Farm injuries to other family members - open wound or amputation,Farm injuries to other family members - crushing injury,Farm injuries to other family members - burn,Farm injuries to other family members - internal injury,Farm injuries to other family members - injury to nerves or spinal cord,Farm injuries to other family members - poisoning,Farm injuries to other family members - other injuries,Total number of farms reporting injuries to other persons,Farm injuries to other persons - broken bone or fracture,Farm injuries to other persons - dislocation,Farm injuries to other persons - sprain or strain,Farm injuries to other persons - open wound or amputation,Farm injuries to other persons - crushing injury,Farm injuries to other persons - burn,Farm injuries to other persons - internal injury,Farm injuries to other persons - injury to nerves or spinal cord,Farm injuries to other persons - poisoning,Farm injuries to other persons - other injuries,Farms reporting - broken bones or fractures,Farms reporting - dislocations,Farms reporting - sprains or strains,Farms reporting - open wounds or amputations,Farms reporting - crushing injuries,Farms reporting - burns,Farms reporting - internal injuries,Farms reporting - injuries to nerves or spinal cord,Farms reporting - poisonings,Farms reporting - other injuries
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","13,801","11,891","2,919",983,"5,250","2,704","1,179",780,634,837,242,770,"1,892",539,150,821,398,204,123,69,91,59,77,"1,320",395,85,553,288,125,56,60,33,29,80,"3,723","1,151","6,055","3,235","1,438",874,720,905,281,911
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,23,12,3,1,6,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,10,1,0,7,0,1,0,0,0,0,2,5,1,13,1,2,0,1,0,0,2
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,10,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,10,5,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,1,3,1,3,0,1,0,1,0,0,1
10,1,1,0,Division No.  1,266,10,5,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
10,1,1,214,"Division No.  1, Subd. C",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
