HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NFERTIL,FERTIL,EFERTIL,NLIME,LIME,ELIME,NCROPROT,NROTGRAZ,NCOVCROP,NGRNMAN,NBUFFZON,NWINDYES,NMANURNY,NMAPPLY,NMSOLD,NMBOUGHT,NMANOTH,NMCOMPIN,MCOMPIN,EMCOMPIN,NMCOMPIN1,NMCOMPIN2,NMCOMPIN3,NMCOMPNO,MCOMPNO,EMCOMPNO,NMCOMPNO1,NMCOMPNO2,NMCOMPNO3,NMSOLIN,MSOLIN,EMSOLIN,NMSOLIN1,NMSOLIN2,NMSOLIN3,NMSOLNO,MSOLNO,EMSOLNO,NMSOLNO1,NMSOLNO2,NMSOLNO3,NMLIQINJ,MLIQINJ,EMLIQINJ,NMLIQINJ1,NMLIQINJ2,NMLIQINJ3,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQSUR1,NMLIQSUR2,NMLIQSUR3,NMIRRIG,MIRRIG,EMIRRIG,NMIRRIG1,NMIRRIG2,NMIRRIG3,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NIRRIG,IRRIG,EIRRIG,NIRRFLD,IRRFLD,EIRRFLD,NIRRHAY,IRRHAY,EIRRHAY,NIRRVEG,IRRVEG,EIRRVEG,NIRRFRT,IRRFRT,EIRRFRT,NIRROTH,IRROTH,EIRROTH
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,"Weed control on summerfallow land, chemical only - Farms reporting","Weed control on summerfallow land, chemical only - Acres","Weed control on summerfallow land, chemical only - Hectares","Weed control on summerfallow land, tillage only - Farms reporting","Weed control on summerfallow land, tillage only - Acres","Weed control on summerfallow land, tillage only - Hectares","Weed control on summerfallow land, tillage and chemical combination on the same land - Farms Reporting","Weed control on summerfallow land, tillage and chemical combination on the same land - Acres","Weed control on summerfallow land, tillage and chemical combination on the same land - Hectares",Use of herbicides - Farms reporting,Use of herbicides - Acres,Use of herbicides - Hectares,Use of insecticides - Farms reporting,Use of insecticides - Acres,Use of insecticides - Hectares,Use of fungicides - Farms reporting,Use of fungicides - Acres,Use of fungicides - Hectares,Use of commercial fertilizer - Farms reporting,Use of commercial fertilizer - Acres,Use of commercial fertilizer - Hectares,Use of lime - Farms reporting,Use of  lime- Acres,Use of  lime- Hectares,Crop rotation - Soil conservation practices - Farms reporting,Rotational grazing - Soil conservation practices - Farms reporting,Winter cover crops - Soil conservation practices - Farms reporting,Plowing down green crops - Soil conservation practices - Farms reporting,Buffer zones around water bodies - Soil conservation practices - Farms reporting,Windbreaks or shelterbelts (natural or planted) - Soil conservation practices - Farms reporting,Total number of farms producing or using manure,Manure applied on this operation - Farms reporting,Manure sold or given to others - Farms reporting,Manure bought or received from others - Farms reporting,"Other manure produced or applied on this operation (composted, dried, processed, stored, etc.) - Farms reporting",Composted manure incorporated into soil - Farms reporting,Composted manure incorporated into soil - Acres,Composted manure incorporated into soil - Hectares,Land use for composted manure incorporated into soil - Field crops,Land use for composted manure incorporated into soil - Hay and pasture,Land use for composted manure incorporated into soil - Other,Composted manure not incorporated into soil - Farms reporting,Composted manure not incorporated into soil - Acres,Composted manure not incorporated into soil - Hectares,Land use for composted manure not incorporated into soil - Field crops,Land use for composted manure not incorporated into soil - Hay and pasture,Land use for composted manure not incorporated into soil - Other,Solid manure incorporated into soil - Farms reporting,Solid manure incorporated into soil - Acres,Solid manure incorporated into soil - Hectares,Land use for solid manure incorporated into soil - Field crops,Land use for solid manure incorporated into soil - Hay and pasture,Land use for solid manure incorporated into soil - Other,Solid manure not incorporated into soil - Farms reporting,Solid manure not incorporated into soil - Acres,Solid manure not incorporated into soil - Hectares,Land use for solid manure not incorporated into soil - Field crops,Land use for solid manure not incorporated into soil - Hay and pasture,Land use for solid manure not incorporated into soil - Other,Liquid manure injected or incorporated into soil - Farms reporting,Liquid manure injected or incorporated into soil - Acres,Liquid manure injected or incorporated into soil - Hectares,Land use for liquid manure injected or incorporated into soil - Field crops,Land use for liquid manure injected or incorporated into soil - Hay and pasture,Land use for liquid manure injected or incorporated into soil - Other,Liquid manure not incorporated into soil - Farms reporting,Liquid manure not incorporated into soil - Acres,Liquid manure not incorporated into soil - Hectares,Land use for liquid manure not incorporated into soil - Field crops,Land use for liquid manure not incorporated into soil - Hay and pasture,Land use for liquid manure not incorporated into soil - Other,Liquid manure applied by irrigation - Farms reporting,Liquid manure applied by irrigation - Acres,Liquid manure applied by irrigation - Hectares,Land use for liquid manure applied by irrigation - Field crops,Land use for liquid manure applied by irrigation - Hay and pasture,Land use for liquid manure applied by irrigation - Other,Total land prepared for seeding - Farms reporting,Total land prepared for seeding - Acres,Total land prepared for seeding - Hectares,Tillage incorporating most crop residue into soil - Farms reporting,Tillage incorporating most crop residue into soil - Acres,Tillage incorporating most crop residue into soil - Hectares,Tillage retaining most crop residue on the surface - Farms reporting,Tillage retaining most crop residue on the surface - Acres,Tillage retaining most crop residue on the surface - Hectares,No-till seeding or zero-till seeding - Farms reporting,No-till seeding or zero-till seeding - Acres,No-till seeding or zero-till seeding - Hectares,Total use of irrigation - Farms reporting,Total use of irrigation - Acres,Total use of irrigation - Hectares,Irrigated field crops - Farms reporting,Irrigated field crops - Acres,Irrigated field crops - Hectares,Irrigated hay and pasture -Farms reporting,Irrigated hay and pasture - Acres,Irrigated hay and pasture - Hectares,Irrigated vegetables - Farms reporting,Irrigated vegetables - Acres,Irrigated vegetables - Hectares,Irrigated fruit - Farms reporting,Irrigated fruit - Acres,Irrigated fruit - Hectares,Other irrigated areas - Farms reporting,Other irrigated areas - Acres,Other irrigated areas - Hectares
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","8,154","3,321,028","1,343,972","15,456","2,711,811","1,097,431","10,645","2,629,622","1,064,170","103,496","61,332,083","24,820,210","23,874","5,916,647","2,394,382","19,629","7,066,716","2,859,798","118,226","62,636,313","25,348,013","11,861","937,329","379,324","141,322","70,798","17,272","24,192","44,988","84,722","136,202","101,984","13,195","7,743","36,532","25,806","1,153,350","466,744","13,820","10,839","3,605","14,420","552,966","223,777","2,490","11,552","1,229","37,026","2,342,676","948,047","28,756","9,778","1,807","28,740","1,621,926","656,370","7,262","23,204",993,"10,338","1,526,339","617,687","8,924","2,539",290,"10,363","1,149,963","465,373","3,924","8,226",212,579,"53,089","21,484",411,248,31,"147,501","71,781,032","29,048,749","87,204","20,114,443","8,140,025","43,495","18,354,767","7,427,910","43,715","33,311,822","13,480,814","16,667","2,087,980","844,975","4,859","1,197,289","484,526","6,175","670,293","271,258","3,092","107,566","43,530","4,726","75,106","30,394","1,458","37,726","15,267"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,0,0,0,11,103,42,7,64,26,121,"3,893","1,575",100,"1,312",531,37,555,225,279,"15,180","6,143",160,"4,218","1,707",226,84,37,104,130,176,292,246,46,72,53,73,"1,618",655,36,34,17,35,712,288,4,26,7,70,"1,405",569,29,47,6,73,"2,295",929,13,64,4,18,"1,571",636,8,10,1,27,"4,830","1,955",7,26,3,0,0,0,0,0,0,262,"5,883","2,381",208,"5,195","2,102",44,354,143,39,334,135,33,347,140,6,53,21,1,x,x,17,78,32,16,140,57,3,x,x
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,0,0,0,0,0,0,3,41,17,41,"1,199",485,38,438,177,11,127,51,121,"5,254","2,126",70,"1,433",580,94,41,17,48,55,69,165,145,27,53,21,49,"1,257",509,26,22,13,19,445,180,4,15,2,44,653,264,24,25,4,48,"1,202",486,8,44,1,7,876,355,2,6,0,10,"1,159",469,1,10,1,0,0,0,0,0,0,110,"1,700",688,81,"1,427",577,19,114,46,18,159,64,11,56,23,0,0,0,0,0,0,7,30,12,5,26,11,0,0,0
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,0,0,0,6,51,21,4,23,9,47,"1,110",449,41,559,226,16,233,94,79,"2,832","1,146",51,"1,289",522,73,22,14,30,45,53,61,48,12,11,18,11,127,51,7,3,3,8,210,85,0,5,3,13,320,129,3,11,2,13,563,228,1,9,3,6,293,119,2,3,1,3,235,95,0,3,2,0,0,0,0,0,0,82,"1,467",594,73,"1,287",521,13,129,52,8,51,21,15,171,69,4,x,x,0,0,0,7,30,12,8,77,31,2,x,x
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,0,0,0,5,52,21,0,0,0,33,"1,584",641,21,315,127,10,195,79,79,"7,094","2,871",39,"1,496",605,59,21,6,26,30,54,66,53,7,8,14,13,234,95,3,9,1,8,57,23,0,6,2,13,432,175,2,11,0,12,530,214,4,11,0,5,402,163,4,1,0,14,"3,436","1,390",6,13,0,0,0,0,0,0,0,70,"2,716","1,099",54,"2,481","1,004",12,111,45,13,124,50,7,120,49,2,x,x,1,x,x,3,18,7,3,37,15,1,x,x
10,1,1,0,Division No.  1,266,0,0,0,0,0,0,3,41,17,41,"1,199",485,38,438,177,11,127,51,121,"5,254","2,126",70,"1,433",580,94,41,17,48,55,69,165,145,27,53,21,49,"1,257",509,26,22,13,19,445,180,4,15,2,44,653,264,24,25,4,48,"1,202",486,8,44,1,7,876,355,2,6,0,10,"1,159",469,1,10,1,0,0,0,0,0,0,110,"1,700",688,81,"1,427",577,19,114,46,18,159,64,11,56,23,0,0,0,0,0,0,7,30,12,5,26,11,0,0,0
10,1,1,214,"Division No.  1, Subd. C",34,0,0,0,0,0,0,1,x,x,3,112,45,2,x,x,2,x,x,12,494,200,8,273,110,7,10,2,5,4,8,23,21,1,4,1,4,20,8,1,3,0,5,96,39,1,4,0,4,32,13,2,3,0,11,129,52,1,10,0,0,0,0,0,0,0,1,x,x,0,1,0,0,0,0,0,0,0,10,230,93,8,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,0,0,0,0,0,0,0,0,0,6,x,x,5,36,15,1,x,x,10,211,85,8,235,95,6,4,1,3,5,7,13,10,3,2,3,4,89,36,2,2,1,1,x,x,0,1,0,4,44,18,1,3,0,2,x,x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,25,8,62,25,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,0,0,0,0,0,0,1,x,x,1,x,x,3,12,5,0,0,0,3,21,8,3,22,9,4,3,0,0,3,7,16,12,6,5,2,6,61,25,1,4,1,1,x,x,0,1,0,4,56,23,1,3,0,2,x,x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89,36,4,35,14,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
