HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NBEEHON,BEEHON,NBEEPOLL,BEEPOLL,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NTCHICK,TCHICK,NHENHATCH,HENHATCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NTURKPRD,TURKPRD,ETURKPRD,NBROILPRD,BROILPRD,EBROILPRD,NHATCHNUM,HATCHNUM,NCALFU1,CALFU1,NSTEERS,STEERS,NHEIFER,HEIFER,NFDHEIF,FDHEIF,NBFHEIF,BFHEIF,NMLKHEIF,MLKHEIF,NTOTCOW,TOTCOW,NBFCOWS,BFCOWS,NMLKCOW,MLKCOW,NBULLS,BULLS,NTCATTL,TCATTL,NRAMS,RAMS,NEWES,EWES,NLAMBS,LAMBS,NTSHEEP,TSHEEP,NBOARS,BOARS,NSOWS,SOWS,NNURPIG,NURPIG,NGRWPIG,GRWPIG,NTOPIGS,TOPIGS,NHORSES,HORSES,NGOATS,GOATS,NWLDBOAR,WLDBOAR,NMINK,MINK,NFOX,FOX,NBISON,BISON,NLAMAS,LAMAS,NDEER,DEER,NELK,ELK
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Honeybees - Farms reporting ,Honeybees - Number of colonies,Other pollinating bees - Farms reporting ,Other pollinating bees - Number of gallons ,"Broilers, roasters and Cornish - Farms reporting","Broilers, roasters and Cornish - Number of birds","Pullets under 19 weeks, intended for laying - Farms reporting","Pullets under 19 weeks, intended for laying - Number of birds","Laying hens, 19 weeks and over - Farms reporting","Laying hens, 19 weeks and over - Number of birds",Total hens and chickens - Farms reporting,Total hens and chickens - Number of birds,Laying hens in hatchery supply flocks - Farms reporting,Laying hens in hatchery supply flocks - Number of birds,Turkeys - Farms reporting,Turkeys - Number of birds,Other poultry - Farms reporting,Other poultry - Number of birds,Turkey production - Farms reporting,Turkey production - Kilograms,Turkey production - Pounds,"Broilers, roasters and Cornish production - Farms reporting","Broilers, roasters and Cornish production - Kilograms","Broilers, roasters and Cornish production - Pounds",Chicks or other poultry hatched - Farms reporting,Chicks or other poultry hatched - Number of birds,"Calves, under 1 year - Farms reporting","Calves, under 1 year - Number","Steers, 1 year and over - Farms reporting","Steers, 1 year and over - Number","Total heifers, 1 year and over - Farms reporting","Total heifers, 1 year and over - Number",Heifers for slaughter or feeding - Farms reporting,Heifers for slaughter or feeding - Number,Heifers for beef herd replacement - Farms reporting,Heifers for beef herd replacement - Number,Heifers for dairy herd replacement - Farms reporting,Heifers for dairy herd replacement - Number,Total cows - Farms reporting,Total cows - Number,Beef cows - Farms reporting,Beef cows - Number,Dairy cows - Farms reporting,Dairy cows - Number,"Bulls, 1 year and over - Farms reporting","Bulls, 1 year and over - Number",Total cattle and calves - Farms reporting,Total cattle and calves - Number,Rams - Farms reporting,Rams - Number,Ewes - Farms reporting,Ewes - Number,Lambs - Farms reporting,Lambs - Number,Total sheep and lambs - Farms reporting,Total sheep and lambs - Number,Boars - Farms reporting,Boars - Number,Sows and gilts for breeding - Farms reporting,Sows and gilts for breeding - Number,Nursing and weaner pigs - Farms reporting,Nursing and weaner pigs - Number,Grower and finishing pigs - Farms reporting,Grower and finishing pigs - Number,Total pigs - Farms reporting,Total pigs - Number,Horses and ponies - Farms reporting,Horses and ponies - Number,Goats - Farms reporting,Goats - Number,Wild boars - Farms reporting,Wild boars - Number,Mink - Farms reporting,Mink - Number,Fox - Farms reporting,Fox - Number,Bison (buffalo) - Farms reporting,Bison (buffalo) - Number,Llamas and alpacas - Farms reporting,Llamas and alpacas - Number,Deer (excluding wild deer) - Farms reporting,Deer (excluding wild deer) - Number,Elk - Farms reporting,Elk - Number
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","3,167","553,594",804,"399,968","8,831","87,622,293","3,580","11,772,392","17,668","25,920,108","22,712","125,314,793",281,"4,506,309","3,174","7,691,385","5,483","5,140,628","2,329","188,733,513","416,086,145","6,006","1,183,769,685","2,609,765,259",108,"689,248,750","98,107","5,172,063","36,695","1,783,913","72,929","2,471,216","23,998","1,314,169","45,407","650,790","16,585","506,257","97,905","6,077,620","83,000","5,081,596","17,515","996,024","71,958","268,715","109,901","15,773,527","8,175","25,650","10,309","589,284","9,117","527,943","11,031","1,142,877","5,133","34,034","5,831","1,552,596","5,560","5,258,297","8,937","8,198,205","11,497","15,043,132","54,169","453,965","6,725","177,698",256,"20,898",221,"1,903,918",106,"12,409","1,898","195,728","4,302","31,708",620,"46,748",905,"69,168"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,4,194,6,31,27,x,11,x,57,"334,156",71,"1,570,740",0,0,19,"5,850",21,346,23,"117,952","260,040",18,x,x,1,x,115,"2,273",29,146,88,"2,296",32,182,21,64,42,"2,050",111,"7,020",70,761,42,"6,259",58,91,133,"11,826",57,118,75,"2,080",72,"2,444",82,"4,642",9,22,13,264,10,762,17,951,25,"1,999",77,286,20,99,0,0,17,"80,189",8,"3,060",0,0,6,26,0,0,0,0
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,1,x,1,x,20,x,6,x,32,"157,529",44,"1,362,311",0,0,15,"5,803",11,122,17,"114,357","252,114",16,x,x,1,x,64,851,11,72,48,803,19,103,11,32,21,668,57,"2,516",35,333,22,"2,183",32,60,73,"4,302",28,82,38,"1,270",37,"1,589",41,"2,941",4,7,7,66,5,219,12,242,17,534,34,91,9,26,0,0,8,"14,439",3,"2,180",0,0,3,4,0,0,0,0
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,1,x,5,x,4,112,4,x,18,x,19,x,0,0,4,47,8,x,5,x,x,2,x,x,0,0,21,343,7,24,16,424,6,x,3,4,9,x,24,"1,123",15,116,10,"1,007",11,14,25,"1,928",12,14,18,300,16,354,18,668,3,x,3,x,2,x,3,x,5,x,25,126,8,36,0,0,5,x,4,x,0,0,2,x,0,0,0,0
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,2,x,0,0,3,58,1,x,7,x,8,x,0,0,0,0,2,x,1,x,x,0,0,0,0,0,30,"1,079",11,50,24,"1,069",7,x,7,28,12,x,30,"3,381",20,312,10,"3,069",15,17,35,"5,596",17,22,19,510,19,501,23,"1,033",2,x,3,x,3,x,2,x,3,x,18,69,3,37,0,0,4,x,1,x,0,0,1,x,0,0,0,0
10,1,1,0,Division No.  1,266,1,x,1,x,20,x,6,x,32,"157,529",44,"1,362,311",0,0,15,"5,803",11,122,17,"114,357","252,114",16,x,x,1,x,64,851,11,72,48,803,19,103,11,32,21,668,57,"2,516",35,333,22,"2,183",32,60,73,"4,302",28,82,38,"1,270",37,"1,589",41,"2,941",4,7,7,66,5,219,12,242,17,534,34,91,9,26,0,0,8,"14,439",3,"2,180",0,0,3,4,0,0,0,0
10,1,1,214,"Division No.  1, Subd. C",34,0,0,0,0,3,275,1,x,6,x,8,x,0,0,4,227,2,x,1,x,x,1,x,x,0,0,8,81,1,x,6,26,3,6,2,x,1,x,8,157,6,x,2,x,4,x,9,273,11,27,13,413,12,479,13,919,1,x,1,x,1,x,3,16,3,x,4,4,0,0,0,0,2,x,2,x,0,0,0,0,0,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,0,0,0,0,3,x,0,0,4,118,6,x,0,0,2,x,1,x,0,0,0,2,x,x,0,0,3,11,2,x,3,x,2,x,2,x,0,0,3,16,3,16,0,0,2,x,3,51,6,31,7,322,7,466,8,819,0,0,0,0,0,0,1,x,1,x,3,7,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,0,0,0,0,3,x,1,x,3,95,5,x,0,0,2,x,3,34,2,x,x,3,x,x,0,0,5,12,0,0,3,x,2,x,1,x,0,0,5,15,5,15,0,0,2,x,5,34,3,x,5,x,6,179,6,318,0,0,0,0,0,0,1,x,1,x,4,7,1,x,0,0,5,x,0,0,0,0,0,0,0,0,0,0
