HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NTRCU60,TRCU60,VTRCU60,NTRCO60,TRCO60,VTRCO60,NTRCU100,TRCU100,VTRCU100,NTRC100,TRC100,VTRC100,NTRC149,TRC149,VTRC149,NTOTTRC,TOTTRC,TVALTRC,NTOTTRK,TOTTRK,TVALTRK,NPICKUP,PICKUP,VPICKUP,NOTHTRK,OTHTRK,VOTHTRK,NAUTMBL,AUTMBL,VAUTMBL,NCULTSD,CULTSD,VCULTSD,NCOMB,COMB,VCOMB,NSWTMOW,SWTMOW,VSWTMOW,NBALER,BALER,VBALER,NHARVST,HARVST,VHARVST,NVIRRIG,VIRRIG,NVALOEQ,VALOEQ,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NTOTFCAP,TOTFCAP
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total value of land and buildings - Farms reporting,Total value of land and buildings - Market value $,"Value of land and buildings, owned - Farms reporting","Value of land and buildings, owned - Market value $","Value of land and buildings, rented or leased from others - Farms reporting","Value of land and buildings, rented or leased from others - Market value $",Tractors under 60 hp - Farms reporting,Tractors under 60 hp - Total number,Tractors under 60 hp - Market value $,Tractors from 60 to 99 hp - Farms reporting,Tractors from 60 to 99 hp - Total number,Tractors from 60 to 99 hp - Market value $,Tractors under 100 hp - Farms reporting,Tractors under 100 hp - Total number,Tractors under 100 hp - Market value $,Tractors from 100 to 149 hp - Farms reporting,Tractors from 100 to 149 hp - Total number,Tractors from 100 to 149 hp - Market value $,Tractors over 149 hp - Farms reporting,Tractors over 149 hp - Total number,Tractors over 149 hp - Market value $,Total tractors - Farms reporting,Total tractors - Total number,Total tractors - Market value $,Total farm trucks - Farms reporting,Total farm trucks - Total number,Total farm trucks - Market value $,Pick-ups and cargo vans - Farms reporting,Pick-ups and cargo vans - Total number,Pick-ups and cargo vans - Market value $,Other farm trucks - Farms reporting,Other farm trucks - Total number,Other farm trucks - Market value $,Cars and other passenger vehicles - Farms reporting,Cars and other passenger vehicles -Total number,Cars and other passenger vehicles - Market value $,"Tillage, cultivation, seeding and planting equipment - Farms reporting","Tillage, cultivation, seeding and planting equipment - Total number","Tillage, cultivation, seeding and planting equipment - Market value $",Combines - Farms reporting,Combines - Total number,Combines - Market value $,Swathers and mower-conditioners - Farms reporting,Swathers and mower-conditioners - Total number,Swathers and mower-conditioners - Market value  $,Balers - Farms reporting,Balers - Total number,Balers - Market value $,Forage harvesters - Farms reporting,Forage harvesters - Total number,Forage harvesters - Market value $,Irrigation equipment - Farms reporting,Irrigation equipment - Market value $,"All other farm machinery, workshop and office equipment - Farms reporting","All other farm machinery, workshop and office equipment - Market value $",Value of all farm machinery and equipment - Farms reporting,Value of all farm machinery and equipment - Market value $,Value of livestock and poultry - Farms reporting,Value of livestock and poultry - Market value $,Total farm capital - Farms reporting,Total farm capital - Market value $
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","229,373","197,750,800,623","221,316","148,632,841,619","98,836","49,117,959,004","161,821","347,809","1,896,628,033","118,068","181,284","3,158,078,744","194,556","529,093","5,054,706,777","89,069","125,931","3,579,863,590","55,142","78,158","4,105,132,537","212,097","733,182","12,739,702,904","197,758","466,798","5,433,633,064","189,114","299,562","3,540,691,023","90,683","167,236","1,892,942,041","107,803","126,363","1,432,740,260","151,321","536,068","3,650,123,622","83,859","102,924","3,908,003,784","123,131","173,717","1,612,694,945","107,024","140,078","1,144,669,059","22,055","24,551","329,848,734","17,463","769,283,806","171,751","5,124,936,531","229,373","36,145,636,709","150,484","14,421,154,174","229,373","248,317,591,506"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,558,"180,620,475",444,"141,010,914",316,"39,609,561",334,606,"5,974,773",169,247,"7,148,886",404,853,"13,123,659",48,84,"4,642,437",13,17,"1,303,000",417,954,"19,069,096",410,699,"8,535,719",381,532,"6,842,649",94,167,"1,693,070",189,235,"2,931,907",261,974,"4,258,471",5,5,"76,000",125,168,"1,105,045",146,168,"1,332,423",29,37,"830,000",46,"841,974",394,"12,522,248",558,"51,502,883",275,"26,948,951",558,"259,072,309"
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,266,"91,057,173",213,"71,914,073",145,"19,143,100",155,237,"2,414,033",73,94,"2,427,100",186,331,"4,841,133",20,36,"1,832,397",4,5,"152,000",192,372,"6,825,530",185,301,"3,771,099",172,231,"2,986,813",46,70,"784,286",90,117,"1,529,400",109,367,"1,452,072",2,x,x,63,84,"431,445",65,72,"497,683",7,9,x,17,"114,096",183,"6,313,978",266,"21,085,703",134,"9,653,959",266,"121,796,835"
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,154,"37,000,619",122,"27,509,419",93,"9,491,200",98,205,"1,924,927",41,70,"2,084,500",114,275,"4,009,427",10,x,x,2,x,x,117,290,"4,731,427",116,193,"2,333,298",107,154,"2,034,275",26,39,"299,023",53,62,"682,825",76,313,"1,280,414",1,x,x,27,36,"229,100",37,41,"335,427",10,12,x,19,"445,578",107,"2,713,226",154,"12,893,795",70,"9,304,583",154,"59,198,997"
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,138,"52,562,683",109,"41,587,422",78,"10,975,261",81,164,"1,635,813",55,83,"2,637,286",104,247,"4,273,099",18,x,x,7,x,x,108,292,"7,512,139",109,205,"2,431,322",102,147,"1,821,561",22,58,"609,761",46,56,"719,682",76,294,"1,525,985",2,x,x,35,48,"444,500",44,55,"499,313",12,16,x,10,"282,300",104,"3,495,044",138,"17,523,385",71,"7,990,409",138,"78,076,477"
10,1,1,0,Division No.  1,266,266,"91,057,173",213,"71,914,073",145,"19,143,100",155,237,"2,414,033",73,94,"2,427,100",186,331,"4,841,133",20,36,"1,832,397",4,5,"152,000",192,372,"6,825,530",185,301,"3,771,099",172,231,"2,986,813",46,70,"784,286",90,117,"1,529,400",109,367,"1,452,072",2,x,x,63,84,"431,445",65,72,"497,683",7,9,x,17,"114,096",183,"6,313,978",266,"21,085,703",134,"9,653,959",266,"121,796,835"
10,1,1,214,"Division No.  1, Subd. C",34,34,"6,650,885",28,"5,339,291",18,"1,311,594",18,24,"192,000",9,10,"128,000",22,34,"320,000",1,x,x,0,0,0,22,x,x,20,25,"261,500",18,x,"249,500",4,x,"12,000",10,12,"155,000",7,20,"42,000",0,0,0,11,17,"58,000",12,12,x,0,0,0,1,x,23,"273,000",34,"1,204,500",23,"756,350",34,"8,611,735"
10,1,1,259,"Division No.  1, Subd. A",27,27,"5,734,000",17,"3,440,000",18,"2,294,000",13,20,"232,500",11,15,"329,000",16,35,"561,500",1,x,x,0,0,0,17,x,x,17,26,"279,700",17,21,"247,700",5,5,"32,000",7,8,"75,000",10,26,"126,450",0,0,0,4,4,"5,000",2,x,x,0,0,0,3,x,18,"341,700",27,"1,493,650",13,"571,264",27,"7,798,914"
10,1,1,304,"Division No.  1, Subd. E",21,21,"7,155,250",18,"6,469,000",14,"686,250",12,18,"180,500",4,4,"121,000",13,22,"301,500",0,0,0,1,x,x,14,x,x,16,25,"233,238",15,20,x,3,5,x,12,16,"272,500",6,19,"29,000",0,0,0,4,6,x,4,x,"22,500",0,0,0,0,0,16,"545,727",21,"1,426,965",13,"1,790,591",21,"10,372,806"
