HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCRTORGNY,NCRTFULL,NCRTTRAN,NCRTNOT,NORGFLD,NCRTFLD,NTRNFLD,NNONFLD,NORGFRTVG,NCRTFRTVG,NTRNFRTVG,NNONFRTVG,NORGANML,NCRTANML,NTRNANML,NNONANML,NORGMAPL,NCRTMAPL,NTRNMAPL,NNONMAPL,NORGOTH,NCRTOTH,NTRNOTH,NNONOTH
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total number of farms reporting organic products regardless of the certification status,Total number of farms producing certified organic products,Total number of farms producing transitional organic products,Total number of farms producing not certified organic products,Total farms reporting organic hay or field crops,Farms reporting certified organic hay or field crops,Farms reporting transitional hay or field crops,Farms reporting not certified organic hay or field crops,"Total farms reporting organic fruits, vegetables or greenhouse products","Farms reporting certified organic fruits, vegetables or greenhouse products","Farms reporting transitional fruits, vegetables or greenhouse products","Farms reporting not certified organic fruits, vegetables or greenhouse products",Total farms reporting organic animals or animal products,Farms reporting certified organic animals or animal products,Farms reporting transitional animals or animal products,Farms reporting not certified organic animals or animal products,Total farms reporting organic maple products,Farms reporting certified organic maple products,Farms reporting transitional maple products,Farms reporting not certified organic maple products,Total farms reporting other organic products,Farms reporting other certified organic products,Farms reporting other transitional products,Farms reporting other not certified organic products
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","15,511","3,555",640,"11,937","7,801","2,462",451,"5,126","3,751",916,125,"2,754","7,177",673,145,"6,380","1,100",299,5,798,"1,158",190,30,946
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,52,4,1,49,16,0,0,16,30,4,1,27,21,0,0,21,0,0,0,0,7,1,0,6
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,31,4,1,28,6,0,0,6,21,4,1,18,11,0,0,11,0,0,0,0,3,1,0,2
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,7,0,0,7,4,0,0,4,4,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,14,0,0,14,6,0,0,6,5,0,0,5,7,0,0,7,0,0,0,0,4,0,0,4
10,1,1,0,Division No.  1,266,31,4,1,28,6,0,0,6,21,4,1,18,11,0,0,11,0,0,0,0,3,1,0,2
10,1,1,214,"Division No.  1, Subd. C",34,6,0,0,6,3,0,0,3,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0
10,1,1,259,"Division No.  1, Subd. A",27,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,304,"Division No.  1, Subd. E",21,4,0,0,4,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
