HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTFAREA,TFAREA,ETFAREA,NAOWNED01,AOWNED01,EAOWNED01,NTLSRTCS01,TLSRTCS01,ETLSRTCS01,NALSDGV01,ALSDGV01,EALSDGV01,NARNTED01,ARNTED01,EARNTED01,NACRPSH01,ACRPSH01,EACRPSH01,NAOWNED,AOWNED,EAOWNED,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NACRPSHR,ACRPSHR,EACRPSHR,NAOTUSED,AOTUSED,EAOTUSED,NTOTLAND1,TOTLAND1,ETOTLAND1,NRNTEDOT,RNTEDOT,ERNTEDOT,NCRPSHROT,CRPSHROT,ECRPSHROT,NUSEDOT,USEDOT,EUSEDOT,NAREAOT1,AREAOT1,EAREAOT1,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPAST,UNIMPAST,EUNIMPAST,NWOODWET,WOODWET,EWOODWET,NWOODXMAS,WOODXMAS,EWOODXMAS,NOTHLAND,OTHLAND,EOTHLAND,NOTHLND01,OTHLND01,EOTHLND01
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total area of land operated by this operation - Farms reporting,Total area of land operated by this operation - Acres,Total area of land operated by this operation - Hectares,Historical comparison component of total area owned  - Farms reporting,Historical comparison component of total area owned  - Acres,Historical comparison component of total area owned  - Hectares,Historical comparison component of total area rented  - Farms reporting,Historical comparison component of total area rented  - Acres,Historical comparison component of total area rented  - Hectares,Historical comparison component of area leased from governments - Farms reporting ,Historical comparison component of area leased from governments - Acres,Historical comparison component of area leased from governments - Hectares,Historical comparison component of area rented or leased from others - Farms reporting,Historical comparison component of area rented or leased from others - Acres,Historical comparison component of area rented or leased from others - Hectares,Historical comparison component of area crop-shared from others - Farms reporting,Historical comparison component of area crop-shared from others - Acres,Historical comparison component of area crop-shared from others - Hectares,Total area owned - Farms reporting,Total area owned - Acres,Total area owned - Hectares,Area leased from governments - Farms reporting,Area leased from governments - Acres,Area leased from governments - Hectares,Area rented or leased from others - Farms reporting,Area rented or leased from others - Acres,Area rented or leased from others - Hectares,Area crop-shared from others - Farms reporting,Area crop-shared from others - Acres,Area crop-shared from others - Hectares,Other area used by this operation - Farms reporting,Other area used by this operation - Acres,Other area used by this operation - Hectares,"Total area of land owned, leased, rented, crop-shared or used by this operation - Farms reporting","Total area of land owned, leased, rented, crop-shared or used by this operation - Acres","Total area of land owned, leased, rented, crop-shared or used by this operation - Hectares",Area rented or leased to others - Farms reporting,Area rented or leased to others - Acres,Area rented or leased to others - Hectares,Area crop-shared to others - Farms reporting,Area crop-shared to others - Acres,Area crop-shared to others - Hectares,Other area used by others - Farms reporting,Other area used by others - Acres,Other area used by others - Hectares,Total area of land used by others - Farms reporting,Total area of land used by others - Acres,Total area of land used by others - Hectares,Total area of workable and non-workable land operated by this operation - Farms reporting,Total area of workable and non-workable land operated by this operation - Acres,Total area of workable and non-workable land operated by this operation - Hectares,Land in crops (excluding Christmas tree area) - Farms reporting,Land in crops (excluding Christmas tree area) - Acres,Land in crops (excluding Christmas tree area) - Hectares,Summerfallow land - Farms reporting,Summerfallow land - Acres,Summerfallow land - Hectares,Tame or seeded pasture - Farms reporting,Tame or seeded pasture - Acres,Tame or seeded pasture - Hectares,Natural land for pasture - Farms reporting,Natural land for pasture - Acres,Natural land for pasture - Hectares,Woodlands and wetlands - Farms reporting,Woodlands and wetlands - Acres,Woodlands and wetlands - Hectares,"Christmas tree area, woodland and wetland - Farms reporting","Christmas tree area, woodland and wetland - Acres","Christmas tree area, woodland and wetland - Hectares",All other land - Farms reporting,All other land - Acres,All other land - Hectares,"All other land (including woodland, wetlands and Christmas tree area) - Farms reporting","All other land (including woodland, wetlands and Christmas tree area) - Acres","All other land (including woodland, wetlands and Christmas tree area) - Hectares"
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","229,373","167,010,491","67,586,739","220,513","102,246,470","41,377,673","97,989","64,764,021","26,209,066","19,958","23,507,875","9,513,298","82,108","35,542,506","14,383,540","13,030","5,713,640","2,312,228","220,613","110,335,994","44,651,387","19,964","23,595,246","9,548,656","75,971","34,088,894","13,795,284","13,030","5,724,360","2,316,566","10,142","1,670,366","675,973","229,373","175,414,860","70,987,866","28,736","6,712,524","2,716,462","5,569","1,322,309","535,119","3,081","369,536","149,546","35,654","8,404,369","3,401,127","229,373","167,010,491","67,586,739","194,717","88,741,106","35,912,247","32,345","8,662,461","3,505,573","75,894","14,071,138","5,694,387","99,237","38,157,034","15,441,602","115,976","13,270,733","5,370,474","116,784","13,346,421","5,401,104","144,272","4,032,331","1,631,826","178,492","17,378,752","7,032,931"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,558,"89,441","36,195",426,x,x,310,x,x,257,x,x,95,"4,486","1,815",0,0,0,426,"29,909","12,104",257,"55,573","22,490",71,"3,612","1,462",0,0,0,27,874,354,558,"89,968","36,409",10,286,116,0,0,0,6,241,98,16,527,213,558,"89,441","36,195",404,"22,671","9,175",18,167,68,96,"5,801","2,348",161,"25,421","10,288",278,"24,508","9,918",286,"24,814","10,042",350,"10,567","4,276",456,"35,381","14,318"
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,266,"39,426","15,955",205,x,x,144,x,x,114,x,x,51,"1,173",475,0,0,0,205,"8,634","3,494",114,"29,976","12,131",37,915,370,0,0,0,16,258,104,266,"39,783","16,100",6,176,71,0,0,0,3,181,73,9,357,144,266,"39,426","15,955",196,"8,077","3,269",3,41,17,45,"2,321",939,81,"16,351","6,617",128,"7,859","3,180",130,"7,960","3,221",151,"4,676","1,892",209,"12,636","5,114"
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,154,"19,060","7,713",116,x,x,89,x,x,80,x,x,21,x,x,0,0,0,116,"7,201","2,914",80,"10,547","4,268",15,"1,054",427,0,0,0,6,x,x,154,x,x,1,x,x,0,0,0,1,x,x,2,x,x,154,"19,060","7,713",105,"5,321","2,153",10,74,30,21,764,309,37,"3,009","1,218",64,"5,960","2,412",69,"6,026","2,439",113,"3,866","1,565",128,"9,892","4,003"
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,138,"30,955","12,527",105,x,x,77,x,x,63,"15,050","6,091",23,x,x,0,0,0,105,"14,074","5,696",63,"15,050","6,091",19,"1,643",665,0,0,0,5,x,x,138,x,x,3,x,x,0,0,0,2,x,x,5,x,x,138,"30,955","12,527",103,"9,273","3,753",5,52,21,30,"2,716","1,099",43,"6,061","2,453",86,"10,689","4,326",87,"10,828","4,382",86,"2,025",819,119,"12,853","5,201"
10,1,1,0,Division No.  1,266,266,"39,426","15,955",205,x,x,144,x,x,114,x,x,51,"1,173",475,0,0,0,205,"8,634","3,494",114,"29,976","12,131",37,915,370,0,0,0,16,258,104,266,"39,783","16,100",6,176,71,0,0,0,3,181,73,9,357,144,266,"39,426","15,955",196,"8,077","3,269",3,41,17,45,"2,321",939,81,"16,351","6,617",128,"7,859","3,180",130,"7,960","3,221",151,"4,676","1,892",209,"12,636","5,114"
10,1,1,214,"Division No.  1, Subd. C",34,34,"13,184","5,335",27,x,x,18,x,x,15,"11,833","4,789",3,x,x,0,0,0,27,"1,333",539,15,"11,833","4,789",1,x,x,0,0,0,2,x,x,34,x,x,1,x,x,0,0,0,0,0,0,1,x,x,34,"13,184","5,335",23,x,x,1,x,x,9,880,356,20,"9,586","3,879",14,x,x,14,856,346,19,"1,217",493,25,"2,073",839
10,1,1,259,"Division No.  1, Subd. A",27,27,"3,750","1,518",15,406,164,18,"3,344","1,353",17,"3,182","1,288",3,162,66,0,0,0,15,406,164,17,"3,182","1,288",1,x,x,0,0,0,2,x,x,27,"3,750","1,518",0,0,0,0,0,0,0,0,0,0,0,0,27,"3,750","1,518",14,292,118,0,0,0,5,136,55,11,"2,390",967,13,x,x,13,643,260,17,289,117,22,932,377
10,1,1,304,"Division No.  1, Subd. E",21,21,969,392,17,489,198,14,480,194,11,464,188,3,16,6,0,0,0,17,489,198,11,464,188,1,x,x,0,0,0,2,x,x,21,969,392,0,0,0,0,0,0,0,0,0,0,0,0,21,969,392,13,284,115,1,x,x,1,x,x,8,69,28,8,x,x,8,304,123,13,295,119,17,599,242
10,1,1,357,"Division No.  1, Subd. H",22,22,"3,213","1,300",16,831,336,11,"2,382",964,8,"2,305",933,4,77,31,0,0,0,16,831,336,8,"2,305",933,3,x,x,0,0,0,1,x,x,22,"3,213","1,300",0,0,0,0,0,0,0,0,0,0,0,0,22,"3,213","1,300",17,x,x,0,0,0,1,x,x,7,"2,052",830,10,534,216,10,534,216,11,171,69,19,705,285
10,1,1,472,Holyrood,37,37,"5,931","2,400",27,x,x,18,x,x,15,"4,088","1,654",5,x,x,0,0,0,27,"1,997",808,15,"4,088","1,654",3,41,17,0,0,0,3,x,x,37,x,x,1,x,x,0,0,0,1,x,x,2,x,x,37,"5,931","2,400",27,"1,254",507,0,0,0,6,813,329,8,412,167,20,x,x,20,"1,949",789,19,"1,503",608,29,"3,452","1,397"
10,1,1,519,St. John's,125,125,"12,379","5,010",103,x,x,65,x,x,48,x,x,33,811,328,0,0,0,103,"3,578","1,448",48,"8,104","3,280",28,786,318,0,0,0,6,25,10,125,"12,493","5,056",4,x,x,0,0,0,2,x,x,6,114,46,125,"12,379","5,010",102,"5,194","2,102",1,x,x,23,x,x,27,"1,842",745,63,"3,631","1,469",65,"3,674","1,487",72,"1,201",486,97,"4,875","1,973"
10,3,4,0,Division No.  4,55,55,"14,874","6,019",49,x,x,22,x,x,17,"4,071","1,647",9,x,x,0,0,0,49,"9,882","3,999",17,"4,071","1,647",6,x,x,0,0,0,3,x,x,55,x,x,0,0,0,0,0,0,1,x,x,1,x,x,55,"14,874","6,019",41,"4,243","1,717",1,x,x,8,932,377,23,"3,147","1,274",31,"5,616","2,273",32,"5,705","2,309",32,x,x,46,x,x
10,3,4,1,"Division No.  4, Subd. A",18,18,"7,051","2,853",14,"5,272","2,134",5,"1,779",720,4,x,x,1,x,x,0,0,0,14,"5,272","2,134",4,x,x,1,x,x,0,0,0,0,0,0,18,"7,051","2,853",0,0,0,0,0,0,0,0,0,0,0,0,18,"7,051","2,853",15,"2,414",977,0,0,0,3,555,225,8,717,290,12,"3,261","1,320",12,"3,261","1,320",9,104,42,13,"3,365","1,362"
