HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCABG,CHINCABG,ECHINCABG,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NSHALOT,SHALOT,ESHALOT,NONIONS,ONIONS,EONIONS,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NPUMPKIN,PUMPKIN,EPUMPKIN,NSQUAZUC,SQUAZUC,ESQUAZUC,NSQPUMP,SQPUMP,ESQPUMP,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NOTHVEG,OTHVEG,EOTHVEG
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total vegetables - Farms reporting,Total vegetables - Acres,Total vegetables - Hectares,Sweet corn - Farms reporting,Sweet corn - Acres,Sweet corn - Hectares,Tomatoes - Farms reporting,Tomatoes - Acres,Tomatoes - Hectares,Cucumbers - Farms reporting,Cucumbers - Acres,Cucumbers - Hectares,Green peas - Farms reporting,Green peas - Acres,Green peas - Hectares,Green and wax beans - Farms reporting,Green and wax beans - Acres,Green and wax beans - Hectares,Cabbage - Farms reporting,Cabbage - Acres,Cabbage - Hectares,Chinese cabbage - Farms reporting,Chinese cabbage - Acres,Chinese cabbage - Hectares,Cauliflower - Farms reporting,Cauliflower - Acres,Cauliflower - Hectares,Broccoli - Farms reporting,Broccoli - Acres,Broccoli - Hectares,Brussels sprouts - Farms reporting,Brussels sprouts - Acres,Brussels sprouts - Hectares,Carrots - Farms reporting,Carrots - Acres,Carrots - Hectares,Rutabagas and turnips - Farms reporting,Rutabagas and turnips - Acres,Rutabagas and turnips - Hectares,Beets - Farms reporting,Beets - Acres,Beets - Hectares,Radishes - Farms reporting,Radishes - Acres,Radishes - Hectares,Shallots and green onions - Farms reporting,Shallots and green onions - Acres,Shallots and green onions - Hectares,"Dry onions, yellow, Spanish, cooking, etc. - Farms reporting","Dry onions, yellow, Spanish, cooking, etc. - Acres","Dry onions, yellow, Spanish, cooking, etc. - Hectares",Celery - Farms reporting,Celery - Acres,Celery - Hectares,Lettuce - Farms reporting,Lettuce - Acres,Lettuce - Hectares,Spinach - Farms reporting,Spinach - Acres,Spinach - Hectares,Peppers - Farms reporting,Peppers - Acres,Peppers - Hectares,Pumpkins - Farms reporting,Pumpkins - Acres,Pumpkins - Hectares,Squash and zucchini - Farms reporting,Squash and zucchini - Acres,Squash and zucchini - Hectares,"Pumpkins, squash and zucchini - Farms reporting","Pumpkins, squash and zucchini - Acres","Pumpkins, squash and zucchini - Hectares","Asparagus, producing - Farms reporting","Asparagus, producing - Acres","Asparagus, producing - Hectares","Asparagus, non-producing - Farms reporting","Asparagus, non-producing - Acres","Asparagus, non-producing - Hectares",Other vegetables - Farms reporting,Other vegetables - Acres,Other vegetables - Hectares
0,0,0,0,Canada excluding Territories / Canada excluant les territoires,"229,373","9,499","309,330","125,181","3,383","74,698","30,229","3,026","22,265","9,010","2,447","7,173","2,903","1,972","41,590","16,831","2,437","27,176","10,998","1,507","10,702","4,331",305,"2,864","1,159",959,"5,298","2,144","1,163","11,094","4,489",363,"1,386",561,"2,303","24,356","9,857",881,"4,714","1,908","1,924","3,042","1,231",812,"1,686",682,941,"2,491","1,008","1,743","14,389","5,823",323,"2,243",908,"1,484","9,665","3,911",790,"1,758",711,"1,581","6,075","2,458","2,317","9,304","3,765","2,413","7,173","2,903","3,356","16,477","6,668",729,"4,361","1,765",301,838,339,"2,986","12,991","5,257"
10,0,0,0,Newfoundland and Labrador / Terre-Neuve-et-Labrador,558,154,"1,067",432,24,33,13,16,4,2,21,6,2,15,6,3,14,5,2,101,191,77,4,x,x,28,11,4,55,60,24,14,x,x,121,220,89,129,341,138,92,69,28,4,1,0,7,1,1,23,6,3,5,1,0,27,27,11,9,1,1,3,1,0,33,33,13,27,10,4,39,43,17,0,0,0,0,0,0,34,x,x
10,1,0,0,Agricultural Region 1 - rÇgion agricole 1,266,69,382,155,7,18,7,6,2,1,6,1,0,5,1,0,6,2,1,40,65,26,2,x,x,12,4,2,20,18,7,10,2,1,52,84,34,54,93,37,36,25,10,4,1,0,5,x,x,12,3,1,4,x,x,13,7,3,6,1,0,1,x,x,13,18,7,9,5,2,14,23,9,0,0,0,0,0,0,25,30,12
10,2,0,0,Agricultural Region 2 - rÇgion agricole 2,154,55,416,168,10,7,3,6,1,0,8,2,1,7,3,1,5,1,0,40,73,30,0,0,0,9,2,1,22,34,14,3,x,x,45,99,40,48,133,54,37,32,13,0,0,0,2,x,x,8,3,1,1,x,x,10,14,6,2,x,x,1,x,x,10,5,2,11,3,1,13,8,3,0,0,0,0,0,0,7,x,x
10,3,0,0,Agricultural Region 3 - rÇgion agricole 3,138,30,269,109,7,8,3,4,1,0,7,3,1,3,2,1,3,2,1,21,52,21,2,x,x,7,5,2,13,7,3,1,x,x,24,37,15,27,116,47,19,13,5,0,0,0,0,0,0,3,0,0,0,0,0,4,5,2,1,x,x,1,x,x,10,10,4,7,2,1,12,12,5,0,0,0,0,0,0,2,x,x
10,1,1,0,Division No.  1,266,69,382,155,7,18,7,6,2,1,6,1,0,5,1,0,6,2,1,40,65,26,2,x,x,12,4,2,20,18,7,10,2,1,52,84,34,54,93,37,36,25,10,4,1,0,5,x,x,12,3,1,4,x,x,13,7,3,6,1,0,1,x,x,13,18,7,9,5,2,14,23,9,0,0,0,0,0,0,25,30,12
10,1,1,214,"Division No.  1, Subd. C",34,3,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
10,1,1,259,"Division No.  1, Subd. A",27,7,27,11,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,1,x,x,0,0,0,7,6,2,7,9,4,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
10,1,1,304,"Division No.  1, Subd. E",21,3,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
